[00:00:00]	[OOC] Unknown: rejoin*
[18:51:11]	Flight Sub-Lieutenant Erik Crogour used command '/comm Do we have any spare drinks? The natives are asking....'.
[18:51:30]	Corporal IN-3331 used command '/c We can charge em for a single shot of a drink.'.
[18:51:32]	Flight Sub-Lieutenant Erik Crogour used command '/comm Their water supply tastes like Bantha piss'.
[18:51:50]	R2-Z7 used command '/dr We may be able to offer services, such as translation?'.
[18:51:58]	Tunk Shump used command '/uk Yeah'.
[18:52:12]	Tunk Shump used command '/uk I guarentee they're drinking cleaning fluid'.
[18:52:32]	R2-Z7 used command '/dr We will be able to translate anything not already translated, it is heavily possible if you are drinking anything of ours left behind, that it is cleaning fluid.'.
[18:52:57]	[IT] Corporal IN-3331: The IN obviously had a bad flashback, but quickly shook it off.
[18:53:11]	Flight Sub-Lieutenant Erik Crogour used command '/comm We could be possibly drinking cleaning fluid.'.
[18:53:19]	Flight Sub-Lieutenant Erik Crogour used command '/comm That they left behind.'.
[18:53:22]	Private First Class TX-7062 used command '/comm Nobody died yet, who fucking cares.'.
[18:53:28]	Flight Sub-Lieutenant Erik Crogour used command '/comm Alright.'.
[18:53:42]	Corporal IN-3331 used command '/c Eh. Maybe see about purifying their water for a price if they want it.'.
[18:53:51]	Tunk Shump used command '/uk What is he saying'.
[18:53:58]	Corporal IN-3331 used command '/c I'm sure we have ways of purifying their water supply.'.
[18:54:03]	R2-Z7 used command '/dr It is heavily toxic, extended use may lead to *combustion*'.
[18:54:22]	R2-Z7 used command '/dr They can purify our water supplies.'.
[18:54:45]	Tunk Shump used command '/uk Eh it'll probably just flow and we can get some fresh glacier water rather than the shit currently down here'.
[18:54:53]	[LOOC] Private First Class TX-7062: 9824, just so you can remember 
[18:55:08]	R2-Z7 used command '/dr Tell him it does not need purified?'.
[18:55:18]	Flight Sub-Lieutenant Erik Crogour used command '/comm I would like assistance to deal with Natives'.
[18:55:33]	Corporal IN-3331 used command '/c Ugh... I'll head over to the front gate'.
[18:55:41]	R2-Z7 used command '/dr He has requested assistance to deal with the 'natives''.
[18:55:57]	[LOOC] Flight Sub-Lieutenant Erik Crogour: *droid
[18:56:14]	R2-Z7 used command '/dr I can hear you. You are not silent.'.
[18:56:36]	Tunk Shump used command '/uk Ugh they're those kinds of people, not native to these regions. That explains them buying our crystals for the price they did.'.
[18:57:05]	R2-Z7 used command '/dr We would like to offer our services in return, also, Yes I am translating.'.
[18:57:44]	R2-Z7 used command '/dr They will purify our water for credits.'.
[18:58:24]	Tunk Shump used command '/uk Tell em we'll just let it circulate until the pond is fresh.'.
[18:58:43]	R2-Z7 used command '/dr I may be able to ask for other items, such as guides to their language?'.
[18:58:59]	Tunk Shump used command '/uk Yeah do they have any books or something to help learn it?'.
[18:59:22]	FB|| light ROOM loaded the character 'Corporal RT-9824'
[18:59:24]	R2-Z7 used command '/dr We will let our pond circulate until it is fresh, but we would like to request a different item,'.
[18:59:36]	Corporal RT-9824 ran 'use' on item 'Tibanna Cartridge' (#839)
[18:59:38]	R2-Z7 used command '/dr Textbooks, or guides to your language, if possible.'.
[19:00:54]	R2-Z7 used command '/dr We can offer translation of any technology or objects labelled in our language in exchange.'.
[19:01:22]	[LOOC] R2-Z7: h m m
[19:01:24]	[LOOC] Flight Sub-Lieutenant Erik Crogour: ignore the idea
[19:01:26]	[LOOC] Flight Sub-Lieutenant Erik Crogour: LMaoo
[19:01:33]	[ME] Corporal RT-9824: Sits his ass down while staying somewhat quiet.
[19:02:11]	[ME] Corporal RT-9824: Chuckled a bit.
[19:02:34]	Tunk Shump used command '/CharSetCredits tunk 40'.
[19:02:58]	Corporal IN-3331 used command '/c Do we have any sort of guide to common on a holodisc? We're trading with the natives and we might be able to learn their tech or maybe a little of their language.'.
[19:03:05]	[LOOC] Lance Corporal LS-7979: theior
[19:03:06]	[LOOC] Lance Corporal LS-7979: their
[19:03:24]	[LOOC] Corporal RT-9824: they're (they are)
[19:03:29]	[LOOC] Lance Corporal LS-7979: there 
[19:03:30]	R2-Z7 used command '/dr They are requesting a second.'.
[19:03:31]	[LOOC] Lance Corporal LS-7979: over there
[19:03:34]	[LOOC] Lance Corporal LS-7979: their
[19:03:38]	Tunk Shump used command '/uk A second what?'.
[19:03:46]	[LOOC] Corporal RT-9824: your, you're
[19:03:58]	[LOOC] Corporal RT-9824: ah ah, yro'u
[19:03:59]	R2-Z7 used command '/dr I don't know.'.
[19:04:15]	R2-Z7 used command '/dr What would you like a second of? We are not sure what you meant.'.
[19:04:47]	R2-Z7 used command '/dr It wants us to wait.'.
[19:04:55]	Tunk Shump used command '/uk Ugh'.
[19:05:14]	[ME] Corporal IN-3331: began to type through the console, entering his credendials.
[19:05:26]	[ME] Corporal RT-9824: Slides off of the seat and walks away.
[19:05:38]	[ME] Corporal IN-3331: began to look for any sort of language guides he has access to, before attempting to download a common guide to a holodisc
[19:05:40]	Corporal IN-3331 rolled 83 out of 100.
[19:05:40]	Corporal IN-3331 used command '/Roll'.
[19:05:49]	[IT] Corporal IN-3331: The IN-3331 was able to download the disc.
[19:06:04]	[ME] R2-Z7: is hdeacrab
[19:06:07]	Corporal IN-3331 used command '/c Good news, I was able to download a guide to a holodisc somehow. I'm not good with tech.'.
[19:06:07]	[ME] R2-Z7: monch
[19:06:15]	Corporal RT-9824 used command '/comm Alright'.
[19:06:15]	Flight Sub-Lieutenant Erik Crogour used command '/comm All good.'.
[19:06:41]	[ME] Tunk Shump: shuffles some stuff in the droids compartment taking the blaster back and sneaking it under his shirt in the process
[19:07:00]	Corporal RT-9824 used the 'Armory' vendor.
[19:07:01]	Corporal RT-9824 has gained 0 credits.
[19:07:01]	Corporal RT-9824 has gained a 'Tibanna Cartridge' #886.
[19:07:02]	Flight Sub-Lieutenant Erik Crogour used command '/comm I hate these native people.'.
[19:07:02]	Corporal RT-9824 has gained 0 credits.
[19:07:02]	Corporal RT-9824 has gained a 'Tibanna Cartridge' #887.
[19:07:03]	Corporal RT-9824 has gained 0 credits.
[19:07:03]	Corporal RT-9824 has gained a 'Tibanna Cartridge' #888.
[19:07:03]	Corporal RT-9824 has gained 0 credits.
[19:07:03]	Corporal RT-9824 has gained a 'Tibanna Cartridge' #889.
[19:07:05]	Corporal RT-9824 ran 'use' on item 'Tibanna Cartridge' (#887)
[19:07:06]	Corporal RT-9824 ran 'use' on item 'Tibanna Cartridge' (#886)
[19:07:06]	Corporal RT-9824 ran 'use' on item 'Tibanna Cartridge' (#888)
[19:07:07]	Corporal RT-9824 ran 'use' on item 'Tibanna Cartridge' (#889)
[19:07:09]	R2-Z7 used command '/dr I suggest we stow the blaster in the speeder.'.
[19:07:11]	Lance Corporal LS-7979 used command '/c I don't trust 'em.'.
[19:07:32]	[ME] Corporal IN-3331: pulls out a holodisc.
[19:07:43]	[ME] Tunk Shump: puts my hand out
[19:07:45]	[OOC] Corporal IN-3331: HORRIBLE INTERNET
[19:07:49]	[OOC] Corporal IN-3331: give me a second
[19:08:03]	[ME] Corporal IN-3331: drops the holodisc to the native.
[19:08:14]	[ME] Tunk Shump: camtch
[19:08:22]	[LOOC] Corporal IN-3331: on the holodisc is a simple guide to common, shit my IN-3331 would have access to on consoles.
[19:08:26]	[ME] Tunk Shump: inserts the disc into the droid
[19:08:40]	[ME] R2-Z7: takes the disc ig whirr whirr droid noises
[19:09:00]	R2-Z7 rolled 73 out of 100.
[19:09:00]	R2-Z7 used command '/Roll'.
[19:09:05]	Corporal RT-9824 used command '/comm Going to the sparring ring.'.
[19:09:22]	Corporal IN-3331 used command '/c I'll be heading over once I am finished my buisness with the Natives.'.
[19:09:30]	Corporal IN-3331 used command '/c I will *not* be fighting though, because my head hurts.'.
[19:09:35]	R2-Z7 used command '/dr What can we offer in return?'.
[19:09:38]	Corporal RT-9824 used command '/comm Copy'.
[19:10:02]	Tunk Shump used command '/uk Fuck if I know'.
[19:10:12]	R2-Z7 used command '/dr I was not talking to you.'.
[19:10:40]	Tunk Shump used command '/uk what did the colonizer say?'.
[19:10:50]	[ME] Corporal RT-9824: Switches on his Gription boots.
[19:10:56]	Corporal RT-9824 rolled 97 out of 100.
[19:10:56]	Corporal RT-9824 used command '/Roll'.
[19:10:58]	Lance Corporal LS-7979 rolled 68 out of 100.
[19:10:58]	Lance Corporal LS-7979 used command '/Roll'.
[19:11:01]	[W] Flight Sub-Lieutenant Erik Crogour: I want to shoot this native.
[19:11:06]	R2-Z7 used command '/dr The colonist would like to learn of our language.'.
[19:11:06]	[W] Corporal IN-3331: Do not.
[19:11:16]	[W] Flight Sub-Lieutenant Erik Crogour: He is so shady.
[19:11:20]	Tunk Shump used command '/uk You have any discs on that?'.
[19:11:26]	[ME] Corporal RT-9824: Goes for an immediate roundhouse kick, to be more specific near his head.
[19:11:29]	[W] Corporal IN-3331: Eh.
[19:11:39]	[ME] Tunk Shump: searches for a language disc on my language
[19:11:43]	R2-Z7 used command '/dr I may be able to clone my translation software.'.
[19:11:43]	Tunk Shump rolled 10 out of 100.
[19:11:43]	Tunk Shump used command '/Roll'.
[19:11:53]	Tunk Shump used command '/uk Try that sure'.
[19:12:01]	R2-Z7 used command '/dr I require a blank disc.'.
[19:12:02]	[ME] Lance Corporal LS-7979: dodges his projected kick.
[19:12:07]	Tunk Shump used command '/uk I found one, but it's specific to eating'.
[19:12:23]	R2-Z7 used command '/dr He found one, but it is specific to eating.'.
[19:13:42]	[ME] Corporal IN-3331: checks for empty holodiscs
[19:13:43]	Corporal IN-3331 rolled 79 out of 100.
[19:13:43]	Corporal IN-3331 used command '/Roll'.
[19:13:44]	[IT] Corporal RT-9824: His fucking helmet cracks, the trooper himself has a massive fucking headache now.
[19:13:46]	[IT] Corporal IN-3331: He finds one.
[19:13:52]	[ME] Corporal IN-3331: grabs a holodisc.
[19:13:56]	Corporal IN-3331 used command '/c Found a clean holodisc.'.
[19:14:23]	[ME] Lance Corporal LS-7979: gets pissed already. He tries throwing a hard punch straight to the nose.
[19:14:56]	[IT] Corporal RT-9824: It does jackshit to the RT.
[19:15:12]	[ME] Corporal RT-9824: Throws a punch into the Scout troopers chest.
[19:15:21]	[ME] Lance Corporal LS-7979: attempts dodging it.
[19:15:25]	[ME] Corporal IN-3331: pulls out a holodisc, which contained nothing, giving it to the native.
[19:15:34]	[ME] Tunk Shump: takes the holodisc
[19:15:43]	[ME] Tunk Shump: inserts it into the droid
[19:15:57]	Tunk Shump used command '/uk Download the local dialect.'.
[19:15:57]	[ME] R2-Z7: attempts to clone it's translation software onto the empty disc
[19:15:58]	[ME] Lance Corporal LS-7979: kicks him in the chest with a front kick.
[19:15:58]	R2-Z7 rolled 54 out of 100.
[19:15:58]	R2-Z7 used command '/Roll'.
[19:16:08]	Tunk Shump used command '/uk How good?'.
[19:16:23]	Corporal RT-9824 has taken 8 damage from Lance Corporal LS-7979.
[19:16:27]	[IT] Corporal RT-9824: It hurts the RT a fuck ton, but nothing really game changing.
[19:16:56]	[IT] Tunk Shump: The disc downloads the basic language up to around a 3-4th grade level
[19:17:01]	[ME] Corporal RT-9824: Goes for another roundhouse kick, going for his kidney area this time.
[19:17:05]	[LOOC] Tunk Shump: local*
[19:17:10]	[ME] Lance Corporal LS-7979: attempts to dodge by jumping back
[19:17:15]	[ME] Tunk Shump: takes the disc out
[19:17:29]	[ME] Lance Corporal LS-7979: attempts to roundhouse kick him in the temple
[19:17:32]	[ME] Tunk Shump: holds the disc up for the troopers
[19:17:35]	[LOOC] R2-Z7: did you insert the galactic basic disc or the empty disc to clone ours too
[19:17:49]	[ME] Corporal IN-3331: lowers himself a bit, now onto his stomach to reach the holodisc.
[19:18:00]	[ME] Corporal RT-9824: Attempts to fucking tackle the man, using all his weight.
[19:18:01]	[LOOC] Tunk Shump: i inserted the blank one
[19:18:06]	[ME] Lance Corporal LS-7979: attempts to jump to the side.
[19:18:16]	[LOOC] Tunk Shump: just so i don't fuck the one they gave us for their language
[19:18:18]	[OOC] Corporal RT-9824: NAT ZEROOOOOO
[19:18:40]	Corporal IN-3331 entered observer.
[19:18:52]	Tunk Shump used command '/uk What did it say?'.
[19:19:14]	R2-Z7 used command '/dr It wants us 'dirty natives' to leave.'.
[19:19:26]	[IT] Corporal IN-3331: As you tackle him, the Scout Trooper attempts to hold his ground, but  his stance was horrible, causing his ankle to *SNAP* from the pressure. Left ankle specifically.
[19:19:46]	Tunk Shump used command '/uk Don't tell them but if we ever give them a drink we're gonna sweeten liquid shit'.
[19:20:02]	[OOC] Corporal RT-9824: hey uhhhh......Madeline you should get on Medic.
[19:20:08]	[OOC] R2-Z7: ughhhh
[19:20:13]	Corporal IN-3331 exited observer at their location.
[19:20:20]	[OOC] R2-Z7: hold on
[19:20:21]	[ME] Corporal IN-3331: inserts the holodisc, taking a look.
[19:20:31]	[ME] R2-Z7: teaches you common
[19:20:34]	Corporal IN-3331 used command '/c It's not too much of the language, but it's a little bit more than just the bare basics.'.
[19:20:35]	R2-Z7 rolled 40 out of 100.
[19:20:35]	R2-Z7 used command '/Roll'.
[19:20:35]	[ME] Lance Corporal LS-7979: taps out.
[19:20:53]	DRD loaded the character 'Medical Crewman First Class Karissa Novar'
[19:20:54]	[ME] Corporal RT-9824: Fucking picks the man up by his stomach area, similar to a bodybag.
[19:20:56]	Flight Sub-Lieutenant Erik Crogour used command '/comm Alright sounds good, we'll have to start learning it'.
[19:21:02]	Corporal IN-3331 used command '/c We're set. I'll uh, see about sending the info to the ISD.'.
[19:21:12]	Corporal RT-9824 used command '/comm I'm bringing a Scout trooper into the Medbay.'.
[19:21:15]	Flight Sub-Lieutenant Erik Crogour used command '/comm Sounds good.'.
[19:21:15]	[ME] Corporal IN-3331: began to send the holodisc's content to the ISD
[19:21:17]	Corporal IN-3331 rolled 11 out of 100.
[19:21:17]	Corporal IN-3331 used command '/Roll'.
[19:21:20]	Medical Crewman First Class Karissa Novar used command '/c Why?'.
[19:21:23]	Medical Crewman First Class Karissa Novar used command '/c What did you do?'.
[19:21:25]	[IT] Corporal IN-3331: The IN failed.
[19:21:27]	Doughnut (STEAM_0:1:127409364) has disconnected.
[19:21:28]	Corporal RT-9824 used command '/comm Sparring ring and Range Trooper.'.
[19:21:32]	Corporal RT-9824 used command '/comm Do you understand?'.
[19:21:48]	Medical Crewman First Class Karissa Novar used command '/dr Next person to get injured in the ring will not be treated.'.
[19:21:53]	Medical Crewman First Class Karissa Novar used command '/c Next person to get injured in the ring will not be treated.'.
[19:22:01]	Corporal IN-3331 used command '/c Fuck off.'.
[19:22:20]	Corporal IN-3331 used command '/c You signed up to be medical, you should expect this.'.
[19:22:25]	[ME] Flight Sub-Lieutenant Erik Crogour: gets the contents of the unknown language that we learned and sends it to the ISD
[19:22:31]	Flight Sub-Lieutenant Erik Crogour rolled 98 out of 100.
[19:22:31]	Flight Sub-Lieutenant Erik Crogour used command '/Roll'.
[19:22:36]	[LOOC] Flight Sub-Lieutenant Erik Crogour: Well fuck
[19:22:36]	[IT] Corporal IN-3331: You do it perfectly.
[19:22:39]	[ME] Corporal RT-9824: Lays the man down before saying a few words "I don't really like losing"
[19:22:54]	Corporal IN-3331 used command '/c The ISD now has the basics of the native's language.'.
[19:23:21]	Flight Sub-Lieutenant Erik Crogour used command '/comm Man I should become a diplomat.'.
[19:23:31]	Corporal IN-3331 used command '/c Haha.'.
[19:24:26]	[OOC] Private First Class TK-1925: eh, does anybody else see the neck on that medic? it looks like taylor swift lmaoo
[19:24:39]	[OOC] Private First Class TK-1925: like their character icon
[19:24:48]	Flight Sub-Lieutenant Erik Crogour used command '/comm Watch me actually become a government offical one day.'.
[19:24:50]	[ME] Corporal RT-9824: Sits down.
[19:24:55]	[ME] Medical Crewman First Class Karissa Novar: opens up the drawer, taking some shit out, such as a scanner ,a bone-knitter, and an anaesthetic
[19:25:12]	Medical Crewman First Class Karissa Novar has spawned 'models/props_equipment/surgicaltray_01.mdl'.
[19:25:24]	[ME] Medical Crewman First Class Karissa Novar: slides a little table over to the dumb scout
[19:25:28]	Private First Class TK-1925 used command '/CharDesc'.
[19:25:36]	Medical Crewman First Class Karissa Novar has spawned 'models/props_interiors/table_cafeteria.mdl'.
[19:25:37]	Private First Class TK-1925 used command '/CharDesc 5' 11" |  Damaged Armor | just call me Neo'.
[19:25:39]	Medical Crewman First Class Karissa Novar has spawned 'models/props_interiors/dining_table_round.mdl'.
[19:25:45]	Medical Crewman First Class Karissa Novar has spawned 'models/scenery/furniture/coffeetable1/vestbl.mdl'.
[19:25:53]	Medical Crewman First Class Karissa Novar has spawned 'models/scenery/furniture/coffeetable1/vestbl.mdl'.
[19:25:58]	[OOC] Medical Crewman First Class Karissa Novar: good enough
[19:26:08]	Medical Crewman First Class Karissa Novar has spawned 'models/props_equipment/surgicaltray_01.mdl'.
[19:26:23]	Medical Crewman First Class Karissa Novar has spawned 'models/lt_c/sci_fi/computers/crystal_hdd.mdl'.
[19:26:39]	[ME] Medical Crewman First Class Karissa Novar: flicks the scanner on, scanning his ankle
[19:26:45]	[LOOC] Medical Crewman First Class Karissa Novar: o h 
[19:27:23]	Flight Sub-Lieutenant Erik Crogour ran 'join' on item 'Squad Identification Device' (#849)
[19:27:39]	Flight Sub-Lieutenant Erik Crogour ran 'setcolor' on item 'Squad Identification Device' (#849)
[19:28:05]	[OOC] Private First Class TK-1925: ive downloaded the pack again today, and I still see the RT as an error
[19:28:14]	[OOC] Corporal IN-3331: R.I.P
[19:29:24]	Flight Sub-Lieutenant Erik Crogour used command '/comm I'll be in the TIE bay.'.
[19:29:28]	Corporal IN-3331 used command '/c Copy.'.
[19:29:31]	[ME] Medical Crewman First Class Karissa Novar: takes the anaestethic, it'd be some weird star wars shit in a needle, and inject it into le
[19:29:38]	[IT] Medical Crewman First Class Karissa Novar: snappy
[19:29:57]	[LOOC] Medical Crewman First Class Karissa Novar: that was a GREAT injection
[19:30:07]	[ME] Lance Corporal LS-7979: doesn't feel pain anymore.
[19:31:11]	[ME] Medical Crewman First Class Karissa Novar: puts the bone knitter on his ankle, activating it 
[19:32:28]	Medical Crewman First Class Karissa Novar has spawned 'models/props_unique/wheelchair01.mdl'.
[19:32:52]	[ME] Medical Crewman First Class Karissa Novar: wheels the fucker over
[19:33:07]	A Mandalorian has connected.
[19:33:43]	[LOOC] Lance Corporal LS-7979: you can leave if you want
[19:33:49]	[LOOC] Medical Crewman First Class Karissa Novar: we can just timeskip if you want
[19:33:52]	[LOOC] Lance Corporal LS-7979: yes
[19:33:55]	[LOOC] Medical Crewman First Class Karissa Novar: ok
[19:33:57]	[LOOC] Corporal RT-9824: Bulwark
[19:33:58]	[ME] Lance Corporal LS-7979: gets up.
[19:34:00]	[LOOC] Corporal IN-3331: yes.
[19:34:09]	[LOOC] Medical Crewman First Class Karissa Novar: *tardis noises* ok ur fixed
[19:34:38]	DRD loaded the character 'MSE-22'
[19:34:45]	[OOC] Corporal RT-9824: brb
[19:34:59]	Corporal IN-3331 used command '/CharSetName Corporal RT-9824 Corporal RT-9824  '.
[19:35:33]	[LOOC] MSE-22: i am a stormtrooper
[19:35:34]	Corporal IN-3331 used command '/CharSetName Corporal RT-9824 Corporal RT-9824 ''Bulwark'''.
[19:36:28]	NeoChex (STEAM_0:1:74406306) has disconnected.
[19:36:34]	A Mandalorian created the character 'Cadet Mark Swanson'
[19:36:34]	A Mandalorian loaded the character 'Cadet Mark Swanson'
[19:36:41]	MSE-22 used command '/ToggleRaise'.
[19:36:42]	Corporal RT-9824 ''Bulwark'' has taken 5 damage from MSE-22.
[19:36:47]	MSE-22 used command '/ToggleRaise'.
[19:37:22]	[ME] MSE-22: is a napkin holder
[19:38:07]	DRD loaded the character 'R2-M3'
[19:39:39]	[ME] R2-M3: extends its little arm thing, grabbing a bottle off the shelf
[19:39:41]	R2-M3 rolled 18 out of 100.
[19:39:41]	R2-M3 used command '/Roll'.
[19:39:53]	[IT] R2-M3: s l i p p e r y
[19:39:59]	[ME] R2-M3: grabs another bottle
[19:40:00]	R2-M3 rolled 90 out of 100.
[19:40:00]	R2-M3 used command '/Roll'.
[19:40:18]	[ME] R2-M3: is holding a bottle in it's little claw
[19:40:27]	[ME] Corporal IN-3331: inspects the droid, trying to see if it has a identification.
[19:40:43]	[IT] R2-M3: It reads R2-M3
[19:41:00]	R2-M3 used command '/dr Yes.'.
[19:41:25]	[ME] R2-M3: makes a sad little whir, turning back towards the bar
[19:41:43]	[ME] R2-M3: puts the bottle back on the shelf
[19:43:02]	Lance Corporal LS-7979 used command '/PM 3331 could I do some rp training at get a stat boost of 5? I've been sparring a lot for everyday I've been on this server.'.
[19:43:17]	[OOC] Cadet Mark Swanson: rene lol smh 
[19:43:20]	Corporal IN-3331 used command '/Reply I can't say. I'll bring it to Q when he's feeling better.'.
[19:43:23]	[OOC] Corporal RT-9824 ''Bulwark'': True
[19:43:30]	Lance Corporal LS-7979 used command '/PM 3331 aight'.
[19:46:15]	Corporal IN-3331 entered observer.
[19:46:16]	Corporal IN-3331 exited observer at their location.
[19:47:35]	Corporal RT-9824 ''Bulwark'' ran 'drop' on item 'Holster' (#846)
[19:47:35]	Corporal RT-9824 ''Bulwark'' has lost a 'Holster' #846.
[19:47:36]	Corporal RT-9824 ''Bulwark'' ran 'drop' on item 'Armor Dirtifier' (#848)
[19:47:36]	Corporal RT-9824 ''Bulwark'' has lost a 'Armor Dirtifier' #848.
[19:47:40]	Corporal RT-9824 ''Bulwark'' destroyed a 'Armor Dirtifier' #848.
[19:47:40]	Corporal RT-9824 ''Bulwark'' destroyed a 'Holster' #846.
[19:48:41]	[ME] Cadet Mark Swanson: nods
[19:51:06]	Corporal IN-3331 entered observer.
[19:51:07]	Corporal IN-3331 exited observer at their location.
[19:51:23]	Corporal IN-3331 entered observer.
[19:51:23]	Corporal IN-3331 exited observer at their location.
[19:51:48]	Lance Corporal LS-7979 ran 'leave' on item 'Squad Identification Device' (#683)
[19:52:31]	Corporal IN-3331 entered observer.
[19:52:33]	Corporal IN-3331 exited observer at their location.
[19:53:06]	R2-M3 has spawned 'models/props_unique/wheelchair01.mdl'.
[19:53:09]	R2-M3 has spawned 'models/props_unique/wheelchair01.mdl'.
[19:53:13]	R2-M3 has spawned 'models/props_unique/wheelchair01.mdl'.
[19:53:29]	Corporal IN-3331 entered observer.
[19:53:30]	Corporal IN-3331 exited observer at their location.
[19:54:04]	R2-M3 has spawned 'models/props_unique/hospital/hospital_bed.mdl'.
[19:54:29]	Corporal IN-3331 entered observer.
[19:54:29]	Corporal IN-3331 exited observer at their location.
[19:55:55]	Corporal IN-3331 entered observer.
[19:55:56]	Corporal IN-3331 exited observer at their location.
[19:55:57]	Corporal IN-3331 entered observer.
[19:55:58]	Corporal IN-3331 exited observer at their location.
[19:55:59]	Corporal IN-3331 entered observer.
[19:56:09]	Corporal IN-3331 exited observer at their location.
[20:01:54]	Corporal IN-3331 entered observer.
[20:01:54]	Corporal IN-3331 exited observer at their location.
[20:02:02]	Corporal IN-3331 entered observer.
[20:02:03]	Corporal IN-3331 exited observer at their location.
[20:02:19]	Corporal IN-3331 entered observer.
[20:02:20]	Corporal IN-3331 exited observer at their location.
[20:02:21]	R2-M3 has taken 5 damage from lfs_speederbike.
[20:02:23]	Corporal IN-3331 entered observer.
[20:02:24]	Corporal IN-3331 exited observer at their location.
[20:02:24]	Corporal IN-3331 entered observer.
[20:02:24]	Corporal IN-3331 exited observer at their location.
[20:02:25]	Corporal IN-3331 entered observer.
[20:02:26]	Corporal IN-3331 exited observer at their location.
[20:02:28]	Corporal IN-3331 entered observer.
[20:02:28]	Corporal IN-3331 exited observer at their location.
[20:02:39]	[OOC] Cadet Mark Swanson: brb in like 20 minutes 
[20:02:42]	[OOC] Corporal IN-3331: Kk
[20:02:44]	R2-M3 has spawned 'models/props_unique/hospital/hospital_bed.mdl'.
[20:02:47]	R2-M3 has taken 500 damage from prop_physics.
[20:02:47]	prop_physics has killed R2-M3.
[20:02:50]	Flight Sub-Lieutenant Erik Crogour has taken 250 damage from rp_kaktusownia_swrp_v1.
[20:02:50]	rp_kaktusownia_swrp_v1 has killed Flight Sub-Lieutenant Erik Crogour.
[20:04:20]	R2-M3 has spawned 'models/props_equipment/fountain_drinks.mdl'.
[20:04:21]	R2-M3 has taken 100 damage from prop_physics.
[20:04:21]	prop_physics has killed R2-M3.
[20:05:10]	Corporal IN-3331 entered observer.
[20:05:53]	Lance Corporal LS-7979 has taken 5 damage from lfs_speederbike.
[20:05:58]	R2-M3 has spawned 'models/props_interiors/shelvinggrocery01.mdl'.
[20:06:00]	R2-M3 has taken 500 damage from prop_physics.
[20:06:00]	prop_physics has killed R2-M3.
[20:06:00]	Flight Sub-Lieutenant Erik Crogour has taken 100 damage from prop_physics.
[20:06:00]	prop_physics has killed Flight Sub-Lieutenant Erik Crogour.
[20:06:01]	Lance Corporal LS-7979 has taken 5 damage from lfs_speederbike.
[20:06:08]	Lance Corporal LS-7979 has taken 5 damage from lfs_speederbike.
[20:06:19]	Vutta loaded the character 'Crewman Second Class Vutta Crogour'
[20:06:23]	Crewman Second Class Vutta Crogour used the 'Armory' vendor.
[20:06:26]	Crewman Second Class Vutta Crogour has gained 0 credits.
[20:06:26]	Crewman Second Class Vutta Crogour has gained a 'SE-14c Blaster' #886.
[20:06:28]	Crewman Second Class Vutta Crogour has gained 0 credits.
[20:06:28]	Crewman Second Class Vutta Crogour has gained a 'Comlink' #887.
[20:06:30]	Crewman Second Class Vutta Crogour has gained 0 credits.
[20:06:30]	Crewman Second Class Vutta Crogour has gained a 'Tibanna Cartridge' #888.
[20:06:30]	Crewman Second Class Vutta Crogour has gained 0 credits.
[20:06:30]	Crewman Second Class Vutta Crogour has gained a 'Tibanna Cartridge' #889.
[20:06:31]	Crewman Second Class Vutta Crogour has gained 0 credits.
[20:06:31]	Crewman Second Class Vutta Crogour has gained a 'Tibanna Cartridge' #890.
[20:06:31]	Crewman Second Class Vutta Crogour has gained 0 credits.
[20:06:31]	Crewman Second Class Vutta Crogour has gained a 'Tibanna Cartridge' #891.
[20:06:32]	Crewman Second Class Vutta Crogour has gained 0 credits.
[20:06:32]	Crewman Second Class Vutta Crogour has gained a 'Tibanna Cartridge' #892.
[20:06:34]	Crewman Second Class Vutta Crogour has gained 0 credits.
[20:06:34]	Crewman Second Class Vutta Crogour has gained a 'Flashlight' #893.
[20:06:39]	Corporal IN-3331 exited observer at their location.
[20:06:39]	Corporal IN-3331 entered observer.
[20:06:40]	Corporal IN-3331 exited observer at their location.
[20:06:41]	Crewman Second Class Vutta Crogour ran 'Equip' on item 'SE-14c Blaster' (#886)
[20:06:44]	Crewman Second Class Vutta Crogour ran 'Power' on item 'Comlink' (#887)
[20:06:50]	Corporal IN-3331 entered observer.
[20:06:51]	Corporal IN-3331 exited observer at their location.
[20:06:52]	Corporal IN-3331 entered observer.
[20:06:56]	R2-M3 has spawned 'models/props_interiors/shelvingstore01.mdl'.
[20:06:56]	R2-M3 has taken 20 damage from prop_physics.
[20:06:58]	R2-M3 has spawned 'models/props_interiors/shelvingstore01.mdl'.
[20:06:58]	R2-M3 has taken 20 damage from prop_physics.
[20:07:02]	Corporal IN-3331 exited observer at their location.
[20:07:03]	Corporal IN-3331 used command '/ToggleRaise'.
[20:07:07]	R2-M3 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[20:07:07]	Corporal RT-9824 ''Bulwark'' has taken 10 damage from Corporal IN-3331.
[20:07:07]	Corporal RT-9824 ''Bulwark'' has taken 1 damage from entityflame.
[20:07:08]	Corporal RT-9824 ''Bulwark'' has taken 1 damage from entityflame.
[20:07:08]	R2-M3 has taken 100 damage from prop_physics.
[20:07:08]	prop_physics has killed R2-M3.
[20:07:08]	Corporal RT-9824 ''Bulwark'' has taken 10 damage from prop_physics.
