[00:10:52]	_--Ashley--_ has connected.
[13:21:51]	[OOC] Ashley Adams: XD
[13:21:54]	Alex Palovichov opened the '' #2395 container.
[13:21:56]	Alex Palovichov closed the '' #2395 container.
[13:22:03]	[OOC] Alex Palovichov: With like high tier contraband too
[13:22:08]	Alex Palovichov ran 'View' on item 'Paper' (#24871)
[13:22:13]	Alex Palovichov opened the '' #2384 container.
[13:22:14]	[OOC] Ashley Adams: Bruh they took my flashlight and didnt give it back!
[13:22:17]	Alex Palovichov has gained a 'Cloth Scrap' #24651.
[13:22:19]	Alex Palovichov has gained a 'Cloth Scrap' #24884.
[13:22:19]	Alex Palovichov closed the '' #2384 container.
[13:22:21]	Alex Palovichov ran 'take' on item 'Sewing Kit' (#25663)
[13:22:21]	Alex Palovichov has gained a 'Sewing Kit' #25663.
[13:23:09]	Alex Palovichov ran 'drop' on item 'Sewing Kit' (#25663)
[13:23:09]	Alex Palovichov has lost a 'Sewing Kit' #25663.
[13:23:24]	Alex Palovichov ran 'take' on item 'Sewing Kit' (#25663)
[13:23:24]	Alex Palovichov has gained a 'Sewing Kit' #25663.
[13:23:28]	Ashley Adams has gained a 'Scrap Electronics' #27345.
[13:23:37]	Ashley Adams ran 'drop' on item 'Citizen Filter' (#25477)
[13:23:37]	Ashley Adams has lost a 'Citizen Filter' #25477.
[13:23:38]	Ashley Adams ran 'drop' on item 'Scrap Electronics' (#27345)
[13:23:38]	Ashley Adams has lost a 'Scrap Electronics' #27345.
[13:23:53]	Alex Palovichov ran 'drop' on item 'Sewing Kit' (#25663)
[13:23:53]	Alex Palovichov has lost a 'Sewing Kit' #25663.
[13:24:03]	Alex Palovichov ran 'drop' on item 'Cloth Scrap' (#24651)
[13:24:03]	Alex Palovichov has lost a 'Cloth Scrap' #24651.
[13:24:07]	Alex Palovichov ran 'drop' on item 'Cloth Scrap' (#24884)
[13:24:07]	Alex Palovichov has lost a 'Cloth Scrap' #24884.
[13:24:12]	Alex Palovichov ran 'take' on item 'Bleach' (#27154)
[13:24:12]	Alex Palovichov has gained a 'Bleach' #27154.
[13:24:14]	Alex Palovichov opened the '' #2395 container.
[13:24:16]	Alex Palovichov has gained a 'Blue Pre-War Shirt' #25227.
[13:24:16]	Alex Palovichov closed the '' #2395 container.
[13:24:26]	Alex Palovichov opened the '' #2395 container.
[13:24:30]	Alex Palovichov closed the '' #2395 container.
[13:24:32]	Alex Palovichov ran 'drop' on item 'Bleach' (#27154)
[13:24:32]	Alex Palovichov has lost a 'Bleach' #27154.
[13:24:58]	Ashley Adams has gained a 'Empty Chinese Takeout' #27346.
[13:25:01]	Ashley Adams ran 'drop' on item 'Empty Chinese Takeout' (#27346)
[13:25:01]	Ashley Adams has lost a 'Empty Chinese Takeout' #27346.
[13:25:04]	Ashley Adams destroyed a 'Empty Chinese Takeout' #27346.
[13:26:30]	[OOC] Alex Palovichov: Imma start selling fuckin' padlocks
[13:26:32]	[OOC] Alex Palovichov: I have a fuck ton
[13:26:34]	Ashley Adams destroyed a 'Scrap Electronics' #27345.
[13:26:42]	[OOC] Ashley Adams: god ik i find alot
[13:27:03]	Alex Palovichov opened the '' #2385 container.
[13:27:07]	Alex Palovichov closed the '' #2385 container.
[13:27:09]	Alex Palovichov used the 'Infestation Control Storage' vendor.
[13:27:10]	Ashley Adams ran 'View' on item 'Paper' (#26647)
[13:27:11]	Alex Palovichov has gained 0 tokens.
[13:27:12]	Alex Palovichov has gained 0 tokens.
[13:27:13]	Alex Palovichov has gained 0 tokens.
[13:27:22]	Alex Palovichov ran 'drop' on item 'Armor Scraps' (#27342)
[13:27:22]	Alex Palovichov has lost a 'Armor Scraps' #27342.
[13:27:28]	Alex Palovichov ran 'drop' on item 'Insulating Tape' (#25504)
[13:27:28]	Alex Palovichov has lost a 'Insulating Tape' #25504.
[13:27:51]	[OOC] Alex Palovichov: omg crafting update...If more shit is added...I will legit be rich in parts
[13:27:53]	Alex Palovichov ran 'drop' on item 'Cloth Scrap' (#27155)
[13:27:53]	Alex Palovichov has lost a 'Cloth Scrap' #27155.
[13:28:00]	Alex Palovichov opened the '' #2384 container.
[13:28:05]	Alex Palovichov closed the '' #2384 container.
[13:28:06]	Alex Palovichov opened the '' #2383 container.
[13:28:10]	Alex Palovichov closed the '' #2383 container.
[13:28:13]	[OOC] Ashley Adams: GOD I AGREE
[13:28:37]	[OOC] Alex Palovichov: Likes its crazy how much shit I have in the ICT HQ
[13:29:01]	Alex Palovichov opened the '' #239 container.
[13:29:03]	Alex Palovichov closed the '' #239 container.
[13:29:04]	Alex Palovichov opened the '' #239 container.
[13:29:06]	Alex Palovichov has gained a 'Empty Flavored Consulate Water Can' #27322.
[13:29:07]	Alex Palovichov closed the '' #239 container.
[13:29:13]	Alex Palovichov has gained a 'Scrap Metal' #27345.
[13:29:17]	Alex Palovichov has gained a 'Pack of Nails' #27346.
[13:29:19]	Alex Palovichov has gained a 'Broken LCD Monitor' #27347.
[13:29:24]	Alex Palovichov ran 'drop' on item 'Broken LCD Monitor' (#27347)
[13:29:24]	Alex Palovichov has lost a 'Broken LCD Monitor' #27347.
[13:29:27]	Alex Palovichov destroyed a 'Broken LCD Monitor' #27347.
[13:29:46]	Alex Palovichov ran 'take' on item 'Broken Computer Monitor' (#26263)
[13:29:46]	Alex Palovichov has gained a 'Broken Computer Monitor' #26263.
[13:29:47]	Alex Palovichov ran 'take' on item 'Broken Computer Monitor' (#25959)
[13:29:47]	Alex Palovichov has gained a 'Broken Computer Monitor' #25959.
[13:29:50]	Alex Palovichov opened the '' #2556 container.
[13:29:56]	Alex Palovichov closed the '' #2556 container.
[13:29:57]	Alex Palovichov opened the '' #2456 container.
[13:30:06]	Alex Palovichov has gained a 'Locker Door' #4829.
[13:30:14]	Alex Palovichov closed the '' #2456 container.
[13:30:18]	Alex Palovichov opened the '' #2558 container.
[13:30:21]	Alex Palovichov closed the '' #2558 container.
[13:30:22]	Alex Palovichov opened the '' #2557 container.
[13:30:25]	Alex Palovichov closed the '' #2557 container.
[13:30:39]	Alex Palovichov has gained a 'Scrap Electronics' #27347.
[13:30:39]	Alex Palovichov has gained a 'Scrap Electronics' #27348.
[13:30:39]	Alex Palovichov has gained a 'Scrap Plastic' #27349.
[13:30:40]	Alex Palovichov has gained a 'Scrap Electronics' #27350.
[13:30:40]	Alex Palovichov has gained a 'Scrap Electronics' #27351.
[13:30:40]	Alex Palovichov has gained a 'Scrap Plastic' #27352.
[13:30:48]	Alex Palovichov has gained a 'Scrap Metal' #27353.
[13:30:48]	Alex Palovichov has gained a 'Scrap Metal' #27354.
[13:32:13]	Ashley Adams destroyed a 'Citizen Filter' #25477.
[13:32:18]	Ashley Adams opened the '' #253 container.
[13:32:21]	Ashley Adams closed the '' #253 container.
[13:33:51]	Alex Palovichov opened the '' #2384 container.
[13:33:56]	Alex Palovichov closed the '' #2384 container.
[13:33:57]	Alex Palovichov opened the '' #2383 container.
[13:34:06]	Alex Palovichov closed the '' #2383 container.
[13:34:21]	Alex Palovichov ran 'drop' on item 'Scrap Plastic' (#27352)
[13:34:21]	Alex Palovichov has lost a 'Scrap Plastic' #27352.
[13:34:26]	Alex Palovichov ran 'drop' on item 'Scrap Metal' (#27354)
[13:34:26]	Alex Palovichov has lost a 'Scrap Metal' #27354.
[13:34:35]	Alex Palovichov ran 'drop' on item 'Scrap Plastic' (#27349)
[13:34:35]	Alex Palovichov has lost a 'Scrap Plastic' #27349.
[13:36:03]	Alex Palovichov opened the '' #2396 container.
[13:36:08]	Alex Palovichov closed the '' #2396 container.
[13:36:09]	Alex Palovichov opened the '' #2395 container.
[13:36:12]	Alex Palovichov closed the '' #2395 container.
[13:36:26]	Ashley Adams has gained a 'Empty Paint Can' #27355.
[13:36:30]	Ashley Adams ran 'drop' on item 'Empty Paint Can' (#27355)
[13:36:30]	Ashley Adams has lost a 'Empty Paint Can' #27355.
[13:36:36]	Alex Palovichov ran 'take' on item 'A Roll of Toilet Paper' (#25307)
[13:36:36]	Alex Palovichov has gained a 'A Roll of Toilet Paper' #25307.
[13:36:45]	Alex Palovichov ran 'drop' on item 'A Roll of Toilet Paper' (#25307)
[13:36:45]	Alex Palovichov has lost a 'A Roll of Toilet Paper' #25307.
[13:37:39]	Alex Palovichov has gained a 'Empty Paint Can' #27356.
[13:37:43]	[OOC] Ashley Adams: Bro how do you get a appartment
[13:37:48]	[OOC] Alex Palovichov: You ask a CP
[13:37:53]	Alex Palovichov ran 'drop' on item 'Empty Paint Can' (#27356)
[13:37:53]	Alex Palovichov has lost a 'Empty Paint Can' #27356.
[13:37:56]	Alex Palovichov destroyed a 'Empty Paint Can' #27356.
[13:37:56]	[OOC] Ashley Adams: Damn and theres none on
[13:38:18]	Alex Palovichov has gained a 'Locker Door' #27356.
[13:38:21]	Alex Palovichov has gained a 'Bleach' #27357.
[13:38:23]	Alex Palovichov has gained a 'Scrap Metal' #27358.
[13:38:23]	Alex Palovichov has gained a 'Scrap Metal' #27359.
[13:38:34]	[OOC] Alex Palovichov: I can drink bleach?!??!?!
[13:38:35]	Alex Palovichov opened the '' #2551 container.
[13:38:38]	Alex Palovichov closed the '' #2551 container.
[13:38:39]	[OOC] Ashley Adams: yeeeep
[13:38:58]	[OOC] Alex Palovichov: Well...Now I have an easy way out if rebels catch me
[13:39:02]	Alex Palovichov opened the '' #2549 container.
[13:39:04]	Alex Palovichov closed the '' #2549 container.
[13:39:05]	Alex Palovichov opened the '' #240 container.
[13:39:06]	Alex Palovichov closed the '' #240 container.
[13:39:07]	[OOC] Ashley Adams: agreed
[13:39:18]	[OOC] Ashley Adams: cause Im kinda in the same boat now too
[13:39:24]	[OOC] Alex Palovichov: How so?
[13:39:30]	[OOC] Ashley Adams: no reason/
[13:39:35]	Alex Palovichov has gained a 'Wires' #27360.
[13:39:38]	Alex Palovichov has gained a 'Broken Keyboard' #27361.
[13:39:42]	[OOC] Alex Palovichov: Well is it tier black loyalist reason?
[13:39:50]	Alex Palovichov ran 'drop' on item 'Broken Keyboard' (#27361)
[13:39:50]	Alex Palovichov has lost a 'Broken Keyboard' #27361.
[13:39:54]	Alex Palovichov destroyed a 'Broken Keyboard' #27361.
[13:39:56]	[OOC] Ashley Adams: lets just say some snitching.
[13:39:56]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:39:57]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:39:57]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:40:00]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:40:07]	[OOC] Alex Palovichov: legit...i did that so many times
[13:40:10]	Alex Palovichov has gained a 'Screw Nuts' #27361.
[13:40:13]	[OOC] Alex Palovichov: I think I snitched on you too
[13:40:17]	Alex Palovichov has gained a 'Small Thermos' #27362.
[13:40:18]	Alex Palovichov opened the '' #251 container.
[13:40:20]	[OOC] Ashley Adams: yea ya didd
[13:40:20]	Alex Palovichov has gained a 'Pack of Nails' #27332.
[13:40:22]	Alex Palovichov has gained a 'Old Newspaper' #25762.
[13:40:23]	Alex Palovichov has gained a 'Empty Milk Gallon' #26810.
[13:40:24]	Alex Palovichov has gained a 'Empty Consulate Water Can' #26591.
[13:40:25]	Alex Palovichov closed the '' #251 container.
[13:40:27]	Alex Palovichov has gained a 'Scrap Metal' #27363.
[13:40:31]	[OOC] Ashley Adams: one of the reasons I got beat by the judge
[13:40:34]	Alex Palovichov has gained a 'Paper' #27364.
[13:40:42]	Alex Palovichov has gained a 'Scrap Plastic' #27365.
[13:40:48]	Alex Palovichov ran 'drop' on item 'Small Thermos' (#27362)
[13:40:48]	Alex Palovichov has lost a 'Small Thermos' #27362.
[13:40:53]	[OOC] Ashley Adams: here just look
[13:40:53]	Alex Palovichov destroyed a 'Small Thermos' #27362.
[13:40:57]	Ashley Adams ran 'drop' on item 'Request Device' (#27339)
[13:40:57]	Ashley Adams has lost a 'Request Device' #27339.
[13:41:02]	Ashley Adams ran 'take' on item 'Request Device' (#27339)
[13:41:02]	Ashley Adams has gained a 'Request Device' #27339.
[13:41:13]	[OOC] Alex Palovichov: Oh...Don't you get those at like 5 LP?
[13:41:21]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:41:21]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:41:22]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:41:23]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:41:24]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:41:31]	[LOOC] Ashley Adams: I have no idea but im kinda a informant now
[13:41:35]	[LOOC] Alex Palovichov: Bruh
[13:41:38]	[LOOC] Alex Palovichov: Lmao
[13:41:40]	[LOOC] Ashley Adams: yeaa.
[13:41:52]	[LOOC] Ashley Adams: only way to save me from that TOA
[13:42:02]	[LOOC] Ashley Adams: TFA*
[13:42:07]	[LOOC] Alex Palovichov: Lmao, be like me and never get caught in the sewers
[13:42:22]	[LOOC] Ashley Adams: i didnt get caught
[13:42:32]	[LOOC] Alex Palovichov: Well...You were caught in the CZ...
[13:42:42]	[LOOC] Alex Palovichov: by me :)
[13:42:43]	[LOOC] Ashley Adams: Yea we were playing basketbal
[13:42:55]	[LOOC] Alex Palovichov: Lmao
[13:43:05]	[LOOC] Alex Palovichov: How many LP do you even have?
[13:43:07]	Alex Palovichov opened the '' #250 container.
[13:43:11]	Alex Palovichov ran 'drop' on item 'Scrap Glass' (#27334)
[13:43:11]	Alex Palovichov ran 'drop' on item 'Graphics Card' (#27333)
[13:43:12]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:43:12]	Alex Palovichov has gained a 'Insulating Tape' #27331.
[13:43:13]	[LOOC] Ashley Adams: uhhhhh 31.
[13:43:13]	Alex Palovichov closed the '' #250 container.
[13:43:16]	[LOOC] Alex Palovichov: Wow
[13:43:23]	[LOOC] Ashley Adams: yep.
[13:43:26]	[LOOC] Alex Palovichov: You can put an armband on if you want
[13:43:28]	Alex Palovichov destroyed a 'Scrap Glass' #27334.
[13:43:30]	Alex Palovichov destroyed a 'Graphics Card' #27333.
[13:43:40]	[LOOC] Ashley Adams: what color would that be?
[13:43:43]	[LOOC] Alex Palovichov: Uhhh
[13:43:56]	[LOOC] Alex Palovichov: red
[13:44:02]	[LOOC] Alex Palovichov: 35 is blue
[13:44:08]	[LOOC] Alex Palovichov: Purple is 50
[13:44:10]	[LOOC] Alex Palovichov: Black is 100
[13:44:13]	[LOOC] Ashley Adams: My guess is that I change my discription.
[13:44:17]	[LOOC] Alex Palovichov: Yep
[13:44:23]	Ashley Adams used command '/CharDesc'.
[13:44:36]	[LOOC] Alex Palovichov: They are supposed to be an item, but since they are broken you just add it into your desc
[13:44:49]	Ashley Adams used command '/CharDesc A small female arround 4'11, who is wearing some type of old military watch on her wrist and a red armband on her arm.'.
[13:44:56]	[LOOC] Alex Palovichov: AND also fun fact...You can APPLY TO THE ICT!!!....Yeahhhh
[13:45:02]	[LOOC] Alex Palovichov: We have hazard pay
[13:45:06]	[LOOC] Ashley Adams: ICT?
[13:45:11]	[LOOC] Alex Palovichov: Infestation control team
[13:45:15]	[LOOC] Alex Palovichov: Deal with xen shit
[13:45:18]	[LOOC] Alex Palovichov: Clean shit
[13:45:21]	[LOOC] Alex Palovichov: Get paid 
[13:45:31]	[LOOC] Alex Palovichov: Wear fancy uniforms
[13:45:33]	[LOOC] Ashley Adams: Oh damn How do I do that, though this chearacter is becoming a CP.
[13:45:50]	[LOOC] Alex Palovichov: Well typically you either ask a manager or ask a supervisor for an application
[13:45:54]	[LOOC] Alex Palovichov: Q does applications...
[13:45:59]	[LOOC] Alex Palovichov: Since he is the only Manager...
[13:46:11]	[LOOC] Ashley Adams: but your a supervisor
[13:46:21]	[LOOC] Alex Palovichov: Yeah, i can take applications and then give it to Q
[13:46:30]	[LOOC] Ashley Adams: Ah, Can I get one please.
[13:46:34]	[LOOC] Alex Palovichov: Its an IC thing
[13:46:42]	[LOOC] Ashley Adams: shiiii
[13:46:42]	Alex Palovichov opened the '' #250 container.
[13:46:45]	Alex Palovichov closed the '' #250 container.
[13:46:45]	Alex Palovichov opened the '' #251 container.
[13:46:47]	Alex Palovichov closed the '' #251 container.
[13:46:59]	[LOOC] Ashley Adams: I do like those apps better though.
[13:47:14]	[LOOC] Alex Palovichov: Yeah I do too...I never really liked forums apps
[13:47:21]	[LOOC] Alex Palovichov: Well then, Back into IC I go!
[13:47:22]	[LOOC] Ashley Adams: agreed
[13:48:06]	Alex Palovichov opened the '' #2374 container.
[13:48:08]	Alex Palovichov closed the '' #2374 container.
[13:48:12]	Alex Palovichov has gained a 'Broken LCD Monitor' #27366.
[13:48:13]	Alex Palovichov ran 'drop' on item 'Broken LCD Monitor' (#27366)
[13:48:13]	Alex Palovichov has lost a 'Broken LCD Monitor' #27366.
[13:48:15]	Alex Palovichov destroyed a 'Broken LCD Monitor' #27366.
[13:48:21]	Alex Palovichov destroyed a 'Empty Paint Can' #27355.
[13:48:27]	Alex Palovichov has gained a 'Rubber Tire' #27366.
[13:48:29]	Alex Palovichov ran 'drop' on item 'Rubber Tire' (#27366)
[13:48:29]	Alex Palovichov has lost a 'Rubber Tire' #27366.
[13:48:31]	Alex Palovichov destroyed a 'Rubber Tire' #27366.
[13:48:32]	Alex Palovichov opened the '' #252 container.
[13:48:34]	Alex Palovichov closed the '' #252 container.
[13:48:50]	Alex Palovichov has gained a 'AA Battery' #27366.
[13:48:57]	[LOOC] Alex Palovichov: You know how many LP Denford has?
[13:48:58]	Alex Palovichov ran 'drop' on item 'AA Battery' (#27366)
[13:48:58]	Alex Palovichov has lost a 'AA Battery' #27366.
[13:49:02]	Alex Palovichov destroyed a 'AA Battery' #27366.
[13:49:13]	Alex Palovichov has gained a 'Empty Paint Can' #27366.
[13:49:20]	[OOC] Alex Palovichov: You know how many LP Denford has?
[13:49:21]	Alex Palovichov ran 'drop' on item 'Empty Paint Can' (#27366)
[13:49:21]	Alex Palovichov has lost a 'Empty Paint Can' #27366.
[13:49:24]	Alex Palovichov destroyed a 'Empty Paint Can' #27366.
[13:49:36]	[LOOC] Ashley Adams: nope, but thats the guy i need to find
[13:49:46]	[OOC] Ashley Adams: nope but thats the guy i need to find.
[13:49:58]	[OOC] Alex Palovichov: Huh...Well he may be losing some 
[13:50:09]	Alex Palovichov opened the '' #245 container.
[13:50:12]	[OOC] Ashley Adams: oh no shit, Cough hes going to lost more than LP
[13:50:22]	Alex Palovichov closed the '' #245 container.
[13:50:23]	Alex Palovichov opened the '' #2456 container.
[13:50:26]	Alex Palovichov closed the '' #2456 container.
[13:50:28]	Alex Palovichov opened the '' #2558 container.
[13:50:29]	Alex Palovichov closed the '' #2558 container.
[13:50:35]	[OOC] Alex Palovichov: I love playing the black tier card
[13:50:37]	Alex Palovichov ran 'take' on item 'Broken Computer Monitor' (#26474)
[13:50:37]	Alex Palovichov has gained a 'Broken Computer Monitor' #26474.
[13:50:41]	Alex Palovichov ran 'take' on item 'Broken Computer Monitor' (#25361)
[13:50:45]	Alex Palovichov has gained a 'Scrap Electronics' #27366.
[13:50:45]	Alex Palovichov has gained a 'Scrap Electronics' #27367.
[13:50:45]	Alex Palovichov has gained a 'Scrap Plastic' #27368.
[13:50:47]	Alex Palovichov ran 'take' on item 'Broken Computer Monitor' (#25361)
[13:50:47]	[OOC] Ashley Adams: I love playing the "truth card"
[13:50:51]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:50:53]	Alex Palovichov ran 'take' on item 'Broken Computer Monitor' (#25361)
[13:50:53]	Alex Palovichov has gained a 'Broken Computer Monitor' #25361.
[13:50:56]	Alex Palovichov has gained a 'Scrap Electronics' #27369.
[13:50:56]	Alex Palovichov has gained a 'Scrap Electronics' #27370.
[13:50:56]	Alex Palovichov has gained a 'Scrap Plastic' #27371.
[13:51:18]	Alex Palovichov ran 'take' on item 'Consulate Water' (#27337)
[13:51:18]	Alex Palovichov has gained a 'Consulate Water' #27337.
[13:51:22]	Alex Palovichov ran 'Consume' on item 'Consulate Water' (#27337)
[13:52:06]	[OOC] Alex Palovichov: Man being a loyalist is so easy! You just get everyone else in trouble 
[13:52:13]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#27370)
[13:52:13]	Alex Palovichov has lost a 'Scrap Electronics' #27370.
[13:52:16]	[OOC] Ashley Adams: im starting to see that
[13:52:26]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#27369)
[13:52:26]	Alex Palovichov has lost a 'Scrap Electronics' #27369.
[13:52:37]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#27367)
[13:52:37]	Alex Palovichov has lost a 'Scrap Electronics' #27367.
[13:52:46]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#27366)
[13:52:46]	Alex Palovichov has lost a 'Scrap Electronics' #27366.
[13:53:00]	[OOC] Alex Palovichov: Im legit running out of room to store parts
[13:53:01]	Alex Palovichov opened the '' #2385 container.
[13:53:01]	Alex Palovichov closed the '' #2385 container.
[13:53:03]	Alex Palovichov opened the '' #2383 container.
[13:53:05]	Alex Palovichov closed the '' #2383 container.
[13:53:09]	[OOC] Ashley Adams: damn
[13:53:11]	Alex Palovichov opened the '' #2385 container.
[13:53:11]	Alex Palovichov closed the '' #2385 container.
[13:53:12]	Alex Palovichov opened the '' #2384 container.
[13:53:14]	Alex Palovichov closed the '' #2384 container.
[13:53:23]	[OOC] Alex Palovichov: I have legit 8 storage boxes
[13:53:27]	Alex Palovichov ran 'drop' on item 'Insulating Tape' (#27331)
[13:53:27]	Alex Palovichov has lost a 'Insulating Tape' #27331.
[13:53:32]	Alex Palovichov ran 'drop' on item 'Screw Nuts' (#27361)
[13:53:32]	Alex Palovichov has lost a 'Screw Nuts' #27361.
[13:53:37]	Alex Palovichov ran 'drop' on item 'Pack of Nails' (#27332)
[13:53:37]	Alex Palovichov has lost a 'Pack of Nails' #27332.
[13:53:44]	Alex Palovichov ran 'drop' on item 'Scrap Metal' (#27363)
[13:53:44]	Alex Palovichov has lost a 'Scrap Metal' #27363.
[13:53:54]	Alex Palovichov ran 'drop' on item 'Bleach' (#27357)
[13:53:54]	Alex Palovichov has lost a 'Bleach' #27357.
[13:54:00]	Alex Palovichov ran 'drop' on item 'Scrap Plastic' (#27365)
[13:54:00]	Alex Palovichov has lost a 'Scrap Plastic' #27365.
[13:54:07]	Alex Palovichov ran 'drop' on item 'Wires' (#27360)
[13:54:07]	Alex Palovichov has lost a 'Wires' #27360.
[13:54:15]	Alex Palovichov ran 'drop' on item 'Scrap Metal' (#27359)
[13:54:15]	Alex Palovichov has lost a 'Scrap Metal' #27359.
[13:54:21]	Alex Palovichov ran 'drop' on item 'Scrap Metal' (#27358)
[13:54:21]	Alex Palovichov has lost a 'Scrap Metal' #27358.
[13:54:33]	Alex Palovichov ran 'drop' on item 'Scrap Plastic' (#27368)
[13:54:33]	Alex Palovichov has lost a 'Scrap Plastic' #27368.
[13:54:39]	Alex Palovichov ran 'drop' on item 'Scrap Plastic' (#27371)
[13:54:39]	Alex Palovichov has lost a 'Scrap Plastic' #27371.
[13:54:54]	Alex Palovichov ran 'drop' on item 'Paper' (#27364)
[13:54:54]	Alex Palovichov has lost a 'Paper' #27364.
[13:55:22]	Alex Palovichov used the 'Infestation Control Storage' vendor.
[13:55:27]	Alex Palovichov opened the '' #2384 container.
[13:55:29]	Alex Palovichov closed the '' #2384 container.
[13:55:29]	Alex Palovichov opened the '' #2385 container.
[13:55:32]	Alex Palovichov has gained a 'Padlock' #27343.
[13:55:35]	Alex Palovichov has gained a 'Padlock' #27024.
[13:55:37]	Alex Palovichov has gained a 'Padlock' #27014.
[13:55:40]	Alex Palovichov has gained a 'Padlock' #25589.
[13:55:41]	Alex Palovichov closed the '' #2385 container.
[13:55:43]	Alex Palovichov ran 'take' on item 'Notepad' (#27021)
[13:55:43]	Alex Palovichov has gained a 'Notepad' #27021.
[13:55:44]	Alex Palovichov used the 'Infestation Control Storage' vendor.
[13:55:45]	Alex Palovichov has gained 0 tokens.
[13:55:46]	Alex Palovichov has gained 0 tokens.
[13:55:47]	Alex Palovichov has gained 0 tokens.
[13:55:47]	Alex Palovichov has gained 0 tokens.
[13:55:50]	Alex Palovichov ran 'Edit' on item 'Notepad' (#27021)
[13:55:59]	Alex Palovichov ran 'View' on item 'Paper' (#24871)
[13:56:03]	Alex Palovichov opened the '' #2415 container.
[13:56:06]	Alex Palovichov closed the '' #2415 container.
[13:56:07]	Alex Palovichov opened the '' #2384 container.
[13:56:09]	Alex Palovichov closed the '' #2384 container.
[13:56:10]	Alex Palovichov opened the '' #2385 container.
[13:56:12]	Alex Palovichov has gained a 'Reinforced Padlock' #25559.
[13:56:14]	Alex Palovichov has gained a 'Reinforced Padlock' #25721.
[13:56:15]	Alex Palovichov has gained a 'Reinforced Padlock' #26995.
[13:56:16]	Alex Palovichov has gained a 'Reinforced Padlock' #25553.
[13:56:17]	Alex Palovichov has gained a 'CWU Furniture Catalogue' #24102.
[13:56:18]	Alex Palovichov closed the '' #2385 container.
[13:56:19]	Alex Palovichov ran 'drop' on item 'CWU Furniture Catalogue' (#24102)
[13:56:19]	Alex Palovichov has lost a 'CWU Furniture Catalogue' #24102.
[13:56:34]	[OOC] Alex Palovichov: SOMEONE STOLE MY HORSE STATUE!
[13:56:38]	Alex Palovichov opened the '' #2396 container.
[13:56:40]	[OOC] Ashley Adams: DAMN!
[13:56:40]	Alex Palovichov closed the '' #2396 container.
[13:56:41]	Alex Palovichov opened the '' #2395 container.
[13:56:46]	Alex Palovichov closed the '' #2395 container.
[13:56:47]	Alex Palovichov opened the '' #2415 container.
[13:56:48]	Alex Palovichov closed the '' #2415 container.
[13:56:50]	Alex Palovichov opened the '' #2415 container.
[13:56:50]	Alex Palovichov closed the '' #2415 container.
[13:56:51]	Alex Palovichov opened the '' #2383 container.
[13:56:54]	Alex Palovichov closed the '' #2383 container.
[13:56:55]	Alex Palovichov opened the '' #2385 container.
[13:56:57]	Alex Palovichov closed the '' #2385 container.
[13:56:57]	Alex Palovichov opened the '' #2384 container.
[13:56:59]	Alex Palovichov closed the '' #2384 container.
[13:57:00]	Alex Palovichov opened the '' #2395 container.
[13:57:02]	Alex Palovichov closed the '' #2395 container.
[13:57:09]	Alex Palovichov opened the '' #2385 container.
[13:57:10]	Alex Palovichov closed the '' #2385 container.
[13:57:14]	[OOC] Ashley Adams: I would help But I havnt gone into sewers or CZ since last time.
[13:57:27]	[OOC] Alex Palovichov: Lmao no need, I have more
[13:57:34]	Ashley Adams opened the '' #253 container.
[13:57:35]	Ashley Adams closed the '' #253 container.
[13:57:36]	Ashley Adams opened the '' #253 container.
[13:57:39]	Ashley Adams closed the '' #253 container.
[13:57:45]	Alex Palovichov opened the '' #2385 container.
[13:57:47]	Alex Palovichov closed the '' #2385 container.
[14:00:18]	Alex Palovichov opened the '' #2383 container.
[14:00:21]	Alex Palovichov ran 'View' on item 'Notepad' (#25014)
[14:00:23]	Alex Palovichov has gained a 'Notepad' #25014.
[14:00:24]	Alex Palovichov closed the '' #2383 container.
[14:00:26]	Alex Palovichov ran 'Edit' on item 'Notepad' (#25014)
[14:01:00]	Alex Palovichov ran 'drop' on item 'Notepad' (#25014)
[14:01:00]	Alex Palovichov has lost a 'Notepad' #25014.
[14:01:03]	Ashley Adams ran 'take' on item 'Notepad' (#25014)
[14:01:03]	Ashley Adams has gained a 'Notepad' #25014.
[14:01:17]	Ashley Adams ran 'Edit' on item 'Notepad' (#25014)
[14:02:11]	[OOC] Ashley Adams: what was the limit to the age like year wise
[14:02:17]	[OOC] Ashley Adams: thats what i set mine too
[14:02:19]	[LOOC] Alex Palovichov: uhh....
