[00:00:17]	[LOOC] Gregory Smith: locked
[17:10:01]	[OOC] Dennis Arturius: what happend with actsit?
[17:10:02]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[17:10:02]	[LOOC] CCA.C14-UNION.i5.39867: you cant move your arms you're tied
[17:10:04]	[OOC] Dennis Arturius: i can't perform it
[17:10:08]	[LOOC] Dennis Arturius: ik
[17:10:10]	[OOC] Journey Robertson: You can't?
[17:10:11]	CCA.C14-UNION.i5.39867 used command '/ActLean'.
[17:10:16]	CCA.C14-UNION.i5.39867 used command '/ActStand'.
[17:10:19]	CCA.C14-UNION.i5.39867 used command '/ExitAct'.
[17:10:21]	[ME] CCA.C14-HELIX.i4.50299: staps him in the chair.
[17:10:22]	CCA.C14-UNION.i5.39867 used command '/ActMotion'.
[17:10:28]	[OOC] CCA.C14-UNION.i5.39867: the cp anims are here
[17:10:31]	[OOC] CCA.C14-UNION.i5.39867: i never saw them before
[17:10:35]	CCA.C14-UNION.i5.39867 used command '/ActDeny'.
[17:10:39]	[OOC] Dennis Arturius: God my voice
[17:10:45]	[OOC] Dennis Arturius: I can't continue anymore
[17:10:51]	[OOC] Journey Robertson: Thank you ;-;
[17:11:02]	[OOC] CCA.C14-HELIX.i4.50299: New civie models dont have the animations
[17:11:11]	[OOC] CCA.C14-HELIX.i4.50299: Just do Alt+Shift
[17:11:42]	[ME] CCA.C14-UNION.i5.39867: shuffles through the pockets of his uniform, before presenting the HELIX with a relocation coupon
[17:11:46]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Relocation Coupon' (#25778)
[17:11:46]	CCA.C14-UNION.i5.39867 has lost a 'Relocation Coupon' #25778.
[17:12:06]	[ME] CCA.C14-HELIX.i4.50299: grabs the coupon from his hand and puts it in his pocket.
[17:12:09]	CCA.C14-HELIX.i4.50299 ran 'take' on item 'Relocation Coupon' (#25778)
[17:12:09]	CCA.C14-HELIX.i4.50299 has gained a 'Relocation Coupon' #25778.
[17:13:31]	[OOC] Journey Robertson: Brb
[17:13:51]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[17:14:03]	[LOOC] Dennis Arturius: what is rubble?
[17:14:06]	[LOOC] Dennis Arturius: bruh
[17:14:11]	[LOOC] CCA.C14-UNION.i5.39867: the one that is currently destroyed
[17:14:17]	[LOOC] CCA.C14-HELIX.i4.50299: Stones, meaning that the city is broken
[17:14:49]	CCA.C14-UNION.i5.39867 used command '/Radio The QrM didn't put these rations back in the cabinets?'.
[17:14:51]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Minimal Grade Ration' (#25701)
[17:14:51]	CCA.C14-UNION.i5.39867 has gained a 'Minimal Grade Ration' #25701.
[17:14:53]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Biotic Grade Ration' (#25725)
[17:14:53]	CCA.C14-UNION.i5.39867 has gained a 'Biotic Grade Ration' #25725.
[17:14:56]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Minimal Grade Ration' (#25700)
[17:14:56]	CCA.C14-UNION.i5.39867 has gained a 'Minimal Grade Ration' #25700.
[17:14:57]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Biotic Grade Ration' (#25726)
[17:14:57]	CCA.C14-UNION.i5.39867 has gained a 'Biotic Grade Ration' #25726.
[17:14:59]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Biotic Grade Ration' (#25727)
[17:14:59]	CCA.C14-UNION.i5.39867 has gained a 'Biotic Grade Ration' #25727.
[17:15:01]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Biotic Grade Ration' (#25723)
[17:15:01]	CCA.C14-UNION.i5.39867 has gained a 'Biotic Grade Ration' #25723.
[17:15:02]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[17:15:02]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Standard Grade Ration' (#25716)
[17:15:02]	CCA.C14-UNION.i5.39867 has gained a 'Standard Grade Ration' #25716.
[17:15:03]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Loyalist Grade Ration' (#25708)
[17:15:03]	CCA.C14-UNION.i5.39867 has gained a 'Loyalist Grade Ration' #25708.
[17:15:05]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Minimal Grade Ration' (#25703)
[17:15:05]	CCA.C14-UNION.i5.39867 has gained a 'Minimal Grade Ration' #25703.
[17:15:07]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Minimal Grade Ration' (#25704)
[17:15:07]	CCA.C14-UNION.i5.39867 has gained a 'Minimal Grade Ration' #25704.
[17:15:07]	CCA.C14-HELIX.i4.50299 used command '/Radio QrM doesn't really deal with that.'.
[17:15:09]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Loyalist Grade Ration' (#25707)
[17:15:09]	CCA.C14-UNION.i5.39867 has gained a 'Loyalist Grade Ration' #25707.
[17:15:19]	CCA.C14-UNION.i5.39867 used command '/Radio He was here, though. Reported it in but didn't do anything about it.'.
[17:15:26]	CCA.C14-UNION.i5.39867 used command '/Radio Doesn't matter, I'll try to put them back.'.
[17:15:27]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Minimal Grade Ration' (#25702)
[17:15:27]	CCA.C14-UNION.i5.39867 has gained a 'Minimal Grade Ration' #25702.
[17:15:29]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Standard Grade Ration' (#25713)
[17:15:29]	CCA.C14-UNION.i5.39867 has gained a 'Standard Grade Ration' #25713.
[17:15:32]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Standard Grade Ration' (#25715)
[17:15:32]	CCA.C14-UNION.i5.39867 has gained a 'Standard Grade Ration' #25715.
[17:15:34]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Standard Grade Ration' (#25718)
[17:15:34]	CCA.C14-UNION.i5.39867 has gained a 'Standard Grade Ration' #25718.
[17:15:35]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Loyalist Grade Ration' (#25711)
[17:15:35]	CCA.C14-UNION.i5.39867 has gained a 'Loyalist Grade Ration' #25711.
[17:15:37]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Minimal Grade Ration' (#25705)
[17:15:37]	CCA.C14-UNION.i5.39867 has gained a 'Minimal Grade Ration' #25705.
[17:15:39]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Minimal Grade Ration' (#25706)
[17:15:39]	CCA.C14-UNION.i5.39867 has gained a 'Minimal Grade Ration' #25706.
[17:15:41]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Loyalist Grade Ration' (#25709)
[17:15:44]	CCA.C14-UNION.i5.39867 opened the 'Standard Grade Rations' #1707 container.
[17:15:47]	CCA.C14-UNION.i5.39867 closed the 'Standard Grade Rations' #1707 container.
[17:15:49]	CCA.C14-UNION.i5.39867 opened the 'Loyalist Grade Rations' #1791 container.
[17:15:55]	CCA.C14-UNION.i5.39867 closed the 'Loyalist Grade Rations' #1791 container.
[17:15:58]	CCA.C14-UNION.i5.39867 opened the 'Minimal Grade/Biotic Rations' #1708 container.
[17:16:08]	CCA.C14-UNION.i5.39867 closed the 'Minimal Grade/Biotic Rations' #1708 container.
[17:16:12]	CCA.C14-UNION.i5.39867 opened the 'Civil Protection Rations' #1709 container.
[17:16:25]	CCA.C14-UNION.i5.39867 closed the 'Civil Protection Rations' #1709 container.
[17:16:48]	CCA.C14-UNION.i5.39867 opened the 'Civil Protection Rations' #1709 container.
[17:16:52]	CCA.C14-UNION.i5.39867 has gained a 'Minimal Grade Ration' #25703.
[17:16:52]	CCA.C14-UNION.i5.39867 has gained a 'Minimal Grade Ration' #25701.
[17:16:53]	CCA.C14-UNION.i5.39867 has gained a 'Biotic Grade Ration' #25727.
[17:16:54]	CCA.C14-UNION.i5.39867 has gained a 'Biotic Grade Ration' #25725.
[17:16:55]	CCA.C14-UNION.i5.39867 has gained a 'Biotic Grade Ration' #25723.
[17:16:56]	CCA.C14-UNION.i5.39867 has gained a 'Biotic Grade Ration' #25726.
[17:16:57]	CCA.C14-UNION.i5.39867 has gained a 'Minimal Grade Ration' #25700.
[17:16:57]	CCA.C14-UNION.i5.39867 closed the 'Civil Protection Rations' #1709 container.
[17:17:00]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Minimal Grade Ration' (#25702)
[17:17:00]	CCA.C14-UNION.i5.39867 has lost a 'Minimal Grade Ration' #25702.
[17:17:01]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Biotic Grade Ration' (#25726)
[17:17:01]	CCA.C14-UNION.i5.39867 has lost a 'Biotic Grade Ration' #25726.
[17:17:01]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Biotic Grade Ration' (#25727)
[17:17:01]	CCA.C14-UNION.i5.39867 has lost a 'Biotic Grade Ration' #25727.
[17:17:02]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Minimal Grade Ration' (#25701)
[17:17:02]	CCA.C14-UNION.i5.39867 has lost a 'Minimal Grade Ration' #25701.
[17:17:03]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Minimal Grade Ration' (#25700)
[17:17:03]	CCA.C14-UNION.i5.39867 has lost a 'Minimal Grade Ration' #25700.
[17:17:03]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Biotic Grade Ration' (#25723)
[17:17:03]	CCA.C14-UNION.i5.39867 has lost a 'Biotic Grade Ration' #25723.
[17:17:04]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Biotic Grade Ration' (#25725)
[17:17:04]	CCA.C14-UNION.i5.39867 has lost a 'Biotic Grade Ration' #25725.
[17:17:05]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Minimal Grade Ration' (#25703)
[17:17:05]	CCA.C14-UNION.i5.39867 has lost a 'Minimal Grade Ration' #25703.
[17:17:06]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Minimal Grade Ration' (#25705)
[17:17:06]	CCA.C14-UNION.i5.39867 has lost a 'Minimal Grade Ration' #25705.
[17:17:07]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Minimal Grade Ration' (#25706)
[17:17:07]	CCA.C14-UNION.i5.39867 has lost a 'Minimal Grade Ration' #25706.
[17:17:09]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Minimal Grade Ration' (#25705)
[17:17:09]	CCA.C14-UNION.i5.39867 has gained a 'Minimal Grade Ration' #25705.
[17:17:10]	CCA.C14-UNION.i5.39867 opened the 'Minimal Grade/Biotic Rations' #1708 container.
[17:17:12]	[W] Dennis Arturius: If i give you 60 tokens.
[17:17:13]	CCA.C14-UNION.i5.39867 has gained a 'Biotic Grade Food' #22135.
[17:17:16]	CCA.C14-UNION.i5.39867 closed the 'Minimal Grade/Biotic Rations' #1708 container.
[17:17:17]	[W] Dennis Arturius: Would you shut up?
[17:17:20]	CCA.C14-UNION.i5.39867 ran 'take' on item 'Loyalist Grade Ration' (#25709)
[17:17:20]	CCA.C14-UNION.i5.39867 has gained a 'Loyalist Grade Ration' #25709.
[17:17:21]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[17:17:25]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[17:17:26]	CCA.C14-UNION.i5.39867 destroyed a 'Minimal Grade Ration' #25706.
[17:17:26]	CCA.C14-UNION.i5.39867 destroyed a 'Minimal Grade Ration' #25703.
[17:17:27]	CCA.C14-UNION.i5.39867 destroyed a 'Biotic Grade Ration' #25726.
[17:17:28]	CCA.C14-UNION.i5.39867 destroyed a 'Biotic Grade Ration' #25723.
[17:17:29]	CCA.C14-UNION.i5.39867 destroyed a 'Biotic Grade Ration' #25725.
[17:17:30]	CCA.C14-UNION.i5.39867 destroyed a 'Biotic Grade Ration' #25727.
[17:17:30]	CCA.C14-UNION.i5.39867 destroyed a 'Minimal Grade Ration' #25702.
[17:17:31]	CCA.C14-UNION.i5.39867 destroyed a 'Minimal Grade Ration' #25700.
[17:17:32]	CCA.C14-UNION.i5.39867 destroyed a 'Minimal Grade Ration' #25701.
[17:17:33]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[17:17:34]	CCA.C14-UNION.i5.39867 opened the 'Minimal Grade/Biotic Rations' #1708 container.
[17:17:38]	CCA.C14-UNION.i5.39867 closed the 'Minimal Grade/Biotic Rations' #1708 container.
[17:17:39]	CCA.C14-UNION.i5.39867 opened the 'Standard Grade Rations' #1707 container.
[17:17:42]	CCA.C14-UNION.i5.39867 closed the 'Standard Grade Rations' #1707 container.
[17:17:43]	CCA.C14-UNION.i5.39867 opened the 'Loyalist Grade Rations' #1791 container.
[17:17:49]	CCA.C14-UNION.i5.39867 closed the 'Loyalist Grade Rations' #1791 container.
[17:17:56]	CCA.C14-UNION.i5.39867 opened the 'Standard Grade Rations' #1707 container.
[17:17:56]	CCA.C14-UNION.i5.39867 closed the 'Standard Grade Rations' #1707 container.
[17:17:57]	CCA.C14-UNION.i5.39867 opened the 'Standard Grade Rations' #1707 container.
[17:18:00]	CCA.C14-HELIX.i4.50299 used command '/Radio We are bringing this one to interrogation.'.
[17:18:03]	CCA.C14-UNION.i5.39867 closed the 'Standard Grade Rations' #1707 container.
[17:18:09]	[ME] CCA.C14-HELIX.i4.50299: unstraps the citizen.
[17:18:09]	CCA.C14-UNION.i5.39867 used command '/Radio Copy that, just putting back these rations.'.
[17:18:10]	CCA.C14-UNION.i5.39867 opened the 'Standard Grade Rations' #1707 container.
[17:18:12]	CCA.C14-UNION.i5.39867 closed the 'Standard Grade Rations' #1707 container.
[17:18:12]	CCA.C14-UNION.i5.39867 opened the 'Loyalist Grade Rations' #1791 container.
[17:18:13]	[LOOC] Dennis Arturius: can i ICly hear your radio if you're near me?
[17:18:18]	CCA.C14-UNION.i5.39867 closed the 'Loyalist Grade Rations' #1791 container.
[17:18:20]	[LOOC] CCA.C14-HELIX.i4.50299: yes
[17:18:21]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Biotic Grade Food' (#22135)
[17:18:21]	CCA.C14-UNION.i5.39867 has lost a 'Biotic Grade Food' #22135.
[17:18:22]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[17:18:23]	CCA.C14-UNION.i5.39867 destroyed a 'Biotic Grade Food' #22135.
[17:18:23]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[17:18:33]	[ME] CCA.C14-HELIX.i4.50299: grabs him by the arm and drags him along.
[17:18:45]	[ME] CCA.C14-UNION.i5.39867: follows behind the citizen and fellow functionary,
[17:18:51]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[17:19:00]	[OOC] Journey Robertson: Back gamers
[17:19:47]	[ME] CCA.C14-HELIX.i4.50299: pushes him into the chair before him.
[17:20:02]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[17:20:12]	[LOOC] CCA.C14-HELIX.i4.50299: Can you type dennis?
[17:20:27]	[Y] Dennis Arturius: THAT'S ALL I WANT, PLEASE.
[17:20:27]	[OOC] James Albright: so it truns out
[17:20:30]	[OOC] James Albright: we can't do shit via uh
[17:20:31]	James Albright exited observer at their location.
[17:20:36]	[OOC] James Albright: applications via bot
[17:20:40]	[OOC] James Albright: because i have nowhere to host the discord bot
[17:20:40]	James Albright entered observer.
[17:20:46]	[OOC] James Albright: so we're just gonna use our website to host the forums
[17:21:36]	[OOC] Journey Robertson: Bet, what application are you gonna put on the website?
[17:21:48]	[LOOC] Dennis Arturius: me go*
[17:21:54]	[OOC] Journey Robertson: I'm assuming anything that isn't able to be IC
[17:22:15]	[Y] Dennis Arturius: NEVER.
[17:22:27]	[ME] CCA.C14-HELIX.i4.50299: puts his hand on the lever before pulling it down.
[17:22:29]	Dennis Arturius has taken 15 damage from deathchair_trigger.
[17:22:30]	Dennis Arturius has taken 15 damage from deathchair_trigger.
[17:23:03]	[Y] Dennis Arturius: CITY 8.
[17:23:34]	[LOOC] James Albright: because the items rae bugged bud
[17:23:38]	[LOOC] James Albright: i didn't fix the items
[17:23:45]	[LOOC] CCA.C14-HELIX.i4.50299: Alright but still
[17:23:50]	[LOOC] CCA.C14-HELIX.i4.50299: City 8 is rubble
[17:23:51]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[17:23:56]	[LOOC] James Albright: also no
[17:23:59]	[LOOC] CCA.C14-UNION.i5.39867: if it has city 8 on it then
[17:24:04]	[LOOC] CCA.C14-UNION.i5.39867: treat it as ic situation
[17:24:05]	[LOOC] James Albright: IC it says city 14
[17:24:09]	[LOOC] James Albright: it's because i forgot to fix the item
[17:24:12]	[LOOC] James Albright: because i am a dumbfuck
[17:24:12]	[LOOC] Dennis Arturius: and i passed through the Train station without a CID
[17:24:20]	[LOOC] Dennis Arturius: that's why i'm here
[17:24:33]	[LOOC] CCA.C14-UNION.i5.39867: no, you didnt let me finish at the workdesk
[17:24:36]	[LOOC] CCA.C14-HELIX.i4.50299: Then what happened to City 8?
[17:24:44]	[LOOC] CCA.C14-UNION.i5.39867: if you said you just passed through i would bring you back to the station, but you ran to the sewer grate
[17:24:44]	[LOOC] James Albright: it survived
[17:24:48]	[LOOC] James Albright: they stopped the meltdown
[17:24:48]	[LOOC] Dennis Arturius: and yes, i escaped from an officer
[17:24:52]	[LOOC] CCA.C14-HELIX.i4.50299: that is dumb
[17:25:02]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[17:25:04]	[LOOC] Dennis Arturius: and i tried to escape to the sewers
[17:25:34]	Journey Robertson ran 'Read' on item 'The Telltale Heart' (#22212)
[17:25:55]	Journey Robertson ran 'Eat' on item 'Standard Grade Citizen Supplements' (#25003)
[17:25:58]	[ME] CCA.C14-HELIX.i4.50299: grabs the old man by the arm.
[17:26:06]	[ME] CCA.C14-HELIX.i4.50299: pulls him into the cell.
[17:26:11]	[LOOC] Dennis Arturius: i still can't see
[17:26:28]	[ME] CCA.C14-HELIX.i4.50299: takes off the blindfold.
[17:26:41]	[Y] Dennis Arturius: AHHH NOOOOP.
[17:26:43]	Dennis Arturius used command '/CharFallOver'.
[17:26:53]	CCA.C14-HELIX.i4.50299 used command '/OldViewData Denn'.
[17:27:06]	[ME] CCA.C14-HELIX.i4.50299: takes out a small PDA and starts typing.
[17:27:11]	Dennis Arturius used command '/CharGetUp'.
[17:27:13]	CCA.C14-HELIX.i4.50299 used command '/OldViewData denn'.
[17:27:17]	[ME] Dennis Arturius: gets up }
[17:28:13]	Dennis Arturius used command '/CharFallOver'.
[17:28:20]	Dennis Arturius used command '/CharGetUp'.
[17:28:30]	CCA.C14-UNION.i5.39867 used command '/OldViewData den'.
[17:28:30]	Dennis Arturius used command '/CharFallOver'.
[17:28:51]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[17:28:58]	Journey Robertson ran 'take' on item 'Boot' (#22393)
[17:28:58]	Journey Robertson has gained a 'Boot' #22393.
[17:29:28]	CCA.C14-HELIX.i4.50299 used command '/OldViewData Dennis'.
[17:29:48]	[LOOC] CCA.C14-UNION.i5.39867: dear*
[17:30:02]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[17:30:34]	CCA.C14-UNION.i5.39867 used command '/OldViewData den'.
[17:31:16]	CCA.C14-HELIX.i4.50299 used command '/OldViewData dennis'.
[17:32:32]	Dennis Arturius used command '/CharGetUp'.
[17:32:37]	[ME] Dennis Arturius: gets up
[17:33:51]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[17:33:56]	[LOOC] Dennis Arturius: Hello?
[17:34:04]	CCA.C14-HELIX.i4.50299 used command '/OldViewData dennis'.
[17:34:36]	CCA.C14-HELIX.i4.50299 used command '/OldViewData dennis'.
[17:34:44]	[OOC] Journey Robertson: brb
[17:35:02]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[17:35:45]	CCA.C14-HELIX.i4.50299 used command '/OldViewData dennis'.
[17:36:21]	[Y] Dennis Arturius: SHUT THE FUCK UP YOU.
[17:37:15]	Journey Robertson has taken 10 damage from prop_physics.
[17:37:15]	Journey Robertson has taken 5 damage from prop_physics.
[17:37:19]	CCA.C14-HELIX.i4.50299 used command '/OldViewData dennis'.
[17:37:35]	[OOC] Journey Robertson: Pain can you come here for a moment. Need help with a prop thats already hurt me
[17:37:45]	[OOC] CCA.C14-HELIX.i4.50299: Ok one sec
[17:37:48]	[OOC] Journey Robertson: BET
[17:37:51]	CCA.C14-HELIX.i4.50299 entered observer.
[17:38:01]	CCA.C14-UNION.i5.39867 used command '/OldViewData den'.
[17:38:28]	[LOOC] Journey Robertson: Yeah, but could you save me the trouble and phys gun it to the top of the loyalist grade housing block
[17:38:38]	[LOOC] Journey Robertson: Thanks
[17:38:51]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[17:38:54]	[OOC] Journey Robertson: Thanks
[17:38:56]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[17:39:03]	CCA.C14-UNION.i5.39867 used command '/Radio He has -12, I marked him as malignant.'.
[17:39:04]	CCA.C14-HELIX.i4.50299 used command '/OldViewData dennis'.
[17:39:20]	[Y] Dennis Arturius: ARE YOU GOING TO KILLL ME?
[17:39:25]	[Y] Dennis Arturius: GOD NO PLEA-}.
[17:39:36]	[ME] Dennis Arturius: tries to hide the tears
[17:39:50]	[OOC] CCA.C14-UNION.i5.39867: ration cycle when
[17:40:02]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[17:40:04]	[OOC] Journey Robertson: When I feel like troubling myself to start one
[17:40:05]	[OOC] CCA.C14-HELIX.i4.50299: Idk
[17:40:12]	[OOC] CCA.C14-UNION.i5.39867: pls
[17:40:18]	[OOC] CCA.C14-UNION.i5.39867: announce 1
[17:40:25]	[OOC] Journey Robertson: bit busy
[17:40:38]	[LOOC] Dennis Arturius: sorry*
[17:40:41]	[OOC] Journey Robertson: FUCK PHYSICS
[17:40:50]	CCA.C14-UNION.i5.39867 used command '/Radio Seems a bit mentally unstable, possibly anger issues.'.
[17:40:55]	CCA.C14-HELIX.i4.50299 used command '/OldViewData dennis'.
[17:41:05]	CCA.C14-UNION.i5.39867 used command '/Radio Psycopathy?'.
[17:41:13]	[OOC] Journey Robertson: I'm finished, now i can flag up and announce one
[17:41:17]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[17:41:26]	[ME] Dennis Arturius: tries to remember
[17:41:30]	[OOC] CCA.C14-UNION.i5.39867: i can handle it if you wanna go back on journey
[17:41:34]	[OOC] CCA.C14-UNION.i5.39867: when u announce it
[17:41:57]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8, starting up a rationcycle. I'm busy so you other units will have to deal with it.'.
[17:42:01]	CCA.C14-UNION.i5.39867 used command '/Radio Copy'.
[17:42:23]	CCA.C14-UNION.i5.39867 used command '/Radio Updating 10-20 to RDT.'.
[17:42:49]	CCA.C14-UNION.EpU.72633 used command '/Dispatch Citizen notice: rations are now being distributed at the Union designated ration distribution table: report to the trainstation for ration distribution.'.
[17:42:54]	[ME] CCA.C14-HELIX.i4.50299: cuts the mans ties.
[17:42:58]	CCA.C14-UNION.i5.39867 opened the 'Standard Grade Rations' #1707 container.
[17:42:59]	[ME] Dennis Arturius: spits at the CMB propaganda sign
[17:43:00]	CCA.C14-UNION.i5.39867 has gained a 'Standard Grade Ration' #25716.
[17:43:02]	CCA.C14-UNION.i5.39867 has gained a 'Standard Grade Ration' #22285.
[17:43:03]	CCA.C14-UNION.i5.39867 has gained a 'Standard Grade Ration' #25715.
[17:43:04]	CCA.C14-UNION.i5.39867 closed the 'Standard Grade Rations' #1707 container.
[17:43:11]	CCA.C14-UNION.i5.39867 opened the 'Loyalist Grade Rations' #1791 container.
[17:43:12]	CCA.C14-UNION.i5.39867 has gained a 'Loyalist Grade Ration' #25707.
[17:43:13]	CCA.C14-UNION.i5.39867 closed the 'Loyalist Grade Rations' #1791 container.
[17:43:14]	CCA.C14-UNION.i5.39867 opened the 'Minimal Grade/Biotic Rations' #1708 container.
[17:43:16]	CCA.C14-UNION.i5.39867 has gained a 'Minimal Grade Ration' #18758.
[17:43:17]	CCA.C14-UNION.i5.39867 has gained a 'Minimal Grade Ration' #18752.
[17:43:18]	CCA.C14-UNION.i5.39867 closed the 'Minimal Grade/Biotic Rations' #1708 container.
[17:43:23]	CCA.C14-UNION.EpU.72633 used command '/Dispatch Citizen note: Civil Workers will be subject to priority distribution.'.
[17:43:41]	CCA.C14-UNION.i5.39867 opened the 'Loyalist Grade Rations' #1791 container.
[17:43:43]	CCA.C14-UNION.i5.39867 has gained a 'Loyalist Grade Ration' #18768.
[17:43:44]	CCA.C14-UNION.i5.39867 has gained a 'Loyalist Grade Ration' #18769.
[17:43:45]	CCA.C14-UNION.i5.39867 closed the 'Loyalist Grade Rations' #1791 container.
[17:43:46]	CCA.C14-UNION.i5.39867 opened the 'Standard Grade Rations' #1707 container.
[17:43:48]	CCA.C14-UNION.i5.39867 has gained a 'Standard Grade Ration' #25714.
[17:43:48]	CCA.C14-UNION.i5.39867 closed the 'Standard Grade Rations' #1707 container.
[17:43:48]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit going 10-7'.
[17:43:51]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[17:43:53]	FB|| light ROOM loaded the character 'Journey Robertson'
[17:43:54]	CCA.C14-HELIX.i4.50299 used command '/Radio Copy.'.
[17:43:54]	CCA.C14-UNION.i5.39867 used command '/Radio 10-4.'.
[17:44:07]	CCA.C14-HELIX.i4.50299 used command '/Radio Unit is going into Med Bay.'.
[17:44:12]	CCA.C14-UNION.i5.39867 used command '/Radio Copy that.'.
[17:44:16]	[OOC] Journey Robertson: I really need to copy and paste the Dispatch ration shit down somewhere so i can deal with it faster.
[17:44:32]	CCA.C14-HELIX.i4.50299 entered observer.
[17:44:54]	[OOC] CCA.C14-UNION.i5.39867: helix = yellow
[17:44:58]	[OOC] CCA.C14-UNION.i5.39867: union = blue
[17:45:00]	[OOC] CCA.C14-UNION.i5.39867: judge = black
[17:45:02]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[17:45:03]	[OOC] CCA.C14-UNION.i5.39867: grid = ??
[17:45:07]	[OOC] CCA.C14-UNION.i5.39867: grid = shit colour???
[17:45:08]	[OOC] Dennis Arturius: <::Haha.::>
[17:45:09]	[OOC] CCA.C14-HELIX.i4.50299: Judge=Death
[17:45:12]	CCA.C14-HELIX.i4.50299 ran 'take' on item 'Citizen ID' (#25779)
[17:45:12]	CCA.C14-HELIX.i4.50299 has gained a 'Citizen ID' #25779.
[17:45:15]	CCA.C14-HELIX.i4.50299 ran 'drop' on item 'Relocation Coupon' (#25778)
[17:45:15]	CCA.C14-HELIX.i4.50299 has lost a 'Relocation Coupon' #25778.
[17:45:22]	CCA.C14-HELIX.i4.50299 destroyed a 'Relocation Coupon' #25778.
[17:45:28]	CCA.C14-HELIX.i4.50299 ran 'drop' on item 'Citizen ID' (#25779)
[17:45:28]	CCA.C14-HELIX.i4.50299 has lost a 'Citizen ID' #25779.
[17:45:37]	CCA.C14-HELIX.i4.50299 entered observer.
[17:45:39]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[17:45:45]	[OOC] CCA.C14-UNION.i5.39867: me when nobody shows up to the ration distribution
[17:45:46]	CCA.C14-HELIX.i4.50299 entered observer.
[17:45:48]	Dennis Arturius ran 'take' on item 'Citizen ID' (#25779)
[17:45:48]	Dennis Arturius has gained a 'Citizen ID' #25779.
[17:45:51]	[OOC] Journey Robertson: truly F
[17:45:53]	[OOC] CCA.C14-HELIX.i4.50299: Im going to one sec
[17:45:59]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[17:46:00]	CCA.C14-HELIX.i4.50299 ran 'drop' on item 'Scrap Hammer' (#25550)
[17:46:00]	CCA.C14-HELIX.i4.50299 has lost a 'Scrap Hammer' #25550.
[17:46:02]	CCA.C14-HELIX.i4.50299 destroyed a 'Scrap Hammer' #25550.
