[00:00:00]	[OOC] Rodriguo Ouh: early
[23:41:45]	CCA.C14-UNION.i5.36307 has gained a 'Empty Combine Air Tank' #21417.
[23:41:45]	CCA.C14-UNION.i5.36307 has gained 0 tokens.
[23:41:45]	CCA.C14-UNION.i5.36307 has gained a 'Empty Combine Air Tank' #21418.
[23:41:45]	Harrison Godswilk used the 'Charred Metal' vendor.
[23:41:46]	CCA.C14-UNION.i5.36307 has gained 0 tokens.
[23:41:46]	CCA.C14-UNION.i5.36307 has gained a 'Empty Combine Air Tank' #21419.
[23:41:47]	Harrison Godswilk has gained 0 tokens.
[23:41:47]	Harrison Godswilk has gained a 'Charred Metal' #21420.
[23:41:48]	Harrison Godswilk has gained 0 tokens.
[23:41:48]	Harrison Godswilk has gained a 'Charred Metal' #21421.
[23:41:48]	CCA.C14-UNION.i5.36307 has gained 0 tokens.
[23:41:48]	Harrison Godswilk has gained 0 tokens.
[23:41:48]	Harrison Godswilk has gained a 'Charred Metal' #21423.
[23:41:49]	Harrison Godswilk has gained 0 tokens.
[23:41:49]	Harrison Godswilk has gained a 'Charred Metal' #21424.
[23:41:49]	CCA.C14-UNION.i5.36307 has gained 0 tokens.
[23:41:49]	Harrison Godswilk has gained 0 tokens.
[23:41:49]	Harrison Godswilk has gained a 'Charred Metal' #21426.
[23:41:50]	Harrison Godswilk has gained 0 tokens.
[23:41:50]	Harrison Godswilk has gained a 'Charred Metal' #21427.
[23:41:51]	Harrison Godswilk has gained 0 tokens.
[23:41:51]	Harrison Godswilk has gained a 'Charred Metal' #21428.
[23:41:51]	Harrison Godswilk has gained 0 tokens.
[23:41:51]	Harrison Godswilk has gained a 'Charred Metal' #21429.
[23:41:51]	Harrison Godswilk has gained 0 tokens.
[23:41:51]	Harrison Godswilk has gained a 'Charred Metal' #21430.
[23:41:52]	Harrison Godswilk has gained 0 tokens.
[23:41:52]	Harrison Godswilk has gained a 'Charred Metal' #21431.
[23:41:52]	Harrison Godswilk has gained 0 tokens.
[23:41:52]	Harrison Godswilk has gained a 'Charred Metal' #21432.
[23:41:52]	Harrison Godswilk has gained 0 tokens.
[23:41:52]	Harrison Godswilk has gained a 'Charred Metal' #21433.
[23:41:53]	Harrison Godswilk has gained 0 tokens.
[23:41:53]	Harrison Godswilk has gained a 'Charred Metal' #21434.
[23:41:53]	Harrison Godswilk has gained 0 tokens.
[23:41:53]	Harrison Godswilk has gained a 'Charred Metal' #21435.
[23:41:54]	Harrison Godswilk has gained 0 tokens.
[23:41:54]	Harrison Godswilk has gained a 'Charred Metal' #21436.
[23:41:54]	Harrison Godswilk has gained 0 tokens.
[23:41:55]	Harrison Godswilk has gained 0 tokens.
[23:41:58]	Harrison Godswilk has lost a 'Charred Metal' #21432.
[23:41:58]	Harrison Godswilk has lost a 'Charred Metal' #21433.
[23:41:58]	Harrison Godswilk has gained a 'Scrap Metal' #21439.
[23:41:59]	Harrison Godswilk has lost a 'Charred Metal' #21424.
[23:41:59]	Harrison Godswilk has lost a 'Charred Metal' #21434.
[23:41:59]	Harrison Godswilk has gained a 'Scrap Metal' #21440.
[23:41:59]	Harrison Godswilk has lost a 'Charred Metal' #21436.
[23:41:59]	Harrison Godswilk has lost a 'Charred Metal' #21431.
[23:41:59]	Harrison Godswilk has gained a 'Scrap Metal' #21441.
[23:41:59]	Harrison Godswilk has lost a 'Charred Metal' #21426.
[23:41:59]	Harrison Godswilk has lost a 'Charred Metal' #21435.
[23:41:59]	Harrison Godswilk has gained a 'Scrap Metal' #21442.
[23:41:59]	Harrison Godswilk has lost a 'Charred Metal' #21428.
[23:41:59]	Harrison Godswilk has lost a 'Charred Metal' #21421.
[23:41:59]	Harrison Godswilk has gained a 'Scrap Metal' #21443.
[23:41:59]	Harrison Godswilk has lost a 'Charred Metal' #21420.
[23:41:59]	Harrison Godswilk has lost a 'Charred Metal' #21429.
[23:41:59]	Harrison Godswilk has gained a 'Scrap Metal' #21444.
[23:42:00]	Harrison Godswilk has lost a 'Charred Metal' #21427.
[23:42:00]	Harrison Godswilk has lost a 'Charred Metal' #21430.
[23:42:00]	Harrison Godswilk has gained a 'Scrap Metal' #21445.
[23:42:01]	Harrison Godswilk has lost a 'Scrap Metal' #21440.
[23:42:01]	Harrison Godswilk has lost a 'Scrap Metal' #21441.
[23:42:01]	Harrison Godswilk has lost a 'Scrap Metal' #21442.
[23:42:01]	Harrison Godswilk has gained a 'Reclaimed Metal' #21446.
[23:42:01]	Harrison Godswilk has lost a 'Scrap Metal' #21443.
[23:42:01]	Harrison Godswilk has lost a 'Scrap Metal' #21445.
[23:42:01]	Harrison Godswilk has lost a 'Scrap Metal' #21444.
[23:42:01]	Harrison Godswilk has gained a 'Reclaimed Metal' #21447.
[23:42:02]	Harrison Godswilk has lost a 'Reclaimed Metal' #21447.
[23:42:02]	Harrison Godswilk has lost a 'Reclaimed Metal' #21386.
[23:42:02]	Harrison Godswilk has lost a 'Reclaimed Metal' #21446.
[23:42:02]	Harrison Godswilk has gained a 'Refined Metal' #21440.
[23:42:04]	[OOC] CCA.C14-UNION.i5.36307: the eyes popped out of the mask
[23:42:05]	[Y] CCA.C14-UNION.EpU.72633: <:: USE ALL OF THE METAL YOU HAVE, EVEN METAL ON THE FLOOR. ::>
[23:42:05]	Harrison Godswilk used the 'Refined Metal Deposit' vendor.
[23:42:07]	Harrison Godswilk has gained 2 tokens.
[23:42:08]	Harrison Godswilk has gained 2 tokens.
[23:42:09]	CCA.C14-UNION.i5.36307 has lost a 'Empty Combine Air Tank' #21417.
[23:42:09]	CCA.C14-UNION.i5.36307 has gained a 'Combine Air Tank' #21440.
[23:42:10]	CCA.C14-UNION.i5.36307 has lost a 'Empty Combine Air Tank' #21416.
[23:42:10]	CCA.C14-UNION.i5.36307 has gained a 'Combine Air Tank' #21441.
[23:42:11]	CCA.C14-UNION.i5.36307 has lost a 'Empty Combine Air Tank' #21418.
[23:42:11]	CCA.C14-UNION.i5.36307 has gained a 'Combine Air Tank' #21442.
[23:42:12]	CCA.C14-UNION.i5.36307 has lost a 'Empty Combine Air Tank' #21419.
[23:42:12]	CCA.C14-UNION.i5.36307 has gained a 'Combine Air Tank' #21443.
[23:42:13]	Harrison Godswilk used the 'Charred Metal' vendor.
[23:42:15]	Harrison Godswilk used the 'Charred Metal' vendor.
[23:42:17]	Emily Brown ran 'take' on item 'Charred Metal' (#21438)
[23:42:17]	Emily Brown has gained a 'Charred Metal' #21438.
[23:42:18]	Harrison Godswilk ran 'take' on item 'Charred Metal' (#21414)
[23:42:18]	Harrison Godswilk has gained a 'Charred Metal' #21414.
[23:42:19]	Harrison Godswilk ran 'take' on item 'Charred Metal' (#21413)
[23:42:19]	Harrison Godswilk has gained a 'Charred Metal' #21413.
[23:42:20]	Harrison Godswilk ran 'take' on item 'Charred Metal' (#21437)
[23:42:20]	Harrison Godswilk has gained a 'Charred Metal' #21437.
[23:42:20]	Harrison Godswilk used the 'Charred Metal' vendor.
[23:42:21]	Emily Brown used the 'Charred Metal' vendor.
[23:42:22]	Harrison Godswilk has gained 0 tokens.
[23:42:22]	Harrison Godswilk has gained a 'Empty Combine Air Tank' #21444.
[23:42:26]	CCA.C14-UNION.i5.36307 ran 'drop' on item 'Combine Air Tank' (#21440)
[23:42:26]	CCA.C14-UNION.i5.36307 has lost a 'Combine Air Tank' #21440.
[23:42:26]	Emily Brown used the 'Charred Metal' vendor.
[23:42:27]	CCA.C14-UNION.i5.36307 ran 'drop' on item 'Combine Air Tank' (#21443)
[23:42:27]	CCA.C14-UNION.i5.36307 has lost a 'Combine Air Tank' #21443.
[23:42:27]	Harrison Godswilk has lost a 'Empty Combine Air Tank' #21444.
[23:42:27]	Harrison Godswilk has gained a 'Combine Air Tank' #21444.
[23:42:28]	Emily Brown used the 'Charred Metal' vendor.
[23:42:28]	CCA.C14-UNION.i5.36307 ran 'drop' on item 'Combine Air Tank' (#21441)
[23:42:28]	CCA.C14-UNION.i5.36307 has lost a 'Combine Air Tank' #21441.
[23:42:30]	Emily Brown used the 'Charred Metal' vendor.
[23:42:32]	Harrison Godswilk used the 'Refined Metal Deposit' vendor.
[23:42:33]	Emily Brown used the 'Charred Metal' vendor.
[23:42:34]	[OOC] CCA.C14-UNION.i5.36307: kill me
[23:42:40]	[OOC] CCA.C14-UNION.EpU.72633: no
[23:42:42]	Emily Brown used the 'Charred Metal' vendor.
[23:42:43]	CCA.C14-UNION.i5.36307 ran 'drop' on item 'Combine Air Tank' (#21442)
[23:42:43]	CCA.C14-UNION.i5.36307 has lost a 'Combine Air Tank' #21442.
[23:42:45]	Emily Brown has gained 0 tokens.
[23:42:45]	Emily Brown has gained a 'Charred Metal' #21445.
[23:42:46]	Emily Brown has gained 0 tokens.
[23:42:46]	Emily Brown has gained a 'Charred Metal' #21446.
[23:42:46]	Emily Brown has gained 0 tokens.
[23:42:46]	Emily Brown has gained a 'Charred Metal' #21447.
[23:42:49]	Emily Brown used the 'Charred Metal' vendor.
[23:42:51]	Emily Brown has gained 0 tokens.
[23:42:51]	Emily Brown has gained a 'Charred Metal' #21448.
[23:42:52]	Harrison Godswilk ran 'drop' on item 'Combine Air Tank' (#21444)
[23:42:52]	Harrison Godswilk has lost a 'Combine Air Tank' #21444.
[23:42:52]	Emily Brown has gained 0 tokens.
[23:42:52]	Emily Brown has gained a 'Charred Metal' #21449.
[23:42:52]	Emily Brown has gained 0 tokens.
[23:42:52]	Emily Brown has gained a 'Charred Metal' #21450.
[23:42:53]	Emily Brown has gained 0 tokens.
[23:42:53]	Emily Brown has gained a 'Charred Metal' #21451.
[23:42:53]	Emily Brown has gained 0 tokens.
[23:42:53]	Emily Brown has gained a 'Charred Metal' #21452.
[23:42:53]	Emily Brown has gained 0 tokens.
[23:42:53]	Emily Brown has gained a 'Charred Metal' #21453.
[23:42:54]	Emily Brown has gained 0 tokens.
[23:42:54]	Emily Brown has gained a 'Charred Metal' #21454.
[23:42:55]	Emily Brown has gained 0 tokens.
[23:42:55]	Emily Brown has gained a 'Charred Metal' #21455.
[23:42:55]	Emily Brown has gained 0 tokens.
[23:42:55]	Emily Brown has gained a 'Charred Metal' #21456.
[23:42:56]	Emily Brown has gained 0 tokens.
[23:42:56]	Emily Brown has gained a 'Charred Metal' #21457.
[23:42:56]	Emily Brown has gained 0 tokens.
[23:42:56]	Emily Brown has gained a 'Charred Metal' #21458.
[23:42:57]	Emily Brown has gained 0 tokens.
[23:42:57]	Emily Brown has gained a 'Charred Metal' #21459.
[23:42:57]	Emily Brown has gained 0 tokens.
[23:42:57]	Emily Brown has gained a 'Charred Metal' #21460.
[23:42:58]	Emily Brown has gained 0 tokens.
[23:42:58]	Emily Brown has gained 0 tokens.
[23:42:59]	Emily Brown has gained 0 tokens.
[23:42:59]	Emily Brown has gained 0 tokens.
[23:43:00]	Emily Brown has gained 0 tokens.
[23:43:03]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[23:43:05]	Harrison Godswilk has lost a 'Charred Metal' #21413.
[23:43:05]	Harrison Godswilk has lost a 'Charred Metal' #21423.
[23:43:05]	Harrison Godswilk has gained a 'Scrap Metal' #21466.
[23:43:05]	Harrison Godswilk has lost a 'Charred Metal' #21437.
[23:43:05]	Harrison Godswilk has lost a 'Charred Metal' #21414.
[23:43:05]	Harrison Godswilk has gained a 'Scrap Metal' #21467.
[23:43:06]	Harrison Godswilk has lost a 'Scrap Metal' #21467.
[23:43:06]	Harrison Godswilk has lost a 'Scrap Metal' #21466.
[23:43:06]	Harrison Godswilk has lost a 'Scrap Metal' #21439.
[23:43:06]	Harrison Godswilk has gained a 'Reclaimed Metal' #21466.
[23:43:10]	Harrison Godswilk used the 'Charred Metal' vendor.
[23:43:12]	Harrison Godswilk has gained 0 tokens.
[23:43:12]	Harrison Godswilk has gained a 'Charred Metal' #21467.
[23:43:12]	Harrison Godswilk has gained 0 tokens.
[23:43:12]	Harrison Godswilk has gained a 'Charred Metal' #21468.
[23:43:13]	Harrison Godswilk has gained 0 tokens.
[23:43:13]	Harrison Godswilk has gained a 'Charred Metal' #21469.
[23:43:13]	Harrison Godswilk has gained 0 tokens.
[23:43:13]	Harrison Godswilk has gained a 'Charred Metal' #21470.
[23:43:14]	Harrison Godswilk has gained 0 tokens.
[23:43:14]	Harrison Godswilk has gained a 'Charred Metal' #21471.
[23:43:14]	Harrison Godswilk has gained 0 tokens.
[23:43:14]	Harrison Godswilk has gained a 'Charred Metal' #21472.
[23:43:15]	Harrison Godswilk has gained 0 tokens.
[23:43:15]	Harrison Godswilk has gained a 'Charred Metal' #21473.
[23:43:15]	Harrison Godswilk has gained 0 tokens.
[23:43:15]	Harrison Godswilk has gained a 'Charred Metal' #21474.
[23:43:15]	Harrison Godswilk has gained 0 tokens.
[23:43:15]	Harrison Godswilk has gained a 'Charred Metal' #21475.
[23:43:16]	Harrison Godswilk has gained 0 tokens.
[23:43:16]	Harrison Godswilk has gained a 'Charred Metal' #21476.
[23:43:16]	Harrison Godswilk has gained 0 tokens.
[23:43:16]	Harrison Godswilk has gained a 'Charred Metal' #21477.
[23:43:16]	Harrison Godswilk has gained 0 tokens.
[23:43:16]	Harrison Godswilk has gained a 'Charred Metal' #21478.
[23:43:17]	Harrison Godswilk has gained 0 tokens.
[23:43:17]	Harrison Godswilk has gained a 'Charred Metal' #21479.
[23:43:17]	Harrison Godswilk has gained 0 tokens.
[23:43:17]	Harrison Godswilk has gained a 'Charred Metal' #21480.
[23:43:18]	Harrison Godswilk has gained 0 tokens.
[23:43:18]	Harrison Godswilk has gained a 'Charred Metal' #21481.
[23:43:18]	Harrison Godswilk has gained 0 tokens.
[23:43:18]	Harrison Godswilk has gained a 'Charred Metal' #21482.
[23:43:19]	Harrison Godswilk has gained 0 tokens.
[23:43:19]	Harrison Godswilk has gained 0 tokens.
[23:43:22]	Emily Brown has lost a 'Charred Metal' #21447.
[23:43:22]	Emily Brown has lost a 'Charred Metal' #21456.
[23:43:22]	Emily Brown has gained a 'Scrap Metal' #21485.
[23:43:22]	Emily Brown has lost a 'Charred Metal' #21455.
[23:43:22]	Emily Brown has lost a 'Charred Metal' #21448.
[23:43:22]	Emily Brown has gained a 'Scrap Metal' #21486.
[23:43:22]	Emily Brown has lost a 'Charred Metal' #21458.
[23:43:22]	Emily Brown has lost a 'Charred Metal' #21460.
[23:43:22]	Emily Brown has gained a 'Scrap Metal' #21487.
[23:43:22]	Harrison Godswilk has lost a 'Charred Metal' #21479.
[23:43:22]	Harrison Godswilk has lost a 'Charred Metal' #21480.
[23:43:22]	Harrison Godswilk has gained a 'Scrap Metal' #21488.
[23:43:22]	Emily Brown has lost a 'Charred Metal' #21449.
[23:43:22]	Emily Brown has lost a 'Charred Metal' #21450.
[23:43:22]	Emily Brown has gained a 'Scrap Metal' #21489.
[23:43:23]	Harrison Godswilk has lost a 'Charred Metal' #21471.
[23:43:23]	Harrison Godswilk has lost a 'Charred Metal' #21473.
[23:43:23]	Harrison Godswilk has gained a 'Scrap Metal' #21490.
[23:43:23]	Emily Brown has lost a 'Charred Metal' #21451.
[23:43:23]	Emily Brown has lost a 'Charred Metal' #21446.
[23:43:23]	Emily Brown has gained a 'Scrap Metal' #21491.
[23:43:23]	Harrison Godswilk has lost a 'Charred Metal' #21481.
[23:43:23]	Harrison Godswilk has lost a 'Charred Metal' #21474.
[23:43:23]	Harrison Godswilk has gained a 'Scrap Metal' #21492.
[23:43:23]	Emily Brown has lost a 'Charred Metal' #21452.
[23:43:23]	Emily Brown has lost a 'Charred Metal' #21459.
[23:43:23]	Emily Brown has gained a 'Scrap Metal' #21493.
[23:43:23]	Harrison Godswilk has lost a 'Charred Metal' #21467.
[23:43:23]	Harrison Godswilk has lost a 'Charred Metal' #21482.
[23:43:23]	Harrison Godswilk has gained a 'Scrap Metal' #21494.
[23:43:23]	Harrison Godswilk has lost a 'Charred Metal' #21475.
[23:43:23]	Harrison Godswilk has lost a 'Charred Metal' #21476.
[23:43:23]	Harrison Godswilk has gained a 'Scrap Metal' #21495.
[23:43:23]	Emily Brown has lost a 'Charred Metal' #21457.
[23:43:23]	Emily Brown has lost a 'Charred Metal' #21445.
[23:43:23]	Emily Brown has gained a 'Scrap Metal' #21496.
[23:43:23]	Harrison Godswilk has lost a 'Charred Metal' #21470.
[23:43:23]	Harrison Godswilk has lost a 'Charred Metal' #21469.
[23:43:23]	Harrison Godswilk has gained a 'Scrap Metal' #21497.
[23:43:23]	Harrison Godswilk has lost a 'Charred Metal' #21477.
[23:43:23]	Harrison Godswilk has lost a 'Charred Metal' #21478.
[23:43:23]	Harrison Godswilk has gained a 'Scrap Metal' #21498.
[23:43:23]	Emily Brown has lost a 'Charred Metal' #21453.
[23:43:23]	Emily Brown has lost a 'Charred Metal' #21333.
[23:43:23]	Emily Brown has gained a 'Scrap Metal' #21499.
[23:43:24]	Emily Brown has lost a 'Charred Metal' #21454.
[23:43:24]	Emily Brown has lost a 'Charred Metal' #21438.
[23:43:24]	Emily Brown has gained a 'Scrap Metal' #21500.
[23:43:24]	Harrison Godswilk has lost a 'Charred Metal' #21472.
[23:43:24]	Harrison Godswilk has lost a 'Charred Metal' #21468.
[23:43:24]	Harrison Godswilk has gained a 'Scrap Metal' #21501.
[23:43:25]	Emily Brown has lost a 'Scrap Metal' #21499.
[23:43:25]	Emily Brown has lost a 'Scrap Metal' #21496.
[23:43:25]	Emily Brown has lost a 'Scrap Metal' #21487.
[23:43:25]	Emily Brown has gained a 'Reclaimed Metal' #21502.
[23:43:25]	Harrison Godswilk has lost a 'Scrap Metal' #21495.
[23:43:25]	Harrison Godswilk has lost a 'Scrap Metal' #21490.
[23:43:25]	Harrison Godswilk has lost a 'Scrap Metal' #21488.
[23:43:25]	Harrison Godswilk has gained a 'Reclaimed Metal' #21503.
[23:43:25]	Harrison Godswilk has lost a 'Scrap Metal' #21492.
[23:43:25]	Harrison Godswilk has lost a 'Scrap Metal' #21501.
[23:43:25]	Harrison Godswilk has lost a 'Scrap Metal' #21498.
[23:43:25]	Harrison Godswilk has gained a 'Reclaimed Metal' #21504.
[23:43:25]	Emily Brown has lost a 'Scrap Metal' #21491.
[23:43:25]	Emily Brown has lost a 'Scrap Metal' #21500.
[23:43:25]	Emily Brown has lost a 'Scrap Metal' #21493.
[23:43:25]	Emily Brown has gained a 'Reclaimed Metal' #21505.
[23:43:26]	Emily Brown has lost a 'Scrap Metal' #21485.
[23:43:26]	Emily Brown has lost a 'Scrap Metal' #21489.
[23:43:26]	Emily Brown has lost a 'Scrap Metal' #21486.
[23:43:26]	Emily Brown has gained a 'Reclaimed Metal' #21506.
[23:43:27]	Harrison Godswilk has lost a 'Reclaimed Metal' #21503.
[23:43:27]	Harrison Godswilk has lost a 'Reclaimed Metal' #21504.
[23:43:27]	Harrison Godswilk has lost a 'Reclaimed Metal' #21466.
[23:43:27]	Harrison Godswilk has gained a 'Refined Metal' #21507.
[23:43:27]	Emily Brown has lost a 'Reclaimed Metal' #21376.
[23:43:27]	Emily Brown has lost a 'Reclaimed Metal' #21505.
[23:43:27]	Emily Brown has lost a 'Reclaimed Metal' #21506.
[23:43:27]	Emily Brown has gained a 'Refined Metal' #21508.
[23:43:29]	Harrison Godswilk ran 'take' on item 'Charred Metal' (#21462)
[23:43:29]	Harrison Godswilk has gained a 'Charred Metal' #21462.
[23:43:30]	Emily Brown ran 'take' on item 'Charred Metal' (#21484)
[23:43:30]	Emily Brown has gained a 'Charred Metal' #21484.
[23:43:31]	Harrison Godswilk ran 'take' on item 'Charred Metal' (#21465)
[23:43:31]	Harrison Godswilk has gained a 'Charred Metal' #21465.
[23:43:32]	Emily Brown ran 'take' on item 'Charred Metal' (#21483)
[23:43:32]	Emily Brown has gained a 'Charred Metal' #21483.
[23:43:32]	Harrison Godswilk ran 'take' on item 'Charred Metal' (#21463)
[23:43:32]	Harrison Godswilk has gained a 'Charred Metal' #21463.
[23:43:33]	Harrison Godswilk ran 'take' on item 'Charred Metal' (#21461)
[23:43:33]	Harrison Godswilk has gained a 'Charred Metal' #21461.
[23:43:34]	Harrison Godswilk ran 'take' on item 'Charred Metal' (#21464)
[23:43:34]	Harrison Godswilk has gained a 'Charred Metal' #21464.
[23:43:35]	Harrison Godswilk used the 'Charred Metal' vendor.
[23:43:35]	Emily Brown used the 'Charred Metal' vendor.
[23:43:37]	Harrison Godswilk has gained 0 tokens.
[23:43:37]	Harrison Godswilk has gained a 'Charred Metal' #21509.
[23:43:37]	Harrison Godswilk has gained 0 tokens.
[23:43:37]	Harrison Godswilk has gained a 'Charred Metal' #21510.
[23:43:37]	Emily Brown has gained 0 tokens.
[23:43:37]	Emily Brown has gained a 'Charred Metal' #21511.
[23:43:37]	Harrison Godswilk has gained 0 tokens.
[23:43:37]	Harrison Godswilk has gained a 'Charred Metal' #21512.
[23:43:38]	Emily Brown has gained 0 tokens.
[23:43:38]	Emily Brown has gained a 'Charred Metal' #21513.
[23:43:38]	Harrison Godswilk has gained 0 tokens.
[23:43:38]	Harrison Godswilk has gained a 'Charred Metal' #21514.
[23:43:38]	Harrison Godswilk has gained 0 tokens.
[23:43:38]	Harrison Godswilk has gained a 'Charred Metal' #21515.
[23:43:38]	Emily Brown has gained 0 tokens.
[23:43:38]	Emily Brown has gained a 'Charred Metal' #21516.
[23:43:39]	Harrison Godswilk has gained 0 tokens.
[23:43:39]	Harrison Godswilk has gained a 'Charred Metal' #21517.
[23:43:39]	Emily Brown has gained 0 tokens.
[23:43:39]	Emily Brown has gained a 'Charred Metal' #21518.
[23:43:39]	Harrison Godswilk has gained 0 tokens.
[23:43:39]	Harrison Godswilk has gained a 'Charred Metal' #21519.
[23:43:39]	Emily Brown has gained 0 tokens.
[23:43:39]	Emily Brown has gained a 'Charred Metal' #21520.
[23:43:40]	Emily Brown has gained 0 tokens.
[23:43:40]	Emily Brown has gained a 'Charred Metal' #21521.
[23:43:40]	Harrison Godswilk has gained 0 tokens.
[23:43:40]	Harrison Godswilk has gained a 'Charred Metal' #21522.
[23:43:40]	Harrison Godswilk has gained 0 tokens.
[23:43:40]	Harrison Godswilk has gained a 'Charred Metal' #21523.
[23:43:40]	Emily Brown has gained 0 tokens.
[23:43:40]	Emily Brown has gained a 'Charred Metal' #21524.
[23:43:41]	Harrison Godswilk has gained 0 tokens.
[23:43:41]	Emily Brown has gained 0 tokens.
[23:43:41]	Emily Brown has gained a 'Charred Metal' #21526.
[23:43:41]	Harrison Godswilk has gained 0 tokens.
[23:43:41]	Emily Brown has gained 0 tokens.
[23:43:41]	Emily Brown has gained a 'Charred Metal' #21528.
[23:43:42]	Emily Brown has gained 0 tokens.
[23:43:42]	Emily Brown has gained a 'Charred Metal' #21529.
[23:43:42]	CCA.C14-UNION.i5.36307 used the 'Charred Metal' vendor.
[23:43:42]	Emily Brown has gained 0 tokens.
[23:43:42]	Emily Brown has gained a 'Charred Metal' #21530.
[23:43:43]	Emily Brown has gained 0 tokens.
[23:43:43]	Emily Brown has gained a 'Charred Metal' #21531.
[23:43:44]	Emily Brown has gained 0 tokens.
[23:43:44]	Emily Brown has gained a 'Charred Metal' #21532.
[23:43:44]	Emily Brown has gained 0 tokens.
[23:43:44]	Emily Brown has gained a 'Charred Metal' #21533.
[23:43:45]	Emily Brown has gained 0 tokens.
[23:43:45]	Emily Brown has gained a 'Charred Metal' #21534.
[23:43:45]	CCA.C14-UNION.i5.36307 has gained 0 tokens.
[23:43:45]	CCA.C14-UNION.i5.36307 has gained a 'Empty Combine Air Tank' #21535.
[23:43:45]	Emily Brown has gained 0 tokens.
[23:43:46]	Harrison Godswilk has lost a 'Charred Metal' #21463.
[23:43:46]	Harrison Godswilk has lost a 'Charred Metal' #21464.
[23:43:46]	Harrison Godswilk has gained a 'Scrap Metal' #21537.
[23:43:46]	CCA.C14-UNION.i5.36307 has gained 0 tokens.
[23:43:46]	CCA.C14-UNION.i5.36307 has gained a 'Empty Combine Air Tank' #21538.
[23:43:46]	Harrison Godswilk has lost a 'Charred Metal' #21509.
[23:43:46]	Harrison Godswilk has lost a 'Charred Metal' #21510.
[23:43:46]	Harrison Godswilk has gained a 'Scrap Metal' #21539.
[23:43:46]	Harrison Godswilk has lost a 'Charred Metal' #21517.
[23:43:46]	Harrison Godswilk has lost a 'Charred Metal' #21519.
[23:43:46]	Harrison Godswilk has gained a 'Scrap Metal' #21540.
[23:43:46]	Harrison Godswilk has lost a 'Charred Metal' #21465.
[23:43:46]	Harrison Godswilk has lost a 'Charred Metal' #21523.
[23:43:46]	Harrison Godswilk has gained a 'Scrap Metal' #21541.
[23:43:47]	Harrison Godswilk has lost a 'Charred Metal' #21512.
[23:43:47]	Harrison Godswilk has lost a 'Charred Metal' #21522.
[23:43:47]	Harrison Godswilk has gained a 'Scrap Metal' #21542.
[23:43:47]	Harrison Godswilk has lost a 'Charred Metal' #21461.
[23:43:47]	Harrison Godswilk has lost a 'Charred Metal' #21514.
[23:43:47]	Harrison Godswilk has gained a 'Scrap Metal' #21543.
[23:43:47]	Harrison Godswilk has lost a 'Charred Metal' #21515.
[23:43:47]	Harrison Godswilk has lost a 'Charred Metal' #21462.
[23:43:47]	Harrison Godswilk has gained a 'Scrap Metal' #21544.
[23:43:48]	Harrison Godswilk has lost a 'Scrap Metal' #21540.
[23:43:48]	Harrison Godswilk has lost a 'Scrap Metal' #21541.
[23:43:48]	Harrison Godswilk has lost a 'Scrap Metal' #21497.
[23:43:48]	Harrison Godswilk has gained a 'Reclaimed Metal' #21545.
[23:43:48]	Harrison Godswilk has lost a 'Scrap Metal' #21544.
[23:43:48]	Harrison Godswilk has lost a 'Scrap Metal' #21537.
[23:43:48]	Harrison Godswilk has lost a 'Scrap Metal' #21539.
[23:43:48]	Harrison Godswilk has gained a 'Reclaimed Metal' #21546.
[23:43:48]	Harrison Godswilk has lost a 'Scrap Metal' #21542.
[23:43:48]	Harrison Godswilk has lost a 'Scrap Metal' #21494.
[23:43:48]	Harrison Godswilk has lost a 'Scrap Metal' #21543.
[23:43:48]	Harrison Godswilk has gained a 'Reclaimed Metal' #21547.
[23:43:49]	Harrison Godswilk has lost a 'Reclaimed Metal' #21546.
[23:43:49]	Harrison Godswilk has lost a 'Reclaimed Metal' #21545.
[23:43:49]	Harrison Godswilk has lost a 'Reclaimed Metal' #21547.
[23:43:49]	Harrison Godswilk has gained a 'Refined Metal' #21539.
[23:43:52]	Harrison Godswilk ran 'take' on item 'Charred Metal' (#21525)
[23:43:52]	Harrison Godswilk has gained a 'Charred Metal' #21525.
[23:43:53]	Harrison Godswilk ran 'take' on item 'Charred Metal' (#21527)
[23:43:53]	Harrison Godswilk has gained a 'Charred Metal' #21527.
[23:43:53]	Harrison Godswilk used the 'Charred Metal' vendor.
[23:43:55]	Harrison Godswilk has gained 0 tokens.
[23:43:55]	Harrison Godswilk has gained a 'Charred Metal' #21540.
[23:43:55]	CCA.C14-UNION.i5.36307 has lost a 'Empty Combine Air Tank' #21538.
[23:43:55]	CCA.C14-UNION.i5.36307 has gained a 'Combine Air Tank' #21541.
[23:43:55]	Harrison Godswilk has gained 0 tokens.
[23:43:55]	Harrison Godswilk has gained a 'Charred Metal' #21542.
[23:43:56]	Harrison Godswilk has gained 0 tokens.
[23:43:56]	Harrison Godswilk has gained a 'Charred Metal' #21543.
[23:43:56]	CCA.C14-UNION.i5.36307 has lost a 'Empty Combine Air Tank' #21535.
[23:43:56]	CCA.C14-UNION.i5.36307 has gained a 'Combine Air Tank' #21544.
[23:43:56]	Harrison Godswilk has gained 0 tokens.
[23:43:56]	Harrison Godswilk has gained a 'Charred Metal' #21545.
[23:43:57]	Harrison Godswilk has gained 0 tokens.
[23:43:57]	Harrison Godswilk has gained a 'Charred Metal' #21546.
[23:43:57]	Harrison Godswilk has gained 0 tokens.
