[09:34:18]	GamingTheGames has connected.
[19:14:22]	CCA.C17-UNION.i5.74645 ran 'take' on item 'AR2 (Pulse-Rifle)' (#305)
[19:14:22]	CCA.C17-UNION.i5.74645 has gained a 'AR2 (Pulse-Rifle)' #305.
[19:14:24]	[OOC] CCA.C17-UNION.i5.74645: ty
[19:14:29]	[OOC] CCA.C17-UNION.i5.74645: i am assuming its not biolocked lmao
[19:14:33]	CCA.C17-UNION.i5.74645 ran 'Equip' on item 'AR2 (Pulse-Rifle)' (#305)
[19:14:36]	[OOC] OTA.S17-ECHO.OWS.85171: dont keep it tho
[19:14:38]	CCA.C17-UNION.i5.74645 ran 'use' on item 'Pulse Ammunition' (#5074)
[19:14:39]	[OOC] OTA.S17-ECHO.OWS.85171: its my only one
[19:14:43]	[OOC] CCA.C17-UNION.i5.74645: i wont
[19:14:44]	[OOC] OTA.S17-ECHO.OWS.85171: biolock doesnt exist oocly
[19:14:49]	[OOC] CCA.C17-UNION.i5.74645: true
[19:14:53]	[OOC] OTA.S17-ECHO.OWS.85171: like if you pick it up you can use it
[19:15:10]	OTA.S17-ECHO.OWS.85171 used command '/ToggleRaise'.
[19:15:30]	[OOC] CCA.C17-UNION.i5.74645: imma see the recoil
[19:15:42]	[OOC] CCA.C17-UNION.i5.74645: expected worse tbh
[19:15:50]	CCA.C17-UNION.i5.74645 ran 'EquipUn' on item 'AR2 (Pulse-Rifle)' (#305)
[19:15:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[19:15:54]	[OOC] CCA.C17-UNION.i5.74645: ok here
[19:15:55]	CCA.C17-UNION.i5.74645 ran 'drop' on item 'AR2 (Pulse-Rifle)' (#305)
[19:15:55]	CCA.C17-UNION.i5.74645 has lost a 'AR2 (Pulse-Rifle)' #305.
[19:15:58]	OTA.S17-ECHO.OWS.85171 ran 'take' on item 'AR2 (Pulse-Rifle)' (#305)
[19:15:58]	OTA.S17-ECHO.OWS.85171 has gained a 'AR2 (Pulse-Rifle)' #305.
[19:16:00]	OTA.S17-ECHO.OWS.85171 ran 'Equip' on item 'AR2 (Pulse-Rifle)' (#305)
[19:16:02]	OTA.S17-ECHO.OWS.85171 used command '/ToggleRaise'.
[19:16:24]	[OOC] OTA.S17-ECHO.OWS.85171: does gravity seem funky to you
[19:16:30]	[OOC] CCA.C17-UNION.i5.74645: a little
[19:16:35]	[OOC] CCA.C17-UNION.i5.74645: might be source tho
[19:16:49]	[OOC] OTA.S17-ECHO.OWS.85171: h m m
[19:17:10]	[OOC] CCA.C17-UNION.i5.74645: let me guess
[19:17:12]	[OOC] CCA.C17-UNION.i5.74645: your home
[19:17:16]	[OOC] OTA.S17-ECHO.OWS.85171: welcome
[19:17:21]	[OOC] CCA.C17-UNION.i5.74645: very nice
[19:17:21]	[OOC] OTA.S17-ECHO.OWS.85171: want some tea?
[19:17:24]	[OOC] CCA.C17-UNION.i5.74645: sure
[19:17:29]	[OOC] CCA.C17-UNION.i5.74645: at least it got furniture lmao
[19:17:40]	[OOC] OTA.S17-ECHO.OWS.85171: 3 stasis pods, a console, and a shelf
[19:17:43]	[OOC] OTA.S17-ECHO.OWS.85171: best furniture ever
[19:17:52]	[OOC] CCA.C17-UNION.i5.74645: cant complain wit that
[19:18:09]	OTA.S17-ECHO.OWS.85171 has spawned 'models/props_interiors/dining_table_round.mdl'.
[19:18:11]	OTA.S17-ECHO.OWS.85171 has spawned 'models/props_interiors/chair01.mdl'.
[19:18:26]	OTA.S17-ECHO.OWS.85171 has spawned 'models/props_interiors/chair01.mdl'.
[19:18:36]	OTA.S17-ECHO.OWS.85171 has spawned 'models/props_junk/garbage_coffeemug001a.mdl'.
[19:18:38]	OTA.S17-ECHO.OWS.85171 has spawned 'models/props_junk/garbage_coffeemug001a.mdl'.
[19:18:40]	OTA.S17-ECHO.OWS.85171 has spawned 'models/props_interiors/pot01a.mdl'.
[19:18:58]	OTA.S17-ECHO.OWS.85171 has spawned 'models/props_lab/cactus.mdl'.
[19:19:00]	OTA.S17-ECHO.OWS.85171 has spawned 'models/props_lab/cactus.mdl'.
[19:19:03]	OTA.S17-ECHO.OWS.85171 has spawned 'models/props_lab/cactus.mdl'.
[19:19:11]	OTA.S17-ECHO.OWS.85171 has spawned 'models/props_junk/watermelon01.mdl'.
[19:19:13]	OTA.S17-ECHO.OWS.85171 has spawned 'models/props_junk/TrafficCone001a.mdl'.
[19:19:16]	[OOC] CCA.C17-UNION.i5.74645: the complementary cacti and traffic cone
[19:19:46]	[OOC] OTA.S17-ECHO.OWS.85171: yim yum
[19:19:50]	[OOC] CCA.C17-UNION.i5.74645: yes yes
[19:20:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[19:22:25]	[OOC] CCA.C17-UNION.i5.74645: hmmm
[19:22:30]	[OOC] OTA.S17-ECHO.OWS.85171: h m m
[19:22:40]	[OOC] CCA.C17-UNION.i5.74645: advanced firing line revisioned
[19:22:45]	OTA.S17-ECHO.OWS.85171 used command '/ToggleRaise'.
[19:22:57]	[OOC] OTA.S17-ECHO.OWS.85171: it devolved
[19:23:04]	[OOC] CCA.C17-UNION.i5.74645: fair enough
[19:23:41]	CCA.C17-UNION.i5.74645 has taken 11 damage from OTA.S17-ECHO.OWS.85171.
[19:25:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[19:29:55]	DRD loaded the character 'OSA.S17-HNT.85666'
[19:30:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[19:30:54]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:30:55]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:30:56]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:30:57]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:30:57]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:30:58]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:30:59]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:00]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:00]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:01]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:02]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:03]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:04]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:04]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:05]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:06]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:07]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:07]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:08]	[OOC] OSA.S17-HNT.85666: IM CHOKING
[19:31:08]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:09]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:10]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:10]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:11]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:12]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:12]	[OOC] CCA.C17-UNION.i5.74645: h o w
[19:31:13]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:13]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:14]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:15]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:16]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:16]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:17]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:18]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:19]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:19]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:20]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:21]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:22]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:22]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:23]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:24]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:25]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:25]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:26]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:27]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:28]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:29]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:29]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:30]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:31]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:32]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:32]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:33]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:34]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:35]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:35]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:36]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:37]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:38]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:38]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:39]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:40]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:41]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:41]	[OOC] OSA.S17-HNT.85666: i now have lungs
[19:31:41]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:42]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:43]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:44]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:44]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:45]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:46]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:47]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:47]	[OOC] CCA.C17-UNION.i5.74645: hmmm
[19:31:47]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:48]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:49]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:50]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:50]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:51]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:52]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:53]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:54]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:54]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:55]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:56]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:57]	OSA.S17-HNT.85666 has taken 1 damage from worldspawn.
[19:31:57]	DRD loaded the character 'OTA.S17-ECHO.OWS.85171'
[19:32:07]	DRD loaded the character 'OTA.C17-ECHO.OWC.11225'
[19:32:42]	OTA.C17-ECHO.OWC.11225 used command '/Dispatch administer'.
[19:32:45]	OTA.C17-ECHO.OWC.11225 used command '/Dispatch fist'.
[19:32:47]	OTA.C17-ECHO.OWC.11225 used command '/Dispatch 2'.
[19:32:50]	OTA.C17-ECHO.OWC.11225 used command '/Dispatch shit'.
[19:32:52]	OTA.C17-ECHO.OWC.11225 used command '/Dispatch canal'.
[19:32:55]	CCA.C17-UNION.i5.74645 used command '/Broadcast a'.
[19:33:00]	CCA.C17-UNION.i5.74645 used command '/VisorDanger a'.
[19:33:00]	OTA.C17-ECHO.OWC.11225 used command '/Dispatch haha'.
[19:33:07]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify b'.
[19:33:22]	CCA.C17-UNION.i5.74645 used command '/VisorNotify how ze fak do de beach doors work'.
[19:33:29]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify /kickdoor'.
[19:33:34]	CCA.C17-UNION.i5.74645 used command '/kickdoor'.
[19:33:40]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:33:43]	CCA.C17-UNION.i5.74645 used command '/VisorNotify they appear to be stuck open'.
[19:33:48]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:33:49]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:33:50]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:33:50]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:33:51]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:33:52]	CCA.C17-UNION.i5.74645 used command '/VisorNotify tunnel side of doors'.
[19:33:52]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:33:52]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:33:53]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:33:56]	CCA.C17-UNION.i5.74645 used command '/VisorNotify tunnel side of doors'.
[19:33:57]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:33:58]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:33:59]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:33:59]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:34:00]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify where are you?'.
[19:34:00]	CCA.C17-UNION.i5.74645 used command '/VisorNotify tunnel side of doors'.
[19:34:02]	CCA.C17-UNION.i5.74645 used command '/VisorNotify tunnel side of doors'.
[19:34:02]	CCA.C17-UNION.i5.74645 used command '/VisorNotify tunnel side of doors'.
[19:34:10]	OTA.C17-ECHO.OWC.11225 used command '/VisorNotify what'.
[19:34:17]	CCA.C17-UNION.i5.74645 used command '/VisorNotify you go to the tunnel'.
[19:34:49]	CCA.C17-UNION.i5.74645 used command '/VisorNotify the more you know'.
[19:35:21]	[OOC] OTA.C17-ECHO.OWC.11225: OH
[19:35:26]	[OOC] OTA.C17-ECHO.OWC.11225: YOU SAID BEACH DOORS
[19:35:32]	[OOC] OTA.C17-ECHO.OWC.11225: I THOUGHT YOU ASKED HOW TO BREACH DOORS
[19:35:36]	[OOC] CCA.C17-UNION.i5.74645: lmfao yeah
[19:35:48]	[OOC] OTA.C17-ECHO.OWC.11225: beach doors are controlled from tjhe officer
[19:35:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[19:36:34]	[OOC] OTA.C17-ECHO.OWC.11225: open?
[19:36:38]	[OOC] CCA.C17-UNION.i5.74645: ye
[19:36:50]	[OOC] CCA.C17-UNION.i5.74645: both closed now
[19:37:00]	[OOC] OTA.C17-ECHO.OWC.11225: are you out
[19:37:03]	[OOC] CCA.C17-UNION.i5.74645: ye
[19:37:06]	[OOC] CCA.C17-UNION.i5.74645: im in the city
[19:37:26]	CCA.C17-UNION.i5.74645 opened the '' #250 container.
[19:37:26]	CCA.C17-UNION.i5.74645 closed the '' #250 container.
[19:37:27]	CCA.C17-UNION.i5.74645 opened the '' #250 container.
[19:37:30]	CCA.C17-UNION.i5.74645 closed the '' #250 container.
[19:37:31]	CCA.C17-UNION.i5.74645 opened the '' #251 container.
[19:37:33]	CCA.C17-UNION.i5.74645 closed the '' #251 container.
[19:39:03]	OTA.C17-ECHO.OWC.11225 has taken 2500 damage from nexus_consul_laser_hurt.
[19:39:03]	nexus_consul_laser_hurt has killed OTA.C17-ECHO.OWC.11225.
[19:39:10]	CCA.C17-UNION.i5.74645 used command '/VisorNotify get cocked'.
[19:39:29]	[OOC] OTA.C17-ECHO.OWC.11225: tfw your cp is taller than an ota
[19:39:41]	[OOC] CCA.C17-UNION.i5.74645: i loom over them
[19:39:45]	DRD loaded the character 'CCA.C17-GRID.i1.59212'
[19:39:50]	[OOC] CCA.C17-GRID.i1.59212: yes
[19:40:06]	CCA.C17-UNION.i5.74645 used command '/VisorNotify worst cereal known to man, go'.
[19:40:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[19:41:14]	CCA.C17-UNION.i5.74645 used command '/CharFallOver'.
[19:41:19]	CCA.C17-UNION.i5.74645 used command '/CharGetUp'.
[19:41:19]	CCA.C17-UNION.i5.74645 used command '/CharGetUp'.
[19:41:37]	CCA.C17-UNION.i5.74645 used command '/CharFallOver'.
[19:41:44]	CCA.C17-UNION.i5.74645 used command '/CharGetUp'.
[19:42:03]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[19:42:15]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[19:42:18]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[19:42:27]	CCA.C17-UNION.i5.74645 has taken 5 damage from CCA.C17-GRID.i1.59212.
[19:42:28]	CCA.C17-UNION.i5.74645 has taken 5 damage from CCA.C17-GRID.i1.59212.
[19:42:29]	CCA.C17-UNION.i5.74645 has taken 5 damage from CCA.C17-GRID.i1.59212.
[19:42:55]	CCA.C17-UNION.i5.74645 used command '/CharGetUp'.
[19:42:58]	[OOC] CCA.C17-GRID.i1.59212: get send up the bad elevator
[19:43:08]	[OOC] CCA.C17-UNION.i5.74645: aaaaaa
[19:43:53]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[19:44:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[19:44:13]	CCA.C17-UNION.i5.74645 has taken 100 damage from prop_physics.
[19:44:13]	CCA.C17-UNION.i5.74645 has taken 50 damage from prop_physics.
[19:44:13]	prop_physics has killed CCA.C17-UNION.i5.74645.
[19:44:42]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[19:44:45]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[19:44:48]	[OOC] CCA.C17-UNION.i5.74645: whats the point of the elevator if you get blackmarked for using it anyways lmao
[19:44:58]	[OOC] CCA.C17-GRID.i1.59212: citizens jump into it
[19:45:05]	[OOC] CCA.C17-UNION.i5.74645: o
[19:45:11]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[19:45:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[19:45:13]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[19:45:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[19:45:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[19:45:15]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[19:45:16]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[19:45:17]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[19:45:43]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[19:45:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[19:45:47]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[19:45:48]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[19:45:49]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[19:45:50]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[19:45:51]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[19:45:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[19:45:52]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[19:46:28]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[19:46:36]	CCA.C17-UNION.i5.74645 used command '/CharFallOver'.
[19:46:42]	CCA.C17-UNION.i5.74645 used command '/CharGetUp'.
[19:46:54]	[OOC] CCA.C17-GRID.i1.59212: hurr durr im the grid dvl now
[19:47:02]	[OOC] CCA.C17-UNION.i5.74645: hmmmmm
[19:47:19]	[OOC] CCA.C17-UNION.i5.74645: do those helmets come with the base model or are they separate
[19:47:27]	[OOC] CCA.C17-GRID.i1.59212: wdym
[19:47:43]	[OOC] CCA.C17-UNION.i5.74645: nvm im idiot
[19:48:29]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[19:49:26]	[OOC] CCA.C17-UNION.i5.74645: what addon contains our models anyway
[19:49:33]	[OOC] CCA.C17-GRID.i1.59212: uhhh
[19:49:36]	[OOC] CCA.C17-GRID.i1.59212: nemez
[19:49:45]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[19:49:45]	[OOC] CCA.C17-UNION.i5.74645: ight
[19:50:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[19:51:55]	[OOC] CCA.C17-UNION.i5.74645: ayo my face gone
[19:52:02]	[OOC] CCA.C17-GRID.i1.59212: nope
[19:52:21]	[OOC] CCA.C17-UNION.i5.74645: its not?
[19:52:32]	[OOC] CCA.C17-GRID.i1.59212: now it is
[19:52:49]	[OOC] CCA.C17-UNION.i5.74645: showing up to work without a head for today
[19:52:51]	[OOC] CCA.C17-GRID.i1.59212: you should make a maskless pac3
[19:53:02]	[OOC] CCA.C17-UNION.i5.74645: not a bad idea
[19:53:31]	[OOC] CCA.C17-GRID.i1.59212: that colour palette used to be for GRID
[19:53:39]	[OOC] CCA.C17-UNION.i5.74645: rly?
[19:53:46]	[OOC] CCA.C17-GRID.i1.59212: i4 and 15
[19:53:51]	[OOC] CCA.C17-GRID.i1.59212: i5
[19:53:58]	[OOC] CCA.C17-UNION.i5.74645: why did it change
[19:55:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[19:56:23]	[OOC] CCA.C17-GRID.i1.59212: cus we use it for union now
[19:57:16]	[OOC] CCA.C17-UNION.i5.74645: helmetless pac3 may be difficult
[19:57:27]	[OOC] CCA.C17-UNION.i5.74645: since you cant spawn only a head of a model
[19:57:35]	[OOC] CCA.C17-GRID.i1.59212: gotta make the body tiny
[19:57:45]	[OOC] CCA.C17-GRID.i1.59212: then expand the head
[19:57:51]	[OOC] CCA.C17-UNION.i5.74645: oooh true
[20:00:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[20:01:29]	[OOC] CCA.C17-GRID.i1.59212: thoughts?
[20:01:38]	[OOC] CCA.C17-UNION.i5.74645: very cool
[20:03:06]	[OOC] CCA.C17-GRID.i1.59212: you have nothing if you did something
[20:03:14]	[OOC] CCA.C17-UNION.i5.74645: now?
[20:03:18]	[OOC] CCA.C17-GRID.i1.59212: nope
[20:03:29]	[OOC] CCA.C17-UNION.i5.74645: now?
[20:03:36]	[OOC] CCA.C17-GRID.i1.59212: nope
[20:04:06]	[OOC] CCA.C17-GRID.i1.59212: ma
[20:04:10]	[OOC] CCA.C17-GRID.i1.59212: male_07?
[20:04:24]	[OOC] CCA.C17-UNION.i5.74645: thats what kodiak used so may as well keep the consistency 
[20:04:41]	[OOC] CCA.C17-GRID.i1.59212: wait is that kodiak
[20:04:45]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[20:04:46]	[OOC] CCA.C17-UNION.i5.74645: yes
[20:04:49]	[OOC] CCA.C17-GRID.i1.59212: aha
[20:04:58]	[OOC] CCA.C17-GRID.i1.59212: i can guilt trip him into doing anything
[20:05:03]	[OOC] CCA.C17-UNION.i5.74645: hmmmmmm
[20:05:09]	[OOC] CCA.C17-UNION.i5.74645: how are your pupils not fucked
[20:05:18]	[OOC] CCA.C17-GRID.i1.59212: no clue
[20:05:32]	[OOC] CCA.C17-GRID.i1.59212: wait what citizen model thing are you using
[20:05:35]	[OOC] CCA.C17-GRID.i1.59212: i have tnb
[20:05:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[20:06:01]	[OOC] CCA.C17-UNION.i5.74645: i dont even see TNB lmao
[20:06:55]	[OOC] CCA.C17-UNION.i5.74645: found them
[20:07:00]	[OOC] CCA.C17-UNION.i5.74645: how do my pupils look
[20:07:07]	[OOC] CCA.C17-GRID.i1.59212: none
[20:07:11]	[OOC] CCA.C17-UNION.i5.74645: lmao
[20:07:14]	[OOC] CCA.C17-GRID.i1.59212: do i have pupils
[20:07:19]	[OOC] CCA.C17-UNION.i5.74645: ye
[20:08:09]	[OOC] CCA.C17-GRID.i1.59212: nmvm
[20:09:45]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[20:10:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[20:11:35]	[OOC] CCA.C17-UNION.i5.74645: turn left rq
[20:11:54]	[OOC] CCA.C17-UNION.i5.74645: how
[20:12:14]	[OOC] CCA.C17-UNION.i5.74645: did you change any vars anywhere for the eyes
[20:12:23]	[OOC] CCA.C17-GRID.i1.59212: dude idk
[20:13:20]	[OOC] CCA.C17-GRID.i1.59212: damn
[20:14:45]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[20:15:32]	[OOC] CCA.C17-GRID.i1.59212: afk
[20:15:36]	[OOC] CCA.C17-UNION.i5.74645: ok
[20:15:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[20:20:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[20:24:45]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[20:25:05]	[OOC] CCA.C17-UNION.i5.74645: i dont think theres a fix for eyes
[20:25:18]	[OOC] CCA.C17-GRID.i1.59212: oh well
[20:25:29]	[OOC] CCA.C17-UNION.i5.74645: guess ill become hollow lmao
[20:25:51]	[OOC] CCA.C17-GRID.i1.59212: who need pupils, amirite>
[20:25:52]	CCA.C17-UNION.i5.74645 has gained 10 tokens.
[20:26:15]	[OOC] CCA.C17-UNION.i5.74645: correct
[20:26:23]	[OOC] CCA.C17-GRID.i1.59212: question
[20:26:28]	[OOC] CCA.C17-GRID.i1.59212: did you ever watch outlander
[20:26:32]	[OOC] CCA.C17-UNION.i5.74645: no
[20:26:40]	[OOC] CCA.C17-GRID.i1.59212: farscape?
[20:26:49]	[OOC] CCA.C17-UNION.i5.74645: no
[20:26:54]	[OOC] CCA.C17-GRID.i1.59212: stargate?
[20:26:57]	[OOC] CCA.C17-UNION.i5.74645: yes
