[10:11:19]	LynxQueen has connected.
[13:54:54]	Odin (STEAM_0:0:595064043) has disconnected.
[14:23:00]	AXION has connected.
[14:24:04]	AXION loaded the character 'CCA.C08-UNION.i5.81530'
[14:25:36]	CCA.C08-UNION.i5.81530 ran 'View' on item 'Paper' (#20158)
[14:26:35]	CCA.C08-UNION.i5.81530 opened the '' #1333 container.
[14:26:37]	CCA.C08-UNION.i5.81530 closed the '' #1333 container.
[14:26:59]	CCA.C08-UNION.i5.81530 opened the '' #1877 container.
[14:27:00]	CCA.C08-UNION.i5.81530 closed the '' #1877 container.
[14:29:04]	CCA.C08-UNION.i5.81530 has gained 10 tokens.
[14:30:09]	AXION loaded the character 'Fred Angerly'
[14:30:49]	Fred Angerly used the 'CCA Ration Storage' vendor.
[14:31:36]	Fred Angerly used the 'CCA Ration Storage' vendor.
[14:31:39]	Fred Angerly used the 'CCA Ration Storage' vendor.
[14:31:41]	Fred Angerly has gained 0 tokens.
[14:31:41]	Fred Angerly has gained a 'Civil Protection Functionary Grade Ration' #20310.
[14:31:46]	Fred Angerly ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#20310)
[14:31:46]	Fred Angerly has gained a 'Civil Protection Functionary Grade Food Product' #20311.
[14:31:46]	Fred Angerly has gained a 'Universal Union Functionary Grade Beverage' #20312.
[14:31:48]	Fred Angerly ran 'Eat' on item 'Civil Protection Functionary Grade Food Product' (#20311)
[14:31:49]	Fred Angerly ran 'Consume' on item 'Universal Union Functionary Grade Beverage' (#20312)
[14:32:54]	Fred Angerly opened the '' #1246 container.
[14:32:57]	Fred Angerly closed the '' #1246 container.
[14:32:58]	Fred Angerly opened the '' #1244 container.
[14:32:59]	Fred Angerly closed the '' #1244 container.
[14:33:01]	Fred Angerly opened the '' #1247 container.
[14:33:03]	Fred Angerly closed the '' #1247 container.
[14:33:45]	Fred Angerly ran 'View' on item 'Paper' (#20255)
[14:34:05]	Fred Angerly used the 'Supply Fridge' vendor.
[14:34:50]	Fred Angerly has gained 0 tokens.
[14:34:50]	Fred Angerly has gained a 'UU Brand Chips' #20310.
[14:34:51]	Fred Angerly has gained 0 tokens.
[14:34:51]	Fred Angerly has gained a 'UU Brand Chips' #20311.
[14:34:52]	Fred Angerly has gained 0 tokens.
[14:34:52]	Fred Angerly has gained a 'UU Brand Chips' #20312.
[14:36:37]	Fred Angerly ran 'take' on item 'Rock' (#13831)
[14:36:37]	Fred Angerly has gained a 'Rock' #13831.
[14:36:44]	Fred Angerly used the 'Shady Salesman' vendor.
[14:36:47]	Fred Angerly has lost 9 tokens.
[14:36:47]	Fred Angerly has gained a 'Padlock' #20313.
[14:36:48]	Fred Angerly has lost 9 tokens.
[14:36:48]	Fred Angerly has gained a 'Padlock' #20314.
[14:37:07]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:07]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:10]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:10]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:12]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:13]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:13]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:15]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:15]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:18]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:18]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:19]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:21]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:22]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:22]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:37:35]	Fred Angerly has taken 5 damage from npc_headcrab.
[14:37:38]	Fred Angerly has taken 20 damage from npc_zombine.
[14:38:43]	Fred Angerly ran 'take' on item 'Empty Glass Bottle' (#18987)
[14:38:43]	Fred Angerly has gained a 'Empty Glass Bottle' #18987.
[14:38:44]	Fred Angerly has taken 250 damage from trigger_hurt.
[14:38:44]	trigger_hurt has killed Fred Angerly.
[14:38:48]	Fred Angerly ran 'Equip' on item 'Shovel' (#14953)
[14:38:52]	Fred Angerly ran 'Consume' on item 'UU Brand Chips' (#20312)
[14:39:16]	Fred Angerly ran 'Use' on item 'Padlock' (#20313)
[14:39:18]	Fred Angerly opened the '' #2055 container.
[14:39:21]	Fred Angerly closed the '' #2055 container.
[14:39:23]	Fred Angerly ran 'Use' on item 'Padlock' (#20314)
[14:39:47]	Fred Angerly opened the 'Padlocked ' #2055 container.
[14:40:03]	Fred Angerly closed the 'Padlocked ' #2055 container.
[14:40:34]	Fred Angerly ran 'EquipUn' on item 'Shovel' (#14953)
[14:40:35]	Fred Angerly ran 'Equip' on item 'Empty Glass Bottle' (#18987)
[14:40:46]	Fred Angerly has gained a 'Raw Headcrab Meat' #20312.
[14:40:58]	Fred Angerly has taken 5 damage from npc_headcrab_fast.
[14:41:00]	Fred Angerly has taken 5 damage from npc_headcrab_fast.
[14:41:12]	Fred Angerly has gained a 'Raw Fast Headcrab Meat' #20313.
[14:42:07]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:42:07]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:42:10]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:42:10]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:42:12]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:42:13]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:42:13]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:42:13]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:42:14]	Fred Angerly has taken 5 damage from npc_headcrab.
[14:42:29]	Fred Angerly has gained a 'Raw Headcrab Meat' #20314.
[14:42:39]	Fred Angerly has gained 10 tokens.
[14:42:46]	Fred Angerly opened the '' #1256 container.
[14:42:47]	Fred Angerly closed the '' #1256 container.
[14:42:57]	Fred Angerly has taken 10 damage from npc_zombie.
[14:42:59]	Fred Angerly has taken 10 damage from npc_zombie.
[14:43:31]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:43:37]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:43:37]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:43:39]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:43:40]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:43:40]	Fred Angerly has taken 3 damage from npc_fastzombie.
[14:43:43]	Fred Angerly has gained 20 tokens.
[14:44:15]	Fred Angerly has taken 10 damage from npc_poisonzombie.
[14:44:31]	Fred Angerly has taken 10 damage from npc_poisonzombie.
[14:44:32]	Fred Angerly has taken 10 damage from npc_poisonzombie.
[14:44:32]	npc_poisonzombie has killed Fred Angerly.
[14:44:38]	Fred Angerly ran 'Equip' on item 'Empty Glass Bottle' (#18987)
[14:46:00]	Fred Angerly has taken 10 damage from npc_poisonzombie.
[14:46:59]	Fred Angerly has taken 10 damage from monster_bullsquid.
[14:47:00]	Fred Angerly has taken 8 damage from monster_bullsquid.
[14:47:02]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:02]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:02]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:02]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:02]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:02]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:02]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:02]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:02]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:02]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:02]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:03]	Fred Angerly has taken 8 damage from monster_bullsquid.
[14:47:04]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:04]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:04]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:04]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:04]	Fred Angerly has taken 4 damage from monster_bullsquid.
[14:47:04]	monster_bullsquid has killed Fred Angerly.
[14:47:08]	Fred Angerly ran 'Equip' on item 'Empty Glass Bottle' (#18987)
[14:49:09]	Fred Angerly opened the '' #1409 container.
[14:49:11]	Fred Angerly closed the '' #1409 container.
[14:49:20]	Fred Angerly has taken 5 damage from monster_hound_eye.
[14:49:52]	Fred Angerly has taken 5 damage from npc_headcrab_fast.
[14:50:00]	Fred Angerly has taken 10 damage from npc_zombie.
[14:50:09]	Fred Angerly has taken 10 damage from npc_zombie.
[14:50:18]	Fred Angerly ran 'take' on item 'AA Battery' (#20315)
[14:50:18]	Fred Angerly has gained a 'AA Battery' #20315.
[14:50:23]	Fred Angerly has taken 5 damage from npc_headcrab_fast.
[14:50:23]	Fred Angerly has taken 10 damage from npc_zombie_torso.
[14:50:26]	Fred Angerly has taken 5 damage from npc_headcrab_fast.
[14:50:27]	Fred Angerly has taken 5 damage from npc_headcrab_fast.
[14:50:37]	Fred Angerly ran 'EquipUn' on item 'Empty Glass Bottle' (#18987)
[14:50:38]	Fred Angerly ran 'Equip' on item 'Shovel' (#14953)
[14:50:45]	Fred Angerly has taken 10 damage from npc_zombie_torso.
[14:50:52]	Fred Angerly has taken 10 damage from npc_zombie_torso.
[14:50:53]	Fred Angerly has taken 10 damage from npc_zombie_torso.
[14:50:54]	Fred Angerly has taken 10 damage from npc_zombie_torso.
[14:51:23]	Fred Angerly has gained a 'Raw Fast Headcrab Meat' #20316.
[14:51:52]	Fred Angerly ran 'take' on item 'Pack of Nails' (#20250)
[14:51:52]	Fred Angerly has gained a 'Pack of Nails' #20250.
[14:52:31]	Fred Angerly ran 'take' on item 'Scrap Crossbow' (#20273)
[14:52:35]	Fred Angerly ran 'take' on item 'Scrap Crossbow' (#20273)
[14:52:40]	Fred Angerly ran 'drop' on item 'Raw Fast Headcrab Meat' (#20313)
[14:52:40]	Fred Angerly has lost a 'Raw Fast Headcrab Meat' #20313.
[14:52:41]	Fred Angerly ran 'drop' on item 'Raw Headcrab Meat' (#20314)
[14:52:41]	Fred Angerly has lost a 'Raw Headcrab Meat' #20314.
[14:52:45]	Fred Angerly ran 'take' on item 'Scrap Crossbow' (#20273)
[14:52:47]	Fred Angerly ran 'drop' on item 'Pack of Nails' (#20250)
[14:52:47]	Fred Angerly has lost a 'Pack of Nails' #20250.
[14:52:48]	Fred Angerly ran 'drop' on item 'Raw Fast Headcrab Meat' (#20316)
[14:52:48]	Fred Angerly has lost a 'Raw Fast Headcrab Meat' #20316.
[14:52:51]	Fred Angerly ran 'take' on item 'Scrap Crossbow' (#20273)
[14:52:56]	Fred Angerly ran 'drop' on item 'AA Battery' (#20315)
[14:52:56]	Fred Angerly has lost a 'AA Battery' #20315.
[14:52:57]	Fred Angerly ran 'drop' on item 'Raw Headcrab Meat' (#20312)
[14:52:57]	Fred Angerly has lost a 'Raw Headcrab Meat' #20312.
[14:52:59]	Fred Angerly ran 'drop' on item 'Empty Glass Bottle' (#18987)
[14:52:59]	Fred Angerly has lost a 'Empty Glass Bottle' #18987.
[14:53:01]	Fred Angerly ran 'drop' on item 'Shovel' (#14953)
[14:53:01]	Fred Angerly has lost a 'Shovel' #14953.
[14:53:04]	Fred Angerly ran 'take' on item 'Scrap Crossbow' (#20273)
[14:53:04]	Fred Angerly has gained a 'Scrap Crossbow' #20273.
[14:53:15]	Fred Angerly ran 'take' on item 'Pack of Nails' (#20250)
[14:53:15]	Fred Angerly has gained a 'Pack of Nails' #20250.
[14:53:19]	Fred Angerly ran 'take' on item 'AA Battery' (#20315)
[14:53:19]	Fred Angerly has gained a 'AA Battery' #20315.
[14:53:26]	Fred Angerly ran 'take' on item 'Shovel' (#14953)
[14:53:29]	Fred Angerly ran 'take' on item 'Shovel' (#14953)
[14:53:29]	Fred Angerly has gained a 'Shovel' #14953.
[14:53:32]	Fred Angerly ran 'Equip' on item 'Shovel' (#14953)
[14:53:39]	Fred Angerly ran 'take' on item 'Empty Glass Bottle' (#18987)
[14:53:39]	Fred Angerly has gained a 'Empty Glass Bottle' #18987.
[14:53:47]	Fred Angerly ran 'Equip' on item 'Scrap Crossbow' (#20273)
[14:55:11]	Fred Angerly ran 'take' on item 'Padlock' (#12923)
[14:56:46]	Fred Angerly has taken 3 damage from Fred Angerly.
[14:57:08]	Fred Angerly ran 'drop' on item 'Pack of Nails' (#20250)
[14:57:08]	Fred Angerly has lost a 'Pack of Nails' #20250.
[14:57:13]	Fred Angerly ran 'take' on item 'Pack of Nails' (#20250)
[14:57:13]	Fred Angerly has gained a 'Pack of Nails' #20250.
[15:03:32]	Fred Angerly ran 'drop' on item 'Pack of Nails' (#20250)
[15:03:32]	Fred Angerly has lost a 'Pack of Nails' #20250.
[15:03:34]	Fred Angerly ran 'drop' on item 'Citizen ID' (#20200)
[15:03:34]	Fred Angerly has lost a 'Citizen ID' #20200.
[15:03:35]	Fred Angerly ran 'take' on item 'Civil Protection Functionary Grade Ration' (#20285)
[15:03:35]	Fred Angerly has gained a 'Civil Protection Functionary Grade Ration' #20285.
[15:03:37]	Fred Angerly ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#20285)
[15:03:37]	Fred Angerly has gained a 'Civil Protection Functionary Grade Food Product' #20317.
[15:03:39]	Fred Angerly ran 'Eat' on item 'Civil Protection Functionary Grade Food Product' (#20317)
[15:03:41]	Fred Angerly ran 'take' on item 'Universal Union Functionary Grade Beverage' (#20318)
[15:03:41]	Fred Angerly has gained a 'Universal Union Functionary Grade Beverage' #20318.
[15:03:43]	Fred Angerly ran 'Consume' on item 'Universal Union Functionary Grade Beverage' (#20318)
[15:03:45]	Fred Angerly ran 'take' on item 'Pack of Nails' (#20250)
[15:03:45]	Fred Angerly has gained a 'Pack of Nails' #20250.
[15:03:46]	Fred Angerly ran 'take' on item 'Citizen ID' (#20200)
[15:03:46]	Fred Angerly has gained a 'Citizen ID' #20200.
[15:03:48]	Fred Angerly opened the '' #1847 container.
[15:04:25]	Fred Angerly closed the '' #1847 container.
[15:04:26]	Fred Angerly opened the '' #1848 container.
[15:05:05]	Fred Angerly closed the '' #1848 container.
[15:05:08]	Fred Angerly opened the '' #1850 container.
[15:05:35]	Fred Angerly closed the '' #1850 container.
[15:05:36]	Fred Angerly opened the '' #1849 container.
[15:05:44]	Fred Angerly closed the '' #1849 container.
[15:05:46]	Fred Angerly opened the '' #1846 container.
[15:06:15]	Fred Angerly closed the '' #1846 container.
[15:06:25]	Fred Angerly opened the '' #1848 container.
[15:06:33]	Fred Angerly closed the '' #1848 container.
[15:08:49]	Fred Angerly has taken 7 damage from worldspawn.
[15:09:26]	Fred Angerly has taken 15 damage from worldspawn.
[15:09:34]	Fred Angerly has taken 11 damage from worldspawn.
[15:09:43]	Fred Angerly has taken 7 damage from worldspawn.
[15:10:00]	Fred Angerly has taken 15 damage from worldspawn.
[15:10:00]	worldspawn has killed Fred Angerly.
[15:10:57]	Fred Angerly opened the '' #983 container.
[15:11:01]	Fred Angerly closed the '' #983 container.
[15:11:04]	Fred Angerly opened the '' #986 container.
[15:11:06]	Fred Angerly closed the '' #986 container.
[15:11:06]	Fred Angerly opened the '' #985 container.
[15:11:08]	Fred Angerly closed the '' #985 container.
[15:11:09]	Fred Angerly opened the '' #984 container.
[15:11:10]	Fred Angerly closed the '' #984 container.
[15:11:14]	Fred Angerly opened the '' #983 container.
[15:11:17]	Fred Angerly closed the '' #983 container.
[15:11:25]	Fred Angerly opened the '' #1263 container.
[15:11:27]	Fred Angerly closed the '' #1263 container.
[15:11:27]	Fred Angerly opened the '' #1264 container.
[15:11:29]	Fred Angerly closed the '' #1264 container.
[15:11:30]	Fred Angerly opened the '' #1260 container.
[15:11:31]	Fred Angerly closed the '' #1260 container.
[15:11:33]	Fred Angerly opened the '' #1262 container.
[15:11:34]	Fred Angerly closed the '' #1262 container.
[15:11:35]	Fred Angerly opened the '' #1259 container.
[15:11:37]	Fred Angerly closed the '' #1259 container.
[15:13:30]	Fred Angerly ran 'take' on item 'Cables' (#12956)
[15:15:25]	Fred Angerly opened the '' #1253 container.
[15:15:30]	Fred Angerly closed the '' #1253 container.
[15:16:00]	Fred Angerly used the 'Shady Salesman' vendor.
[15:16:03]	Fred Angerly has lost 9 tokens.
[15:16:03]	Fred Angerly has gained a 'Padlock' #20317.
[15:17:06]	Fred Angerly opened the '' #1253 container.
[15:17:08]	Fred Angerly closed the '' #1253 container.
[15:17:12]	Fred Angerly ran 'Use' on item 'Padlock' (#20317)
[15:18:15]	Fred Angerly opened the '' #1237 container.
[15:18:17]	Fred Angerly closed the '' #1237 container.
[15:19:03]	Fred Angerly opened the 'Padlocked ' #2055 container.
[15:19:27]	Fred Angerly closed the 'Padlocked ' #2055 container.
[15:20:12]	Fred Angerly opened the 'Padlocked ' #2055 container.
[15:20:13]	Fred Angerly closed the 'Padlocked ' #2055 container.
[15:20:13]	Fred Angerly opened the 'Padlocked ' #2055 container.
[15:20:17]	Fred Angerly closed the 'Padlocked ' #2055 container.
[15:21:55]	AXION loaded the character 'CCA.C08-UNION.i5.81530'
[15:24:03]	CCA.C08-UNION.i5.81530 used the 'Ration Supply' vendor.
[15:24:09]	CCA.C08-UNION.i5.81530 opened the '' #971 container.
[15:24:12]	CCA.C08-UNION.i5.81530 closed the '' #971 container.
[15:24:15]	CCA.C08-UNION.i5.81530 opened the '' #1141 container.
[15:24:18]	CCA.C08-UNION.i5.81530 closed the '' #1141 container.
[16:06:55]	CCA.C08-UNION.i5.81530 has gained 10 tokens.
[16:11:55]	CCA.C08-UNION.i5.81530 has gained 10 tokens.
[16:16:55]	CCA.C08-UNION.i5.81530 has gained 10 tokens.
[16:19:08]	CCA.C08-UNION.i5.81530 opened the '' #971 container.
[16:19:11]	CCA.C08-UNION.i5.81530 has gained a 'USP Match' #10354.
[16:19:14]	CCA.C08-UNION.i5.81530 closed the '' #971 container.
[16:19:18]	CCA.C08-UNION.i5.81530 ran 'Equip' on item 'USP Match' (#10354)
[16:20:24]	CCA.C08-UNION.i5.81530 used command '/kickdoor'.
[16:20:34]	CCA.C08-UNION.i5.81530 ran 'EquipUn' on item 'USP Match' (#10354)
[16:21:00]	CCA.C08-UNION.i5.81530 opened the '' #971 container.
[16:21:03]	CCA.C08-UNION.i5.81530 closed the '' #971 container.
[16:21:55]	CCA.C08-UNION.i5.81530 has gained 10 tokens.
[16:22:50]	CCA.C08-UNION.i5.81530 used the 'CCA Ration Storage' vendor.
[16:22:53]	CCA.C08-UNION.i5.81530 has gained 0 tokens.
[16:22:53]	CCA.C08-UNION.i5.81530 has gained a 'Civil Protection Functionary Grade Ration' #20317.
[16:22:57]	CCA.C08-UNION.i5.81530 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#20317)
[16:22:57]	CCA.C08-UNION.i5.81530 has gained a 'Civil Protection Functionary Grade Food Product' #20318.
[16:22:57]	CCA.C08-UNION.i5.81530 has gained a 'Universal Union Functionary Grade Beverage' #20319.
[16:22:58]	CCA.C08-UNION.i5.81530 ran 'Consume' on item 'Civil Protection Functionary Grade Food Product' (#20318)
[16:22:59]	CCA.C08-UNION.i5.81530 ran 'Consume' on item 'Universal Union Functionary Grade Beverage' (#20319)
[16:23:02]	CCA.C08-UNION.i5.81530 used the 'CCA Ration Storage' vendor.
[16:23:04]	CCA.C08-UNION.i5.81530 has gained 0 tokens.
[16:23:04]	CCA.C08-UNION.i5.81530 has gained a 'Civil Protection Functionary Grade Ration' #20317.
[16:23:06]	CCA.C08-UNION.i5.81530 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#20317)
[16:23:06]	CCA.C08-UNION.i5.81530 has gained a 'Civil Protection Functionary Grade Food Product' #20318.
[16:23:06]	CCA.C08-UNION.i5.81530 has gained a 'Universal Union Functionary Grade Beverage' #20319.
[16:23:08]	CCA.C08-UNION.i5.81530 ran 'Consume' on item 'Civil Protection Functionary Grade Food Product' (#20318)
[16:23:09]	CCA.C08-UNION.i5.81530 ran 'Consume' on item 'Universal Union Functionary Grade Beverage' (#20319)
[16:23:25]	CCA.C08-UNION.i5.81530 used the 'CCA Field Supply' vendor.
[16:23:32]	CCA.C08-UNION.i5.81530 has gained 0 tokens.
[16:23:32]	CCA.C08-UNION.i5.81530 has gained a 'Zip Tie' #20317.
[17:01:55]	CCA.C08-UNION.i5.81530 has gained 10 tokens.
[17:28:48]	AXION loaded the character 'Fred Angerly'
[17:32:48]	Fred Angerly opened the '' #1243 container.
[17:32:50]	Fred Angerly closed the '' #1243 container.
[17:36:30]	Fred Angerly used the 'Shady Salesman' vendor.
[17:36:36]	Fred Angerly has lost 1 token.
[17:36:36]	Fred Angerly has gained a 'Paper' #20318.
[17:36:37]	Fred Angerly has lost 1 token.
[17:36:37]	Fred Angerly has gained a 'Paper' #20319.
[17:36:44]	Fred Angerly has lost 1 token.
[17:36:44]	Fred Angerly has gained a 'Paper' #20320.
[17:36:45]	Fred Angerly has lost 1 token.
[17:36:45]	Fred Angerly has gained a 'Paper' #20321.
[17:36:45]	Fred Angerly has lost 1 token.
[17:36:45]	Fred Angerly has gained a 'Paper' #20322.
[17:36:48]	Fred Angerly has lost 25 tokens.
[17:36:48]	Fred Angerly has gained a 'Pliers' #20323.
[17:37:14]	Fred Angerly ran 'Edit' on item 'Paper' (#20322)
[17:40:59]	Fred Angerly ran 'View' on item 'Paper' (#20322)
[17:41:03]	Fred Angerly ran 'drop' on item 'Paper' (#20322)
[17:41:03]	Fred Angerly has lost a 'Paper' #20322.
[17:41:14]	Fred Angerly ran 'Edit' on item 'Paper' (#20321)
[17:42:46]	Fred Angerly ran 'drop' on item 'Paper' (#20321)
[17:42:46]	Fred Angerly has lost a 'Paper' #20321.
[17:43:08]	Fred Angerly ran 'Edit' on item 'Paper' (#20320)
[17:44:52]	Fred Angerly ran 'Edit' on item 'Paper' (#20320)
[17:45:26]	Fred Angerly ran 'drop' on item 'Paper' (#20320)
[17:45:26]	Fred Angerly has lost a 'Paper' #20320.
[17:45:35]	Fred Angerly ran 'Edit' on item 'Paper' (#20319)
[17:45:53]	Fred Angerly ran 'Edit' on item 'Paper' (#20319)
[17:47:02]	Fred Angerly ran 'Edit' on item 'Paper' (#20319)
[17:47:06]	Fred Angerly ran 'drop' on item 'Paper' (#20319)
[17:47:06]	Fred Angerly has lost a 'Paper' #20319.
[17:47:25]	Fred Angerly used the 'Street Market' vendor.
[17:47:41]	Fred Angerly has spawned 'models/props_junk/PropaneCanister001a.mdl'.
[17:48:15]	Fred Angerly ran 'Edit' on item 'Paper' (#20318)
[17:48:52]	Fred Angerly ran 'drop' on item 'Paper' (#20318)
[17:48:52]	Fred Angerly has lost a 'Paper' #20318.
[17:49:07]	Fred Angerly used the 'Street Market' vendor.
[17:49:10]	Fred Angerly has lost 2 tokens.
[17:49:10]	Fred Angerly has gained a 'Paper' #20324.
[17:49:11]	Fred Angerly has lost 2 tokens.
[17:49:11]	Fred Angerly has gained a 'Paper' #20325.
[17:49:21]	Fred Angerly ran 'Edit' on item 'Paper' (#20324)
[17:50:22]	Fred Angerly ran 'drop' on item 'Paper' (#20324)
[17:50:22]	Fred Angerly has lost a 'Paper' #20324.
[17:50:32]	Fred Angerly ran 'Edit' on item 'Paper' (#20325)
[17:52:10]	Fred Angerly ran 'drop' on item 'Paper' (#20325)
[17:52:10]	Fred Angerly has lost a 'Paper' #20325.
[17:52:31]	AXION loaded the character 'CCA.C08-UNION.i5.81530'
[17:59:15]	CCA.C08-UNION.i5.81530 ran 'take' on item 'Blacksmith Tongs' (#17921)
[17:59:15]	CCA.C08-UNION.i5.81530 has gained a 'Blacksmith Tongs' #17921.
[17:59:18]	CCA.C08-UNION.i5.81530 ran 'take' on item 'Scrap Metal' (#17888)
[17:59:18]	CCA.C08-UNION.i5.81530 has gained a 'Scrap Metal' #17888.
[17:59:23]	CCA.C08-UNION.i5.81530 ran 'take' on item 'Empty Paint Can' (#15290)
[17:59:23]	CCA.C08-UNION.i5.81530 has gained a 'Empty Paint Can' #15290.
[17:59:28]	CCA.C08-UNION.i5.81530 opened the '' #971 container.
[17:59:31]	CCA.C08-UNION.i5.81530 closed the '' #971 container.
[18:00:02]	CCA.C08-UNION.i5.81530 opened the '' #1895 container.
[18:00:11]	CCA.C08-UNION.i5.81530 closed the '' #1895 container.
[18:00:17]	CCA.C08-UNION.i5.81530 opened the '' #1895 container.
[18:00:23]	Dilly_ has connected.
[18:00:27]	CCA.C08-UNION.i5.81530 closed the '' #1895 container.
[18:00:57]	CCA.C08-UNION.i5.81530 used the 'Ration Supply' vendor.
[18:00:59]	CCA.C08-UNION.i5.81530 has gained 0 tokens.
[18:00:59]	CCA.C08-UNION.i5.81530 has gained a 'Civil Protection Functionary Grade Ration' #20326.
[18:01:10]	CCA.C08-UNION.i5.81530 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#20326)
[18:01:10]	CCA.C08-UNION.i5.81530 has gained a 'Civil Protection Functionary Grade Food Product' #20327.
[18:01:10]	CCA.C08-UNION.i5.81530 has gained a 'Universal Union Functionary Grade Beverage' #20328.
[18:01:12]	CCA.C08-UNION.i5.81530 ran 'Consume' on item 'Civil Protection Functionary Grade Food Product' (#20327)
[18:01:12]	CCA.C08-UNION.i5.81530 ran 'Consume' on item 'Universal Union Functionary Grade Beverage' (#20328)
[18:01:36]	[ME] CCA.C08-UNION.i5.81530: would be eating his rations after whole day.
[18:01:40]	Dilly_ loaded the character 'Crimson'
[18:01:50]	[OOC] Crimson: e
[18:01:56]	[OOC] CCA.C08-UNION.i5.81530: Again bird bruh
[18:02:15]	[OOC] Crimson: not just any bird
[18:02:26]	[OOC] CCA.C08-UNION.i5.81530: A really crungle one
[18:02:31]	CCA.C08-UNION.i5.81530 has gained 10 tokens.
[18:04:36]	[OOC] Crimson: he has a cig
[18:04:44]	[OOC] CCA.C08-UNION.i5.81530: Bruh
[18:04:53]	[OOC] CCA.C08-UNION.i5.81530: 2 mins. Need to make my launch
[18:04:54]	[OOC] Crimson: ye ic took one from the machines
[18:05:01]	[OOC] CCA.C08-UNION.i5.81530: First meal after Whole day
[18:05:09]	[OOC] Crimson: wha what time is for you?
[18:05:15]	[OOC] Crimson: bru
[18:07:03]	[OOC] CCA.C08-UNION.i5.81530: Iam here
[18:07:07]	[OOC] CCA.C08-UNION.i5.81530: 1 AM
[18:07:11]	[OOC] Crimson: *o*
[18:07:26]	[OOC] CCA.C08-UNION.i5.81530: Well yeah Didnt eat yesterday whole time lmao
[18:07:31]	CCA.C08-UNION.i5.81530 has gained 10 tokens.
[18:07:36]	[OOC] Crimson: not healthy maaan
[18:07:45]	[OOC] CCA.C08-UNION.i5.81530: Thats a life of a working person
[18:07:59]	[OOC] Crimson: noooooo
[18:08:08]	[OOC] Crimson: you should get breaks to eat no?
[18:08:25]	AXION created the character 'Emanuel'
[18:08:31]	AXION loaded the character 'Emanuel'
[18:08:38]	Crimson opened the '' #1895 container.
[18:08:45]	Crimson closed the '' #1895 container.
[18:09:00]	[LOOC] Crimson: buy cig
[18:09:02]	[LOOC] Crimson: come feller
[18:09:04]	[OOC] Emanuel: O no
[18:09:12]	Emanuel used the 'Cigarette Dispenser' vendor.
[18:09:14]	Emanuel has lost 5 tokens.
[18:09:14]	Emanuel has gained a 'UU Brand Cigarette Pack' #20326.
[18:09:18]	[LOOC] Crimson: we must deliver to the webuls in the outlands
[18:09:21]	Emanuel ran 'Take' on item 'UU Brand Cigarette Pack' (#20326)
