[00:00:02]	[OOC] Jack Kingston: ban
[19:08:12]	Kayly White has taken 1 damage from worldspawn.
[19:08:13]	Kayly White has taken 1 damage from worldspawn.
[19:08:13]	CCA.C17-JUDGE.i4.77460 has gained 10 tokens.
[19:08:13]	CCA.C17-GRID.EpU.06912 used command '/rooc up to you'.
[19:08:14]	Kayly White has taken 1 damage from worldspawn.
[19:08:14]	Kayly White has taken 1 damage from worldspawn.
[19:08:15]	Kayly White has taken 1 damage from worldspawn.
[19:08:16]	Kayly White has taken 1 damage from worldspawn.
[19:08:17]	Kayly White has taken 1 damage from worldspawn.
[19:08:17]	Kayly White has taken 1 damage from worldspawn.
[19:08:18]	Kayly White has taken 1 damage from worldspawn.
[19:08:19]	Kayly White has taken 1 damage from worldspawn.
[19:08:20]	Kayly White has taken 1 damage from worldspawn.
[19:08:20]	Kayly White has taken 1 damage from worldspawn.
[19:08:21]	Samuel Rodriguez has gained a 'Scrap Metal' #45314.
[19:08:21]	Kayly White has taken 1 damage from worldspawn.
[19:08:23]	Kayly White has taken 1 damage from worldspawn.
[19:08:24]	Kayly White has taken 1 damage from worldspawn.
[19:08:24]	Kayly White has taken 1 damage from worldspawn.
[19:08:25]	Kayly White has lost 2 tokens.
[19:08:25]	Kayly White has taken 1 damage from worldspawn.
[19:08:26]	Kayly White has taken 1 damage from worldspawn.
[19:08:26]	CCA.C17-GRID.EpU.06912 used command '/Radio JUDGE, report.'.
[19:08:27]	Kayly White has taken 1 damage from worldspawn.
[19:08:27]	Kayly White has taken 1 damage from worldspawn.
[19:08:28]	Kayly White has taken 1 damage from worldspawn.
[19:08:29]	Kayly White has taken 1 damage from worldspawn.
[19:08:30]	Kayly White has taken 1 damage from worldspawn.
[19:08:31]	Kayly White has taken 1 damage from worldspawn.
[19:08:31]	Kayly White ran 'equip' on item 'Citizen Filter' (#45315)
[19:08:32]	Samuel Rodriguez has gained a 'AA Battery' #45316.
[19:08:34]	Samuel Rodriguez opened the 'Dumpster' #2684 container.
[19:08:34]	CCA.C17-UNION.i4.04796 used command '/rooc Ill set down and just RP my injuries and patch them with bandages'.
[19:08:36]	Samuel Rodriguez closed the 'Dumpster' #2684 container.
[19:08:39]	CCA.C17-UNION.i4.04796 opened the 'Crate' #3349 container.
[19:08:43]	CCA.C17-JUDGE.i4.77460 used command '/Radio Manning workdesk.'.
[19:08:44]	CCA.C17-UNION.i4.04796 has gained a 'UU Brand Bandage' #43868.
[19:08:45]	CCA.C17-UNION.i4.04796 has gained a 'UU Brand Bandage' #43869.
[19:08:46]	CCA.C17-UNION.i4.04796 closed the 'Crate' #3349 container.
[19:08:54]	Samuel Rodriguez opened the 'Dumpster' #239 container.
[19:08:56]	[ME] CCA.C17-UNION.i4.04796: sits down on the medical table
[19:08:56]	Samuel Rodriguez closed the 'Dumpster' #239 container.
[19:09:03]	[ME] Douglas Hudson: vibes
[19:09:05]	Samuel Rodriguez has gained a 'Old Newspaper' #45318.
[19:09:06]	[LOOC] Douglas Hudson: void
[19:09:07]	[LOOC] CAC.C17-CRM.68653: fuck
[19:09:12]	[OOC] CAC.C17-CRM.68653: CPS LET THIS DUDE IN
[19:09:13]	John Stewert ran 'View' on item 'Notepad' (#43366)
[19:09:16]	Samuel Rodriguez has gained a 'Rubber Tire' #45319.
[19:09:22]	[ME] Kayly White: Would Scrub the bench hard getting all the dirt and stuff out on the sides front and back.
[19:09:24]	John Stewert ran 'View' on item 'Notepad' (#36404)
[19:09:25]	[ME] CCA.C17-UNION.i4.04796: would apply bandage wrapping to both his legs, attempting to assist his injuries
[19:09:25]	[OOC] CCA.C17-JUDGE.i4.77460: is there a transfer
[19:09:27]	[LOOC] Konrad Abrams: xD
[19:09:30]	John Stewert opened the 'Cash Register' #2418 container.
[19:09:30]	Samuel Rodriguez opened the 'Metal Cabinet' #2471 container.
[19:09:33]	Samuel Rodriguez closed the 'Metal Cabinet' #2471 container.
[19:09:34]	Samuel Rodriguez opened the 'Cash Register' #2478 container.
[19:09:34]	John Stewert closed the 'Cash Register' #2418 container.
[19:09:35]	CCA.C17-UNION.i4.04796 rolled 51 (47 + 4) out of 100 on Medical.
[19:09:35]	CCA.C17-UNION.i4.04796 used command '/RollSkill medical'.
[19:09:36]	Samuel Rodriguez closed the 'Cash Register' #2478 container.
[19:09:39]	[OOC] CAC.C17-CRM.68653: Yes dumb as
[19:09:40]	CCA.C17-UNION.i4.04796 ran 'AHealSelf' on item 'UU Brand Bandage' (#43868)
[19:09:41]	CCA.C17-UNION.i4.04796 ran 'AHealSelf' on item 'UU Brand Bandage' (#43869)
[19:09:42]	[OOC] Douglas Hudson: likely
[19:09:43]	[OOC] CCA.C17-JUDGE.i4.77460: easy
[19:09:47]	John Stewert ran 'View' on item 'Paper' (#38843)
[19:09:47]	Samuel Rodriguez opened the 'Dumpster' #3313 container.
[19:09:49]	Samuel Rodriguez closed the 'Dumpster' #3313 container.
[19:09:50]	John Stewert opened the 'Padlocked Metal Cabinet' #2417 container.
[19:09:53]	John Stewert closed the 'Padlocked Metal Cabinet' #2417 container.
[19:09:55]	CCA.C17-JUDGE.i4.77460 used command '/Radio Moving to trainstation to conduct a transfer.'.
[19:09:56]	John Stewert opened the 'Metal Cabinet' #2416 container.
[19:09:58]	[ME] Kayly White: would scrub the bench on the back front and sides
[19:09:59]	Samuel Rodriguez has gained a 'Cinderblock' #45320.
[19:10:01]	CCA.C17-GRID.EpU.06912 has gained 10 tokens.
[19:10:07]	John Stewert closed the 'Metal Cabinet' #2416 container.
[19:10:10]	CCA.C17-UNION.i4.04796 used command '/Radio Now back to 10-8. Bandaged my legs for now from the injuries. Hopefully that will get me through my duties'.
[19:10:12]	[LOOC] Konrad Abrams: Cheers
[19:10:12]	John Stewert opened the 'Dumpster' #2756 container.
[19:10:18]	John Stewert closed the 'Dumpster' #2756 container.
[19:10:22]	[LOOC] CAC.C17-CRM.68653: been on befor?
[19:10:24]	CCA.C17-UNION.i4.04796 used command '/CharDesc'.
[19:10:25]	CCA.C17-JUDGE.i4.77460 used command '/Radio 10-4, glad for you to be back.'.
[19:10:29]	[LOOC] Konrad Abrams: This sevrer? nah
[19:10:38]	[LOOC] CAC.C17-CRM.68653: ah, It's fun
[19:10:41]	CCA.C17-GRID.EpU.06912 used command '/Radio JUDGE, you're being promoted to i3.'.
[19:10:42]	Samuel Rodriguez ran 'drop' on item 'Old Newspaper' (#45318)
[19:10:42]	Samuel Rodriguez has lost a 'Old Newspaper' #45318.
[19:10:44]	CCA.C17-GRID.EpU.06912 used command '/CharSetName i4'.
[19:10:45]	CCA.C17-UNION.i4.04796 used command '/CharDesc Tattered Uniform with visible leg damage. Bandages wrapped around them.|Shiny boots|Bright Mask light with one seemingly off| Talks with a strong southern accent that breaks through the vocoder. Stands at an average height with a strong stance. '.
[19:10:45]	Samuel Rodriguez ran 'take' on item 'Car Battery' (#45321)
[19:10:45]	Samuel Rodriguez has gained a 'Car Battery' #45321.
[19:10:46]	[ME] Kayly White: would scrub the bench on the front back and sides of the bench
[19:10:48]	CCA.C17-GRID.EpU.06912 used command '/CharSetName CCA.C17-JUDGE.i4.77460 CCA.C17-JUDGE.i3.77460'.
[19:10:48]	[LOOC] CAC.C17-CRM.68653: ABOUT TIME
[19:11:03]	CCA.C17-UNION.i4.04796 used command '/Radio good work JUDGE'.
[19:11:07]	Samuel Rodriguez opened the 'Dumpster' #252 container.
[19:11:08]	Samuel Rodriguez closed the 'Dumpster' #252 container.
[19:11:08]	Samuel Rodriguez opened the 'Dumpster' #2548 container.
[19:11:09]	Samuel Rodriguez closed the 'Dumpster' #2548 container.
[19:11:19]	CCA.C17-JUDGE.i3.77460 used command '/Radio 10-4. I appreciate it. I'll head to the armory to change my suit out after I finish working.'.
[19:11:19]	[ME] Kayly White: would scrub the bench on its sides front and back
[19:11:24]	Samuel Rodriguez ran 'drop' on item 'Car Battery' (#45321)
[19:11:24]	Samuel Rodriguez has lost a 'Car Battery' #45321.
[19:11:25]	CCA.C17-JUDGE.i3.77460 ran 'Equip' on item 'MP7' (#41692)
[19:11:31]	Samuel Rodriguez ran 'take' on item 'Car Battery' (#45321)
[19:11:31]	Samuel Rodriguez has gained a 'Car Battery' #45321.
[19:11:32]	Samuel Rodriguez ran 'drop' on item 'Cinderblock' (#45320)
[19:11:32]	Samuel Rodriguez has lost a 'Cinderblock' #45320.
[19:11:39]	Samuel Rodriguez ran 'take' on item 'Cinderblock' (#45320)
[19:11:39]	Samuel Rodriguez has gained a 'Cinderblock' #45320.
[19:11:42]	Samuel Rodriguez ran 'drop' on item 'Cinderblock' (#45320)
[19:11:42]	Samuel Rodriguez has lost a 'Cinderblock' #45320.
[19:11:43]	CCA.C17-UNION.i4.04796 used command '/CharDesc'.
[19:11:55]	[LOOC] Douglas Hudson: AHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
[19:11:59]	Samuel Rodriguez opened the 'Metal Cabinet' #247 container.
[19:12:02]	Samuel Rodriguez closed the 'Metal Cabinet' #247 container.
[19:12:02]	John Stewert ran 'take' on item 'Scrap Glass' (#45231)
[19:12:02]	Samuel Rodriguez opened the 'Metal Cabinet' #246 container.
[19:12:03]	[LOOC] Lin'Garung: We wait
[19:12:04]	[ME] Kayly White: would scrub the back front and sides of the bench
[19:12:05]	John Stewert ran 'drop' on item 'Scrap Wood' (#40740)
[19:12:05]	John Stewert has lost a 'Scrap Wood' #40740.
[19:12:07]	Samuel Rodriguez closed the 'Metal Cabinet' #246 container.
[19:12:07]	Samuel Rodriguez opened the 'Metal Cabinet' #246 container.
[19:12:08]	John Stewert ran 'take' on item 'Scrap Glass' (#45231)
[19:12:08]	John Stewert has gained a 'Scrap Glass' #45231.
[19:12:08]	[LOOC] Lin'Garung: These things can take time
[19:12:08]	[LOOC] Douglas Hudson: we wait
[19:12:14]	[LOOC] Douglas Hudson: We wait
[19:12:15]	John Stewert ran 'take' on item 'Empty Pill Bottle' (#45233)
[19:12:16]	[LOOC] Douglas Hudson: We wait
[19:12:16]	Samuel Rodriguez closed the 'Metal Cabinet' #246 container.
[19:12:17]	[LOOC] Ava Carter: what are we waiting for
[19:12:18]	CCA.C17-UNION.i4.04796 used command '/CharDesc |Bandaged legs|Shiny boots|Bright Mask light with one seemingly off| Talks with a strong southern accent that breaks through the vocoder. Stands at an average height with a strong stance. '.
[19:12:19]	Samuel Rodriguez ran 'drop' on item 'Car Battery' (#45321)
[19:12:19]	Samuel Rodriguez has lost a 'Car Battery' #45321.
[19:12:19]	[LOOC] Lin'Garung: Q
[19:12:20]	[LOOC] Douglas Hudson: Q
[19:12:20]	Samuel Rodriguez ran 'drop' on item 'AA Battery' (#45316)
[19:12:20]	Samuel Rodriguez has lost a 'AA Battery' #45316.
[19:12:21]	Samuel Rodriguez ran 'drop' on item 'Rubber Tire' (#45319)
[19:12:21]	Samuel Rodriguez has lost a 'Rubber Tire' #45319.
[19:12:23]	[LOOC] Douglas Hudson: Q
[19:12:24]	[LOOC] Douglas Hudson: We wait
[19:12:25]	Samuel Rodriguez opened the 'Metal Cabinet' #246 container.
[19:12:25]	Samuel Rodriguez closed the 'Metal Cabinet' #246 container.
[19:12:29]	Samuel Rodriguez ran 'take' on item 'Car Battery' (#45321)
[19:12:29]	Samuel Rodriguez has gained a 'Car Battery' #45321.
[19:12:30]	[LOOC] Douglas Hudson: We wait
[19:12:30]	Samuel Rodriguez ran 'take' on item 'Rubber Tire' (#45319)
[19:12:30]	Samuel Rodriguez has gained a 'Rubber Tire' #45319.
[19:12:32]	Samuel Rodriguez ran 'take' on item 'AA Battery' (#45316)
[19:12:32]	Samuel Rodriguez has gained a 'AA Battery' #45316.
[19:12:33]	Samuel Rodriguez opened the 'Metal Cabinet' #247 container.
[19:12:33]	Samuel Rodriguez closed the 'Metal Cabinet' #247 container.
[19:12:33]	[ME] Konrad Abrams: fires the card over to the officer, it balanced in his palm
[19:12:34]	Ava Carter has spawned 'models/props_c17/FurnitureBoiler001a.mdl'.
[19:12:34]	Samuel Rodriguez opened the 'Metal Cabinet' #246 container.
[19:12:36]	[OOC] John Stewert: does scrap glass not count for butchering?
[19:12:36]	[ME] CCA.C17-JUDGE.i3.77460: would take the card from the man and turn to get a new one minted.
[19:12:38]	[ME] Kayly White: would scrub the final bench on the sides back and front
[19:12:40]	Konrad Abrams ran 'drop' on item 'Relocation Coupon' (#45302)
[19:12:40]	Konrad Abrams has lost a 'Relocation Coupon' #45302.
[19:12:42]	Ava Carter has spawned 'models/props_c17/FurnitureShelf001a.mdl'.
[19:12:44]	CCA.C17-JUDGE.i3.77460 ran 'take' on item 'Relocation Coupon' (#45302)
[19:12:44]	CCA.C17-JUDGE.i3.77460 has gained a 'Relocation Coupon' #45302.
[19:12:51]	CCA.C17-UNION.i4.04796 has gained 10 tokens.
[19:12:52]	[LOOC] CAC.C17-CRM.68653: cringe
[19:12:53]	Ava Carter has spawned 'models/props_c17/FurnitureShelf001a.mdl'.
[19:12:56]	Ava Carter has spawned 'models/props_c17/FurnitureShelf001a.mdl'.
[19:12:59]	[OOC] CCA.C17-UNION.i4.04796: I feel like you would cut your hand and suit by doing that.
[19:13:01]	Ava Carter has spawned 'models/props_c17/FurnitureShelf001a.mdl'.
[19:13:01]	Douglas Hudson has taken 100 damage from Ava Carter.
[19:13:01]	Ava Carter has killed Douglas Hudson with weapon_physgun.
[19:13:02]	Lin'Garung has taken 10 damage from Ava Carter.
[19:13:02]	Lin'Garung has taken 5 damage from Ava Carter.
[19:13:02]	Ava Carter has taken 500 damage from Ava Carter.
[19:13:02]	Ava Carter has killed Ava Carter.
[19:13:03]	CCA.C17-JUDGE.i3.77460 ran 'take' on item 'Citizen ID' (#45324)
[19:13:03]	CCA.C17-JUDGE.i3.77460 has gained a 'Citizen ID' #45324.
[19:13:04]	[LOOC] CAC.C17-CRM.68653: do /act or something idk
[19:13:09]	CCA.C17-JUDGE.i3.77460 ran 'drop' on item 'Relocation Coupon' (#45302)
[19:13:09]	CCA.C17-JUDGE.i3.77460 has lost a 'Relocation Coupon' #45302.
[19:13:10]	Samuel Rodriguez closed the 'Metal Cabinet' #246 container.
[19:13:11]	Samuel Rodriguez opened the 'Metal Cabinet' #247 container.
[19:13:13]	Samuel Rodriguez has gained a 'Small Cooking Pot' #44413.
[19:13:13]	CCA.C17-JUDGE.i3.77460 has gained 10 tokens.
[19:13:14]	Samuel Rodriguez closed the 'Metal Cabinet' #247 container.
[19:13:14]	Samuel Rodriguez opened the 'Metal Cabinet' #246 container.
[19:13:18]	Samuel Rodriguez closed the 'Metal Cabinet' #246 container.
[19:13:21]	Samuel Rodriguez opened the 'File Cabinet' #249 container.
[19:13:23]	Samuel Rodriguez closed the 'File Cabinet' #249 container.
[19:13:24]	Samuel Rodriguez opened the 'File Cabinet' #248 container.
[19:13:25]	[OOC] Lin'Garung: Dont worry crystal is still fine, incase you are wondering...
[19:13:26]	Samuel Rodriguez closed the 'File Cabinet' #248 container.
[19:13:27]	[ME] CCA.C17-JUDGE.i3.77460: pulls a small PDA from her belt loop. She types onto it quickly.
[19:13:28]	Ava Carter has spawned 'models/props_c17/oildrum001.mdl'.
[19:13:34]	[OOC] John Stewert: a cloth and glass making a makeshift shiv would be funny
[19:13:37]	Konrad Abrams used command '/ApplySay'.
[19:13:38]	wendigo loaded the character 'Bird'
[19:13:42]	wendigo loaded the character 'Ava Carter'
[19:13:43]	[OOC] CCA.C17-GRID.EpU.06912: no, not unbless you want to eat glass shards
[19:13:50]	wendigo loaded the character 'Bird'
[19:13:53]	CCA.C17-UNION.i4.04796 used the 'Ration Dispenser' vendor.
[19:13:53]	[OOC] CCA.C17-GRID.EpU.06912: smaller glass shards*
[19:13:53]	[LOOC] Douglas Hudson: I is sit
[19:13:54]	CCA.C17-UNION.i4.04796 has gained 0 tokens.
[19:13:54]	CCA.C17-UNION.i4.04796 has gained a 'CCA Grade Beverage (Grapefruit Flavor)' #45325.
[19:13:56]	CCA.C17-UNION.i4.04796 has gained 0 tokens.
[19:13:56]	CCA.C17-UNION.i4.04796 has gained a 'CCA Grade Food Product (Bacon Flavor)' #45326.
[19:13:57]	CCA.C17-UNION.i4.04796 has gained 0 tokens.
[19:13:57]	CCA.C17-UNION.i4.04796 has gained a 'CCA Grade Supplements (Oatmeal Flavor)' #45327.
[19:14:01]	[OOC] CAC.C17-CRM.68653: I do, it like candy rocks
[19:14:01]	wendigo loaded the character 'Ava Carter'
[19:14:02]	CCA.C17-UNION.i4.04796 ran 'Consume' on item 'CCA Grade Beverage (Grapefruit Flavor)' (#45325)
[19:14:03]	CCA.C17-UNION.i4.04796 ran 'Consume' on item 'CCA Grade Food Product (Bacon Flavor)' (#45326)
[19:14:03]	CCA.C17-UNION.i4.04796 ran 'Consume' on item 'CCA Grade Supplements (Oatmeal Flavor)' (#45327)
[19:14:05]	[LOOC] CCA.C17-JUDGE.i3.77460: can only be as old as up to 1985
[19:14:13]	John Stewert ran 'take' on item 'Scrap Electronics' (#45325)
[19:14:14]	CAC.C17-CRM.68653 has gained a 'Empty Flavored Consulate Water Can' #45326.
[19:14:15]	Samuel Rodriguez ran 'take' on item 'Light Bulb' (#35148)
[19:14:15]	Samuel Rodriguez has gained a 'Light Bulb' #35148.
[19:14:16]	Samuel Rodriguez ran 'take' on item 'Radio Case' (#43268)
[19:14:16]	Samuel Rodriguez has gained a 'Radio Case' #43268.
[19:14:17]	CAC.C17-CRM.68653 ran 'drop' on item 'Empty Flavored Consulate Water Can' (#45326)
[19:14:17]	CAC.C17-CRM.68653 has lost a 'Empty Flavored Consulate Water Can' #45326.
[19:14:17]	Samuel Rodriguez ran 'take' on item 'Paper' (#44709)
[19:14:17]	Samuel Rodriguez has gained a 'Paper' #44709.
[19:14:18]	CAC.C17-CRM.68653 destroyed a 'Empty Flavored Consulate Water Can' #45326.
[19:14:18]	Samuel Rodriguez ran 'take' on item 'Radio Case' (#43667)
[19:14:18]	Samuel Rodriguez has gained a 'Radio Case' #43667.
[19:14:21]	CAC.C17-CRM.68653 destroyed a 'Empty Bleach Bottle' #45293.
[19:14:23]	Ava Carter has spawned 'models/props_c17/oildrum001.mdl'.
[19:14:26]	Ava Carter has spawned 'models/props_c17/oildrum001.mdl'.
[19:14:29]	Samuel Rodriguez ran 'take' on item 'Power Supply Unit' (#25231)
[19:14:29]	Samuel Rodriguez has gained a 'Power Supply Unit' #25231.
[19:14:49]	CCA.C17-UNION.i4.04796 used command '/rooc brug. |White female|Thick| just popped up on camera'.
[19:14:58]	CCA.C17-JUDGE.i3.77460 used command '/ViewData konrad'.
[19:14:59]	[OOC] CAC.C17-CRM.68653: I'm 347away from the funny number
[19:15:01]	CCA.C17-GRID.EpU.06912 has gained 10 tokens.
[19:15:06]	CAC.C17-CRM.68653 opened the 'Trash Bin' #2551 container.
[19:15:06]	CAC.C17-CRM.68653 closed the 'Trash Bin' #2551 container.
[19:15:13]	CAC.C17-CRM.68653 has gained a 'Broken Computer Monitor' #45326.
[19:15:19]	CAC.C17-CRM.68653 ran 'drop' on item 'Broken Computer Monitor' (#45326)
[19:15:19]	CAC.C17-CRM.68653 has lost a 'Broken Computer Monitor' #45326.
[19:15:19]	CAC.C17-CRM.68653 destroyed a 'Broken Computer Monitor' #45326.
[19:15:21]	Samuel Rodriguez ran 'take' on item 'Empty Bleach Bottle' (#45322)
[19:15:21]	Samuel Rodriguez has gained a 'Empty Bleach Bottle' #45322.
[19:15:22]	CCA.C17-GRID.EpU.06912 exited observer at their location.
[19:15:25]	CCA.C17-GRID.EpU.06912 entered observer.
[19:15:31]	Samuel Rodriguez ran 'take' on item 'Citizen Filter' (#24501)
[19:15:31]	Samuel Rodriguez has gained a 'Citizen Filter' #24501.
[19:15:31]	[OOC] Douglas Hudson: thx
[19:15:34]	[LOOC] Ava Carter: hi bbys
[19:15:35]	CCA.C17-UNION.i4.04796 used command '/Radio judge, did you send a citizen for workdesk?'.
[19:15:37]	[LOOC] Ava Carter: void me
[19:15:40]	[LOOC] CCA.C17-JUDGE.i3.77460: what're you doing
[19:15:40]	[LOOC] Ava Carter: i died
[19:15:44]	CCA.C17-JUDGE.i3.77460 used command '/Radio I did.'.
[19:15:44]	Dr. Walter Bennett has connected.
[19:15:46]	Samuel Rodriguez opened the 'File Cabinet' #249 container.
[19:15:46]	Samuel Rodriguez closed the 'File Cabinet' #249 container.
[19:15:47]	Samuel Rodriguez opened the 'File Cabinet' #249 container.
[19:15:50]	Samuel Rodriguez closed the 'File Cabinet' #249 container.
[19:15:50]	CCA.C17-JUDGE.i3.77460 used command '/Radio Alert them I will return shortly.'.
[19:15:50]	Samuel Rodriguez opened the 'File Cabinet' #248 container.
[19:15:51]	[OOC] John Stewert: are all the antlions npcs?
[19:15:52]	Samuel Rodriguez closed the 'File Cabinet' #248 container.
[19:15:54]	Samuel Rodriguez opened the 'Metal Cabinet' #246 container.
[19:15:56]	CCA.C17-UNION.i4.04796 used command '/Radio copy.'.
[19:16:01]	Val has connected.
[19:16:01]	[OOC] CAC.C17-CRM.68653: some can be :)
[19:16:08]	Dr. Walter Bennett loaded the character 'Steve Simmons'
[19:16:10]	John Stewert has taken 5 damage from npc_antlion.
[19:16:12]	Mal0 v0.9 loaded the character 'OH SHIT OH FUCK IT A FLYING ROACH'
[19:16:12]	John Stewert has taken 5 damage from npc_antlion.
[19:16:15]	Samuel Rodriguez closed the 'Metal Cabinet' #246 container.
[19:16:17]	John Stewert has taken 5 damage from npc_antlion.
[19:16:22]	[LOOC] CCA.C17-JUDGE.i3.77460: now
[19:16:30]	CCA.C17-JUDGE.i3.77460 used command '/ViewData konrad'.
[19:16:34]	Samuel Rodriguez ran 'take' on item 'Cinderblock' (#45320)
[19:16:34]	Samuel Rodriguez has gained a 'Cinderblock' #45320.
[19:16:37]	Samuel Rodriguez ran 'drop' on item 'Cinderblock' (#45320)
[19:16:37]	Samuel Rodriguez has lost a 'Cinderblock' #45320.
[19:16:39]	CCA.C17-GRID.EpU.06912 used command '/PM ava how did you dfier'.
[19:16:42]	Val loaded the character 'Matthew Rattias'
[19:16:56]	[ME] CCA.C17-JUDGE.i3.77460: hands over the CID to the man.
[19:16:58]	CCA.C17-UNION.i4.04796 used command '/rooc is it just me or have a never seen any of these people lmao'.
[19:17:00]	CCA.C17-JUDGE.i3.77460 ran 'drop' on item 'Citizen ID' (#45324)
[19:17:00]	CCA.C17-JUDGE.i3.77460 has lost a 'Citizen ID' #45324.
[19:17:01]	Aziz Macleod has gained a 'Cyclopic Citizen Suit' #45326.
[19:17:01]	Aziz Macleod has gained a 'Citizen Filter' #45327.
[19:17:01]	Havel created the character 'Aziz Macleod'
[19:17:01]	Aziz Macleod has gained a 'Suitcase' #45328.
[19:17:01]	Aziz Macleod has gained a 'Relocation Coupon' #45329.
[19:17:01]	Havel loaded the character 'Aziz Macleod'
[19:17:02]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:02]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:03]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:03]	[OOC] John Stewert: i guess im gonna be a crazy guy living in the sewer lol. randomly attacking fauna
[19:17:04]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:05]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:05]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:06]	[ME] Konrad Abrams: accepts tucking it in his pocket
[19:17:06]	Ava Carter used command '/PM grid.ep by fucking around with props and acidentally killed myself'.
[19:17:06]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:07]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:08]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:08]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:09]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:10]	[OOC] Aziz Macleod: hows it going boys AAUUUUGHH
[19:17:10]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:11]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:11]	Konrad Abrams ran 'take' on item 'Citizen ID' (#45324)
[19:17:11]	Konrad Abrams has gained a 'Citizen ID' #45324.
[19:17:11]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:12]	Aziz Macleod has taken 1 damage from worldspawn.
[19:17:16]	[OOC] CCA.C17-UNION.i4.04796: why is that?
[19:17:17]	CCA.C17-GRID.EpU.06912 used command '/PM ava where were you'.
[19:17:23]	[OOC] Matthew Rattias: havel my man
[19:17:25]	Ava Carter used command '/PM grid.ep rebel base'.
[19:17:26]	[OOC] Aziz Macleod: Fucking load in and i was chocking to death
[19:17:27]	[OOC] CCA.C17-UNION.i4.04796: you stuck in the CZ?
[19:17:28]	OH SHIT OH FUCK IT A FLYING ROACH ran 'Equip' on item 'Shovel' (#41059)
[19:17:29]	CCA.C17-JUDGE.i3.77460 used command '/Radio returning to workdesk.'.
[19:17:35]	CCA.C17-JUDGE.i3.77460 used command '/rooc Returning*'.
[19:17:39]	Konrad Abrams ran 'View' on item 'Paper' (#28726)
[19:17:39]	Aziz Macleod ran 'Equip' on item 'Cyclopic Citizen Suit' (#45326)
[19:17:51]	CCA.C17-UNION.i4.04796 has gained 10 tokens.
[19:17:55]	[LOOC] Aziz Macleod: holy shit i have a work suit
[19:17:55]	John Stewert has taken 6 damage from OH SHIT OH FUCK IT A FLYING ROACH.
[19:17:57]	OH SHIT OH FUCK IT A FLYING ROACH has taken 6 damage from John Stewert.
[19:17:58]	John Stewert has taken 6 damage from OH SHIT OH FUCK IT A FLYING ROACH.
[19:17:58]	OH SHIT OH FUCK IT A FLYING ROACH has killed John Stewert with weapon_hl2m_shovel.
[19:18:00]	[LOOC] Aziz Macleod: this drip is insane
[19:18:01]	[OOC] OH SHIT OH FUCK IT A FLYING ROACH: GG
[19:18:05]	[OOC] John Stewert: lol
[19:18:13]	CCA.C17-JUDGE.i3.77460 has gained 10 tokens.
[19:18:14]	Samuel Rodriguez opened the 'Metal Cabinet' #2763 container.
[19:18:17]	Samuel Rodriguez has gained a 'Raw Flying Alien Meat' #31731.
[19:18:18]	Samuel Rodriguez ran 'Edit' on item 'Notepad' (#30432)
[19:18:20]	[OOC] John Stewert: oh hey cool i keep my stuff
[19:18:21]	Samuel Rodriguez closed the 'Metal Cabinet' #2763 container.
[19:18:21]	[OOC] Matthew Rattias: ah yeah havel equip your hazmat suit and a filter or you'll be coping
[19:18:22]	Aziz Macleod has taken 1 damage from worldspawn.
[19:18:22]	Aziz Macleod has taken 1 damage from worldspawn.
[19:18:23]	Aziz Macleod has taken 1 damage from worldspawn.
[19:18:24]	Samuel Rodriguez ran 'take' on item 'Standard Grade Supplements (Water Flavor)' (#41304)
[19:18:24]	Samuel Rodriguez has gained a 'Standard Grade Supplements (Water Flavor)' #41304.
[19:18:24]	Aziz Macleod has taken 1 damage from worldspawn.
[19:18:25]	Aziz Macleod has taken 1 damage from worldspawn.
[19:18:25]	Samuel Rodriguez ran 'take' on item 'Standard Grade Supplements (Mushroom Flavor)' (#41410)
[19:18:25]	Samuel Rodriguez has gained a 'Standard Grade Supplements (Mushroom Flavor)' #41410.
[19:18:25]	Aziz Macleod ran 'equip' on item 'Citizen Filter' (#45327)
[19:18:26]	Samuel Rodriguez ran 'take' on item 'Minimum Grade Supplements (No Flavor)' (#41395)
[19:18:26]	Samuel Rodriguez has gained a 'Minimum Grade Supplements (No Flavor)' #41395.
[19:18:28]	Samuel Rodriguez ran 'take' on item 'Standard Grade Food Product (Mushroom Flavor)' (#41409)
