[03:37:46]	Peppermint has connected.
[20:25:07]	cass loaded the character 'Selene Akehurst'
[20:25:41]	cass (STEAM_0:0:57118159) has disconnected.
[20:26:47]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[20:28:27]	Raven has killed Raven.
[20:30:54]	Raven has killed Raven.
[20:31:00]	Bean has connected.
[20:31:21]	Bean loaded the character 'James McKay'
[20:31:37]	[OOC] James McKay: Im...BACKKKKK
[20:31:47]	James McKay used command '/CharDesc'.
[20:31:47]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[20:32:02]	James McKay used command '/CharDesc  [Red Cross Armband] A Well built man standing at around 6'3" | Walks in a very boisterous fashion | Wears a Armored Medical Uniform | Speaks in a ecstatic slavic accent | A large scar across the right side of his face |'.
[20:32:05]	[OOC] CCA.C17-HELIX.i4.08874: Welcome
[20:32:17]	James McKay has gained a 'Empty Cooking Oil Bottle' #30457.
[20:32:19]	James McKay ran 'drop' on item 'Empty Cooking Oil Bottle' (#30457)
[20:32:19]	James McKay has lost a 'Empty Cooking Oil Bottle' #30457.
[20:32:37]	James McKay has gained a 'Horse Statue' #30458.
[20:32:40]	James McKay ran 'drop' on item 'Horse Statue' (#30458)
[20:32:40]	James McKay has lost a 'Horse Statue' #30458.
[20:33:21]	Bean loaded the character 'Alex Palovichov'
[20:33:25]	Alex Palovichov ran 'EquipUn' on item 'CWU Leadership Suit' (#24484)
[20:33:26]	Alex Palovichov ran 'Equip' on item 'CWU Leadership Suit' (#24484)
[20:34:12]	[OOC] Alex Palovichov: I've yet to get my code paper back
[20:34:36]	[OOC] Alex Palovichov: The probably most important piece of paper in the whole city
[20:34:48]	[OOC] Raven: The only CMU died tonight lol
[20:35:08]	[OOC] Alex Palovichov: Better for James McKay
[20:35:11]	Alex Palovichov used the 'Infestation Control Storage' vendor.
[20:35:37]	Alex Palovichov opened the '' #2676 container.
[20:35:45]	Alex Palovichov closed the '' #2676 container.
[20:36:12]	Alex Palovichov opened the 'Samples Fridge' #2397 container.
[20:36:14]	Alex Palovichov closed the 'Samples Fridge' #2397 container.
[20:37:27]	[OOC] Alex Palovichov: Is Q here?
[20:38:12]	Alex Palovichov has gained a 'Graphics Card' #30459.
[20:38:18]	Alex Palovichov ran 'drop' on item 'Graphics Card' (#30459)
[20:38:18]	Alex Palovichov has lost a 'Graphics Card' #30459.
[20:38:33]	Alex Palovichov ran 'View' on item 'Notepad' (#29496)
[20:38:37]	Alex Palovichov ran 'View' on item 'Notepad' (#29496)
[20:38:50]	Raven has taken 12 damage from Alex Palovichov.
[20:38:50]	Alex Palovichov has killed Raven with weapon_crowbar.
[20:39:13]	Peppermint (STEAM_0:1:115933392) has disconnected.
[20:39:42]	Bean (STEAM_0:1:591779303) has disconnected.
[20:41:47]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[20:42:43]	Painevan (STEAM_0:0:68118061) has disconnected.
[20:57:43]	Mr.Ganar has connected.
[20:58:03]	Mr.Ganar (STEAM_0:0:80909581) has disconnected.
[20:58:46]	LynxQueen has connected.
[21:00:59]	LynxQueen created the character 'AWAITING ASSIGNMENT'
[21:00:59]	LynxQueen loaded the character 'AWAITING ASSIGNMENT'
[21:01:03]	[OOC] AWAITING ASSIGNMENT: howdy
[21:01:09]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:10]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:10]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:11]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:12]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:13]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:13]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:14]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:15]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:16]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:16]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:17]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:18]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:19]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:19]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:20]	[OOC] AWAITING ASSIGNMENT: ope time to die
[21:01:20]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:21]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:22]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:23]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:23]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:24]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:25]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:26]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:01:26]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[21:02:08]	LynxQueen loaded the character 'CCA.C17-HELIX.i3.67098'
[21:04:24]	CCA.C17-HELIX.i3.67098 opened the '' #2685 container.
[21:04:26]	CCA.C17-HELIX.i3.67098 closed the '' #2685 container.
[21:04:35]	CCA.C17-HELIX.i3.67098 opened the '' #2686 container.
[21:04:37]	CCA.C17-HELIX.i3.67098 closed the '' #2686 container.
[21:06:27]	LynxQueen loaded the character 'Seung Shi-eun'
[21:07:02]	Seung Shi-eun destroyed a 'Bar of Soap' #27470.
[21:07:36]	Seung Shi-eun used the 'Storage' vendor.
[21:07:49]	Seung Shi-eun used the 'Storage' vendor.
[21:08:05]	Seung Shi-eun opened the '' #2819 container.
[21:08:07]	Seung Shi-eun closed the '' #2819 container.
[21:09:37]	LynxQueen loaded the character 'Kal'Taar'
[21:11:37]	Kal'Taar has spawned 'models/props_c17/oildrum001.mdl'.
[21:11:39]	Kal'Taar has spawned 'models/props_interiors/VendingMachineSoda01a_door.mdl'.
[21:11:40]	Kal'Taar has spawned 'models/props_junk/cardboard_box001a.mdl'.
[21:14:50]	Kal'Taar ran 'take' on item 'Boot' (#30014)
[21:14:50]	Kal'Taar has gained a 'Boot' #30014.
[21:14:54]	Kal'Taar ran 'drop' on item 'Boot' (#30014)
[21:14:54]	Kal'Taar has lost a 'Boot' #30014.
[21:15:42]	LynxQueen (STEAM_0:1:70540942) has disconnected.
[21:32:03]	Nums has connected.
[21:33:28]	Nums loaded the character 'CCA.C17-UNION.i5.77460'
[21:33:43]	Nums (STEAM_0:1:196547442) has disconnected.
