[00:00:00]	[OOC] Drake Salvador: Aiight
[17:45:39]	[OOC] Jim Bostello: idk i can give it to you see if itll work for you
[17:45:47]	[OOC] 1LT Alan Ford: currently busy atm
[17:45:51]	[OOC] Jim Bostello: all good
[17:47:43]	Jim Bostello has gained 20 tokens.
[17:47:59]	Burt Bambze opened the '' #1464 container.
[17:48:01]	Burt Bambze closed the '' #1464 container.
[17:48:06]	Burt Bambze opened the '' #1231 container.
[17:48:08]	Burt Bambze closed the '' #1231 container.
[17:48:09]	Burt Bambze opened the '' #1232 container.
[17:48:11]	Burt Bambze closed the '' #1232 container.
[17:48:50]	Burt Bambze opened the '' #1316 container.
[17:48:51]	Burt Bambze closed the '' #1316 container.
[17:48:51]	Burt Bambze opened the '' #1316 container.
[17:48:54]	Burt Bambze closed the '' #1316 container.
[17:49:23]	Burt Bambze opened the '' #1236 container.
[17:49:24]	Burt Bambze closed the '' #1236 container.
[17:49:50]	Burt Bambze opened the '' #1243 container.
[17:49:52]	Burt Bambze closed the '' #1243 container.
[17:50:39]	Burt Bambze opened the '' #1268 container.
[17:50:42]	Burt Bambze closed the '' #1268 container.
[17:50:49]	Jim Bostello ran 'EquipUn' on item 'Conscript Hazmat Armor' (#14139)
[17:51:13]	[OOC] Jim Bostello: anything exciting planned for today?
[17:51:17]	[LOOC] Areth Martin: brb rq
[17:51:26]	Burt Bambze opened the '' #1278 container.
[17:51:28]	Burt Bambze closed the '' #1278 container.
[17:51:54]	[OOC] 1LT Alan Ford: not in particular but if you invite your friends we can make it high population and cool shit will happen
[17:52:56]	[OOC] Jim Bostello: if i know anyone lol
[17:53:10]	Burt Bambze ran 'drop' on item 'Rock' (#13831)
[17:53:10]	Burt Bambze has lost a 'Rock' #13831.
[17:53:28]	Burt Bambze ran 'Equip' on item 'Rock' (#13834)
[17:53:37]	Burt Bambze ran 'EquipUn' on item 'Rock' (#13834)
[17:53:48]	Burt Bambze ran 'take' on item 'Empty Water Can' (#1655)
[17:53:48]	Burt Bambze has gained a 'Empty Water Can' #1655.
[17:53:57]	Burt Bambze ran 'take' on item 'Rock' (#13831)
[17:53:57]	Burt Bambze has gained a 'Rock' #13831.
[17:54:06]	Burt Bambze opened the '' #1255 container.
[17:54:08]	Burt Bambze closed the '' #1255 container.
[17:54:27]	Burt Bambze ran 'Equip' on item 'Rock' (#13834)
[17:54:39]	Burt Bambze ran 'EquipUn' on item 'Rock' (#13834)
[17:54:45]	[LOOC] Areth Martin: temporarily
[17:55:52]	Burt Bambze ran 'Equip' on item 'Rock' (#13834)
[17:55:56]	Burt Bambze ran 'EquipUn' on item 'Rock' (#13834)
[17:56:02]	Burt Bambze opened the '' #1284 container.
[17:56:04]	Burt Bambze closed the '' #1284 container.
[17:56:18]	Burt Bambze has taken 2 damage from worldspawn.
[17:57:06]	Andrew 'Razor' Gonzalez used command '/PM Ford Why is the city so non-existent with people I can't seem to find them'.
[17:57:19]	1LT Alan Ford used command '/PM razor because God is dead?'.
[17:57:28]	1LT Alan Ford ran 'EquipUn' on item 'Conscript Armor' (#14200)
[17:57:29]	1LT Alan Ford ran 'Equip' on item 'Conscript Hazmat Armor' (#8100)
[17:57:33]	[LOOC] Areth Martin: did i make it?????
[17:57:37]	[LOOC] 1LT Alan Ford: i'll tell you IC
[17:57:42]	Andrew 'Razor' Gonzalez used command '/PM Ford Yeah but it's like everyone fucked off into the sewers'.
[17:57:56]	1LT Alan Ford used command '/PM razor let me check in observer to see if that's true'.
[17:58:06]	[ME] Areth Martin: gets off the chair following the first 1LT.
[17:58:47]	[LOOC] Areth Martin: oh thats lame
[17:59:01]	[LOOC] Areth Martin: oh thats lame
[17:59:11]	1LT Alan Ford entered observer.
[17:59:12]	1LT Alan Ford exited observer at their location.
[17:59:18]	Andrew 'Razor' Gonzalez used command '/PM Ford It's either I'm stupid and blind or I'm right because I've ran 5 laps and I only found one afk person'.
[17:59:36]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[17:59:38]	CCA.C08-UNION.i1.51023 entered observer.
[17:59:39]	[Y] Burt Bambze: Help!
[17:59:46]	Burt Bambze ran 'drop' on item 'Empty Water Can' (#1655)
[17:59:46]	Burt Bambze has lost a 'Empty Water Can' #1655.
[17:59:54]	CCA.C08-UNION.i1.51023 used command '/PM razor i found where one of them is, and then another'.
[18:00:02]	Andrew 'Razor' Gonzalez used command '/PM 510 I found Drake'.
[18:00:15]	[LOOC] Burt Bambze: fuck you
[18:00:28]	[OOC] CCA.C08-UNION.i1.51023: mm server lag very good
[18:00:37]	[OOC] Andrew 'Razor' Gonzalez: Yes 250 ping
[18:00:59]	Areth Martin used the 'Shady Salesman' vendor.
[18:01:12]	Burt Bambze has taken 2 damage from worldspawn.
[18:01:21]	[LOOC] Burt Bambze: bitch
[18:01:25]	Burt Bambze ran 'take' on item 'Empty Water Can' (#1655)
[18:01:25]	Burt Bambze has gained a 'Empty Water Can' #1655.
[18:01:43]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [58][entity_tank_editable]'.
[18:01:58]	Burt Bambze ran 'drop' on item 'Empty Water Can' (#1655)
[18:01:58]	Burt Bambze has lost a 'Empty Water Can' #1655.
[18:02:07]	[LOOC] Andrew 'Razor' Gonzalez: bro
[18:02:17]	Burt Bambze ran 'drop' on item 'Boot' (#13820)
[18:02:17]	Burt Bambze has lost a 'Boot' #13820.
[18:02:26]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:26]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:26]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:27]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:27]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:27]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:27]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:27]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:27]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:27]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:27]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:27]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:27]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:27]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:27]	Burt Bambze has taken 6 damage from CCA.C08-UNION.i1.51023.
[18:02:27]	CCA.C08-UNION.i1.51023 has killed Burt Bambze.
[18:02:29]	[OOC] CCA.C08-UNION.i1.51023: oh
[18:02:31]	[OOC] CCA.C08-UNION.i1.51023: it does damage
[18:02:32]	[OOC] CCA.C08-UNION.i1.51023: huh
[18:02:32]	[OOC] Burt Bambze: wtf
[18:02:43]	Burt Bambze has taken 5 damage from CCA.C08-UNION.i1.51023.
[18:02:43]	Burt Bambze has taken 5 damage from CCA.C08-UNION.i1.51023.
[18:02:43]	Burt Bambze has taken 5 damage from CCA.C08-UNION.i1.51023.
[18:02:43]	Burt Bambze has taken 5 damage from CCA.C08-UNION.i1.51023.
[18:02:43]	Burt Bambze has taken 5 damage from CCA.C08-UNION.i1.51023.
[18:02:43]	Burt Bambze has taken 5 damage from CCA.C08-UNION.i1.51023.
[18:02:43]	Burt Bambze has taken 5 damage from CCA.C08-UNION.i1.51023.
[18:02:43]	Burt Bambze has taken 5 damage from CCA.C08-UNION.i1.51023.
[18:02:43]	Burt Bambze has taken 5 damage from CCA.C08-UNION.i1.51023.
[18:02:43]	Burt Bambze has taken 5 damage from CCA.C08-UNION.i1.51023.
[18:02:43]	Areth Martin has taken 5 damage from npc_headcrab.
[18:02:47]	[OOC] CCA.C08-UNION.i1.51023: WHY IS IT DOING DAMAGE
[18:02:57]	[OOC] Burt Bambze: bitch
[18:03:08]	Burt Bambze has taken 5 damage from CCA.C08-UNION.i1.51023.
[18:03:08]	Burt Bambze has taken 5 damage from CCA.C08-UNION.i1.51023.
[18:03:10]	[OOC] Burt Bambze: give me back my hp
[18:03:14]	[OOC] CCA.C08-UNION.i1.51023: done
[18:03:20]	Areth Martin used the 'Street Market' vendor.
[18:03:25]	[Y] Burt Bambze: You suck.
[18:03:30]	[Y] Andrew 'Razor' Gonzalez: You too.
[18:03:38]	[Y] Andrew 'Razor' Gonzalez: Also I don't think you're meant to be there.
[18:03:39]	[Y] Burt Bambze: You suck more.
[18:03:47]	[Y] Burt Bambze: Suck my dick.
[18:03:59]	Areth Martin used the 'Resin Terminal' vendor.
[18:04:02]	[Y] Andrew 'Razor' Gonzalez: You'll be sucking to the Combine when they catch you.
[18:04:04]	Areth Martin opened the '' #1341 container.
[18:04:08]	Areth Martin closed the '' #1341 container.
[18:04:11]	[Y] Burt Bambze: Come down here and say that\.
[18:04:15]	Burt Bambze ran 'EquipUn' on item 'Green Citizen Suit' (#14191)
[18:04:16]	Burt Bambze ran 'Equip' on item 'Cyclopic Citizen Suit' (#189)
[18:04:22]	Burt Bambze has taken 2 damage from worldspawn.
[18:04:40]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[18:05:34]	Burt Bambze ran 'take' on item 'Boot' (#13820)
[18:05:34]	Burt Bambze has gained a 'Boot' #13820.
[18:06:01]	Andrew 'Razor' Gonzalez used the 'Resin Terminal' vendor.
[18:06:24]	CCA.C08-UNION.i1.51023 used command '/PlySearch'.
[18:06:26]	CCA.C08-UNION.i1.51023 has gained a 'Relocation Coupon' #14130.
[18:06:38]	[ME] Areth Martin: takes an item he stepped on.
[18:06:40]	Areth Martin ran 'take' on item 'Citizen Filter' (#13938)
[18:06:40]	Areth Martin has gained a 'Citizen Filter' #13938.
[18:06:43]	CCA.C08-UNION.i1.51023 used command '/ToggleRaise'.
[18:06:44]	CCA.C08-UNION.i1.51023 used command '/ToggleRaise'.
[18:06:47]	CCA.C08-UNION.i1.51023 ran 'take' on item 'Citizen ID' (#14202)
[18:06:47]	CCA.C08-UNION.i1.51023 has gained a 'Citizen ID' #14202.
[18:06:51]	[OOC] CCA.C08-UNION.i1.51023: void this explosino
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Citizen ID' #12302.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Relocation Coupon' #12420.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Relocation Coupon' #12988.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Citizen ID' #13034.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Relocation Coupon' #13032.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Relocation Coupon' #13041.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Notepad' #12398.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Notepad' #12397.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Citizen ID' #13000.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Citizen ID' #12428.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Relocation Coupon' #11618.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Relocation Coupon' #12710.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Relocation Coupon' #13006.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Notepad' #12396.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Relocation Coupon' #14180.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Citizen ID' #14183.
[18:06:55]	CCA.C08-UNION.i1.51023 destroyed a 'Relocation Coupon' #188.
[18:07:03]	CCA.C08-UNION.i1.51023 used command '/PlySearch'.
[18:07:06]	Areth Martin has gained a 'Citizen ID' #14202.
[18:07:46]	Andrew 'Razor' Gonzalez ran 'View' on item 'Notepad' (#12115)
[18:08:05]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:08:05]	CCA.C08-UNION.i1.51023 entered observer.
[18:08:06]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:08:16]	Burt Bambze has taken 1 damage from worldspawn.
[18:08:17]	Burt Bambze has taken 1 damage from worldspawn.
[18:08:17]	Burt Bambze has taken 1 damage from worldspawn.
[18:08:18]	Burt Bambze has taken 1 damage from worldspawn.
[18:08:19]	Burt Bambze ran 'equip' on item 'Citizen Filter' (#11099)
[18:09:20]	CCA.C08-UNION.i1.51023 entered observer.
[18:09:25]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:09:32]	CCA.C08-UNION.i1.51023 has spawned a 'Entity [193][ix_testent8]'.
[18:09:40]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[18:09:41]	CCA.C08-UNION.i1.51023 entered observer.
[18:09:57]	Areth Martin has taken 1 damage from worldspawn.
[18:09:58]	Areth Martin has taken 1 damage from worldspawn.
[18:09:58]	Areth Martin has taken 1 damage from worldspawn.
[18:09:59]	Areth Martin has taken 1 damage from worldspawn.
[18:10:00]	Areth Martin has taken 1 damage from worldspawn.
[18:10:01]	Areth Martin has taken 1 damage from worldspawn.
[18:10:01]	Areth Martin has taken 1 damage from worldspawn.
[18:10:02]	Areth Martin has taken 1 damage from worldspawn.
[18:10:03]	Areth Martin has taken 1 damage from worldspawn.
[18:10:04]	Areth Martin has taken 1 damage from worldspawn.
[18:10:04]	Areth Martin has taken 1 damage from worldspawn.
[18:10:05]	Areth Martin has taken 1 damage from worldspawn.
[18:10:06]	Areth Martin has taken 1 damage from worldspawn.
[18:10:07]	Areth Martin has taken 1 damage from worldspawn.
[18:10:07]	Areth Martin ran 'equip' on item 'Citizen Filter' (#13938)
[18:10:12]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:10:31]	Burt Bambze ran 'drop' on item 'Citizen ID' (#14184)
[18:10:31]	Burt Bambze has lost a 'Citizen ID' #14184.
[18:10:42]	CCA.C08-UNION.i1.51023 used command '/ViewData burt'.
[18:10:53]	CCA.C08-UNION.i1.51023 used the 'Ration Supply' vendor.
[18:10:54]	Burt Bambze ran 'take' on item 'Citizen ID' (#14184)
[18:10:54]	Burt Bambze has gained a 'Citizen ID' #14184.
[18:10:55]	CCA.C08-UNION.i1.51023 has gained 0 tokens.
[18:10:55]	CCA.C08-UNION.i1.51023 has gained a 'Standard Grade Ration' #14203.
[18:11:05]	[ME] CCA.C08-UNION.i1.51023: hands the man one standard ration.
[18:11:07]	CCA.C08-UNION.i1.51023 ran 'drop' on item 'Standard Grade Ration' (#14203)
[18:11:07]	CCA.C08-UNION.i1.51023 has lost a 'Standard Grade Ration' #14203.
[18:11:13]	Burt Bambze ran 'take' on item 'Standard Grade Ration' (#14203)
[18:11:13]	Burt Bambze has gained a 'Standard Grade Ration' #14203.
[18:11:15]	[Y] CCA.C08-UNION.i1.51023: <:: Next. ::>
[18:11:27]	Areth Martin used command '/Apply'.
[18:11:30]	[ME] CCA.C08-UNION.i1.51023: takes out their datapad and types a couple things in.
[18:11:32]	CCA.C08-UNION.i1.51023 used command '/ViewData areth'.
[18:11:39]	CCA.C08-UNION.i1.51023 used the 'Ration Supply' vendor.
[18:11:42]	CCA.C08-UNION.i1.51023 has gained 0 tokens.
[18:11:42]	CCA.C08-UNION.i1.51023 has gained a 'Standard Grade Ration' #14204.
[18:11:43]	CCA.C08-UNION.i1.51023 has gained 0 tokens.
[18:11:43]	CCA.C08-UNION.i1.51023 has gained a 'Standard Grade Ration' #14205.
[18:11:51]	[ME] CCA.C08-UNION.i1.51023: hands the man two standard rations.
[18:11:54]	CCA.C08-UNION.i1.51023 ran 'drop' on item 'Standard Grade Ration' (#14204)
[18:11:54]	CCA.C08-UNION.i1.51023 has lost a 'Standard Grade Ration' #14204.
[18:11:54]	CCA.C08-UNION.i1.51023 ran 'drop' on item 'Standard Grade Ration' (#14205)
[18:11:54]	CCA.C08-UNION.i1.51023 has lost a 'Standard Grade Ration' #14205.
[18:11:57]	[ME] Areth Martin: takes his rations calmy.
[18:12:06]	Areth Martin ran 'take' on item 'Standard Grade Ration' (#14204)
[18:12:06]	Areth Martin has gained a 'Standard Grade Ration' #14204.
[18:12:09]	Areth Martin ran 'take' on item 'Standard Grade Ration' (#14205)
[18:12:09]	Areth Martin has gained a 'Standard Grade Ration' #14205.
[18:12:15]	[Y] CCA.C08-UNION.i1.51023: <:: Next. ::>
[18:12:22]	Andrew 'Razor' Gonzalez used command '/Apply'.
[18:12:28]	Areth Martin ran 'Open' on item 'Standard Grade Ration' (#14204)
[18:12:28]	Areth Martin has gained a 'Standard Grade Citizen Food Product' #14206.
[18:12:28]	Areth Martin has gained a 'Consulate Water' #14207.
[18:12:28]	Areth Martin has gained 10 tokens.
[18:12:29]	Areth Martin ran 'Open' on item 'Standard Grade Ration' (#14205)
[18:12:29]	Areth Martin has gained a 'Standard Grade Citizen Food Product' #14208.
[18:12:29]	Areth Martin has gained a 'Consulate Water' #14209.
[18:12:29]	Areth Martin has gained 10 tokens.
[18:12:30]	CCA.C08-UNION.i1.51023 used the 'Ration Supply' vendor.
[18:12:33]	CCA.C08-UNION.i1.51023 has gained 0 tokens.
[18:12:33]	CCA.C08-UNION.i1.51023 has gained a 'Loyalist Grade Ration' #14210.
[18:12:35]	CCA.C08-UNION.i1.51023 has gained 0 tokens.
[18:12:35]	CCA.C08-UNION.i1.51023 has gained a 'Standard Grade Ration' #14211.
[18:13:05]	[ME] CCA.C08-UNION.i1.51023: hands the man both of his rations.
[18:13:07]	CCA.C08-UNION.i1.51023 ran 'drop' on item 'Loyalist Grade Ration' (#14210)
[18:13:07]	CCA.C08-UNION.i1.51023 has lost a 'Loyalist Grade Ration' #14210.
[18:13:08]	CCA.C08-UNION.i1.51023 ran 'drop' on item 'Standard Grade Ration' (#14211)
[18:13:08]	CCA.C08-UNION.i1.51023 has lost a 'Standard Grade Ration' #14211.
[18:13:10]	Areth Martin opened the '' #1287 container.
[18:13:12]	Areth Martin closed the '' #1287 container.
[18:13:13]	Andrew 'Razor' Gonzalez ran 'take' on item 'Loyalist Grade Ration' (#14210)
[18:13:13]	Andrew 'Razor' Gonzalez has gained a 'Loyalist Grade Ration' #14210.
[18:13:14]	Areth Martin opened the '' #1336 container.
[18:13:16]	Areth Martin closed the '' #1336 container.
[18:13:19]	[ME] Andrew 'Razor' Gonzalez: takes both of them
[18:13:22]	Andrew 'Razor' Gonzalez ran 'Open' on item 'Standard Grade Ration' (#14211)
[18:13:22]	Andrew 'Razor' Gonzalez has gained a 'Standard Grade Citizen Food Product' #14212.
[18:13:22]	Andrew 'Razor' Gonzalez has gained a 'Consulate Water' #14213.
[18:13:22]	Andrew 'Razor' Gonzalez has gained 10 tokens.
[18:13:27]	Burt Bambze ran 'Open' on item 'Standard Grade Ration' (#14203)
[18:13:27]	Burt Bambze has gained a 'Standard Grade Citizen Food Product' #14214.
[18:13:27]	Burt Bambze has gained 10 tokens.
[18:13:29]	Burt Bambze ran 'take' on item 'Consulate Water' (#14215)
[18:13:29]	Burt Bambze has gained a 'Consulate Water' #14215.
[18:13:38]	Andrew 'Razor' Gonzalez ran 'Open' on item 'Loyalist Grade Ration' (#14210)
[18:13:38]	Andrew 'Razor' Gonzalez has gained a 'Loyalist Grade Citizen Food Product' #14216.
[18:13:38]	Andrew 'Razor' Gonzalez has gained a 'Flavored Consulate Water' #14217.
[18:13:38]	Andrew 'Razor' Gonzalez has gained a 'Citizen Filter' #14218.
[18:13:38]	Andrew 'Razor' Gonzalez has gained 15 tokens.
[18:13:42]	Areth Martin opened the '' #1287 container.
[18:13:43]	Areth Martin closed the '' #1287 container.
[18:14:12]	[OOC] Burt Bambze: how long does it take for the blood donation station to take blood again.
[18:14:19]	[OOC] CCA.C08-UNION.i1.51023: should be 36 hours
[18:14:40]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[18:14:49]	[OOC] Burt Bambze: 36 irl hours
[18:14:52]	Andrew 'Razor' Gonzalez used command '/PM 510 I forgot to mention I'm in the 20's for points'.
[18:14:52]	[OOC] CCA.C08-UNION.i1.51023: affirmative
[18:14:58]	Andrew 'Razor' Gonzalez used command '/PM 510 I have the red armband'.
[18:15:02]	Burt Bambze ran 'View' on item 'Notepad' (#13967)
[18:15:10]	CCA.C08-UNION.i1.51023 used command '/PM andrew that is because i gave you the wrong one, fuck'.
[18:15:17]	Andrew 'Razor' Gonzalez used command '/PM 510 Aww shit'.
[18:15:19]	Andrew 'Razor' Gonzalez has gained a 'Green Loyalist Armband' #14219.
[18:15:19]	CCA.C08-UNION.i1.51023 used command '/CharGiveItem andrew green loyalist armband'.
[18:15:24]	CCA.C08-UNION.i1.51023 used command '/PM andrew yeah, you've got an even 10'.
[18:15:35]	Andrew 'Razor' Gonzalez used command '/PM 510 Man I was one step closer lol'.
[18:15:42]	Andrew 'Razor' Gonzalez ran 'Equip' on item 'Green Loyalist Armband' (#14219)
[18:15:44]	Andrew 'Razor' Gonzalez ran 'EquipUn' on item 'Red Loyalist Armband' (#14189)
[18:15:45]	Andrew 'Razor' Gonzalez ran 'Equip' on item 'Green Loyalist Armband' (#14219)
[18:15:45]	CCA.C08-UNION.i1.51023 used command '/PM andrew closer to what? you can apply now'.
[18:15:46]	Andrew 'Razor' Gonzalez ran 'drop' on item 'Red Loyalist Armband' (#14189)
[18:15:46]	Andrew 'Razor' Gonzalez has lost a 'Red Loyalist Armband' #14189.
[18:15:52]	Andrew 'Razor' Gonzalez ran 'take' on item 'Red Loyalist Armband' (#14189)
[18:15:52]	Andrew 'Razor' Gonzalez has gained a 'Red Loyalist Armband' #14189.
[18:15:55]	Andrew 'Razor' Gonzalez ran 'drop' on item 'Red Loyalist Armband' (#14189)
[18:15:55]	Andrew 'Razor' Gonzalez has lost a 'Red Loyalist Armband' #14189.
[18:16:12]	[W] CCA.C08-UNION.i1.51023: <:: Hey, old timer. ::>
[18:16:14]	[W] CCA.C08-UNION.i1.51023: <:: Cunt. ::>
[18:16:20]	Andrew 'Razor' Gonzalez used command '/PM 510 Wanted to see how long it would take to get to the golden ticket lmao'.
[18:16:29]	CCA.C08-UNION.i1.51023 used command '/PM andrew lmao'.
[18:16:38]	CCA.C08-UNION.i1.51023 entered observer.
[18:16:39]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:16:42]	CCA.C08-UNION.i1.51023 entered observer.
[18:16:42]	Areth Martin ran 'take' on item 'Empty Water Can' (#1655)
[18:16:42]	Areth Martin has gained a 'Empty Water Can' #1655.
[18:16:48]	CCA.C08-UNION.i1.51023 used command '/PlySearch'.
[18:16:55]	CCA.C08-UNION.i1.51023 used command '/PlySearch'.
[18:17:01]	Areth Martin ran 'take' on item 'Resin' (#12911)
[18:17:01]	Areth Martin has gained a 'Resin' #12911.
[18:17:04]	Burt Bambze ran 'take' on item 'Rock' (#13829)
[18:17:08]	Andrew 'Razor' Gonzalez used command '/PM 510 Well fuck guess I'm crossing off that on the list of things to try'.
[18:17:16]	CCA.C08-UNION.i1.51023 used command '/PM andrew crossing what off??'.
[18:17:29]	CCA.C08-UNION.i1.51023 used command '/PM andrew getting 10 LP?'.
[18:17:35]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:17:38]	Areth Martin ran 'take' on item 'Resin' (#12894)
[18:17:38]	Areth Martin has gained a 'Resin' #12894.
[18:17:47]	[OOC] Jim Bostello: sounds realistic
[18:17:57]	Areth Martin opened the '' #1268 container.
[18:17:58]	Areth Martin closed the '' #1268 container.
[18:18:01]	[OOC] Jim Bostello: blood test be taking all your blood
[18:18:01]	[OOC] CCA.C08-UNION.i1.51023: not especially
[18:18:13]	Areth Martin ran 'take' on item 'Rock' (#13836)
[18:18:13]	Areth Martin has gained a 'Rock' #13836.
[18:18:14]	Areth Martin opened the '' #1316 container.
[18:18:14]	Areth Martin closed the '' #1316 container.
[18:18:16]	Areth Martin opened the '' #1316 container.
[18:18:17]	[Y] CCA.C08-UNION.i1.51023: <:: Yeast infection. ::>
[18:18:18]	Areth Martin closed the '' #1316 container.
[18:18:21]	Areth Martin opened the '' #1316 container.
[18:18:21]	Areth Martin closed the '' #1316 container.
[18:18:25]	Areth Martin opened the '' #1316 container.
[18:18:27]	Areth Martin closed the '' #1316 container.
[18:18:33]	Andrew 'Razor' Gonzalez used command '/PM 510 Well it's going to take longer to get to the gold now since I got bounced back one tier, it'll take too many points and not enough loyalist acts other than saving high command can help you quick enough'.
[18:18:35]	deantheone loaded the character 'Ag'reil'
[18:18:44]	CCA.C08-UNION.i1.51023 used command '/PM andrew oh oyu're trying to literally get to gold'.
[18:18:46]	Ag'reil used command '/CharFallOver'.
[18:18:47]	Ag'reil used command '/CharGetUp'.
[18:18:49]	Ag'reil used command '/CharGetUp'.
[18:18:49]	Ag'reil used command '/CharGetUp'.
[18:18:52]	Ag'reil used command '/CharGetUp'.
[18:19:01]	CCA.C08-UNION.i1.51023 entered observer.
[18:19:03]	Andrew 'Razor' Gonzalez used command '/PM 510 I mean yeah, it's that or keep waiting to see about Union'.
[18:19:14]	Andrew 'Razor' Gonzalez used command '/PM 510 I have to try something else I'll get bored'.
[18:19:15]	Areth Martin opened the '' #1236 container.
[18:19:17]	Areth Martin closed the '' #1236 container.
[18:19:29]	Areth Martin opened the '' #1215 container.
[18:19:30]	Areth Martin closed the '' #1215 container.
[18:19:37]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:19:40]	[LOOC] Ag'reil: my bad
[18:19:40]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[18:19:41]	CCA.C08-UNION.i1.51023 used command '/SpawnAdd alien antlion'.
[18:19:41]	CCA.C08-UNION.i1.51023 entered observer.
[18:19:41]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:19:42]	CCA.C08-UNION.i1.51023 used command '/SpawnAdd alien antlion'.
[18:19:43]	CCA.C08-UNION.i1.51023 entered observer.
[18:19:44]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:19:45]	CCA.C08-UNION.i1.51023 entered observer.
[18:19:45]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:19:47]	Areth Martin opened the '' #1237 container.
[18:19:47]	CCA.C08-UNION.i1.51023 used command '/SpawnAdd alien antlion'.
[18:19:47]	CCA.C08-UNION.i1.51023 entered observer.
[18:19:48]	Areth Martin closed the '' #1237 container.
[18:19:51]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:19:52]	CCA.C08-UNION.i1.51023 used command '/SpawnAdd alien antlion'.
[18:19:52]	CCA.C08-UNION.i1.51023 entered observer.
[18:19:57]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:20:00]	CCA.C08-UNION.i1.51023 entered observer.
[18:20:00]	CCA.C08-UNION.i1.51023 used command '/SpawnAdd alien antlion'.
[18:20:02]	Areth Martin opened the '' #1241 container.
[18:20:02]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:20:03]	CCA.C08-UNION.i1.51023 used command '/SpawnAdd alien antlion'.
[18:20:04]	CCA.C08-UNION.i1.51023 entered observer.
[18:20:04]	Areth Martin closed the '' #1241 container.
[18:20:04]	Andrew 'Razor' Gonzalez ran 'Consume' on item 'Flavored Consulate Water' (#14217)
[18:20:08]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:20:09]	Andrew 'Razor' Gonzalez ran 'Consume' on item 'Standard Grade Citizen Food Product' (#14212)
[18:20:10]	CCA.C08-UNION.i1.51023 entered observer.
[18:20:11]	CCA.C08-UNION.i1.51023 exited observer at their location.
[18:20:13]	CCA.C08-UNION.i1.51023 used command '/PM andrew oh oyu're trying to literally get to gold'.
[18:20:13]	CCA.C08-UNION.i1.51023 entered observer.
