[01:29:33]	BlueBox has connected.
[21:45:57]	[ME] Qul'jal: would ponder the statement.
[21:46:04]	CAC.C17-CREMATOR.95127 destroyed a 'Circuit Board' #37070.
[21:46:06]	Kiff Sankase` has gained a 'Light Bulb' #37723.
[21:46:31]	Kiff Sankase` has gained a 'Cinderblock' #37724.
[21:46:32]	Ava Carter used command '/PM union what lvl engi are you on your jacob char'.
[21:46:33]	Kiff Sankase` ran 'drop' on item 'Cinderblock' (#37724)
[21:46:33]	Kiff Sankase` has lost a 'Cinderblock' #37724.
[21:46:37]	CCA.C17-UNION.i5.94233 used command '/PM ava 50'.
[21:46:39]	Kiff Sankase` has gained a 'Broken LCD Monitor' #37725.
[21:46:41]	Kiff Sankase` ran 'drop' on item 'Broken LCD Monitor' (#37725)
[21:46:41]	Kiff Sankase` has lost a 'Broken LCD Monitor' #37725.
[21:46:55]	[LOOC] Qul'jal: I blue bar is water I assume?
[21:47:01]	CAC.C17-CREMATOR.95127 opened the 'Dumpster' #2736 container.
[21:47:02]	[LOOC] Daniel J. Cutter: yep
[21:47:03]	[LOOC] Qul'jal: Interesting
[21:47:03]	CAC.C17-CREMATOR.95127 ran 'drop' on item 'Empty Glass Bottle' (#36755)
[21:47:04]	CAC.C17-CREMATOR.95127 ran 'drop' on item 'Empty Bleach Bottle' (#37216)
[21:47:05]	CAC.C17-CREMATOR.95127 ran 'drop' on item 'Empty Paint Can' (#37530)
[21:47:06]	CAC.C17-CREMATOR.95127 closed the 'Dumpster' #2736 container.
[21:47:07]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Bleach Bottle' #37216.
[21:47:07]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Paint Can' #37530.
[21:47:08]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Glass Bottle' #36755.
[21:47:08]	[LOOC] Qul'jal: So I lose water, but not food.
[21:47:16]	Kiff Sankase` has gained a 'Old Newspaper' #37727.
[21:47:20]	[LOOC] Qul'jal: So headcrabs somehow lose water, but not food.
[21:47:21]	CCA.C17-UNION.i5.94233 used command '/PM ava why'.
[21:47:21]	Kiff Sankase` has gained a 'Paper' #37727.
[21:47:24]	[LOOC] Qul'jal: interesting
[21:47:28]	Ava Carter used command '/PM union you need to lvl that up to 80 for crossbows for rebels'.
[21:47:32]	CCA.C17-UNION.i5.94233 used command '/PM ava Ik'.
[21:47:36]	CAC.C17-CREMATOR.95127 opened the 'Dumpster' #2549 container.
[21:47:38]	CAC.C17-CREMATOR.95127 closed the 'Dumpster' #2549 container.
[21:47:45]	CCA.C17-UNION.i5.94233 used command '/PM ava I can make flashbangs I just need q to add the recipe for salt peter and grenade body'.
[21:47:49]	Kiff Sankase` has gained a 'Light Bulb' #37728.
[21:47:56]	Kiff Sankase` ran 'drop' on item 'Light Bulb' (#37723)
[21:47:56]	Kiff Sankase` has lost a 'Light Bulb' #37723.
[21:47:57]	Kiff Sankase` ran 'drop' on item 'Light Bulb' (#37728)
[21:47:57]	Kiff Sankase` has lost a 'Light Bulb' #37728.
[21:48:05]	Kiff Sankase` ran 'take' on item 'Motor Controller' (#37729)
[21:48:12]	Kiff Sankase` opened the 'Metal Cabinet' #2417 container.
[21:48:13]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[21:48:23]	Kiff Sankase` closed the 'Metal Cabinet' #2417 container.
[21:48:24]	CCA.C17-UNION.i5.94233 ran 'View' on item 'Paper' (#36247)
[21:48:26]	Daniel J. Cutter ran 'View' on item 'Paper' (#31346)
[21:48:31]	Daniel J. Cutter opened the 'Padlocked Infestation Control Footlocker' #2970 container.
[21:48:31]	Kiff Sankase` opened the 'Metal Cabinet' #2417 container.
[21:48:34]	CAC.C17-CREMATOR.95127 ran 'View' on item 'Paper' (#36247)
[21:48:34]	Daniel J. Cutter closed the 'Padlocked Infestation Control Footlocker' #2970 container.
[21:48:37]	Daniel J. Cutter opened the 'Reinforced Padlocked Locker' #2853 container.
[21:48:39]	Daniel J. Cutter closed the 'Reinforced Padlocked Locker' #2853 container.
[21:48:44]	CCA.C17-UNION.i5.94233 ran 'View' on item 'Notepad' (#30681)
[21:48:45]	Kiff Sankase` closed the 'Metal Cabinet' #2417 container.
[21:48:46]	Kiff Sankase` opened the 'Cash Register' #2418 container.
[21:48:49]	Ava Carter used command '/PM union you raiding the sewer yet'.
[21:48:51]	Daniel J. Cutter opened the 'Crate' #214 container.
[21:48:51]	CAC.C17-CREMATOR.95127 ran 'View' on item 'Paper' (#31972)
[21:48:54]	Daniel J. Cutter closed the 'Crate' #214 container.
[21:48:54]	Kiff Sankase` closed the 'Cash Register' #2418 container.
[21:48:54]	CAC.C17-CREMATOR.95127 ran 'View' on item 'Notepad' (#30666)
[21:48:55]	Daniel J. Cutter opened the 'Crate' #244 container.
[21:48:56]	CCA.C17-UNION.i5.94233 used command '/PM ava I can't im in the CZ rn'.
[21:48:58]	Daniel J. Cutter closed the 'Crate' #244 container.
[21:49:01]	Kiff Sankase` ran 'take' on item 'Motor Controller' (#37729)
[21:49:01]	Kiff Sankase` has gained a 'Motor Controller' #37729.
[21:49:04]	Ava Carter used command '/PM union damn'.
[21:49:12]	Kiff Sankase` opened the 'Refrigerator' #2854 container.
[21:49:18]	Kiff Sankase` closed the 'Refrigerator' #2854 container.
[21:49:24]	Kiff Sankase` has gained a 'Corrugated Hose' #37730.
[21:49:29]	Kiff Sankase` ran 'drop' on item 'Corrugated Hose' (#37730)
[21:49:29]	Kiff Sankase` has lost a 'Corrugated Hose' #37730.
[21:49:40]	Kiff Sankase` has gained a 'Empty Consulate Water Can' #37731.
[21:49:42]	Kiff Sankase` ran 'drop' on item 'Empty Consulate Water Can' (#37731)
[21:49:42]	Kiff Sankase` has lost a 'Empty Consulate Water Can' #37731.
[21:49:50]	Kiff Sankase` has gained a 'Instant Cold Pack' #37732.
[21:49:52]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Paint Can' #37455.
[21:50:01]	Kiff Sankase` has gained a 'Bar of Soap' #37733.
[21:50:03]	Kiff Sankase` ran 'drop' on item 'Bar of Soap' (#37733)
[21:50:03]	Kiff Sankase` has lost a 'Bar of Soap' #37733.
[21:50:03]	[Y] CCA.C17-UNION.i5.94233: <:: Bye bye. ::>
[21:50:13]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Tin Can' #36978.
[21:50:14]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Combine Air Tank' #36871.
[21:50:15]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Pill Bottle' #36735.
[21:50:16]	[OOC] Kiff Sankase`: no way you guys found a fucking gun in the trash
[21:50:17]	CAC.C17-CREMATOR.95127 destroyed a 'Capacitors' #36893.
[21:50:18]	CAC.C17-CREMATOR.95127 destroyed a 'Silicone Tube' #36963.
[21:50:20]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Pill Bottle' #36933.
[21:50:22]	Kiff Sankase` has gained a 'Armor Scraps' #37734.
[21:50:25]	CAC.C17-CREMATOR.95127 destroyed a 'Cinderblock' #36826.
[21:50:26]	CAC.C17-CREMATOR.95127 destroyed a 'Shovel' #36827.
[21:50:36]	CAC.C17-CREMATOR.95127 has gained a 'AA Battery' #37735.
[21:50:39]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Pill Bottle' #37248.
[21:50:46]	CAC.C17-CREMATOR.95127 destroyed a 'Boot' #37456.
[21:50:53]	CAC.C17-CREMATOR.95127 destroyed a 'Light Bulb' #37532.
[21:50:54]	Kiff Sankase` has gained a 'Broken Clock' #37736.
[21:50:56]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Cooking Oil Bottle' #37644.
[21:50:59]	CAC.C17-CREMATOR.95127 has gained a 'Cloth Scrap' #37737.
[21:51:00]	Kiff Sankase` ran 'drop' on item 'Broken Clock' (#37736)
[21:51:00]	Kiff Sankase` has lost a 'Broken Clock' #37736.
[21:51:06]	CAC.C17-CREMATOR.95127 destroyed a 'Bar of Soap' #37642.
[21:51:10]	Kiff Sankase` has gained a 'Axe' #37738.
[21:51:18]	Kiff Sankase` ran 'drop' on item 'Scrap Plastic' (#37549)
[21:51:18]	Kiff Sankase` has lost a 'Scrap Plastic' #37549.
[21:51:19]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Chinese Takeout' #36830.
[21:51:21]	Kiff Sankase` ran 'drop' on item 'Notepad' (#36135)
[21:51:21]	Kiff Sankase` has lost a 'Notepad' #36135.
[21:51:21]	CAC.C17-CREMATOR.95127 has gained a 'Circuit Board' #37739.
[21:51:24]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Chinese Takeout' #37542.
[21:51:24]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Tin Can' #37537.
[21:51:25]	CAC.C17-CREMATOR.95127 destroyed a 'Spark Plug' #37659.
[21:51:27]	Ava Carter ran 'take' on item 'Combat Knife' (#36777)
[21:51:27]	Ava Carter has gained a 'Combat Knife' #36777.
[21:51:27]	CAC.C17-CREMATOR.95127 destroyed a 'Spark Plug' #35090.
[21:51:28]	CAC.C17-CREMATOR.95127 destroyed a 'Nylon Cord' #36891.
[21:51:31]	CAC.C17-CREMATOR.95127 destroyed a 'Wires' #36681.
[21:51:31]	Ava Carter ran 'EquipUn' on item 'Pipe' (#34542)
[21:51:32]	Kiff Sankase` ran 'Equip' on item 'Axe' (#37738)
[21:51:32]	Ava Carter ran 'drop' on item 'Pipe' (#34542)
[21:51:32]	Ava Carter has lost a 'Pipe' #34542.
[21:51:32]	CAC.C17-CREMATOR.95127 destroyed a 'AA Battery' #32125.
[21:51:33]	Kiff Sankase` ran 'EquipUn' on item 'Combat Knife' (#37557)
[21:51:33]	Kiff Sankase` ran 'Equip' on item 'Axe' (#37738)
[21:51:35]	Ava Carter ran 'Equip' on item 'Combat Knife' (#36777)
[21:51:36]	[LOOC] Qul'jal: wtf
[21:51:37]	CAC.C17-CREMATOR.95127 destroyed a 'AA Battery' #36709.
[21:51:44]	[LOOC] Qul'jal: Im not the only one that saw that right
[21:51:50]	[LOOC] Daniel J. Cutter: T Pose?
[21:51:51]	Kiff Sankase` has gained a 'Cables' #37740.
[21:51:52]	[LOOC] Daniel J. Cutter: Yep
[21:51:55]	Kiff Sankase` ran 'drop' on item 'Cables' (#37740)
[21:51:55]	Kiff Sankase` has lost a 'Cables' #37740.
[21:51:55]	Kiff Sankase` ran 'drop' on item 'Instant Cold Pack' (#37732)
[21:51:55]	Kiff Sankase` has lost a 'Instant Cold Pack' #37732.
[21:51:56]	[LOOC] Ava Carter: skill issue
[21:52:04]	[LOOC] Qul'jal: I saw you die lol
[21:52:06]	CAC.C17-CREMATOR.95127 has gained a 'Pipe' #37741.
[21:52:06]	CAC.C17-CREMATOR.95127 destroyed a 'Locker Door' #37459.
[21:52:09]	[LOOC] Qul'jal: not t-pose
[21:52:11]	CAC.C17-CREMATOR.95127 destroyed a 'Broken LCD Monitor' #37144.
[21:52:12]	CAC.C17-CREMATOR.95127 destroyed a 'Broken Clock' #37219.
[21:52:14]	Kiff Sankase` has gained a 'Nylon Cord' #37742.
[21:52:14]	CAC.C17-CREMATOR.95127 destroyed a 'Spark Plug' #36479.
[21:52:16]	CAC.C17-CREMATOR.95127 has gained a 'Old Newspaper' #37743.
[21:52:17]	CAC.C17-CREMATOR.95127 destroyed a 'Pan' #36922.
[21:52:22]	CAC.C17-CREMATOR.95127 destroyed a 'Locker Door' #37658.
[21:52:22]	CAC.C17-CREMATOR.95127 destroyed a 'Pipe' #37359.
[21:52:23]	Kiff Sankase` ran 'drop' on item 'Nylon Cord' (#37742)
[21:52:23]	Kiff Sankase` has lost a 'Nylon Cord' #37742.
[21:52:23]	CAC.C17-CREMATOR.95127 destroyed a 'Broken LCD Monitor' #37157.
[21:52:23]	CAC.C17-CREMATOR.95127 destroyed a 'Bar of Soap' #37136.
[21:52:30]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Soda Bottle' #37356.
[21:52:32]	CAC.C17-CREMATOR.95127 destroyed a 'Graphics Card' #37163.
[21:52:33]	CAC.C17-CREMATOR.95127 destroyed a 'Scrap Electronics' #37121.
[21:52:33]	Kiff Sankase` has gained a 'Silicone Tube' #37744.
[21:52:34]	CAC.C17-CREMATOR.95127 destroyed a 'Scrap Metal' #37153.
[21:52:38]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Soda Bottle' #36188.
[21:52:43]	CAC.C17-CREMATOR.95127 destroyed a 'Silicone Tube' #36920.
[21:52:45]	Kiff Sankase` has gained a 'Corrugated Hose' #37745.
[21:52:46]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Bleach Bottle' #36936.
[21:52:47]	CAC.C17-CREMATOR.95127 destroyed a 'Nylon Cord' #37146.
[21:52:48]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Milk Gallon' #37584.
[21:52:48]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Milk Gallon' #37583.
[21:52:48]	Qul'jal used command '/PM cutter can I do an RP heal with the vortessence. Its one of the abilities of the swep'.
[21:52:48]	CAC.C17-CREMATOR.95127 destroyed a 'Powercord' #37154.
[21:52:50]	Kiff Sankase` ran 'drop' on item 'Corrugated Hose' (#37745)
[21:52:50]	Kiff Sankase` has lost a 'Corrugated Hose' #37745.
[21:52:50]	CAC.C17-CREMATOR.95127 destroyed a 'LCD Monitor' #37692.
[21:52:50]	CAC.C17-CREMATOR.95127 destroyed a 'Corrugated Hose' #37643.
[21:52:51]	CAC.C17-CREMATOR.95127 destroyed a 'Corrugated Hose' #37698.
[21:52:52]	CAC.C17-CREMATOR.95127 destroyed a 'Old Newspaper' #37657.
[21:52:52]	CAC.C17-CREMATOR.95127 destroyed a 'Old Newspaper' #37645.
[21:52:53]	CAC.C17-CREMATOR.95127 destroyed a 'Pan' #37670.
[21:52:53]	CAC.C17-CREMATOR.95127 destroyed a 'Shovel' #37581.
[21:52:54]	CAC.C17-CREMATOR.95127 destroyed a 'Metal Gas Can' #37678.
[21:52:55]	CAC.C17-CREMATOR.95127 has gained a 'Pipe' #37746.
[21:52:56]	Kiff Sankase` destroyed a 'Corrugated Hose' #37745.
[21:53:00]	CAC.C17-CREMATOR.95127 destroyed a 'Locker Door' #37124.
[21:53:01]	Daniel J. Cutter used command '/Reply I can't fucking set Hp...for some reason :I'.
[21:53:01]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Consulate Water Can' #37569.
[21:53:01]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Pill Bottle' #36987.
[21:53:02]	CAC.C17-CREMATOR.95127 destroyed a 'Insulating Tape' #35221.
[21:53:03]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Bleach Bottle' #37653.
[21:53:03]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Bleach Bottle' #36968.
[21:53:09]	Kiff Sankase` destroyed a 'Broken Computer Monitor' #37688.
[21:53:10]	Kiff Sankase` destroyed a 'Pan' #37680.
[21:53:10]	CAC.C17-CREMATOR.95127 destroyed a 'Pack of Nails' #37264.
[21:53:11]	Kiff Sankase` destroyed a 'Old Newspaper' #37601.
[21:53:12]	Kiff Sankase` destroyed a 'Light Bulb' #37728.
[21:53:13]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[21:53:13]	Qul'jal used command '/PM cutter brug'.
[21:53:17]	CAC.C17-CREMATOR.95127 destroyed a 'Wires' #36874.
[21:53:18]	Kiff Sankase` has gained a 'Cyclopic Citizen Suit' #37748.
[21:53:20]	CAC.C17-CREMATOR.95127 destroyed a 'Fingerless Gloves' #37036.
[21:53:23]	CAC.C17-CREMATOR.95127 destroyed a 'AA Battery' #35384.
[21:53:25]	Kiff Sankase` ran 'drop' on item 'Cyclopic Citizen Suit' (#37748)
[21:53:25]	Kiff Sankase` has lost a 'Cyclopic Citizen Suit' #37748.
[21:53:28]	Kiff Sankase` destroyed a 'Cyclopic Citizen Suit' #37748.
[21:53:47]	CAC.C17-CREMATOR.95127 destroyed a 'Powercord' #37553.
[21:53:49]	[OOC] Kiff Sankase`: ARE YOU
[21:53:49]	CAC.C17-CREMATOR.95127 destroyed a 'Fingerless Gloves' #36876.
[21:53:50]	[OOC] Kiff Sankase`: FUCKING
[21:53:51]	CAC.C17-CREMATOR.95127 destroyed a 'Powercord' #34339.
[21:53:55]	Kiff Sankase` opened the 'Metal Cabinet' #2417 container.
[21:53:57]	Kiff Sankase` ran 'drop' on item 'Scrap Metal' (#37531)
[21:53:57]	Daniel J. Cutter entered observer.
[21:53:59]	Kiff Sankase` closed the 'Metal Cabinet' #2417 container.
[21:54:00]	[OOC] CCA.C17-UNION.i5.94233: AHAAHAHA
[21:54:02]	[OOC] CCA.C17-UNION.i5.94233: GET HIM CREMATOR
[21:54:02]	[ME] Qul'jal: would think back
[21:54:07]	CAC.C17-CREMATOR.95127 destroyed a 'Motor Controller' #36883.
[21:54:07]	CAC.C17-CREMATOR.95127 destroyed a 'Pack of Screws' #37127.
[21:54:08]	[OOC] CCA.C17-UNION.i5.94233: ZAP HIS ASS
[21:54:14]	CAC.C17-CREMATOR.95127 destroyed a 'Cinderblock' #37724.
[21:54:14]	Daniel J. Cutter exited observer at their location.
[21:54:25]	CAC.C17-CREMATOR.95127 destroyed a 'Broken LCD Monitor' #37044.
[21:54:37]	Daniel J. Cutter has gained a 'Nylon Cord' #37748.
[21:54:40]	Daniel J. Cutter ran 'drop' on item 'Nylon Cord' (#37748)
[21:54:40]	Daniel J. Cutter has lost a 'Nylon Cord' #37748.
[21:54:43]	[ME] CAC.C17-CREMATOR.95127: simply exhales and inhales, moving to stare straight at the man slowly.
[21:54:53]	Daniel J. Cutter opened the 'Padlocked Crate' #243 container.
[21:54:54]	Daniel J. Cutter closed the 'Padlocked Crate' #243 container.
[21:54:58]	CAC.C17-CREMATOR.95127 destroyed a 'Cables' #37740.
[21:54:59]	CAC.C17-CREMATOR.95127 destroyed a 'Instant Cold Pack' #37732.
[21:54:59]	[Y] Kiff Sankase`: FUCK YOU.
[21:55:01]	[Y] Kiff Sankase`: COME AT ME.
[21:55:03]	CAC.C17-CREMATOR.95127 destroyed a 'Capacitors' #37718.
[21:55:04]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Tin Can' #37714.
[21:55:05]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Paint Can' #36940.
[21:55:06]	CAC.C17-CREMATOR.95127 destroyed a 'Light Bulb' #37723.
[21:55:06]	CAC.C17-CREMATOR.95127 destroyed a 'Instant Cold Pack' #37691.
[21:55:08]	CAC.C17-CREMATOR.95127 destroyed a 'Circuit Board' #37720.
[21:55:09]	[Y] Kiff Sankase`: NOT YOU.
[21:55:09]	CAC.C17-CREMATOR.95127 destroyed a 'Light Bulb' #37128.
[21:55:09]	CAC.C17-CREMATOR.95127 destroyed a 'Broken Clock' #37736.
[21:55:10]	CAC.C17-CREMATOR.95127 destroyed a 'Bar of Soap' #37733.
[21:55:10]	CAC.C17-CREMATOR.95127 destroyed a 'Broken Computer Monitor' #37747.
[21:55:11]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Pill Bottle' #37701.
[21:55:11]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Chinese Takeout' #37699.
[21:55:11]	[Y] Kiff Sankase`: THE OTHER THING.
[21:55:12]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Consulate Water Can' #37731.
[21:55:12]	CAC.C17-CREMATOR.95127 destroyed a 'Locker Door' #37652.
[21:55:14]	CAC.C17-CREMATOR.95127 destroyed a 'Broken Clock' #37605.
[21:55:14]	CAC.C17-CREMATOR.95127 destroyed a 'Cloth Scrap' #37038.
[21:55:15]	CAC.C17-CREMATOR.95127 destroyed a 'Pipe' #37673.
[21:55:16]	CAC.C17-CREMATOR.95127 destroyed a 'Horse Statue' #37726.
[21:55:16]	CAC.C17-CREMATOR.95127 destroyed a 'Scrap Plastic' #37708.
[21:55:18]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Paint Can' #36877.
[21:55:19]	CAC.C17-CREMATOR.95127 destroyed a 'Capacitors' #36982.
[21:55:25]	CAC.C17-CREMATOR.95127 destroyed a 'Spark Plug' #37716.
[21:55:43]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Milk Gallon' #37147.
[21:55:51]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Bleach Bottle' #37579.
[21:55:56]	CAC.C17-CREMATOR.95127 destroyed a 'AA Battery' #34376.
[21:56:09]	Daniel J. Cutter ran 'View' on item 'Notepad' (#36068)
[21:56:19]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Soda Bottle' #37704.
[21:56:19]	CAC.C17-CREMATOR.95127 destroyed a 'Broken LCD Monitor' #37674.
[21:56:20]	CAC.C17-CREMATOR.95127 destroyed a 'Nylon Cord' #37748.
[21:56:21]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Chinese Takeout' #37721.
[21:56:21]	CAC.C17-CREMATOR.95127 destroyed a 'Corrugated Hose' #37730.
[21:56:21]	CAC.C17-CREMATOR.95127 destroyed a 'Power Supply Unit' #37706.
[21:56:22]	CAC.C17-CREMATOR.95127 destroyed a 'Nylon Cord' #37742.
[21:56:24]	CAC.C17-CREMATOR.95127 destroyed a 'Cables' #37664.
[21:56:26]	CAC.C17-CREMATOR.95127 destroyed a 'Broken LCD Monitor' #37725.
[21:56:28]	CAC.C17-CREMATOR.95127 destroyed a 'Broken LCD Monitor' #37599.
[21:56:29]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Sparkling Consulate Water Can' #37719.
[21:56:31]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Glass Bottle' #37689.
[21:56:33]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Pill Bottle' #37635.
[21:56:35]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Consulate Water Can' #37715.
[21:56:39]	CAC.C17-CREMATOR.95127 destroyed a 'Small Thermos' #37654.
[21:57:00]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Sparkling Consulate Water Can' #37687.
[21:57:00]	CAC.C17-CREMATOR.95127 destroyed a 'Scrap Plastic' #37703.
[21:57:00]	CAC.C17-CREMATOR.95127 destroyed a 'Scrap Plastic' #37693.
[21:57:01]	CAC.C17-CREMATOR.95127 destroyed a 'Pack of Screws' #35547.
[21:57:04]	CAC.C17-CREMATOR.95127 destroyed a 'Scrap Plastic' #35378.
[21:57:25]	[ME] Kiff Sankase`: speaks to the man but can't take his eyes of the creature roaming
[21:57:44]	Weaponized Turtles loaded the character 'Jacob Desmone'
[21:57:58]	[ME] Daniel J. Cutter: Would turn around, waving at the man then walking off in the other direction
[21:58:06]	Daniel J. Cutter opened the 'Metal Cabinet' #2417 container.
[21:58:15]	Daniel J. Cutter closed the 'Metal Cabinet' #2417 container.
[21:58:35]	[OOC] Kiff Sankase`: omfg
[21:58:43]	[OOC] Kiff Sankase`: i almost shit my pants
[21:58:47]	[OOC] CAC.C17-CREMATOR.95127: lmao
[21:58:52]	CAC.C17-CREMATOR.95127 destroyed a 'Spark Plug' #36001.
[21:58:53]	[OOC] Kiff Sankase`: just seeing that thing go down the dark ally
[21:58:56]	Kiff Sankase` has gained a 'Light Bulb' #37747.
[21:58:57]	CAC.C17-CREMATOR.95127 destroyed a 'Piece of Plexiglass' #36884.
[21:58:58]	Kiff Sankase` ran 'drop' on item 'Light Bulb' (#37747)
[21:58:58]	Kiff Sankase` has lost a 'Light Bulb' #37747.
[21:59:09]	[LOOC] Ava Carter: af*
[21:59:10]	[OOC] Kiff Sankase`: no seriously my heart was pacing
[21:59:12]	Daniel J. Cutter has gained a 'Human Science Eye Poster' #37748.
[21:59:13]	Daniel J. Cutter ran 'drop' on item 'Human Science Eye Poster' (#37748)
[21:59:13]	Daniel J. Cutter has lost a 'Human Science Eye Poster' #37748.
[21:59:17]	[OOC] Ava Carter: pussy
[21:59:19]	CAC.C17-CREMATOR.95127 has gained a 'Crowbar' #37749.
[21:59:20]	CAC.C17-CREMATOR.95127 destroyed a 'Small Thermos' #37603.
[21:59:23]	[OOC] Ava Carter: u gotta fight them
[21:59:24]	CAC.C17-CREMATOR.95127 ran 'drop' on item 'Crowbar' (#37749)
[21:59:24]	CAC.C17-CREMATOR.95127 has lost a 'Crowbar' #37749.
[21:59:29]	[OOC] Kiff Sankase`: i was going to
[21:59:30]	[OOC] Ava Carter: with a FRYING PAN
[21:59:33]	[OOC] Kiff Sankase`: it would have fucked me up
[21:59:51]	Kiff Sankase` has gained a 'Cinderblock' #37751.
[21:59:53]	Kiff Sankase` ran 'drop' on item 'Cinderblock' (#37751)
[21:59:53]	Kiff Sankase` has lost a 'Cinderblock' #37751.
[21:59:54]	[OOC] CAC.C17-CREMATOR.95127: If you did you would have been melted like the trash you are
[21:59:59]	CAC.C17-CREMATOR.95127 destroyed a 'Blue Pre-War Shirt' #37033.
[22:00:08]	[ME] Jacob Desmone: A large breathe would come out of his suit as he takes off his suit
[22:00:08]	[OOC] Kiff Sankase`: i was gonna come after you with an axe
[22:00:10]	[OOC] Ava Carter: ok then sounds like you wanna fight mr cremator
[22:00:10]	Jacob Desmone ran 'EquipUn' on item 'CWU Worker Suit' (#34125)
[22:00:11]	Kiff Sankase` opened the 'Metal Cabinet' #2417 container.
[22:00:14]	Kiff Sankase` has gained a 'Combat Knife' #37557.
[22:00:15]	Jacob Desmone used command '/Apply'.
[22:00:15]	Kiff Sankase` closed the 'Metal Cabinet' #2417 container.
[22:00:24]	[OOC] Kiff Sankase`: they are menacing af
[22:00:26]	Kiff Sankase` has gained a 'Shovel' #37752.
[22:00:29]	Kiff Sankase` ran 'drop' on item 'Shovel' (#37752)
[22:00:29]	Kiff Sankase` has lost a 'Shovel' #37752.
[22:00:31]	[OOC] CAC.C17-CREMATOR.95127: actually though
[22:00:36]	CAC.C17-CREMATOR.95127 destroyed a 'Screw Nuts' #37535.
[22:00:38]	Kiff Sankase` has gained a 'Spark Plug' #37753.
[22:00:42]	CAC.C17-CREMATOR.95127 destroyed a 'Scrap Plastic' #37261.
[22:00:48]	Kiff Sankase` has gained a 'Cables' #37754.
[22:00:57]	CAC.C17-CREMATOR.95127 destroyed a 'Capacitors' #37050.
[22:00:59]	CAC.C17-CREMATOR.95127 destroyed a 'Boot' #36955.
[22:01:01]	CAC.C17-CREMATOR.95127 destroyed a 'Refined Metal' #37160.
[22:01:02]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Paint Can' #36885.
[22:01:04]	[OOC] Kiff Sankase`: i hope to never experience that again
[22:01:05]	CAC.C17-CREMATOR.95127 destroyed a 'AA Battery' #37045.
[22:01:07]	Kiff Sankase` has gained a 'Empty Pill Bottle' #37755.
[22:01:11]	CAC.C17-CREMATOR.95127 destroyed a 'Empty Cooking Oil Bottle' #37269.
[22:01:17]	CAC.C17-CREMATOR.95127 has gained a 'Pipe' #37756.
[22:01:17]	CAC.C17-CREMATOR.95127 destroyed a 'Shovel' #37696.
[22:01:18]	CAC.C17-CREMATOR.95127 destroyed a 'Circuit Board' #37694.
[22:01:24]	[ME] Daniel J. Cutter: Would reach into a bag, tossing over a blueprint
[22:01:25]	CAC.C17-CREMATOR.95127 destroyed a 'Broken Clock' #37538.
[22:01:27]	CAC.C17-CREMATOR.95127 destroyed a 'Circuit Board' #36952.
[22:01:27]	CAC.C17-CREMATOR.95127 destroyed a 'Metal Gas Can' #37049.
[22:01:28]	CAC.C17-CREMATOR.95127 destroyed a 'AA Battery' #36888.
[22:01:29]	[ME] Jacob Desmone: Would catch it and start reading
[22:01:30]	CAC.C17-CREMATOR.95127 destroyed a 'Bar of Soap' #37159.
[22:01:31]	CAC.C17-CREMATOR.95127 destroyed a 'AA Battery' #37560.
[22:01:32]	CAC.C17-CREMATOR.95127 destroyed a 'Old Newspaper' #36734.
