[00:00:31]	[LOOC] Ryan Marnett: septembmer
[17:41:29]	CCA.C14-JUDGE.OfC.91412 ran 'Eat' on item 'Civil Protection Functionary Grade Food Product' (#27347)
[17:41:52]	CCA.C14-JUDGE.OfC.91412 has gained 10 tokens.
[17:42:14]	OTA.C14-ECHO.OWC.69654 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#27346)
[17:42:14]	OTA.C14-ECHO.OWC.69654 has gained a 'Civil Protection Functionary Grade Food Product' #27347.
[17:42:14]	OTA.C14-ECHO.OWC.69654 has gained a 'Civil Protection Functionary Grade Supplements' #27348.
[17:42:14]	OTA.C14-ECHO.OWC.69654 has gained a 'Civil Protection Functionary Grade Drink' #27349.
[17:42:19]	CCA.C14-UNION.i5.22767 ran 'Take' on item 'UU Brand Cigarette Pack' (#25625)
[17:42:19]	CCA.C14-UNION.i5.22767 has gained a 'UU Brand Cigarette' #27350.
[17:42:20]	CCA.C14-UNION.i5.22767 ran 'Eat' on item 'UU Brand Cigarette' (#27350)
[17:42:27]	[Y] OTA.C14-ECHO.OWC.69654: <:: SUSPECT IS FRIENDLY, CEASE FIRE. ::>
[17:42:33]	CCA.C14-UNION.i5.22767 entered observer.
[17:42:54]	[Y] OTA.C14-ECHO.OWC.69654: <:: ECHO:1 REPORTING, SUSPECT IS FRIENDLY.....CEASE FIRE IMMEDIATELY. ::>
[17:43:00]	[LOOC] OTA.C14-ECHO.OWC.69654: Fucked it up
[17:43:10]	[LOOC] OTA.C14-ECHO.OWC.69654: never mind
[17:43:12]	[LOOC] OTA.C14-ECHO.OWC.69654: All good
[17:43:14]	[LOOC] OTA.C14-ECHO.OWC.69654: BET
[17:43:17]	CCA.C14-UNION.i5.22767 has gained 10 tokens.
[17:43:26]	OTA.C14-ECHO.OWC.69654 ran 'Consume' on item 'Civil Protection Functionary Grade Supplements' (#27348)
[17:43:26]	OTA.C14-ECHO.OWC.69654 ran 'Consume' on item 'Civil Protection Functionary Grade Drink' (#27349)
[17:43:27]	OTA.C14-ECHO.OWC.69654 ran 'Eat' on item 'Civil Protection Functionary Grade Food Product' (#27347)
[17:44:17]	[Y] OTA.C14-ECHO.OWC.69654: <:: HEY ALYX, IT'S US! ::>
[17:44:40]	[Y] OTA.C14-ECHO.OWC.69654: <:: ECHO:1 ALYX IS FRIENDLY, STOP FIRE! STOP FIRE! ::>
[17:44:54]	[LOOC] CCA.C14-JUDGE.OfC.91412: if i ever say that as an OTA in a combat situation, you know what i mean
[17:44:59]	[LOOC] OTA.C14-ECHO.OWC.69654: Indeed
[17:45:26]	[OOC] Joe Arnold: back
[17:45:30]	[OOC] OTA.C14-ECHO.OWC.69654: Wb
[17:45:44]	[LOOC] OTA.C14-ECHO.OWC.69654: Imagine using binds
[17:45:46]	[Y] CCA.C14-JUDGE.OfC.91412: <:: Cease fire! Target is friendly! ::>
[17:45:47]	[Y] CCA.C14-JUDGE.OfC.91412: <:: Cease fire! Target is friendly! ::>
[17:46:16]	Joe Arnold opened the '' #2108 container.
[17:46:17]	Joe Arnold closed the '' #2108 container.
[17:46:18]	Joe Arnold opened the '' #2108 container.
[17:46:21]	Joe Arnold closed the '' #2108 container.
[17:46:27]	Joe Arnold exited observer at their location.
[17:46:29]	Joe Arnold entered observer.
[17:46:29]	Joe Arnold exited observer at their location.
[17:46:31]	Joe Arnold entered observer.
[17:46:31]	Joe Arnold exited observer at their location.
[17:46:40]	Joe Arnold entered observer.
[17:46:45]	[OOC] CCA.C14-JUDGE.OfC.91412: pain needs to give me ammo on my OTA since he fucked it all off me earlier
[17:46:45]	Joe Arnold exited observer at their location.
[17:46:47]	Joe Arnold entered observer.
[17:46:47]	Joe Arnold exited observer at their location.
[17:46:50]	Joe Arnold entered observer.
[17:46:50]	Joe Arnold exited observer at their location.
[17:46:51]	Joe Arnold entered observer.
[17:46:52]	Joe Arnold exited observer at their location.
[17:46:52]	CCA.C14-JUDGE.OfC.91412 has gained 10 tokens.
[17:46:52]	Joe Arnold entered observer.
[17:46:53]	Joe Arnold exited observer at their location.
[17:46:55]	Joe Arnold entered observer.
[17:46:55]	Joe Arnold exited observer at their location.
[17:46:57]	Joe Arnold entered observer.
[17:46:57]	Joe Arnold exited observer at their location.
[17:46:58]	Joe Arnold entered observer.
[17:46:58]	Joe Arnold exited observer at their location.
[17:46:59]	Joe Arnold entered observer.
[17:46:59]	Joe Arnold exited observer at their location.
[17:47:02]	Joe Arnold entered observer.
[17:47:06]	[OOC] OTA.C14-ECHO.OWC.69654: Indeed, my OSS needs ammo.
[17:47:10]	Joe Arnold exited observer at their location.
[17:47:11]	Joe Arnold entered observer.
[17:47:11]	Joe Arnold exited observer at their location.
[17:47:12]	Joe Arnold entered observer.
[17:47:24]	CCA.C14-UNION.i5.22767 exited observer at their location.
[17:47:26]	Joe Arnold exited observer at their location.
[17:47:28]	Joe Arnold entered observer.
[17:47:28]	Joe Arnold exited observer at their location.
[17:47:29]	Joe Arnold entered observer.
[17:47:29]	Joe Arnold exited observer at their location.
[17:47:30]	Joe Arnold entered observer.
[17:47:30]	Joe Arnold exited observer at their location.
[17:47:31]	Doughnut loaded the character 'CCA.C36-QrM.10523'
[17:47:31]	CCA.C36-QrM.10523 entered observer.
[17:47:32]	Joe Arnold entered observer.
[17:47:32]	Joe Arnold exited observer at their location.
[17:47:33]	Joe Arnold entered observer.
[17:47:34]	Joe Arnold exited observer at their location.
[17:47:35]	[OOC] OTA.C14-ECHO.OWC.69654: I would switch off but I would lose the pulse SMG so fuck it.
[17:47:36]	Joe Arnold entered observer.
[17:47:37]	CCA.C36-QrM.10523 exited observer at their location.
[17:47:38]	Joe Arnold exited observer at their location.
[17:47:40]	Joe Arnold entered observer.
[17:47:42]	Joe Arnold exited observer at their location.
[17:47:46]	[OOC] OTA.C14-ECHO.OWC.69654: You need to be a specific class to open the box.
[17:47:48]	Joe Arnold entered observer.
[17:47:48]	Mr. Chief loaded the character 'OTA.C14-ECHO.OWC.29481'
[17:47:51]	Joe Arnold exited observer at their location.
[17:47:54]	CCA.C36-QrM.10523 used command '/CharSetClass qrm qrm'.
[17:48:00]	CCA.C36-QrM.10523 used command '/CharSetClass qrm quartermaster'.
[17:48:00]	Joe Arnold entered observer.
[17:48:01]	Joe Arnold exited observer at their location.
[17:48:02]	Joe Arnold entered observer.
[17:48:02]	Joe Arnold exited observer at their location.
[17:48:03]	Joe Arnold entered observer.
[17:48:03]	Joe Arnold exited observer at their location.
[17:48:04]	CCA.C36-QrM.10523 used command '/CharSetClass qrm quarter'.
[17:48:05]	Joe Arnold entered observer.
[17:48:05]	Joe Arnold exited observer at their location.
[17:48:06]	Joe Arnold entered observer.
[17:48:08]	CCA.C36-QrM.10523 used command '/CharSetClass qrm QrM'.
[17:48:12]	[OOC] OTA.C14-ECHO.OWC.69654: "metro police quarter master" I think.
[17:48:22]	[OOC] OTA.C14-ECHO.OWC.69654: MAYBE, I can go look if you want me to
[17:48:23]	CCA.C36-QrM.10523 used command '/CharSetClass qrm metro police quarter master'.
[17:48:29]	FB|| light ROOM loaded the character 'CCA.C14-QrM.98240'
[17:48:31]	CCA.C36-QrM.10523 entered observer.
[17:48:32]	CCA.C36-QrM.10523 exited observer at their location.
[17:48:41]	[LOOC] CCA.C14-QrM.98240: Armory Operator Metropolice.
[17:48:46]	FB|| light ROOM loaded the character 'OTA.C14-ECHO.OWC.69654'
[17:48:51]	Joe Arnold exited observer at their location.
[17:48:52]	Joe Arnold entered observer.
[17:48:52]	Joe Arnold exited observer at their location.
[17:48:54]	Joe Arnold entered observer.
[17:48:55]	Joe Arnold exited observer at their location.
[17:48:55]	CCA.C36-QrM.10523 used command '/CharSetClass qrm Armory Operator Metropolice'.
[17:48:56]	Joe Arnold entered observer.
[17:48:57]	CCA.C36-QrM.10523 used the 'Armory Safe' vendor.
[17:49:19]	CCA.C36-QrM.10523 used the 'Armory Safe' vendor.
[17:49:26]	CCA.C36-QrM.10523 has spawned a 'Weapon [779][tfa_psmg]'.
[17:49:27]	CCA.C36-QrM.10523 has spawned a 'Weapon [1280][tfa_psmg]'.
[17:49:41]	OTA.C14-ECHO.OWC.29481 ran 'Equip' on item 'Fragmentation Grenade' (#21997)
[17:49:45]	[LOOC] OTA.C14-ECHO.OWC.69654: To have them IC
[17:49:46]	CCA.C36-QrM.10523 used the 'Armory Safe' vendor.
[17:49:52]	OTA.C14-ECHO.OWC.29481 ran 'EquipUn' on item 'Fragmentation Grenade' (#21997)
[17:49:53]	OTA.C14-ECHO.OWC.29481 ran 'Equip' on item 'Fragmentation Grenade' (#21997)
[17:50:01]	[LOOC] OTA.C14-ECHO.OWC.69654: Broken*
[17:50:03]	OTA.C14-ECHO.OWC.29481 ran 'drop' on item 'Zip Tie' (#11576)
[17:50:03]	OTA.C14-ECHO.OWC.29481 has lost a 'Zip Tie' #11576.
[17:50:04]	OTA.C14-ECHO.OWC.29481 ran 'drop' on item 'Zip Tie' (#11577)
[17:50:04]	OTA.C14-ECHO.OWC.29481 has lost a 'Zip Tie' #11577.
[17:50:12]	CCA.C36-QrM.10523 used the 'Armory Safe' vendor.
[17:50:16]	[LOOC] OTA.C14-ECHO.OWC.69654: Bruh, Q is fucking up on the crate more and more ;-;
[17:50:16]	CCA.C36-QrM.10523 has lost 18 tokens.
[17:50:16]	CCA.C36-QrM.10523 has gained a 'Bandage' #27346.
[17:50:16]	CCA.C36-QrM.10523 has lost 18 tokens.
[17:50:16]	CCA.C36-QrM.10523 has gained a 'Bandage' #27347.
[17:50:22]	CCA.C36-QrM.10523 ran 'drop' on item 'Bandage' (#27347)
[17:50:22]	CCA.C36-QrM.10523 has lost a 'Bandage' #27347.
[17:50:23]	CCA.C36-QrM.10523 ran 'drop' on item 'Bandage' (#27346)
[17:50:23]	CCA.C36-QrM.10523 has lost a 'Bandage' #27346.
[17:50:27]	OTA.C14-ECHO.OWC.69654 ran 'take' on item 'Bandage' (#27347)
[17:50:27]	OTA.C14-ECHO.OWC.69654 has gained a 'Bandage' #27347.
[17:50:28]	OTA.C14-ECHO.OWC.69654 ran 'take' on item 'Bandage' (#27346)
[17:50:28]	OTA.C14-ECHO.OWC.69654 has gained a 'Bandage' #27346.
[17:50:32]	CCA.C36-QrM.10523 ran 'take' on item 'Zip Tie' (#11577)
[17:50:32]	CCA.C36-QrM.10523 has gained a 'Zip Tie' #11577.
[17:50:34]	CCA.C36-QrM.10523 ran 'take' on item 'Zip Tie' (#11576)
[17:50:34]	CCA.C36-QrM.10523 has gained a 'Zip Tie' #11576.
[17:50:35]	CCA.C36-QrM.10523 used the 'Armory Safe' vendor.
[17:50:39]	CCA.C36-QrM.10523 has gained 4 tokens.
[17:50:39]	CCA.C36-QrM.10523 has gained 4 tokens.
[17:50:45]	CCA.C36-QrM.10523 has gained 0 tokens.
[17:50:45]	CCA.C36-QrM.10523 has gained a '9mm Pistol Magazine' #27348.
[17:50:45]	CCA.C36-QrM.10523 has gained 0 tokens.
[17:50:45]	CCA.C36-QrM.10523 has gained a '9mm Pistol Magazine' #27349.
[17:50:46]	CCA.C36-QrM.10523 has gained 0 tokens.
[17:50:46]	CCA.C36-QrM.10523 has gained a '9mm Pistol Magazine' #27350.
[17:50:46]	CCA.C36-QrM.10523 has gained 0 tokens.
[17:50:46]	CCA.C36-QrM.10523 has gained a '9mm Pistol Magazine' #27351.
[17:50:51]	CCA.C36-QrM.10523 ran 'drop' on item '9mm Pistol Magazine' (#27350)
[17:50:51]	CCA.C36-QrM.10523 has lost a '9mm Pistol Magazine' #27350.
[17:50:52]	CCA.C36-QrM.10523 ran 'drop' on item '9mm Pistol Magazine' (#27351)
[17:50:52]	CCA.C36-QrM.10523 has lost a '9mm Pistol Magazine' #27351.
[17:50:53]	CCA.C36-QrM.10523 ran 'drop' on item '9mm Pistol Magazine' (#27348)
[17:50:53]	CCA.C36-QrM.10523 has lost a '9mm Pistol Magazine' #27348.
[17:50:54]	CCA.C36-QrM.10523 ran 'drop' on item '9mm Pistol Magazine' (#27349)
[17:50:54]	CCA.C36-QrM.10523 has lost a '9mm Pistol Magazine' #27349.
[17:50:56]	CCA.C36-QrM.10523 entered observer.
[17:50:57]	CCA.C36-QrM.10523 exited observer at their location.
[17:51:00]	OTA.C14-ECHO.OWC.29481 ran 'take' on item '9mm Pistol Magazine' (#27349)
[17:51:00]	OTA.C14-ECHO.OWC.29481 has gained a '9mm Pistol Magazine' #27349.
[17:51:02]	OTA.C14-ECHO.OWC.29481 ran 'take' on item '9mm Pistol Magazine' (#27351)
[17:51:02]	OTA.C14-ECHO.OWC.29481 has gained a '9mm Pistol Magazine' #27351.
[17:51:04]	Joe Arnold exited observer at their location.
[17:51:04]	OTA.C14-ECHO.OWC.29481 ran 'take' on item '9mm Pistol Magazine' (#27350)
[17:51:04]	OTA.C14-ECHO.OWC.29481 has gained a '9mm Pistol Magazine' #27350.
[17:51:05]	Joe Arnold entered observer.
[17:51:06]	OTA.C14-ECHO.OWC.29481 ran 'take' on item '9mm Pistol Magazine' (#27348)
[17:51:06]	OTA.C14-ECHO.OWC.29481 has gained a '9mm Pistol Magazine' #27348.
[17:51:09]	Joe Arnold exited observer at their location.
[17:51:10]	Joe Arnold has taken 12 damage from trigger_hurt.
[17:51:10]	Joe Arnold entered observer.
[17:51:14]	OTA.C14-ECHO.OWC.29481 ran 'use' on item '9mm Pistol Magazine' (#27348)
[17:51:15]	OTA.C14-ECHO.OWC.29481 ran 'use' on item '9mm Pistol Magazine' (#27350)
[17:51:20]	CCA.C36-QrM.10523 entered observer.
[17:51:38]	[LOOC] OTA.C14-ECHO.OWC.69654: BROOOOOOOOOO
[17:51:43]	[LOOC] OTA.C14-ECHO.OWC.69654: ECHO:ONE BE LIKE
[17:52:01]	[LOOC] OTA.C14-ECHO.OWC.69654: Me want KILO and you want Ordinal.
[17:52:03]	[LOOC] OTA.C14-ECHO.OWC.69654: BET
[17:52:12]	CCA.C36-QrM.10523 exited observer at their location.
[17:52:14]	CCA.C36-QrM.10523 entered observer.
[17:52:25]	Joe Arnold exited observer at their location.
[17:52:31]	CCA.C36-QrM.10523 has gained 10 tokens.
[17:52:31]	Joe Arnold entered observer.
[17:52:32]	[LOOC] OTA.C14-ECHO.OWC.69654: KILO and Ordinal being in a squad fucking around and murdering rebels be like.
[17:52:45]	Joe Arnold exited observer at their location.
[17:52:45]	Joe Arnold entered observer.
[17:52:48]	Joe Arnold exited observer at their location.
[17:52:48]	Joe Arnold entered observer.
[17:52:48]	Joe Arnold exited observer at their location.
[17:52:49]	Joe Arnold entered observer.
[17:52:49]	Joe Arnold exited observer at their location.
[17:52:49]	Joe Arnold entered observer.
[17:52:51]	Joe Arnold exited observer at their location.
[17:52:53]	Joe Arnold entered observer.
[17:52:53]	Joe Arnold exited observer at their location.
[17:52:54]	Joe Arnold entered observer.
[17:52:55]	Joe Arnold exited observer at their location.
[17:52:58]	Joe Arnold has taken 7 damage from worldspawn.
[17:52:58]	Joe Arnold entered observer.
[17:53:04]	Joe Arnold exited observer at their location.
[17:53:06]	Joe Arnold entered observer.
[17:54:57]	CCA.C36-QrM.10523 exited observer at their location.
[17:54:57]	CCA.C36-QrM.10523 entered observer.
[17:54:59]	Joe Arnold exited observer at their location.
[17:55:00]	Joe Arnold entered observer.
[17:55:00]	Joe Arnold exited observer at their location.
[17:55:00]	Joe Arnold entered observer.
[17:55:01]	Joe Arnold exited observer at their location.
[17:55:01]	Joe Arnold entered observer.
[17:55:01]	Joe Arnold exited observer at their location.
[17:55:02]	Joe Arnold entered observer.
[17:55:02]	CCA.C36-QrM.10523 exited observer at their location.
[17:55:02]	Joe Arnold exited observer at their location.
[17:55:03]	Joe Arnold entered observer.
[17:55:03]	Joe Arnold exited observer at their location.
[17:55:03]	Joe Arnold entered observer.
[17:55:04]	Joe Arnold exited observer at their location.
[17:55:05]	Joe Arnold entered observer.
[17:55:05]	Joe Arnold exited observer at their location.
[17:55:05]	Joe Arnold entered observer.
[17:55:09]	Joe Arnold exited observer at their location.
[17:55:09]	Joe Arnold entered observer.
[17:55:10]	Joe Arnold exited observer at their location.
[17:55:11]	Joe Arnold entered observer.
[17:55:11]	Joe Arnold exited observer at their location.
[17:55:11]	Joe Arnold entered observer.
[17:55:12]	Joe Arnold exited observer at their location.
[17:55:12]	Joe Arnold entered observer.
[17:55:12]	Joe Arnold exited observer at their location.
[17:55:12]	Joe Arnold entered observer.
[17:55:13]	Joe Arnold exited observer at their location.
[17:55:13]	CCA.C36-QrM.10523 entered observer.
[17:55:13]	Joe Arnold entered observer.
[17:55:40]	Joe Arnold exited observer at their location.
[17:55:40]	Joe Arnold entered observer.
[17:55:40]	Joe Arnold exited observer at their location.
[17:55:41]	Joe Arnold entered observer.
[17:55:42]	Joe Arnold exited observer at their location.
[17:55:42]	Joe Arnold entered observer.
[17:55:42]	Joe Arnold exited observer at their location.
[17:55:43]	Joe Arnold entered observer.
[17:55:45]	Joe Arnold exited observer at their location.
[17:55:45]	Joe Arnold entered observer.
[17:55:46]	Joe Arnold exited observer at their location.
[17:55:47]	Joe Arnold entered observer.
[17:55:47]	Joe Arnold exited observer at their location.
[17:55:48]	Joe Arnold entered observer.
[17:55:49]	Joe Arnold exited observer at their location.
[17:55:49]	Joe Arnold entered observer.
[17:55:50]	Joe Arnold exited observer at their location.
[17:55:50]	Joe Arnold entered observer.
[17:55:50]	Joe Arnold exited observer at their location.
[17:55:51]	Joe Arnold entered observer.
[17:55:52]	Joe Arnold exited observer at their location.
[17:55:52]	Joe Arnold entered observer.
[17:56:03]	Joe Arnold exited observer at their location.
[17:56:03]	Joe Arnold entered observer.
[17:56:07]	Joe Arnold exited observer at their location.
[17:56:08]	Joe Arnold entered observer.
[17:56:08]	Joe Arnold exited observer at their location.
[17:56:10]	Joe Arnold entered observer.
[17:56:11]	Joe Arnold exited observer at their location.
[17:56:18]	Joe Arnold entered observer.
[17:56:21]	Joe Arnold exited observer at their location.
[17:56:35]	[Y] OTA.C14-ECHO.OWC.69654: <:: HEY JUSTIN BAIL, WE'RE FRIENDLY. ::>
[17:56:48]	[Y] OTA.C14-ECHO.OWC.69654: <:: CEASE FIRE, JUSTING BAIL IS FRIENDLY. ::>
[17:57:31]	CCA.C36-QrM.10523 has gained 10 tokens.
[17:58:05]	[Y] OTA.C14-ECHO.OWC.69654: <:: HEY JUSTIN BAIL, WE'RE FRIENDLY....STOP FIRE. ::>
[17:58:28]	[LOOC] OTA.C14-ECHO.OWC.69654: Indeed, OWC is the most human so we could fool most people.
[17:58:38]	[LOOC] OTA.C14-ECHO.OWC.69654: can't OWC actually go rogue on the server?
[17:58:46]	[LOOC] OTA.C14-ECHO.OWC.69654: I hope not.
[17:59:32]	Joe Arnold has taken 48 damage from worldspawn.
[17:59:39]	Joe Arnold entered observer.
[17:59:44]	Joe Arnold exited observer at their location.
[17:59:54]	[CGN] Painevan loaded the character 'Karl Von Habsburg'
[17:59:55]	Karl Von Habsburg entered observer.
[18:00:06]	Karl Von Habsburg exited observer at their location.
[18:00:07]	Karl Von Habsburg entered observer.
[18:00:07]	Karl Von Habsburg exited observer at their location.
[18:00:08]	Karl Von Habsburg entered observer.
[18:00:10]	Karl Von Habsburg exited observer at their location.
[18:00:11]	Karl Von Habsburg entered observer.
[18:00:11]	Karl Von Habsburg exited observer at their location.
[18:00:12]	Karl Von Habsburg entered observer.
[18:00:13]	Karl Von Habsburg exited observer at their location.
[18:00:13]	Karl Von Habsburg entered observer.
[18:00:14]	Karl Von Habsburg exited observer at their location.
[18:00:14]	Karl Von Habsburg entered observer.
[18:00:15]	Karl Von Habsburg exited observer at their location.
[18:00:16]	Karl Von Habsburg entered observer.
[18:00:16]	Karl Von Habsburg exited observer at their location.
[18:00:18]	Karl Von Habsburg entered observer.
[18:00:19]	Karl Von Habsburg exited observer at their location.
[18:00:22]	Karl Von Habsburg entered observer.
[18:00:23]	Karl Von Habsburg exited observer at their location.
[18:00:25]	Karl Von Habsburg entered observer.
[18:02:31]	CCA.C36-QrM.10523 has gained 10 tokens.
[18:06:49]	[OOC] OTA.C14-ECHO.OWC.29481: models/hlvr/characters/combine/grunt/combine_grunt_hlvr_npc.mdl
[18:06:54]	Karl Von Habsburg exited observer at their location.
[18:06:55]	Karl Von Habsburg entered observer.
[18:07:16]	Karl Von Habsburg exited observer at their location.
[18:07:17]	Karl Von Habsburg entered observer.
[18:07:17]	Karl Von Habsburg exited observer at their location.
[18:07:19]	Karl Von Habsburg entered observer.
[18:07:20]	Karl Von Habsburg exited observer at their location.
[18:07:21]	Karl Von Habsburg entered observer.
[18:07:21]	Karl Von Habsburg exited observer at their location.
[18:07:31]	CCA.C36-QrM.10523 has gained 10 tokens.
[18:08:04]	Karl Von Habsburg entered observer.
[18:08:05]	Karl Von Habsburg exited observer at their location.
[18:08:06]	Karl Von Habsburg entered observer.
[18:08:06]	Karl Von Habsburg exited observer at their location.
[18:08:09]	Karl Von Habsburg entered observer.
[18:08:09]	Karl Von Habsburg exited observer at their location.
[18:08:10]	Karl Von Habsburg entered observer.
[18:08:12]	Karl Von Habsburg exited observer at their location.
[18:08:14]	Karl Von Habsburg entered observer.
[18:08:14]	Karl Von Habsburg exited observer at their location.
[18:08:16]	Karl Von Habsburg has taken 12 damage from worldspawn.
[18:08:18]	[OOC] OTA.C14-ECHO.OWC.69654: Brb
[18:08:18]	Karl Von Habsburg has taken 48 damage from worldspawn.
[18:08:22]	Karl Von Habsburg entered observer.
[18:08:41]	Karl Von Habsburg exited observer at their location.
[18:08:48]	Karl Von Habsburg entered observer.
[18:10:15]	[OOC] OTA.C14-ECHO.OWC.69654: Back
[18:12:31]	CCA.C36-QrM.10523 has gained 10 tokens.
[18:15:20]	Milanesa :3™ has connected.
[18:15:22]	[OOC] Karl Von Habsburg: e
[18:15:25]	Karl Von Habsburg exited observer at their location.
[18:15:27]	Karl Von Habsburg entered observer.
[18:15:28]	Karl Von Habsburg exited observer at their location.
[18:16:44]	[LOOC] OTA.C14-ECHO.OWC.69654: Bad
[18:17:31]	CCA.C36-QrM.10523 has gained 10 tokens.
[18:18:50]	[LOOC] OTA.C14-ECHO.OWC.69654: 10-0 hunting
[18:19:21]	Karl Von Habsburg entered observer.
[18:19:22]	Karl Von Habsburg exited observer at their location.
[18:19:23]	Karl Von Habsburg entered observer.
[18:19:23]	Karl Von Habsburg exited observer at their location.
[18:19:24]	Karl Von Habsburg entered observer.
[18:19:24]	Karl Von Habsburg exited observer at their location.
[18:20:19]	[OOC] OTA.C14-ECHO.OWC.69654: Uh....I think on realism and this server doesn't want realism so I can't answer this.
[18:20:30]	[LOOC] OTA.C14-ECHO.OWC.69654: Obviously not for the guns
[18:21:22]	Karl Von Habsburg entered observer.
[18:21:32]	Karl Von Habsburg exited observer at their location.
[18:21:33]	[Y] OTA.C14-ECHO.OWC.29481: <:: Cease fire! Target is friendly! ::>
[18:21:33]	Karl Von Habsburg entered observer.
[18:21:34]	Karl Von Habsburg exited observer at their location.
[18:21:35]	Karl Von Habsburg entered observer.
[18:21:35]	Karl Von Habsburg exited observer at their location.
[18:21:35]	Karl Von Habsburg entered observer.
[18:21:36]	Karl Von Habsburg exited observer at their location.
[18:21:37]	Karl Von Habsburg entered observer.
[18:21:38]	Milanesa :3™ loaded the character 'Gregory Smith'
[18:21:38]	Karl Von Habsburg exited observer at their location.
[18:21:38]	Karl Von Habsburg entered observer.
[18:21:40]	Karl Von Habsburg exited observer at their location.
[18:21:42]	Karl Von Habsburg entered observer.
[18:21:42]	Karl Von Habsburg exited observer at their location.
[18:21:48]	Karl Von Habsburg entered observer.
[18:21:56]	Karl Von Habsburg exited observer at their location.
[18:21:57]	Karl Von Habsburg entered observer.
[18:21:58]	Karl Von Habsburg exited observer at their location.
[18:22:00]	Karl Von Habsburg entered observer.
[18:22:00]	Karl Von Habsburg exited observer at their location.
[18:22:01]	Karl Von Habsburg entered observer.
[18:22:02]	Karl Von Habsburg exited observer at their location.
[18:22:06]	Karl Von Habsburg entered observer.
[18:22:08]	Karl Von Habsburg exited observer at their location.
[18:22:09]	Karl Von Habsburg entered observer.
[18:22:11]	Milanesa :3™ (STEAM_0:0:445640226) has disconnected.
[18:22:15]	Karl Von Habsburg exited observer at their location.
[18:22:15]	Karl Von Habsburg entered observer.
[18:22:22]	[OOC] OTA.C14-ECHO.OWC.69654: They timed out right?
[18:22:28]	Karl Von Habsburg exited observer at their location.
[18:22:28]	Karl Von Habsburg entered observer.
[18:22:28]	Karl Von Habsburg exited observer at their location.
[18:22:29]	Karl Von Habsburg entered observer.
[18:22:29]	Karl Von Habsburg exited observer at their location.
[18:22:30]	Karl Von Habsburg entered observer.
[18:22:30]	Karl Von Habsburg exited observer at their location.
[18:22:31]	CCA.C36-QrM.10523 has gained 10 tokens.
[18:22:31]	Karl Von Habsburg entered observer.
[18:22:31]	Karl Von Habsburg exited observer at their location.
[18:22:31]	Karl Von Habsburg entered observer.
[18:22:33]	Karl Von Habsburg exited observer at their location.
[18:22:35]	Karl Von Habsburg entered observer.
[18:22:36]	Karl Von Habsburg exited observer at their location.
[18:22:37]	Karl Von Habsburg entered observer.
[18:22:37]	Karl Von Habsburg exited observer at their location.
[18:22:39]	Karl Von Habsburg entered observer.
[18:22:39]	Karl Von Habsburg exited observer at their location.
[18:22:39]	Karl Von Habsburg entered observer.
[18:22:40]	Karl Von Habsburg exited observer at their location.
[18:22:40]	Karl Von Habsburg entered observer.
[18:22:41]	Karl Von Habsburg exited observer at their location.
[18:22:41]	Karl Von Habsburg entered observer.
[18:22:42]	Karl Von Habsburg exited observer at their location.
[18:22:42]	Karl Von Habsburg entered observer.
[18:22:42]	Karl Von Habsburg exited observer at their location.
[18:22:44]	Karl Von Habsburg entered observer.
[18:22:44]	Karl Von Habsburg exited observer at their location.
[18:22:45]	Karl Von Habsburg entered observer.
[18:22:51]	[OOC] OTA.C14-ECHO.OWC.69654: His Gmod crashed
[18:23:23]	Karl Von Habsburg has spawned a 'NPC [3195][npc_citizen]'.
[18:23:54]	OTA.C14-ECHO.OWC.29481 ran 'use' on item '9mm Pistol Magazine' (#27351)
[18:23:58]	OTA.C14-ECHO.OWC.29481 ran 'use' on item '9mm Pistol Magazine' (#27349)
[18:24:08]	[OOC] OTA.C14-ECHO.OWC.69654: Brb
[18:24:20]	Karl Von Habsburg exited observer at their location.
[18:24:55]	Karl Von Habsburg entered observer.
[18:24:58]	Karl Von Habsburg exited observer at their location.
[18:25:30]	Karl Von Habsburg entered observer.
[18:25:31]	OTA.C14-ECHO.OWC.29481 used command '/ViewCamera'.
[18:25:34]	Karl Von Habsburg exited observer at their location.
[18:26:36]	Milanesa :3™ has connected.
[18:27:02]	OTA.C14-ECHO.OWC.29481 has taken 35 damage from Karl Von Habsburg.
[18:27:03]	OTA.C14-ECHO.OWC.69654 has taken 35 damage from Karl Von Habsburg.
[18:27:03]	Karl Von Habsburg entered observer.
[18:27:31]	CCA.C36-QrM.10523 has gained 10 tokens.
[18:27:35]	Karl Von Habsburg exited observer at their location.
[18:27:37]	Karl Von Habsburg entered observer.
[18:27:38]	Karl Von Habsburg exited observer at their location.
[18:27:38]	Karl Von Habsburg has taken 3 damage from worldspawn.
[18:27:38]	Karl Von Habsburg entered observer.
[18:27:39]	Karl Von Habsburg exited observer at their location.
[18:27:40]	Karl Von Habsburg entered observer.
[18:27:49]	Karl Von Habsburg exited observer at their location.
[18:27:50]	Karl Von Habsburg entered observer.
[18:27:50]	Karl Von Habsburg exited observer at their location.
[18:27:51]	Karl Von Habsburg entered observer.
[18:27:52]	Karl Von Habsburg exited observer at their location.
[18:27:53]	Karl Von Habsburg entered observer.
[18:27:53]	Karl Von Habsburg exited observer at their location.
[18:27:53]	Karl Von Habsburg entered observer.
