[00:01:18]	[OOC] CCA.C17-GRID.i3.08313: I 
[21:05:52]	[LOOC] Ashley Adams: Yea ik
[21:05:58]	CCA.C17-GRID.i1.23710 entered observer.
[21:06:04]	[OOC] CCA.C17-GRID.i1.23710: this map is so pretty
[21:06:12]	CCA.C17-UNION.EpU.93347 used command '/PM GRID.i1 and what has the travel method been?... we're just walking sorta thing'.
[21:06:19]	CCA.C17-GRID.i1.23710 used command '/PM epu train'.
[21:06:23]	CCA.C17-UNION.EpU.93347 used command '/PM GRID.i1 or was it like a trainreck gone wrong ahhh'.
[21:06:31]	Johnathan Whittmore has spawned a 'Entity [170][ix_forcefield]'.
[21:06:33]	Johnathan Whittmore has spawned a 'Entity [170][ix_forcefield]'.
[21:06:34]	Johnathan Whittmore has spawned a 'Entity [692][ix_forcefield]'.
[21:06:37]	Johnathan Whittmore has spawned a 'Entity [170][ix_forcefield]'.
[21:06:40]	Johnathan Whittmore has spawned a 'Entity [170][ix_forcefield]'.
[21:06:41]	CCA.C17-GRID.i1.23710 has gained 10 tokens.
[21:06:50]	Johnathan Whittmore has spawned a 'Entity [170][ix_forcefield]'.
[21:06:53]	CCA.C17-UNION.i4.29852 has gained 10 tokens.
[21:07:03]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [170][gmod_sent_vehicle_fphysics_base]'.
[21:07:08]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [170][gmod_sent_vehicle_fphysics_base]'.
[21:07:16]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [170][gmod_sent_vehicle_fphysics_base]'.
[21:07:22]	Johnathan Whittmore exited observer at their location.
[21:07:23]	Johnathan Whittmore entered observer.
[21:07:23]	CCA.C17-GRID.i1.23710 exited observer at their location.
[21:07:23]	Johnathan Whittmore exited observer at their location.
[21:07:27]	Johnathan Whittmore entered observer.
[21:07:28]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [170][gmod_sent_vehicle_fphysics_base]'.
[21:07:32]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [170][gmod_sent_vehicle_fphysics_base]'.
[21:07:37]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [170][gmod_sent_vehicle_fphysics_base]'.
[21:07:38]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [898][gmod_sent_vehicle_fphysics_base]'.
[21:07:40]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [170][gmod_sent_vehicle_fphysics_base]'.
[21:07:41]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [891][gmod_sent_vehicle_fphysics_base]'.
[21:07:41]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [898][gmod_sent_vehicle_fphysics_base]'.
[21:07:45]	Johnathan Whittmore has spawned a 'Entity [891][gmod_sent_vehicle_fphysics_base]'.
[21:07:48]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [170][gmod_sent_vehicle_fphysics_base]'.
[21:07:49]	Johnathan Whittmore has spawned a 'Entity [926][gmod_sent_vehicle_fphysics_base]'.
[21:07:50]	Johnathan Whittmore has spawned a 'Entity [926][gmod_sent_vehicle_fphysics_base]'.
[21:07:52]	Johnathan Whittmore has spawned a 'Entity [969][gmod_sent_vehicle_fphysics_base]'.
[21:07:54]	Johnathan Whittmore has spawned a 'Entity [968][gmod_sent_vehicle_fphysics_base]'.
[21:07:54]	Johnathan Whittmore exited observer at their location.
[21:08:01]	Johnathan Whittmore entered observer.
[21:08:03]	Johnathan Whittmore exited observer at their location.
[21:08:06]	Johnathan Whittmore entered observer.
[21:08:38]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [891][gmod_sent_vehicle_fphysics_base]'.
[21:08:46]	CCA.C17-GRID.i1.23710 has spawned a 'Entity [891][gmod_sent_vehicle_fphysics_base]'.
[21:08:47]	Johnathan Whittmore used command '/Event The train eventually reached the end of the line. It wouldn't go any further, we would have to go by car.'.
[21:08:49]	Johnathan Whittmore has gained 50 tokens.
[21:09:06]	Johnathan Whittmore used command '/Event Trains to 03 had been shut down indefinitely.'.
[21:09:14]	Johnathan Whittmore used command '/PM epu wanna drive?'.
[21:09:17]	[ME] Anastasia Ivanovich: wiped her shovel clean.
[21:09:20]	Johnathan Whittmore used command '/PM epu trust me'.
[21:09:22]	Johnathan Whittmore used command '/PM epu hit e'.
[21:09:27]	Johnathan Whittmore used command '/PM epu look down a little and hit e'.
[21:09:31]	[LOOC] CCA.C17-UNION.EpU.93347: lol
[21:09:37]	Johnathan Whittmore used command '/ClearScreenDraws'.
[21:09:38]	Johnathan Whittmore exited observer at their location.
[21:09:50]	[Y] Johnathan Whittmore: Everyone get in! We've got a long way to go.
[21:09:56]	[OOC] Johnathan Whittmore: i just described how we got here
[21:10:01]	Johnathan Whittmore used command '/Event The train eventually reached the end of the line. It wouldn't go any further, we would have to go by car.'.
[21:10:01]	[ME] Ashley Adams: climbs in
[21:10:06]	Johnathan Whittmore used command '/Event Trains to 03 had been shut down indefinitely.'.
[21:10:10]	[ME] Anastasia Ivanovich: takes a seat and immediately regrets being tall.
[21:10:21]	CCA.C17-UNION.i2.51514 has gained 10 tokens.
[21:10:22]	Johnathan Whittmore used command '/PM grid yeah, into the tunnel'.
[21:10:53]	Johnathan Whittmore used command '/Radio Anyone read? This is Johnathan Whittmore.'.
[21:11:01]	CCA.C17-UNION.i2.51514 used command '/Radio We read you, high copy'.
[21:11:02]	CCA.C17-UNION.i4.29852 used command '/Radio Affiramative, Loud and Clear.'.
[21:11:03]	Johnathan Whittmore used command '/rooc I'm trying to contact outside sources'.
[21:11:10]	Johnathan Whittmore used command '/Radio Trying to contact outside sources. Not getting any signals.'.
[21:11:14]	[ME] Alex Palovichov: Takes out his PDA looking at it
[21:11:20]	Johnathan Whittmore used command '/Radio Anyone read?'.
[21:11:26]	CCA.C17-UNION.i2.51514 used command '/Radio Copy, units use caution, CODE: SWORD'.
[21:11:34]	CCA.C17-UNION.EpU.93347 used command '/Radio Copy'.
[21:11:41]	CCA.C17-GRID.i1.23710 has gained 10 tokens.
[21:11:53]	CCA.C17-UNION.i4.29852 has gained 10 tokens.
[21:12:21]	[Y] CCA.C17-GRID.i1.23710: <:: Stop! ::>
[21:12:22]	Matthew 'Matt' Miller has taken 5 damage from CCA.C17-UNION.i2.51514.
[21:12:30]	Johnathan Whittmore used command '/Radio Anyone read?'.
[21:12:32]	[LOOC] CCA.C17-GRID.i1.23710: AAAAAAAAAAA
[21:12:38]	CCA.C17-GRID.i1.23710 entered observer.
[21:12:38]	[ME] Johnathan Whittmore: would hold his radio up to the sky, trying to get a signal.
[21:12:39]	CCA.C17-GRID.i1.23710 exited observer at their location.
[21:12:40]	CCA.C17-UNION.EpU.93347 used command '/Radio Affirmative, Five by five on coms'.'.
[21:12:49]	Johnathan Whittmore used command '/Radio I'm trying to reach outside sources, union.'.
[21:12:57]	[ME] Robbert Garth: Would look up noticeingthe rainbow
[21:13:00]	Johnathan Whittmore used command '/Radio Anyone?'.
[21:13:13]	Johnathan Whittmore used command '/Radio Alright units, chagne of plan. The train station is normally this way, but we're having trouble.'.
[21:13:22]	Alex Palovichov ran 'EquipUn' on item 'CWU Leadership Suit' (#24484)
[21:13:25]	CCA.C17-GRID.i1.23710 has gained a 'Respirator' #28093.
[21:13:25]	CCA.C17-GRID.i1.23710 has gained a 'Respirator' #28094.
[21:13:25]	CCA.C17-GRID.i1.23710 has gained a 'Respirator' #28095.
[21:13:25]	Johnathan Whittmore used command '/CharGiveItem grid respirator 3'.
[21:13:28]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[21:13:37]	[Y] Johnathan Whittmore: Alright, everyone.
[21:13:39]	[Y] Johnathan Whittmore: Change of plans.
[21:13:44]	[Y] Johnathan Whittmore: We're going by foot!
[21:13:45]	[ME] Alex Palovichov: Takes off his mask
[21:13:47]	Alex Palovichov ran 'EquipUn' on item 'Respirator' (#24885)
[21:13:47]	Alex Palovichov has taken 1 damage from worldspawn.
[21:13:47]	Alex Palovichov has taken 1 damage from worldspawn.
[21:13:48]	Alex Palovichov ran 'Equip' on item 'Respirator' (#24885)
[21:13:49]	Johnathan Whittmore has gained 50 tokens.
[21:14:04]	Matthew 'Matt' Miller ran 'EquipUn' on item 'Respirator' (#24003)
[21:14:04]	Matthew 'Matt' Miller has taken 1 damage from worldspawn.
[21:14:05]	Matthew 'Matt' Miller has taken 1 damage from worldspawn.
[21:14:06]	Matthew 'Matt' Miller has taken 1 damage from worldspawn.
[21:14:06]	Matthew 'Matt' Miller has taken 1 damage from worldspawn.
[21:14:07]	Matthew 'Matt' Miller has taken 1 damage from worldspawn.
[21:14:08]	Matthew 'Matt' Miller ran 'Equip' on item 'Respirator' (#24003)
[21:14:08]	Johnathan Whittmore has gained a 'Respirator' #28096.
[21:14:08]	Johnathan Whittmore used command '/CharGiveItem johnathan respirator'.
[21:14:09]	Johnathan Whittmore ran 'Equip' on item 'Respirator' (#28096)
[21:14:33]	[Y] Johnathan Whittmore: We'll have to make our way through the tunnel. Map says it's a service station, but.. Something doesn't seem right about it,.
[21:14:47]	CCA.C17-UNION.i2.51514 used command '/Radio Unit adivsory, 515 and the GRID move to clear further in, ground units deal with the citizens as we do so.'.
[21:15:04]	[Y] Johnathan Whittmore: We're in the old-world Poland.
[21:15:21]	CCA.C17-UNION.i2.51514 has gained 10 tokens.
[21:15:23]	[ME] Matthew 'Matt' Miller: would sniffle
[21:15:32]	[Y] Johnathan Whittmore: So we're likely to find a bit of war infrastructure.
[21:15:39]	[Y] Johnathan Whittmore: Let's keep it moving.
[21:16:18]	CCA.C17-UNION.i2.51514 used command '/Radio Cleared so far'.
[21:16:26]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[21:16:41]	CCA.C17-GRID.i1.23710 has gained 10 tokens.
[21:16:51]	Johnathan Whittmore entered observer.
[21:16:53]	CCA.C17-UNION.i4.29852 has gained 10 tokens.
[21:16:59]	Johnathan Whittmore has spawned a 'NPC [948][npc_zombie]'.
[21:17:17]	CCA.C17-UNION.i2.51514 used command '/Radio Barricade'.
[21:17:18]	Johnathan Whittmore has spawned 'models/hunter/plates/plate1x1.mdl'.
[21:17:20]	Johnathan Whittmore has spawned 'models/hunter/plates/plate2x2.mdl'.
[21:17:36]	CCA.C17-UNION.i2.51514 used command '/Radio Necrotics, silencing'.
[21:17:37]	[ME] CCA.C17-GRID.i1.23710: would point at the contaminated area sign
[21:17:45]	Matthew 'Matt' Miller has taken 5 damage from CCA.C17-UNION.i4.29852.
[21:17:46]	Matthew 'Matt' Miller has taken 5 damage from CCA.C17-UNION.i4.29852.
[21:17:47]	Matthew 'Matt' Miller has taken 5 damage from CCA.C17-UNION.i4.29852.
[21:17:52]	Johnathan Whittmore has spawned a 'NPC [948][npc_poisonzombie]'.
[21:17:54]	Johnathan Whittmore has spawned a 'NPC [950][npc_headcrab]'.
[21:17:57]	CCA.C17-UNION.i2.51514 used command '/Radio Contaminants silenced'.
[21:18:01]	[OOC] Matthew 'Matt' Miller: ima be real the cp outfits suck
[21:18:01]	[LOOC] CCA.C17-GRID.i1.23710: misfire
[21:18:04]	Johnathan Whittmore exited observer at their location.
[21:18:07]	[OOC] CCA.C17-UNION.i2.51514: True 
[21:18:10]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[21:18:15]	CCA.C17-GRID.i1.23710 has taken 5 damage from npc_headcrab.
[21:18:16]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[21:18:23]	Johnathan Whittmore has gained a 'Flashlight' #28099.
[21:18:23]	Johnathan Whittmore used command '/CharGiveItem johnathan flashlight'.
[21:18:27]	CCA.C17-UNION.EpU.93347 used command '/Radio Situation status?'.
[21:18:28]	CCA.C17-UNION.i2.51514 used command '/Radio Virome silenced'.
[21:18:28]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[21:18:32]	CCA.C17-UNION.i2.51514 used command '/Radio Status is green, cleared'.
[21:18:42]	Johnathan Whittmore used command '/Radio The map doesn't cover any part of this area.'.
[21:18:43]	CCA.C17-UNION.EpU.93347 used command '/Radio 10-4; 19-61s movin' up'.
[21:18:48]	[LOOC] Alex Palovichov: void >
[21:18:49]	Johnathan Whittmore has gained 50 tokens.
[21:18:50]	CCA.C17-UNION.i2.51514 used command '/Radio Computers and signs of life, possibly a re-'.
[21:18:51]	CCA.C17-UNION.i2.51514 used command '/Radio Copy'.
[21:19:04]	Robbert Garth has taken 5 damage from prop_physics.
[21:19:17]	[LOOC] CCA.C17-GRID.i1.23710: ah i see
[21:19:20]	CCA.C17-UNION.EpU.93347 used command '/Radio PT wait up for the rest'.
[21:19:22]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[21:19:32]	CCA.C17-GRID.i1.23710 used command '/Radio Forming a PT'.
[21:19:32]	CCA.C17-UNION.i2.51514 used command '/Radio Affirmative, clearing finished, awaiting units.'.
[21:19:36]	CCA.C17-GRID.i1.23710 ran 'create' on item 'Squad Identification Device' (#76)
[21:19:37]	CCA.C17-UNION.i2.51514 ran 'join' on item 'Squad Identification Device' (#804)
[21:19:37]	CCA.C17-UNION.i4.29852 ran 'join' on item 'Squad Identification Device' (#23677)
[21:19:38]	CCA.C17-UNION.i2.51514 ran 'join' on item 'Squad Identification Device' (#804)
[21:19:41]	CCA.C17-UNION.i2.51514 ran 'join' on item 'Squad Identification Device' (#804)
[21:19:41]	Johnathan Whittmore used command '/Radio Anyone find a way through?'.
[21:19:45]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[21:19:48]	CCA.C17-GRID.i1.23710 used command '/rooc void shots'.
[21:19:52]	CCA.C17-UNION.i2.51514 ran 'setcolor' on item 'Squad Identification Device' (#804)
[21:19:55]	[Y] CCA.C17-UNION.EpU.93347: <:: All of you, with me! ::>
[21:20:05]	CCA.C17-GRID.i1.23710 used command '/rooc Attach to the PT'.
[21:20:09]	CCA.C17-UNION.i4.29852 ran 'join' on item 'Squad Identification Device' (#23677)
[21:20:10]	Johnathan Whittmore used command '/rooc copy'.
[21:20:13]	CCA.C17-UNION.i4.29852 ran 'setcolor' on item 'Squad Identification Device' (#23677)
[21:20:19]	CCA.C17-GRID.i1.23710 used command '/rooc that was meant for real radio but this works too'.
[21:20:21]	CCA.C17-UNION.i2.51514 has gained 10 tokens.
[21:20:21]	CCA.C17-UNION.EpU.93347 ran 'join' on item 'Squad Identification Device' (#23802)
[21:20:27]	[ME] Alex Palovichov: Takes out a priority ration and begins to eat it
[21:20:31]	CCA.C17-UNION.EpU.93347 used command '/Radio U-47 interlocking PT Aplha'.
[21:20:38]	Alex Palovichov ran 'Consume' on item 'Priority Grade Supplements (Chocolate Flavor)' (#28052)
[21:20:43]	Matthew 'Matt' Miller has taken 5 damage from CCA.C17-UNION.i4.29852.
[21:20:44]	[ME] Anastasia Ivanovich: groaned -
[21:20:44]	Matthew 'Matt' Miller has taken 5 damage from CCA.C17-UNION.i4.29852.
[21:21:04]	Alex Palovichov ran 'Equip' on item 'CWU Leadership Suit' (#24484)
[21:21:24]	[OOC] Johnathan Whittmore: lag spike to fix tlaking names
[21:21:26]	Matthew 'Matt' Miller has spawned 'models/props_junk/PlasticCrate01a.mdl'.
[21:21:31]	[OOC] Johnathan Whittmore: seever isn't crashing, just a lag psike
[21:21:51]	Alex Palovichov ran 'Consume' on item 'Consulate Water' (#28060)
[21:21:51]	[OOC] CCA.C17-GRID.i1.23710: afk getting snacks
[21:22:27]	[W] Alex Palovichov: Anyone else hungry...
[21:22:39]	[OOC] Johnathan Whittmore: much better
[21:22:40]	[OOC] Alex Palovichov: Oh whispering is fixed!
[21:22:53]	Matthew 'Matt' Miller ran 'take' on item 'Padlock' (#28098)
[21:22:53]	Matthew 'Matt' Miller has gained a 'Padlock' #28098.
[21:22:57]	[LOOC] Matthew 'Matt' Miller: void
[21:23:06]	Matthew 'Matt' Miller ran 'Use' on item 'Padlock' (#28098)
[21:23:39]	CCA.C17-UNION.EpU.93347 used command '/Radio Citizens, Back of the line!'.
[21:23:45]	CCA.C17-UNION.EpU.93347 used command '/rooc void that'.
[21:23:52]	Johnathan Whittmore used command '/Event The ladder would be sealed off with some kind of metal trapdoor.'.
[21:24:03]	Johnathan Whittmore used command '/Radio Grid, got any ideas?'.
[21:24:15]	[LOOC] CCA.C17-UNION.i2.51514: DRD AFK 
[21:24:16]	[LOOC] CCA.C17-UNION.i2.51514: Yay 
[21:24:21]	[OOC] Johnathan Whittmore: fuck
[21:24:21]	[ME] Anastasia Ivanovich: goes to observe the trapdoor. How does it look?
[21:24:41]	[IT] Johnathan Whittmore: It looks like it slides in from below the ground, a hydraulic.
[21:24:46]	[ME] Alex Palovichov: Kicks the top of the trapdoor
[21:24:56]	[IT] Johnathan Whittmore: You fail, the door does not budge.
[21:25:00]	[ME] Alex Palovichov: Begins to beat on the trapdoor
[21:25:17]	[ME] Matthew 'Matt' Miller: cracks a medium tempture one open
[21:25:19]	Matthew 'Matt' Miller ran 'Consume' on item 'Flavored Consulate Water' (#24669)
[21:25:25]	[ME] Anastasia Ivanovich: goes to shove her shovel in between a corner until its in there.
[21:25:35]	[IT] Anastasia Ivanovich: Does it fit in there?
[21:25:46]	[IT] Johnathan Whittmore: It does not, it's a pretty small gap.
[21:25:51]	[ME] Anastasia Ivanovich: gives up.
[21:26:20]	Robbert Garth has taken 5 damage from prop_physics.
[21:26:37]	CCA.C17-UNION.EpU.93347 used command '/Radio Civs movin' back.'.
[21:26:44]	[OOC] Johnathan Whittmore: he back
[21:26:50]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[21:26:50]	Johnathan Whittmore has gained 50 tokens.
[21:26:50]	CCA.C17-UNION.i2.51514 has gained 10 tokens.
[21:26:50]	CCA.C17-UNION.i4.29852 has gained 10 tokens.
[21:27:16]	[ME] Alex Palovichov: Begins to inspect the computer
[21:27:28]	[ME] Alex Palovichov: Begins to press a few buttons
[21:27:36]	[LOOC] Johnathan Whittmore: no
[21:27:38]	[LOOC] Johnathan Whittmore: no password
[21:27:51]	[LOOC] Johnathan Whittmore: no password
[21:27:54]	[LOOC] Johnathan Whittmore: there's no password
[21:27:54]	[OOC] CCA.C17-GRID.i1.23710: / sandwich acquired
[21:27:59]	[LOOC] Alex Palovichov: Fine...void
[21:28:11]	[IT] Johnathan Whittmore: The screen flashes "Door opened."
[21:28:24]	Matthew 'Matt' Miller has taken 5 damage from CCA.C17-UNION.i4.29852.
[21:28:25]	Johnathan Whittmore entered observer.
[21:28:25]	Matthew 'Matt' Miller has taken 5 damage from CCA.C17-UNION.i4.29852.
[21:28:26]	Matthew 'Matt' Miller has taken 5 damage from CCA.C17-UNION.i4.29852.
[21:28:37]	Johnathan Whittmore has spawned a 'NPC [948][npc_headcrab]'.
[21:28:44]	[OOC] CCA.C17-GRID.i1.23710: ah
[21:28:46]	[OOC] Matthew 'Matt' Miller: gah
[21:28:47]	[OOC] CCA.C17-GRID.i1.23710: tinnitus
[21:28:47]	[OOC] CCA.C17-UNION.i2.51514: ah
[21:28:52]	Johnathan Whittmore has spawned a 'NPC [953][npc_zombie]'.
[21:28:58]	Johnathan Whittmore has spawned a 'NPC [954][npc_zombie]'.
[21:29:24]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[21:29:50]	Matthew 'Matt' Miller ran 'drop' on item 'Nylon Cord' (#24597)
[21:29:50]	Matthew 'Matt' Miller has lost a 'Nylon Cord' #24597.
[21:29:53]	Matthew 'Matt' Miller ran 'drop' on item 'Standard Grade Food Product (Water Flavor)' (#25140)
[21:29:53]	Matthew 'Matt' Miller has lost a 'Standard Grade Food Product (Water Flavor)' #25140.
[21:30:00]	[ME] Anastasia Ivanovich: goes to open the crates forcibly with her shovel.
[21:30:01]	[ME] Alex Palovichov: Opens up one of the crates
[21:30:01]	Johnathan Whittmore used command '/Radio Status?'.
[21:30:02]	CCA.C17-UNION.EpU.93347 used command '/Radio I'm getting the line moving through.'.
[21:30:07]	Johnathan Whittmore exited observer at their location.
[21:30:10]	Johnathan Whittmore has gained a 'Notepad' #28101.
[21:30:10]	Johnathan Whittmore used command '/CharGiveItem whittmore notepad'.
[21:30:11]	Johnathan Whittmore entered observer.
[21:30:11]	Johnathan Whittmore exited observer at their location.
[21:30:11]	CCA.C17-UNION.i2.51514 used command '/Radio Green so far, loud contaminants.'.
[21:30:14]	CCA.C17-UNION.EpU.93347 used command '/Radio Ground units, Lock pos.'.
[21:30:16]	Johnathan Whittmore has spawned 'models\Humans/Group02/male_08.mdl'.
[21:30:16]	Johnathan Whittmore entered observer.
[21:30:17]	[LOOC] Alex Palovichov: I opened it not destroyed it
[21:30:17]	Johnathan Whittmore exited observer at their location.
[21:30:18]	Johnathan Whittmore entered observer.
[21:30:18]	Johnathan Whittmore exited observer at their location.
[21:30:19]	Johnathan Whittmore has spawned 'models\Humans/Group02/male_08.mdl'.
[21:30:24]	Johnathan Whittmore has spawned 'models\Humans/Group02/Male_01.mdl'.
[21:30:25]	[ME] Anastasia Ivanovich: destroys a crate for fun.
[21:30:31]	CCA.C17-UNION.i2.51514 used command '/Radio Setting perimeter, locking 10-20, awaiting for further directive.'.
[21:30:31]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[21:30:36]	CCA.C17-GRID.i1.23710 used command '/Radio Exit route identified'.
[21:30:41]	Johnathan Whittmore has spawned a 'NPC [953][npc_zombie]'.
[21:30:43]	Johnathan Whittmore has spawned a 'NPC [954][npc_zombie]'.
[21:30:46]	Johnathan Whittmore has taken 10 damage from npc_zombie.
[21:30:46]	[Y] CCA.C17-UNION.EpU.93347: <:: One at a time! ::>
[21:30:48]	Johnathan Whittmore has spawned a 'NPC [953][npc_zombie]'.
[21:30:50]	Johnathan Whittmore has spawned a 'NPC [954][npc_zombie]'.
[21:30:51]	Johnathan Whittmore entered observer.
[21:30:57]	CCA.C17-GRID.i1.23710 used command '/Radio 2, possibly'.
[21:30:58]	Johnathan Whittmore ran 'Edit' on item 'Notepad' (#28101)
[21:31:07]	[Y] CCA.C17-UNION.EpU.93347: <:: Come on through! ::>
[21:31:09]	CCA.C17-GRID.i1.23710 used command '/Radio disregard, one'.
[21:31:22]	Matthew 'Matt' Miller ran 'take' on item 'Scrap Metal' (#28100)
[21:31:22]	Matthew 'Matt' Miller has gained a 'Scrap Metal' #28100.
[21:31:26]	CCA.C17-UNION.EpU.93347 used command '/Radio PT proceed through if able.'.
[21:31:26]	Johnathan Whittmore ran 'drop' on item 'Notepad' (#28101)
[21:31:26]	Johnathan Whittmore has lost a 'Notepad' #28101.
[21:31:30]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[21:31:30]	Johnathan Whittmore ran 'Edit' on item 'Notepad' (#28101)
[21:31:40]	[LOOC] Matthew 'Matt' Miller: void
[21:31:51]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[21:31:51]	Johnathan Whittmore has gained 50 tokens.
[21:31:51]	CCA.C17-UNION.i2.51514 has gained 10 tokens.
[21:31:51]	CCA.C17-GRID.i1.23710 has gained 10 tokens.
[21:31:51]	CCA.C17-UNION.i4.29852 has gained 10 tokens.
[21:31:52]	CCA.C17-GRID.i1.23710 used command '/Radio 2 routes'.
[21:32:01]	CCA.C17-GRID.i1.23710 used command '/Radio Move a crate, or go through a door'.
[21:32:16]	CCA.C17-UNION.i2.51514 used command '/Radio Exit through the door'.
[21:32:20]	[Y] CCA.C17-UNION.i2.51514: <:: Move! ::>
[21:32:42]	Johnathan Whittmore has spawned 'models\Humans/Group02/male_02.mdl'.
[21:32:43]	[ME] Anastasia Ivanovich: boosted
[21:32:48]	Johnathan Whittmore has spawned 'models\Humans/Group02/Male_04.mdl'.
[21:32:53]	Johnathan Whittmore has spawned 'models/Zombie/Classic_torso.mdl'.
[21:32:56]	Johnathan Whittmore has spawned 'models/Zombie/Classic.mdl'.
[21:32:58]	Johnathan Whittmore has spawned 'models/Zombie/Classic.mdl'.
[21:33:04]	Johnathan Whittmore has spawned 'models/headcrabclassic.mdl'.
[21:33:07]	Johnathan Whittmore has spawned a 'NPC [963][npc_zombie]'.
[21:33:13]	Johnathan Whittmore has spawned 'models\Humans/Group02/Female_03.mdl'.
[21:33:15]	Johnathan Whittmore has spawned 'models\Humans/Group02/male_09.mdl'.
[21:33:18]	[ME] CCA.C17-GRID.i1.23710: would take the ladder, lowering it down
[21:33:22]	Johnathan Whittmore has spawned 'models/headcrabclassic.mdl'.
[21:33:24]	[ME] Anastasia Ivanovich: goes to pull herself up.
[21:33:25]	CCA.C17-UNION.i4.29852 used command '/Radio Found a ladder'.
[21:33:30]	Anastasia Ivanovich rolled 91 (86 + 5) out of 100 on Acrobatics.
[21:33:30]	Anastasia Ivanovich used command '/RollSkill acrobatics'.
[21:33:34]	CCA.C17-GRID.i1.23710 entered observer.
[21:33:35]	[LOOC] Anastasia Ivanovich: move me up
[21:33:39]	CCA.C17-GRID.i1.23710 exited observer at their location.
[21:33:40]	CCA.C17-GRID.i1.23710 entered observer.
[21:33:40]	CCA.C17-GRID.i1.23710 exited observer at their location.
[21:33:47]	[ME] CCA.C17-UNION.i4.29852: drags the ladder over the edge and sets it down below.
[21:33:48]	[OOC] Alex Palovichov: Ladder no work
[21:33:53]	CCA.C17-GRID.i1.23710 entered observer.
[21:33:56]	CCA.C17-GRID.i1.23710 exited observer at their location.
[21:33:56]	[OOC] Anastasia Ivanovich: I rolled a 96 on acrobatics
[21:34:05]	[OOC] Anastasia Ivanovich: can I be moved up there?
[21:34:06]	Johnathan Whittmore exited observer at their location.
[21:34:07]	CCA.C17-UNION.i4.29852 used command '/Radio I see... Blood.'.
[21:34:08]	Johnathan Whittmore entered observer.
[21:34:09]	Johnathan Whittmore exited observer at their location.
[21:34:15]	Johnathan Whittmore entered observer.
[21:34:16]	CCA.C17-UNION.EpU.93347 used command '/Radio 10-0.'.
[21:34:16]	[LOOC] CCA.C17-UNION.i2.51514: me and the  EPOO watching this unfold 
[21:34:20]	[LOOC] Anastasia Ivanovich: matt don't fucking push me
[21:34:23]	[LOOC] CCA.C17-UNION.EpU.93347: yop
[21:34:26]	[LOOC] Matthew 'Matt' Miller: MOVE!
[21:34:26]	[ME] CCA.C17-UNION.i4.29852: climbs down the ladder he totally set up.
[21:34:29]	[OOC] Johnathan Whittmore: dol we not have hte ladder tool
[21:34:30]	Alex Palovichov used command '/CharFallOver 4'.
[21:34:47]	[W] CCA.C17-UNION.i4.29852: <:: Sorry about earlier. ::>
[21:34:51]	[W] Alex Palovichov: All good!
[21:35:02]	[OOC] Matthew 'Matt' Miller: this is where we came from
[21:35:03]	[OOC] Matthew 'Matt' Miller: BRO
[21:35:06]	[OOC] Johnathan Whittmore: not it isn't
[21:35:07]	CCA.C17-UNION.i4.29852 used command '/Radio There's a copious amount of blood.'.
[21:35:11]	[OOC] Johnathan Whittmore: oh
[21:35:12]	[OOC] Johnathan Whittmore: it is
[21:35:15]	[OOC] Johnathan Whittmore: kind of
[21:35:17]	[OOC] Matthew 'Matt' Miller: BRO THE IQ
[21:35:20]	[OOC] Matthew 'Matt' Miller: OF HL2RP PLAYERS
[21:35:21]	[OOC] Alex Palovichov: No it ain't
[21:35:28]	CCA.C17-UNION.EpU.93347 used command '/Radio 10-4, stand by for PT to coagulate.'.
[21:35:29]	[ME] Robbert Garth: Hops down trying to brace his landing
[21:35:30]	[OOC] Johnathan Whittmore: bor that was the otnly why trough
[21:35:33]	Robbert Garth rolled 47 out of 100.
[21:35:33]	Robbert Garth used command '/Roll acrobatics'.
[21:35:33]	CCA.C17-GRID.i1.23710 used command '/Radio Right.. Let's try the fence'.
[21:35:36]	Robbert Garth used command '/CharFallOver 0.1'.
[21:35:40]	[OOC] Alex Palovichov: No its different
