[04:53:57]	Coilrek has connected.
[20:44:58]	[OOC] Journey Robertson: LMAO
[20:45:03]	[OOC] Test Testington: WTF HAPPENED
[20:45:06]	[OOC] Journey Robertson: BRUH
[20:45:17]	[LOOC] Journey Robertson: WTF happened
[20:45:19]	Test Testington exited observer at their location.
[20:45:20]	Test Testington entered observer.
[20:45:20]	Test Testington exited observer at their location.
[20:45:22]	Test Testington has spawned a 'Entity [3236][ix_testent5]'.
[20:45:24]	[LOOC] Journey Robertson: Bruh
[20:45:26]	Test Testington has spawned a 'Entity [3236][ix_testent5]'.
[20:45:27]	Test Testington has spawned a 'Entity [3237][ix_testent5]'.
[20:45:30]	Test Testington has spawned a 'Entity [3236][ix_testent5]'.
[20:45:38]	Test Testington entered observer.
[20:45:40]	Test Testington exited observer at their location.
[20:45:43]	Test Testington entered observer.
[20:46:11]	[OOC] Journey Robertson: I swear somebody is gonna burn the whole city down again with the cooking shit.
[20:46:16]	[OOC] Hans Weiß: mhm
[20:46:44]	Journey Robertson ran 'Drink' on item 'Breen's Water' (#22402)
[20:47:00]	[OOC] Hans Weiß: i wish i kept the screw driver cause then i could prolly make so much more
[20:47:22]	[OOC] Journey Robertson: yeah giving away tools is kinda a dumb dumb thing to do
[20:47:35]	[OOC] Journey Robertson: If your a rebel of course
[20:47:42]	Journey Robertson opened the '' #1902 container.
[20:47:44]	Journey Robertson closed the '' #1902 container.
[20:48:14]	[OOC] Hans Weiß: i mean i might make a stunstick but i don't think i really need screws to slap together some wires, a thing of metal, batteries, and a rope
[20:48:33]	[ME] Hans Weiß: turns on stove to heat up water.
[20:48:43]	[OOC] Journey Robertson: I hope you have rubber gloves or something because if not your kinda fucked
[20:48:58]	[OOC] Test Testington: don't worry
[20:49:03]	[OOC] Test Testington: i've put contraction of diseases into account
[20:49:06]	[OOC] Hans Weiß: imma see how good rope is at insulation
[20:49:30]	[OOC] Test Testington: i pre-emptively added in disease contraction
[20:49:35]	Journey Robertson ran 'take' on item 'Empty Can' (#22395)
[20:49:35]	Journey Robertson has gained a 'Empty Can' #22395.
[20:49:39]	Test Testington exited observer at their location.
[20:49:39]	[OOC] Journey Robertson: NOICE
[20:49:43]	[OOC] Test Testington: it's not finished
[20:49:54]	[OOC] Test Testington: nor is anything oinvolving diseases progammed in
[20:49:55]	Journey Robertson ran 'take' on item 'UU Brand Cigarette Pack' (#19106)
[20:49:55]	Journey Robertson has gained a 'UU Brand Cigarette Pack' #19106.
[20:49:56]	[OOC] Test Testington: i jsut added in
[20:49:59]	[OOC] Test Testington: fuckin like
[20:50:05]	[OOC] Test Testington: the actually compatibility with what will b diseases
[20:50:28]	[OOC] Journey Robertson: Q come here for a moment
[20:50:30]	[ME] Hans Weiß: put's headcrab legs into the water to boil
[20:50:30]	Test Testington entered observer.
[20:50:31]	[OOC] Journey Robertson: LootRP shit
[20:50:35]	[OOC] Test Testington: hodl on
[20:50:39]	Test Testington exited observer at their location.
[20:50:43]	[ME] Journey Robertson: Opens the cabinet and searches through it.
[20:50:53]	Test Testington has gained a 'Breen's Water' #22658.
[20:50:53]	Test Testington used command '/CharGiveItem test breen's'.
[20:51:18]	[LOOC] Hans Weiß: what kind of rope did i find, like twine, polypropalene, what?
[20:51:29]	[LOOC] Test Testington: you standard cartoon shit
[20:51:32]	[LOOC] Test Testington: think noose rope
[20:52:12]	Test Testington set staminaDrain to '10'.
[20:52:13]	Test Testington set staminaRegeneration to '0'.
[20:52:20]	[ME] Hans Weiß: checks if crab legs are done
[20:52:22]	Test Testington ran 'Drink' on item 'Breen's Water' (#22658)
[20:52:28]	[LOOC] Hans Weiß: well "crab"
[20:52:41]	[LOOC] Hans Weiß: it's crab enough
[20:52:42]	Test Testington has spawned a 'Entity [3211][ix_testent6]'.
[20:52:54]	[LOOC] Hans Weiß: i do be nappin
[20:53:05]	Test Testington has spawned a 'Entity [3211][ix_testent6]'.
[20:53:23]	Test Testington set staminaDrain to '1'.
[20:53:24]	[LOOC] Hans Weiß: imma get that wood again, it's a good insulator
[20:53:26]	Test Testington set staminaRegeneration to '1.75'.
[20:53:31]	[OOC] Test Testington: alright
[20:53:36]	[OOC] Journey Robertson: NEATO
[20:53:38]	[ME] Journey Robertson: Opens the cabinet and searches through it.
[20:53:39]	Journey Robertson rolled 21 out of 100.
[20:53:39]	Journey Robertson used command '/Roll'.
[20:53:43]	Test Testington used command '/adminspawnmenu'.
[20:53:43]	[LOOC] Journey Robertson: Fuck my rolls
[20:53:48]	[LOOC] Journey Robertson: And my existence
[20:53:49]	Test Testington has spawned "Cloth Scrap"
[20:53:52]	Journey Robertson ran 'take' on item 'Cloth Scrap' (#22658)
[20:53:52]	Journey Robertson has gained a 'Cloth Scrap' #22658.
[20:53:54]	[LOOC] Test Testington: no :()
[20:53:55]	[LOOC] Test Testington: :(*
[20:54:03]	[ME] Hans Weiß: takes crab legs out when they are not completely inedible and I'd die if I ate if probably
[20:54:13]	[ME] Journey Robertson: Opens up the wooden cabinet and begins searching through it
[20:54:14]	Journey Robertson rolled 51 out of 100.
[20:54:14]	Journey Robertson used command '/Roll'.
[20:54:28]	Test Testington used command '/adminspawnmenu'.
[20:54:28]	[LOOC] Journey Robertson: That decent roll could have been used for so many other things ;-;
[20:54:30]	[LOOC] Hans Weiß: deadass i might spook the EpU with the headcrab
[20:54:40]	Test Testington has spawned "Bag of Screws"
[20:54:40]	Test Testington has spawned "Bag of Screws"
[20:54:43]	Journey Robertson ran 'take' on item 'Bag of Screws' (#22659)
[20:54:43]	Journey Robertson has gained a 'Bag of Screws' #22659.
[20:54:44]	Journey Robertson ran 'take' on item 'Bag of Screws' (#22660)
[20:54:44]	Journey Robertson has gained a 'Bag of Screws' #22660.
[20:54:55]	[ME] Hans Weiß: takes the meat out of the "crab" legs
[20:55:02]	Test Testington entered observer.
[20:55:06]	Test Testington exited observer at their location.
[20:55:06]	[ME] Hans Weiß: begins chowing down on that good good
[20:55:11]	Test Testington has taken 38 damage from worldspawn.
[20:55:13]	Test Testington entered observer.
[20:55:17]	[OOC] Test Testington: i need to add in leg breaking and shit
[20:55:20]	[LOOC] Journey Robertson: Bruh
[20:55:21]	[OOC] Test Testington: so you can't jump off of roofs
[20:55:28]	Test Testington exited observer at their location.
[20:55:31]	Test Testington has taken 23 damage from worldspawn.
[20:55:34]	[OOC] Test Testington: wouldn't be hard to do
[20:55:37]	Test Testington entered observer.
[20:55:39]	Test Testington exited observer at their location.
[20:55:40]	Test Testington has taken 54 damage from worldspawn.
[20:55:40]	worldspawn has killed Test Testington.
[20:55:41]	[OOC] Journey Robertson: Saddly some roofs just throw you off at the speed of sound
[20:55:44]	Test Testington entered observer.
[20:55:54]	[OOC] Test Testington: yeah but some people deliberately jump off of them
[20:55:57]	[OOC] Hans Weiß: soooo uh, if i cooked the "crab" legs would i still get a disease, like are they just inedible, what's the deal
[20:56:02]	[OOC] Test Testington: also it's a mistake you'll only make once
[20:56:14]	[OOC] Test Testington: depends how long you cook them for
[20:57:06]	[OOC] Hans Weiß: "until they aren't inedible and I'd die if I ate it probably" were my exact words
[20:57:21]	[OOC] Hans Weiß: ate it, as in before they were cooked
[20:57:30]	[OOC] Test Testington: question
[20:57:32]	[OOC] Test Testington: how are you gonna get the legs off
[20:58:07]	[OOC] Hans Weiß: i got metal, i can probably use that to help
[20:58:13]	[ME] Hans Weiß: turns off stove
[20:58:21]	[ME] Hans Weiß: washes out pot
[20:58:49]	[OOC] Test Testington: no offense
[20:58:52]	[OOC] Test Testington: but you're a sick fuck
[20:58:56]	[OOC] Test Testington: not rly doe
[20:59:07]	[OOC] Hans Weiß: good
[20:59:22]	[OOC] Journey Robertson: Like the true gamer that I am imma go look at cursed gun images that make me want to go hug a Mosin Nagant in the corner
[20:59:31]	[OOC] Journey Robertson: So brb
[21:00:02]	Hans Weiß ran 'take' on item 'Wooden Piece' (#22651)
[21:00:02]	Hans Weiß has gained a 'Wooden Piece' #22651.
[21:00:07]	Hans Weiß ran 'drop' on item 'Junk Newspaper' (#22630)
[21:00:07]	Hans Weiß has lost a 'Junk Newspaper' #22630.
[21:00:42]	Hans Weiß ran 'take' on item 'Sturdy Needle' (#22624)
[21:00:42]	Hans Weiß has gained a 'Sturdy Needle' #22624.
[21:01:31]	[OOC] Hans Weiß: alright time to make me a makeshift stunbaton
[21:01:32]	[OOC] Journey Robertson: back
[21:01:38]	[OOC] Journey Robertson: NOICE
[21:01:45]	Hans Weiß ran 'drop' on item 'Wooden Piece' (#22651)
[21:01:45]	Hans Weiß has lost a 'Wooden Piece' #22651.
[21:01:51]	Hans Weiß ran 'drop' on item 'Nails' (#22652)
[21:01:51]	Hans Weiß has lost a 'Nails' #22652.
[21:01:54]	Hans Weiß ran 'drop' on item 'Battered Scrap' (#22610)
[21:01:54]	Hans Weiß has lost a 'Battered Scrap' #22610.
[21:01:57]	Hans Weiß ran 'drop' on item 'Battered Scrap' (#22638)
[21:01:57]	Hans Weiß has lost a 'Battered Scrap' #22638.
[21:01:58]	Hans Weiß ran 'drop' on item 'Cables' (#22614)
[21:01:58]	Hans Weiß has lost a 'Cables' #22614.
[21:01:59]	Hans Weiß ran 'drop' on item 'Cables' (#22613)
[21:01:59]	Hans Weiß has lost a 'Cables' #22613.
[21:02:00]	Hans Weiß ran 'drop' on item 'AA Battery' (#22616)
[21:02:00]	Hans Weiß has lost a 'AA Battery' #22616.
[21:02:01]	Hans Weiß ran 'drop' on item 'AA Battery' (#22617)
[21:02:01]	Hans Weiß has lost a 'AA Battery' #22617.
[21:02:17]	[OOC] Hans Weiß: q could you come check to see if this is enough to make a bootleg stun baton
[21:03:21]	[OOC] Hans Weiß: imma go afk rq
[21:08:54]	Painevan has connected.
[21:09:29]	Painevan loaded the character 'Karl Von Habsburg'
[21:09:34]	Karl Von Habsburg entered observer.
[21:09:40]	[OOC] Karl Von Habsburg: hola
[21:09:54]	[OOC] Karl Von Habsburg: how is it goin
[21:10:09]	[OOC] Hans Weiß: ay yo
[21:10:28]	[OOC] Karl Von Habsburg: Who the hells your character light
[21:10:28]	[OOC] Hans Weiß: so what exactly would i need to make a makeshift stun baton?
[21:10:37]	[OOC] Karl Von Habsburg: Idfk
[21:10:53]	[OOC] Hans Weiß: i mean i got scrap, batteries, wire, nails, and wood.
[21:11:10]	Hans Weiß ran 'drop' on item 'Rope' (#22640)
[21:11:10]	Hans Weiß has lost a 'Rope' #22640.
[21:11:13]	[OOC] Karl Von Habsburg: Well you'd def need a blowtorch
[21:11:15]	[OOC] Journey Robertson: I made this char in the hopes that death would happen quickly
[21:11:16]	[OOC] Karl Von Habsburg: to melt the metal
[21:11:33]	[OOC] Journey Robertson: But I've been surviving relatively well and I hate it
[21:11:38]	[OOC] Test Testington: GUESS WHAT
[21:11:39]	[OOC] Test Testington: IT'S TIME
[21:11:42]	[OOC] Hans Weiß: yo q
[21:11:42]	Karl Von Habsburg exited observer at their location.
[21:11:44]	[OOC] Test Testington: to watch electrobooim
[21:11:57]	[OOC] Test Testington: hold on i need to wtach electroboom to see exactly why you can't make a stunstick
[21:11:59]	Test Testington exited observer at their location.
[21:12:02]	Karl Von Habsburg entered observer.
[21:12:05]	[OOC] Test Testington: also IT'S TIME to add in the cooked food items
[21:12:11]	Karl Von Habsburg exited observer at their location.
[21:12:12]	[OOC] Test Testington: lag psike
[21:12:50]	[LOOC] Journey Robertson: Kill me
[21:13:05]	Test Testington used command '/adminspawnmenu'.
[21:13:10]	Test Testington entered observer.
[21:13:10]	[LOOC] Journey Robertson: My name is Journey Robertson do you think I actually like this char ;-;
[21:13:14]	[OOC] Test Testington: it is done
[21:13:18]	[OOC] Test Testington: the items
[21:13:19]	[OOC] Test Testington: not hte update
[21:13:21]	Test Testington exited observer at their location.
[21:13:23]	[LOOC] Test Testington: hey
[21:13:24]	[LOOC] Test Testington: chekc it out
[21:13:25]	[LOOC] Journey Robertson: yee
[21:13:26]	Test Testington used command '/adminspawnmenu'.
[21:13:36]	Test Testington has spawned "Cooked Antlion Meat"
[21:13:42]	Test Testington ran 'take' on item 'Cooked Antlion Meat' (#22661)
[21:13:42]	Test Testington has gained a 'Cooked Antlion Meat' #22661.
[21:13:44]	[LOOC] Journey Robertson: NOICE
[21:13:46]	[OOC] Test Testington: wait i did something wrong
[21:13:48]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:13:49]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:13:51]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:13:51]	Karl Von Habsburg entered observer.
[21:13:53]	[OOC] Journey Robertson: Probably
[21:13:54]	[OOC] Journey Robertson: jk
[21:13:57]	[OOC] Test Testington: why isi t causing script erros
[21:13:57]	Test Testington entered observer.
[21:14:01]	[OOC] Test Testington: in the server
[21:14:03]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:14:04]	Test Testington exited observer at their location.
[21:14:06]	Karl Von Habsburg exited observer at their location.
[21:14:07]	Karl Von Habsburg entered observer.
[21:14:11]	Karl Von Habsburg exited observer at their location.
[21:14:13]	Karl Von Habsburg entered observer.
[21:14:18]	[OOC] Hans Weiß: pain said i'd need a blowtorch for the stuff but he's not 100% sure what else i might need
[21:14:22]	[OOC] Test Testington: oh i know why
[21:14:22]	[OOC] Test Testington: also
[21:14:30]	Hans Weiß ran 'take' on item 'Rope' (#22640)
[21:14:30]	Hans Weiß has gained a 'Rope' #22640.
[21:14:33]	[OOC] Test Testington: i will tell you here soon
[21:14:34]	[OOC] Test Testington: but
[21:14:35]	Hans Weiß ran 'drop' on item 'Rope' (#22640)
[21:14:35]	Hans Weiß has lost a 'Rope' #22640.
[21:14:43]	[OOC] Test Testington: before, i need to watch an eelctroboom video or 2
[21:14:45]	Karl Von Habsburg exited observer at their location.
[21:14:46]	Karl Von Habsburg entered observer.
[21:14:46]	Karl Von Habsburg exited observer at their location.
[21:14:47]	Karl Von Habsburg entered observer.
[21:14:48]	Karl Von Habsburg exited observer at their location.
[21:14:48]	[OOC] Hans Weiß: bruh
[21:14:48]	Karl Von Habsburg entered observer.
[21:14:50]	[OOC] Test Testington: to get my electrical engineering knowledge up
[21:14:50]	Karl Von Habsburg exited observer at their location.
[21:14:50]	Test Testington entered observer.
[21:14:50]	Karl Von Habsburg entered observer.
[21:14:55]	Test Testington exited observer at their location.
[21:14:59]	Test Testington entered observer.
[21:14:59]	Karl Von Habsburg exited observer at their location.
[21:15:00]	Karl Von Habsburg entered observer.
[21:15:01]	Test Testington exited observer at their location.
[21:15:03]	Karl Von Habsburg exited observer at their location.
[21:15:05]	Karl Von Habsburg entered observer.
[21:15:08]	Karl Von Habsburg exited observer at their location.
[21:15:08]	Karl Von Habsburg entered observer.
[21:15:09]	Karl Von Habsburg exited observer at their location.
[21:15:11]	Karl Von Habsburg entered observer.
[21:15:11]	[OOC] Journey Robertson: Eletroboom is truly the god of all electrical engineering video's
[21:15:13]	Karl Von Habsburg exited observer at their location.
[21:15:13]	Karl Von Habsburg entered observer.
[21:15:13]	Karl Von Habsburg exited observer at their location.
[21:15:14]	Karl Von Habsburg entered observer.
[21:15:15]	Karl Von Habsburg exited observer at their location.
[21:15:16]	Karl Von Habsburg entered observer.
[21:15:18]	Karl Von Habsburg exited observer at their location.
[21:15:18]	Karl Von Habsburg entered observer.
[21:15:19]	[OOC] Test Testington: AA batteries start off with 1.5 volts
[21:15:19]	Karl Von Habsburg exited observer at their location.
[21:15:19]	Karl Von Habsburg entered observer.
[21:15:21]	[OOC] Test Testington: 1.5 volts
[21:15:22]	Karl Von Habsburg exited observer at their location.
[21:15:22]	Karl Von Habsburg entered observer.
[21:15:23]	Karl Von Habsburg exited observer at their location.
[21:15:23]	[OOC] Test Testington: that is
[21:15:23]	Karl Von Habsburg entered observer.
[21:15:26]	[OOC] Hans Weiß: i have a car battery
[21:15:28]	[OOC] Test Testington: ah
[21:15:28]	Test Testington entered observer.
[21:15:31]	Test Testington exited observer at their location.
[21:15:34]	Karl Von Habsburg exited observer at their location.
[21:15:35]	Karl Von Habsburg entered observer.
[21:15:36]	Karl Von Habsburg exited observer at their location.
[21:15:36]	Karl Von Habsburg entered observer.
[21:15:45]	[OOC] Test Testington: 12.6 volts
[21:15:55]	Hans Weiß ran 'take' on item 'AA Battery' (#22616)
[21:15:55]	Hans Weiß has gained a 'AA Battery' #22616.
[21:16:06]	[OOC] Hans Weiß: which is enough to do some good damage to a person
[21:16:08]	Hans Weiß ran 'take' on item 'AA Battery' (#22617)
[21:16:08]	Hans Weiß has gained a 'AA Battery' #22617.
[21:16:23]	Karl Von Habsburg exited observer at their location.
[21:16:23]	Karl Von Habsburg entered observer.
[21:16:23]	Karl Von Habsburg exited observer at their location.
[21:16:24]	Karl Von Habsburg entered observer.
[21:16:25]	Karl Von Habsburg exited observer at their location.
[21:16:25]	Karl Von Habsburg entered observer.
[21:16:33]	[OOC] Hans Weiß: wait nvm it's enough to fuckin kill a person
[21:16:34]	Karl Von Habsburg exited observer at their location.
[21:16:35]	Karl Von Habsburg entered observer.
[21:16:35]	Karl Von Habsburg exited observer at their location.
[21:16:35]	Karl Von Habsburg entered observer.
[21:16:36]	Karl Von Habsburg exited observer at their location.
[21:16:37]	Karl Von Habsburg entered observer.
[21:16:42]	Karl Von Habsburg exited observer at their location.
[21:16:42]	Karl Von Habsburg entered observer.
[21:16:42]	Karl Von Habsburg exited observer at their location.
[21:16:43]	Karl Von Habsburg entered observer.
[21:16:43]	Karl Von Habsburg exited observer at their location.
[21:16:44]	Karl Von Habsburg entered observer.
[21:16:46]	Karl Von Habsburg exited observer at their location.
[21:16:46]	Karl Von Habsburg entered observer.
[21:17:32]	[OOC] Hans Weiß: with enough force it says
[21:18:09]	Karl Von Habsburg exited observer at their location.
[21:18:09]	Karl Von Habsburg entered observer.
[21:18:09]	Karl Von Habsburg exited observer at their location.
[21:18:10]	Karl Von Habsburg entered observer.
[21:18:12]	[OOC] Hans Weiß: but it is a burn hazard so yeah
[21:18:25]	Karl Von Habsburg exited observer at their location.
[21:18:25]	Karl Von Habsburg entered observer.
[21:18:26]	Karl Von Habsburg exited observer at their location.
[21:18:26]	Karl Von Habsburg entered observer.
[21:18:27]	Karl Von Habsburg exited observer at their location.
[21:18:27]	Karl Von Habsburg entered observer.
[21:18:39]	Karl Von Habsburg exited observer at their location.
[21:18:40]	Karl Von Habsburg entered observer.
[21:18:55]	Karl Von Habsburg exited observer at their location.
[21:18:55]	Karl Von Habsburg entered observer.
[21:18:59]	Karl Von Habsburg exited observer at their location.
[21:18:59]	Karl Von Habsburg entered observer.
[21:19:11]	Karl Von Habsburg exited observer at their location.
[21:19:11]	Karl Von Habsburg entered observer.
[21:19:19]	Test Testington entered observer.
[21:19:20]	Test Testington exited observer at their location.
[21:19:23]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:19:24]	Karl Von Habsburg exited observer at their location.
[21:19:24]	Karl Von Habsburg entered observer.
[21:19:24]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:19:24]	Karl Von Habsburg exited observer at their location.
[21:19:25]	Karl Von Habsburg entered observer.
[21:19:25]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:19:25]	Karl Von Habsburg exited observer at their location.
[21:19:26]	Karl Von Habsburg entered observer.
[21:19:28]	Karl Von Habsburg exited observer at their location.
[21:19:28]	Karl Von Habsburg entered observer.
[21:19:29]	Karl Von Habsburg exited observer at their location.
[21:19:29]	Karl Von Habsburg entered observer.
[21:19:42]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:19:43]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:19:44]	Karl Von Habsburg exited observer at their location.
[21:19:45]	Karl Von Habsburg entered observer.
[21:20:09]	Karl Von Habsburg exited observer at their location.
[21:20:09]	Karl Von Habsburg entered observer.
[21:20:11]	Karl Von Habsburg exited observer at their location.
[21:20:12]	Karl Von Habsburg entered observer.
[21:20:48]	Karl Von Habsburg exited observer at their location.
[21:20:49]	Karl Von Habsburg entered observer.
[21:20:50]	Karl Von Habsburg exited observer at their location.
[21:20:51]	Karl Von Habsburg entered observer.
[21:21:00]	Karl Von Habsburg exited observer at their location.
[21:21:00]	Karl Von Habsburg entered observer.
[21:21:00]	Karl Von Habsburg exited observer at their location.
[21:21:01]	Karl Von Habsburg entered observer.
[21:21:01]	Karl Von Habsburg exited observer at their location.
[21:21:01]	Karl Von Habsburg entered observer.
[21:21:02]	Karl Von Habsburg exited observer at their location.
[21:21:02]	Karl Von Habsburg entered observer.
[21:21:11]	Karl Von Habsburg exited observer at their location.
[21:21:12]	Karl Von Habsburg entered observer.
[21:21:12]	Karl Von Habsburg exited observer at their location.
[21:21:12]	Karl Von Habsburg entered observer.
[21:21:12]	Karl Von Habsburg exited observer at their location.
[21:21:13]	Karl Von Habsburg entered observer.
[21:21:13]	Karl Von Habsburg exited observer at their location.
[21:21:14]	Karl Von Habsburg entered observer.
[21:21:16]	Karl Von Habsburg exited observer at their location.
[21:21:16]	Karl Von Habsburg entered observer.
[21:21:29]	Karl Von Habsburg exited observer at their location.
[21:21:29]	Karl Von Habsburg entered observer.
[21:21:30]	Karl Von Habsburg exited observer at their location.
[21:21:30]	Karl Von Habsburg entered observer.
[21:21:40]	[OOC] Journey Robertson: I might go for tonight.
[21:21:41]	Karl Von Habsburg exited observer at their location.
[21:21:42]	Karl Von Habsburg entered observer.
[21:21:44]	Karl Von Habsburg exited observer at their location.
[21:21:44]	Karl Von Habsburg entered observer.
[21:21:46]	Karl Von Habsburg exited observer at their location.
[21:21:49]	Karl Von Habsburg entered observer.
[21:21:53]	[OOC] Journey Robertson: Yee, Good night gamers
[21:21:57]	Karl Von Habsburg exited observer at their location.
[21:21:57]	Karl Von Habsburg entered observer.
[21:21:57]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[21:22:03]	Karl Von Habsburg exited observer at their location.
[21:22:04]	Karl Von Habsburg entered observer.
[21:22:04]	Karl Von Habsburg exited observer at their location.
[21:22:05]	Karl Von Habsburg entered observer.
[21:22:10]	Karl Von Habsburg exited observer at their location.
[21:22:10]	Karl Von Habsburg entered observer.
[21:22:10]	Karl Von Habsburg exited observer at their location.
[21:22:11]	Karl Von Habsburg entered observer.
[21:22:26]	Karl Von Habsburg exited observer at their location.
[21:22:27]	Karl Von Habsburg entered observer.
[21:22:56]	[OOC] Hans Weiß: mk so volts don't really matter so much, it's in the amps or something
[21:23:09]	Karl Von Habsburg exited observer at their location.
[21:23:10]	Karl Von Habsburg entered observer.
[21:23:12]	Karl Von Habsburg exited observer at their location.
[21:23:14]	Karl Von Habsburg entered observer.
[21:23:38]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:23:39]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:24:00]	[OOC] Hans Weiß: yee
[21:24:00]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:24:01]	[OOC] Karl Von Habsburg: test
[21:24:15]	Karl Von Habsburg exited observer at their location.
[21:24:16]	Karl Von Habsburg entered observer.
[21:25:20]	Test Testington ran 'drop' on item 'Cooked Antlion Meat' (#22661)
[21:25:20]	Test Testington has lost a 'Cooked Antlion Meat' #22661.
[21:25:22]	Test Testington ran 'take' on item 'Cooked Antlion Meat' (#22661)
[21:25:22]	Test Testington has gained a 'Cooked Antlion Meat' #22661.
[21:25:23]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:25:25]	Test Testington entered observer.
[21:25:27]	[OOC] Test Testington: done
[21:25:47]	Test Testington has gained a 'Cooked Antlion Meat' #22661.
[21:25:47]	Test Testington used command '/CharGiveItem test cooked'.
[21:25:49]	Test Testington ran 'drop' on item 'Cooked Antlion Meat' (#22661)
[21:25:49]	Test Testington has lost a 'Cooked Antlion Meat' #22661.
[21:25:50]	Test Testington exited observer at their location.
[21:25:51]	Test Testington ran 'take' on item 'Cooked Antlion Meat' (#22661)
[21:25:51]	Test Testington has gained a 'Cooked Antlion Meat' #22661.
[21:25:53]	Test Testington ran 'Eat' on item 'Cooked Antlion Meat' (#22661)
[21:25:53]	Test Testington entered observer.
[21:25:54]	Test Testington exited observer at their location.
[21:25:55]	Test Testington entered observer.
[21:26:08]	Test Testington exited observer at their location.
[21:26:13]	Test Testington has gained a 'Cooked Bullsquid Meat' #22661.
[21:26:13]	Test Testington used command '/CharGiveItem test cooked bullsquid'.
[21:26:15]	Test Testington ran 'Eat' on item 'Cooked Bullsquid Meat' (#22661)
[21:26:17]	[OOC] Hans Weiß: ok so i just need something that will bring me to around 10 milliamperes and then it would be effective as a basic stunbaton
[21:26:18]	Test Testington has gained a 'Cooked Bullsquid Meat' #22661.
[21:26:18]	Test Testington used command '/CharGiveItem test cooked bullsquid'.
[21:26:19]	Test Testington ran 'Eat' on item 'Cooked Bullsquid Meat' (#22661)
[21:27:55]	Test Testington has gained a 'Cooked Bullsquid Meat' #22661.
[21:27:55]	Test Testington used command '/CharGiveItem test cooked bullsquid'.
[21:27:56]	Test Testington ran 'Eat' on item 'Cooked Bullsquid Meat' (#22661)
[21:27:56]	[OOC] Hans Weiß: yup my car battery should work seeing as it has 48 AH fully charged, meaning for a full 48 hours it can deliver 1 full amp
[21:27:58]	Test Testington has gained a 'Cooked Bullsquid Meat' #22661.
[21:27:58]	Test Testington used command '/CharGiveItem test cooked bullsquid'.
[21:27:59]	Test Testington ran 'Eat' on item 'Cooked Bullsquid Meat' (#22661)
[21:29:56]	[OOC] Hans Weiß: yeah the amount of milliamps my car battery can produce is lethal, and it can do that for a full 2 days if fully charged.
[21:30:03]	Test Testington has gained a 'Cooked Bullsquid Meat' #22661.
[21:30:03]	Test Testington used command '/CharGiveItem test cooked bullsquid'.
[21:30:04]	Test Testington ran 'Eat' on item 'Cooked Bullsquid Meat' (#22661)
[21:30:07]	Test Testington has gained a 'Cooked Bullsquid Meat' #22661.
[21:30:07]	Test Testington used command '/CharGiveItem test cooked bullsquid'.
[21:30:08]	Test Testington ran 'Eat' on item 'Cooked Bullsquid Meat' (#22661)
[21:30:18]	[OOC] Hans Weiß: so karl, you wanna be my first test subject
[21:31:49]	Test Testington has gained a 'Cooked Bullsquid Meat' #22661.
[21:31:49]	Test Testington used command '/CharGiveItem test cooked bullsquid'.
[21:31:50]	Test Testington ran 'Eat' on item 'Cooked Bullsquid Meat' (#22661)
[21:31:53]	Test Testington ran 'drop' on item 'Cooked Bullsquid Meat' (#22661)
[21:31:53]	Test Testington has lost a 'Cooked Bullsquid Meat' #22661.
[21:31:56]	Test Testington ran 'Eat' on item 'Cooked Bullsquid Meat' (#22661)
[21:31:57]	Test Testington ran 'take' on item 'Cooked Bullsquid Meat' (#22661)
[21:31:57]	Test Testington has gained a 'Cooked Bullsquid Meat' #22661.
[21:33:16]	Test Testington ran 'Eat' on item 'Cooked Bullsquid Meat' (#22661)
[21:33:17]	Test Testington entered observer.
[21:33:19]	[OOC] Test Testington: okay ifxed
[21:33:26]	Test Testington exited observer at their location.
[21:33:41]	Test Testington entered observer.
[21:33:42]	Test Testington exited observer at their location.
[21:33:43]	Test Testington entered observer.
[21:33:48]	[OOC] Test Testington: FUCK
[21:33:49]	[OOC] Hans Weiß: sooooo uh, yeah i may or may not be slowly becoming an anti-citizen
[21:33:51]	[OOC] Test Testington: I DDIN'T ADD BURNT ITEMS
[21:34:07]	Hans Weiß ran 'take' on item 'Wooden Piece' (#22651)
[21:34:09]	Hans Weiß ran 'take' on item 'Nails' (#22652)
[21:34:09]	Hans Weiß has gained a 'Nails' #22652.
