[09:50:01]	MLG Painevan has connected.
[21:05:19]	Eric Brown has spawned 'models/gibs/xenians/mgib_01.mdl'.
[21:05:20]	Eric Brown has spawned 'models/gibs/xenians/mgib_03.mdl'.
[21:06:18]	Eric Brown exited observer at their location.
[21:06:18]	Eric Brown entered observer.
[21:06:20]	Eric Brown exited observer at their location.
[21:06:29]	CCA.C14-UNION.i5.39867 used command '/Radio It seems the aquatic xenian had a lot of small creatures inside of it.'.
[21:06:29]	Eric Brown entered observer.
[21:06:30]	Eric Brown exited observer at their location.
[21:06:34]	[W] Marc 'Watcher 1' Temple: Fuck fuck fuck fuck.
[21:06:34]	CCA.C14-UNION.i5.39867 used command '/Radio They burst out and started attacking us.'.
[21:06:40]	CCA.C14-UNION.i5.39867 used command '/Radio DB count is... zero?'.
[21:06:54]	Leman Russ ran 'drop' on item 'Citizen ID' (#25663)
[21:06:54]	Leman Russ has lost a 'Citizen ID' #25663.
[21:07:04]	[W] Marc 'Watcher 1' Temple: Fuck my life fuck my life.
[21:07:15]	[W] Marc 'Watcher 1' Temple: FUCK FUCK FUCK FUCKFUCKFUCK.
[21:07:16]	Eric Brown used command '/ToggleRaise'.
[21:07:19]	Leman Russ ran 'take' on item 'UU Brand Bread' (#25655)
[21:07:19]	Leman Russ has gained a 'UU Brand Bread' #25655.
[21:07:22]	Leman Russ ran 'Eat' on item 'UU Brand Bread' (#25655)
[21:07:24]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit beginning 10-50 with unit designated 39867. Forming PT-Beta.'.
[21:07:27]	CCA.C14-UNION.EpU.72633 ran 'create' on item 'Squad Identification Device' (#18934)
[21:07:33]	[W] Marc 'Watcher 1' Temple: FUCKIUGN FUCKITY FUCK.
[21:07:33]	CCA.C14-UNION.EpU.72633 ran 'setcolor' on item 'Squad Identification Device' (#18934)
[21:07:53]	Eric Brown used command '/ToggleRaise'.
[21:08:36]	CCA.C14-UNION.i5.39867 ran 'join' on item 'Squad Identification Device' (#18891)
[21:08:42]	CCA.C14-UNION.i5.39867 ran 'setcolor' on item 'Squad Identification Device' (#18891)
[21:08:43]	[W] Marc 'Watcher 1' Temple: Fuck fuck fuck fuck.
[21:08:44]	Eric Brown entered observer.
[21:08:47]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:08:47]	CCA.C14-UNION.i5.39867 ran 'join' on item 'Squad Identification Device' (#18891)
[21:08:53]	Eric Brown exited observer at their location.
[21:08:57]	Eric Brown entered observer.
[21:08:58]	Eric Brown exited observer at their location.
[21:09:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[21:09:05]	Eric Brown entered observer.
[21:09:07]	Eric Brown exited observer at their location.
[21:09:11]	[OOC] CCA.C14-UNION.EpU.72633: The PT thing is fucked I think
[21:09:17]	[OOC] Eric Brown: eh?
[21:09:22]	Eric Brown entered observer.
[21:09:23]	Eric Brown exited observer at their location.
[21:09:26]	[OOC] CCA.C14-UNION.i5.39867: idk i joined it and i cant see your label above your head
[21:09:32]	[OOC] CCA.C14-UNION.EpU.72633: Neither can i
[21:09:37]	[OOC] Eric Brown: uhhhhhh
[21:09:38]	Eric Brown entered observer.
[21:09:40]	[OOC] CCA.C14-UNION.i5.39867: and the pt dissappeared from the list
[21:09:45]	[OOC] Eric Brown: try recreatinmg it?
[21:09:47]	[LOOC] CCA.C14-UNION.i5.39867: void that
[21:09:50]	CCA.C14-UNION.EpU.72633 ran 'leave' on item 'Squad Identification Device' (#18934)
[21:09:55]	CCA.C14-UNION.i5.39867 ran 'join' on item 'Squad Identification Device' (#18891)
[21:09:59]	[LOOC] CCA.C14-UNION.EpU.72633: Leave the PT and i'll start it again
[21:10:00]	CCA.C14-UNION.EpU.72633 ran 'create' on item 'Squad Identification Device' (#18934)
[21:10:02]	CCA.C14-UNION.i5.39867 ran 'leave' on item 'Squad Identification Device' (#18891)
[21:10:06]	CCA.C14-UNION.EpU.72633 ran 'setcolor' on item 'Squad Identification Device' (#18934)
[21:10:07]	[LOOC] CCA.C14-UNION.i5.39867: it says im not in it
[21:10:13]	[IT] Eric Brown: You hear distant yelling.
[21:10:17]	[LOOC] CCA.C14-UNION.EpU.72633: I just started a new one, join
[21:10:17]	[W] Marc 'Watcher 1' Temple: FUCK.
[21:10:21]	[IT] Eric Brown: Reverberating from dow nthe tunnel.
[21:10:30]	[Y] Eric Brown: CLAW? WHERE CLAW?
[21:10:40]	[W] Marc 'Watcher 1' Temple: Fuck, it can talk?
[21:10:41]	[Y] Eric Brown: HEARD CLAW!
[21:10:45]	Eric Brown exited observer at their location.
[21:10:49]	[W] Marc 'Watcher 1' Temple: Fuck this shit.
[21:10:53]	[LOOC] CCA.C14-UNION.i5.39867: ok im back
[21:10:55]	CCA.C14-UNION.i5.39867 ran 'join' on item 'Squad Identification Device' (#18891)
[21:10:59]	[OOC] CCA.C14-UNION.i5.39867: there 
[21:11:01]	[OOC] CCA.C14-UNION.EpU.72633: FIXED
[21:11:02]	CCA.C14-UNION.i5.39867 ran 'setcolor' on item 'Squad Identification Device' (#18891)
[21:11:02]	Eric Brown entered observer.
[21:11:03]	Eric Brown exited observer at their location.
[21:11:04]	Eric Brown entered observer.
[21:11:06]	[OOC] CCA.C14-UNION.i5.39867: will be going off in a bit
[21:11:07]	Eric Brown exited observer at their location.
[21:11:09]	[OOC] CCA.C14-UNION.EpU.72633: f
[21:11:10]	[OOC] CCA.C14-UNION.i5.39867: 10 mins or so
[21:11:15]	[OOC] CCA.C14-UNION.i5.39867: need to sleep
[21:11:16]	[OOC] Eric Brown: that is big sad
[21:11:17]	Eric Brown entered observer.
[21:11:20]	[OOC] CCA.C14-UNION.i5.39867: cuz 3:10 am
[21:11:21]	[OOC] Eric Brown: but health is improptant
[21:11:26]	[OOC] CCA.C14-UNION.i5.39867: yep
[21:11:34]	Eric Brown exited observer at their location.
[21:11:37]	[Y] Eric Brown: NO HURT!
[21:11:38]	[Y] Marc 'Watcher 1' Temple: FUCK.
[21:11:39]	[OOC] CCA.C14-UNION.i5.39867: im sad that im not in american timezone
[21:11:56]	[Y] Eric Brown: NO! NO HURT!
[21:11:57]	Eric Brown entered observer.
[21:11:57]	Eric Brown exited observer at their location.
[21:11:57]	Eric Brown entered observer.
[21:11:58]	Eric Brown exited observer at their location.
[21:12:02]	Eric Brown entered observer.
[21:12:02]	Eric Brown exited observer at their location.
[21:12:02]	Eric Brown entered observer.
[21:12:07]	[LOOC] CCA.C14-UNION.i5.39867: i didnt mean to pick that up lol
[21:12:08]	Eric Brown exited observer at their location.
[21:12:10]	Eric Brown entered observer.
[21:12:11]	[LOOC] CCA.C14-UNION.EpU.72633: bruh
[21:12:11]	Eric Brown exited observer at their location.
[21:12:12]	Eric Brown entered observer.
[21:12:28]	Eric Brown exited observer at their location.
[21:12:28]	Eric Brown entered observer.
[21:12:31]	Eric Brown exited observer at their location.
[21:12:32]	Eric Brown entered observer.
[21:12:32]	Eric Brown exited observer at their location.
[21:12:41]	[Y] Eric Brown: No hurt!
[21:12:53]	[Y] Eric Brown: Run from claw?
[21:12:56]	CCA.C14-UNION.i5.39867 ran 'Eat' on item 'Raw Chumtoad Meat' (#25661)
[21:12:56]	CCA.C14-UNION.i5.39867 has taken 12 damage from worldspawn.
[21:13:00]	Eric Brown entered observer.
[21:13:00]	Eric Brown exited observer at their location.
[21:13:01]	Eric Brown entered observer.
[21:13:01]	Eric Brown exited observer at their location.
[21:13:16]	[Y] Eric Brown: Claw! Up! Claw everywhere.
[21:13:47]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:13:59]	[OOC] CCA.C14-UNION.EpU.72633: brb
[21:14:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[21:14:02]	FB|| light ROOM loaded the character 'Journey Robertson'
[21:14:05]	CCA.C14-UNION.i5.39867 used command '/Radio U-398 going 10-7.'.
[21:14:22]	[OOC] CCA.C14-UNION.i5.39867: imma bounce, cya guys later
[21:14:26]	Eric Brown used command '/DoorSetHidden true'.
[21:14:30]	[OOC] Eric Brown: alright, take care, thanks for being on
[21:14:34]	[OOC] CCA.C14-UNION.i5.39867: np
[21:14:41]	CCA.C14-UNION.i5.39867 ran 'Drink' on item 'Civil Protection Functionary Grade Drink' (#25574)
[21:14:44]	CCA.C14-UNION.i5.39867 ran 'Drink' on item 'Civil Protection Functionary Grade Drink' (#25573)
[21:14:48]	CCA.C14-UNION.i5.39867 ran 'Drink' on item 'Civil Protection Functionary Grade Drink' (#25572)
[21:14:52]	CCA.C14-UNION.i5.39867 ran 'Drink' on item 'UU Gin' (#22190)
[21:14:59]	CCA.C14-UNION.i5.39867 ran 'Eat' on item 'UU Brand Chocolate' (#25660)
[21:15:01]	CCA.C14-UNION.i5.39867 ran 'Eat' on item 'UU Brand Chocolate' (#25659)
[21:15:02]	CCA.C14-UNION.i5.39867 ran 'Drink' on item 'Civil Protection Functionary Grade Drink' (#22361)
[21:15:03]	CCA.C14-UNION.i5.39867 ran 'Drink' on item 'Civil Protection Functionary Grade Drink' (#22425)
[21:15:06]	CCA.C14-UNION.i5.39867 ran 'Eat' on item 'Civil Protection Functionary Grade Supplements' (#22424)
[21:15:16]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Charred Metal' (#25547)
[21:15:16]	CCA.C14-UNION.i5.39867 has lost a 'Charred Metal' #25547.
[21:15:16]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Box of Needles' (#25556)
[21:15:16]	CCA.C14-UNION.i5.39867 has lost a 'Box of Needles' #25556.
[21:15:17]	CCA.C14-UNION.i5.39867 ran 'drop' on item 'Box of Needles' (#25557)
[21:15:17]	CCA.C14-UNION.i5.39867 has lost a 'Box of Needles' #25557.
[21:15:21]	sand (STEAM_0:0:38537787) has disconnected.
[21:15:40]	[ME] Marc 'Watcher 1' Temple: flashes his flashlight onto himself a bit.
[21:16:07]	Eric Brown used command '/ToggleRaise'.
[21:16:42]	[LOOC] Eric Brown: void that pounch
[21:16:44]	[LOOC] Eric Brown: punch*
[21:16:45]	Leman Russ opened the '' #1896 container.
[21:16:46]	Eric Brown entered observer.
[21:16:48]	Eric Brown exited observer at their location.
[21:16:50]	Leman Russ closed the '' #1896 container.
[21:16:51]	Leman Russ opened the '' #1897 container.
[21:16:54]	Leman Russ closed the '' #1897 container.
[21:16:55]	Leman Russ opened the '' #1896 container.
[21:17:00]	Leman Russ has gained a 'Cardboard Scraps' #22381.
[21:17:01]	Leman Russ has gained a 'Empty Bleach Bottle' #22641.
[21:17:02]	Leman Russ has gained a 'Empty Cooking Oil Bottle' #25054.
[21:17:04]	Leman Russ has gained a 'Rusty Can' #25074.
[21:17:05]	Leman Russ has gained a 'Empty Chinese Takeout' #25046.
[21:17:07]	Leman Russ has gained a 'Boot' #22393.
[21:17:08]	Leman Russ has gained a 'Empty Pill Bottle' #22656.
[21:17:09]	Leman Russ closed the '' #1896 container.
[21:19:16]	Leman Russ ran 'drop' on item 'Empty Cooking Oil Bottle' (#25054)
[21:19:16]	Leman Russ has lost a 'Empty Cooking Oil Bottle' #25054.
[21:19:31]	Leman Russ ran 'drop' on item 'Rusty Can' (#25074)
[21:19:31]	Leman Russ has lost a 'Rusty Can' #25074.
[21:19:31]	Leman Russ ran 'drop' on item 'Empty Pill Bottle' (#22656)
[21:19:31]	Leman Russ has lost a 'Empty Pill Bottle' #22656.
[21:19:35]	Leman Russ ran 'drop' on item 'Boot' (#22393)
[21:19:35]	Leman Russ has lost a 'Boot' #22393.
[21:19:40]	Leman Russ ran 'drop' on item 'Empty Chinese Takeout' (#25046)
[21:19:40]	Leman Russ has lost a 'Empty Chinese Takeout' #25046.
[21:19:41]	Leman Russ ran 'drop' on item 'Empty Bleach Bottle' (#22641)
[21:19:41]	Leman Russ has lost a 'Empty Bleach Bottle' #22641.
[21:19:45]	Leman Russ ran 'drop' on item 'Cardboard Scraps' (#22381)
[21:19:45]	Leman Russ has lost a 'Cardboard Scraps' #22381.
[21:20:48]	Leman Russ ran 'take' on item 'Small Cooking Pot' (#22655)
[21:20:48]	Leman Russ has gained a 'Small Cooking Pot' #22655.
[21:20:54]	[OOC] Journey Robertson: Back gamers
[21:20:59]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[21:20:59]	Leman Russ ran 'drop' on item 'Small Cooking Pot' (#22655)
[21:20:59]	Leman Russ has lost a 'Small Cooking Pot' #22655.
[21:21:43]	Leman Russ ran 'take' on item 'Raw Antlion Meat' (#25649)
[21:21:43]	Leman Russ has gained a 'Raw Antlion Meat' #25649.
[21:21:51]	[LOOC] Eric Brown: scare.*
[21:22:03]	Leman Russ ran 'drop' on item 'Raw Antlion Meat' (#25649)
[21:22:03]	Leman Russ has lost a 'Raw Antlion Meat' #25649.
[21:22:14]	Leman Russ ran 'take' on item 'Small Cooking Pot' (#22655)
[21:22:14]	Leman Russ has gained a 'Small Cooking Pot' #22655.
[21:22:17]	Leman Russ ran 'drop' on item 'Small Cooking Pot' (#22655)
[21:22:17]	Leman Russ has lost a 'Small Cooking Pot' #22655.
[21:23:10]	[LOOC] Eric Brown: say it out loud
[21:23:40]	Eric Brown used command '/ToggleRaise'.
[21:23:43]	Eric Brown used command '/ToggleRaise'.
[21:23:49]	Eric Brown used command '/ToggleRaise'.
[21:24:06]	[OOC] CCA.C14-UNION.EpU.72633: Conscripts for Project Revival when/
[21:24:15]	[OOC] Marc 'Watcher 1' Temple: never
[21:24:22]	[OOC] CCA.C14-UNION.EpU.72633: Rude
[21:24:36]	[OOC] Eric Brown: when we raise 10,000 dollars
[21:24:52]	[OOC] CCA.C14-UNION.EpU.72633: BEt
[21:24:57]	Eric Brown used command '/CharGiveFlag eric t'.
[21:25:30]	Vendo Pan™ has connected.
[21:25:59]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:26:58]	Eric Brown entered observer.
[21:26:59]	Eric Brown exited observer at their location.
[21:27:30]	Eric Brown used command '/ToggleRaise'.
[21:27:43]	Eric Brown used command '/ToggleRaise'.
[21:28:01]	Eric Brown used command '/ToggleRaise'.
[21:28:05]	Eric Brown used command '/ToggleRaise'.
[21:28:14]	[OOC] CCA.C14-UNION.EpU.72633: Q come here for a moment
[21:28:19]	[OOC] Eric Brown: busy what need
[21:28:26]	[OOC] CCA.C14-UNION.EpU.72633: A snark is glitched
[21:28:30]	[OOC] Eric Brown: fuck
[21:28:33]	[OOC] CCA.C14-UNION.EpU.72633: Lmao
[21:28:35]	Eric Brown entered observer.
[21:28:46]	Eric Brown exited observer at their location.
[21:29:18]	[LOOC] Marc 'Watcher 1' Temple: *by
[21:30:13]	[LOOC] Eric Brown: Feral.*
[21:30:33]	[OOC] CCA.C14-UNION.EpU.72633: Joe Exotic but he just sells random unnamed meats to people without telling them how to cook them
[21:30:55]	Vendo Pan™ loaded the character 'Gregory Smith'
[21:30:59]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:31:25]	[OOC] Gregory Smith: Hello
[21:31:28]	Eric Brown has spawned a 'NPC [2238][npc_zombie]'.
[21:31:28]	[OOC] CCA.C14-UNION.EpU.72633: Yo
[21:31:31]	[OOC] Eric Brown: ayyy welcoem back
[21:31:33]	Eric Brown has spawned a 'NPC [2238][npc_zombie_torso]'.
[21:31:34]	Eric Brown has spawned a 'NPC [2239][npc_zombie]'.
[21:31:40]	[OOC] Gregory Smith: Thank you
[21:31:51]	[OOC] Gregory Smith: i want to ask, what are the donation's payment method?
[21:31:54]	[OOC] Gregory Smith: methods*
[21:32:03]	[OOC] Eric Brown: FUNNY YOU SHOUILD ASK
[21:32:09]	[OOC] Eric Brown: WE'VE GOT A RELATED ANNOUNCEMENT COMIGN UP
[21:32:12]	[OOC] Eric Brown: soon
[21:32:25]	[OOC] Gregory Smith: ._.
[21:32:50]	[OOC] Gregory Smith: so?
[21:32:57]	[OOC] Eric Brown: i will say soon
[21:33:07]	[OOC] Gregory Smith: ok
[21:33:18]	[ME] CCA.C14-UNION.EpU.72633: Simply points his Stunstick to the pile of big boi alien meat
[21:33:51]	[LOOC] CCA.C14-UNION.EpU.72633: FUCK VOICELINES
[21:34:08]	[LOOC] CCA.C14-UNION.EpU.72633: We do actually
[21:34:13]	[OOC] Gregory Smith: . allwyways are that spacE betweens the buildings?
[21:34:18]	[OOC] Eric Brown: ?
[21:34:20]	[OOC] Eric Brown: yes
[21:34:28]	[OOC] Gregory Smith: sorry, i think this was LOOC
[21:35:04]	[LOOC] Gregory Smith: sorry lag
[21:35:29]	[W] Marc 'Watcher 1' Temple: Fuckkkkkk.
[21:35:58]	[ME] Gregory Smith: puts the meat into the dumpster
[21:35:58]	[OOC] CCA.C14-UNION.EpU.72633: Q you need to do the gamer and delete some shit once this civvie is finished
[21:35:59]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:36:04]	[OOC] Eric Brown: eh?
[21:36:11]	[OOC] CCA.C14-UNION.EpU.72633: He's cleaning the meat
[21:36:18]	[OOC] CCA.C14-UNION.EpU.72633: Up and placing it into the dumpsters
[21:36:23]	[OOC] Eric Brown: let me know when it's all gone
[21:36:27]	[ME] Gregory Smith: grabs the meat
[21:36:27]	[OOC] CCA.C14-UNION.EpU.72633: I was going to
[21:36:50]	[OOC] Gregory Smith: why do the meat dissapears off my hands?
[21:36:57]	[OOC] Gregory Smith: idk where it is
[21:37:13]	[OOC] CCA.C14-UNION.EpU.72633: Fuck it. Just IC that you did all of it
[21:37:25]	[OOC] CCA.C14-UNION.EpU.72633: I don't give a shit. Just trying to give a little RP
[21:37:29]	[LOOC] Gregory Smith: i'm going to perform
[21:37:38]	[ME] Gregory Smith: grabs meat
[21:37:38]	[LOOC] CCA.C14-UNION.EpU.72633: K, just do it like two or three times
[21:37:56]	[ME] Gregory Smith: puts the meat into the dumpster
[21:38:08]	[ME] Gregory Smith: grabs meat
[21:38:20]	[ME] Gregory Smith: puts the meat into the dumpster
[21:38:32]	[ME] Gregory Smith: grabs meat
[21:38:42]	[OOC] Gregory Smith: why is EpU model so, it look strange
[21:38:52]	[OOC] Leman Russ: because it do
[21:38:58]	[OOC] Leman Russ: gumball eyes
[21:38:58]	[OOC] CCA.C14-UNION.EpU.72633: yeah we all agree with that but we don't really have a replacement
[21:39:01]	[OOC] Gregory Smith: i would like it like with another uniform, like a EpU uniform
[21:39:09]	[ME] Gregory Smith: puts the meat into the dumpster
[21:39:10]	[OOC] Leman Russ: it is a epu uniform
[21:39:17]	[OOC] Leman Russ: just badly colored
[21:39:25]	[OOC] Gregory Smith: can't you put something like a red uniform or something?
[21:39:36]	Leman Russ ran 'take' on item 'Rock' (#25610)
[21:39:36]	Leman Russ has gained a 'Rock' #25610.
[21:39:39]	[ME] Gregory Smith: grabs meat
[21:39:39]	[OOC] Eric Brown: we have abit of a blue theme going for union EpU, so that's why we use that
[21:39:47]	[OOC] Gregory Smith: oh nice
[21:39:52]	[ME] Gregory Smith: puts the meat into the dumpster
[21:40:06]	[ME] Gregory Smith: grabs meat
[21:40:22]	[OOC] Gregory Smith: and what rank is higher than EpU? idk the ranks from EpU+
[21:40:27]	[OOC] Eric Brown: here we do it differnet
[21:40:28]	[OOC] CCA.C14-UNION.EpU.72633: OfC and then DvL
[21:40:29]	[OOC] Eric Brown: so it goes
[21:40:30]	[OOC] Leman Russ: OfC, DvL
[21:40:34]	[OOC] Eric Brown: SqL, EpU, OfC, DvL
[21:40:40]	[OOC] Gregory Smith: Oh ok
[21:40:43]	[ME] Gregory Smith: puts the meat into the dumpster
[21:40:58]	[ME] Gregory Smith: grabs meat
[21:40:59]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:41:13]	[ME] Gregory Smith: puts the meat into the dumpster
[21:41:15]	[OOC] CCA.C14-UNION.EpU.72633: I do be gumball man though
[21:41:22]	Eric Brown entered observer.
[21:41:25]	[LOOC] CCA.C14-UNION.EpU.72633: IC your finished
[21:41:31]	Eric Brown exited observer at their location.
[21:41:34]	[ME] Leman Russ: searches it.
[21:41:35]	Leman Russ rolled 94 out of 100.
[21:41:35]	Leman Russ used command '/Roll'.
[21:41:37]	Eric Brown used command '/adminspawnmenu'.
[21:41:48]	Gregory Smith used command '/Apply'.
[21:41:52]	CCA.C14-UNION.EpU.72633 used command '/OldViewData Gregory'.
[21:42:05]	[LOOC] Gregory Smith: i forgot to do a /me
[21:42:12]	[LOOC] CCA.C14-UNION.EpU.72633: No problem
[21:42:13]	Eric Brown has spawned "Minimal Grade Ration"
[21:42:14]	Eric Brown has spawned "Biotic Grade Ration"
[21:42:17]	[LOOC] Gregory Smith: ok
[21:42:19]	Leman Russ ran 'take' on item 'Minimal Grade Ration' (#25664)
[21:42:19]	Leman Russ has gained a 'Minimal Grade Ration' #25664.
[21:42:21]	Leman Russ ran 'take' on item 'Biotic Grade Ration' (#25665)
[21:42:21]	Leman Russ has gained a 'Biotic Grade Ration' #25665.
[21:42:51]	CCA.C14-UNION.EpU.72633 used command '/OldViewData Gregory'.
[21:42:54]	[LOOC] Gregory Smith: chew? sorry, what is that? i need to practice more english
[21:43:15]	[LOOC] CCA.C14-UNION.EpU.72633: It means yell or punish him.
[21:43:22]	[LOOC] CCA.C14-UNION.EpU.72633: He did a bad on the Data
[21:43:27]	CCA.C14-UNION.EpU.72633 used command '/OldViewData Gregory'.
[21:43:30]	[LOOC] Gregory Smith: Ok..
[21:45:17]	[OOC] Gregory Smith: afk for a while, i'm going to check about donations
[21:45:18]	[OOC] CCA.C14-UNION.EpU.72633: People keep leeches as pets and I don't understand why
[21:45:21]	[OOC] CCA.C14-UNION.EpU.72633: BET
[21:45:41]	Leman Russ has taken 5 damage from prop_physics.
[21:45:48]	Leman Russ has taken 50 damage from prop_physics.
[21:45:48]	Leman Russ has taken 10 damage from prop_physics.
[21:45:48]	Leman Russ has taken 10 damage from prop_physics.
[21:45:48]	Leman Russ has taken 5 damage from prop_physics.
[21:45:48]	Leman Russ has taken 5 damage from prop_physics.
[21:45:48]	Leman Russ has taken 5 damage from prop_physics.
[21:45:59]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:46:46]	Leman Russ ran 'Equip' on item 'Rock' (#25610)
[21:47:05]	Leman Russ has taken 10 damage from prop_physics.
[21:47:48]	[ME] Eric Brown: lowers his staff and shows him the crystal on the end.
[21:47:50]	Leman Russ ran 'take' on item 'Cloth Scrap' (#25543)
[21:47:50]	Leman Russ has gained a 'Cloth Scrap' #25543.
[21:47:53]	Leman Russ ran 'take' on item 'Cloth Scrap' (#25544)
[21:47:53]	Leman Russ has gained a 'Cloth Scrap' #25544.
[21:48:41]	[LOOC] Eric Brown: strong.*
[21:49:47]	[OOC] Gregory Smith: Can i donate with a Debit Card?
[21:50:06]	[OOC] Eric Brown: yep!
[21:50:12]	[OOC] Gregory Smith: Nice then!
[21:50:13]	Leman Russ opened the '' #1818 container.
[21:50:15]	[OOC] Eric Brown: but if you are please wait for the annoucnement, give me
[21:50:15]	Leman Russ closed the '' #1818 container.
[21:50:17]	[OOC] Eric Brown: fuck it i'lldoti now
[21:50:21]	[OOC] Eric Brown: nobody else is getting on lmao
[21:50:30]	[OOC] Gregory Smith: announcement?
[21:50:39]	[OOC] Eric Brown: yep!
[21:50:44]	[OOC] CCA.C14-UNION.EpU.72633: That moment when Citizens said fuck the gun laws and made a Stock that turns semi auto guns full auto while still being legal
[21:50:52]	[OOC] Gregory Smith: i have a question, if i donate i can spawn props, right?
[21:50:59]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:51:08]	[OOC] Eric Brown: correct, yes
[21:51:12]	[OOC] Gregory Smith: because i want to know that if i spawn props can be that used to decorate a house
[21:51:28]	[OOC] CCA.C14-UNION.EpU.72633: No
[21:52:00]	[OOC] Gregory Smith: *SAPS*
[21:52:01]	[OOC] CCA.C14-UNION.EpU.72633: NOICE
[21:52:03]	[OOC] Gregory Smith: gasps*
[21:52:10]	[OOC] Gregory Smith: To where!??
[21:52:47]	[OOC] Gregory Smith: But can i still suing debit card?
[21:52:58]	[OOC] Gregory Smith: Then ok
[21:53:38]	[OOC] Gregory Smith: ?
[21:53:50]	[OOC] Gregory Smith: *gasps*
[21:53:59]	[OOC] Gregory Smith: WWW.PROJECTREVIVAL.COM ???
[21:54:02]	[OOC] Gregory Smith: oh
[21:54:10]	[OOC] Gregory Smith: .com is xpensive
[21:54:15]	[OOC] Gregory Smith: oh 
[21:54:18]	[OOC] Gregory Smith: Alright
[21:54:32]	[OOC] Gregory Smith: WWW.PROJECTREVIVAL.XYZ !!!!
[21:54:39]	[OOC] Gregory Smith: *pum pum*
[21:55:36]	[OOC] CCA.C14-UNION.EpU.72633: It's uh......kinda acting wierd for me...the website that is
[21:55:45]	[OOC] Eric Brown: what's up with it
[21:55:50]	[OOC] Gregory Smith: xyz ?
[21:55:59]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[21:56:02]	[OOC] Gregory Smith: The money doesn't come from the trees!
[21:56:05]	[OOC] Gregory Smith: don't*
[21:56:05]	[OOC] Eric Brown: lmao
[21:56:19]	[OOC] Eric Brown: what's wrong with it lightroom
[21:56:19]	[OOC] CCA.C14-UNION.EpU.72633: It's a black screen with a bunch of words on it. Something about it being possibly corrupted
[21:56:23]	[OOC] Eric Brown: yep
[21:56:24]	[OOC] Eric Brown: that's
[21:56:24]	[OOC] Gregory Smith: Well, it comes from the trees
[21:56:25]	[OOC] Marc 'Watcher 1' Temple: :)
[21:56:25]	[OOC] Eric Brown: a teaser
[21:56:32]	[OOC] Marc 'Watcher 1' Temple: Read it closely ;)
[21:56:38]	[OOC] Leman Russ: thats normal YOU NOT WEBSITE LOOKING AT FUCK
[21:56:41]	[OOC] Eric Brown: this
[21:56:48]	[OOC] CCA.C14-UNION.EpU.72633: Oh my
[21:56:57]	[OOC] Gregory Smith: is this turret in plaza functional?
[21:57:10]	[OOC] Eric Brown: only for the combine
[21:57:11]	[OOC] Eric Brown: it's biolocked
[21:57:14]	[OOC] Gregory Smith: Oh
[21:57:23]	[Y] Eric Brown: Come!
[21:57:29]	[OOC] CCA.C14-UNION.EpU.72633: Holy shit....you are a fucking genius
[21:57:46]	[OOC] Gregory Smith: i wanted to come with my toher character and starting shooting*pew* *pew*
[21:57:50]	[OOC] Marc 'Watcher 1' Temple: tfw we just stole off of Scott Cawthon's idea dont @ me
[21:57:51]	[OOC] CCA.C14-UNION.EpU.72633: I am now super hyped and happy.
[21:58:01]	[OOC] CCA.C14-UNION.EpU.72633: You might have but it still is cool
[21:58:16]	[OOC] Eric Brown: we'll update it at times
[21:58:31]	[OOC] Gregory Smith: I love that i can grab cadavers
[21:58:36]	Eric Brown used command '/ToggleRaise'.
[21:58:39]	[OOC] Gregory Smith: and i got arrested, good moments
[21:58:49]	[OOC] Gregory Smith: City 8 moments
[21:58:57]	Eric Brown used command '/ToggleRaise'.
[21:59:15]	Eric Brown has taken 5 damage from npc_headcrab.
[21:59:25]	[OOC] CCA.C14-UNION.EpU.72633: City 08 was great
[21:59:31]	[OOC] CCA.C14-UNION.EpU.72633: Kinda
[21:59:32]	[OOC] Leman Russ: NO
[21:59:35]	[OOC] Gregory Smith: i played only a bit but i loved it
[21:59:52]	Eric Brown used command '/ToggleRaise'.
[21:59:55]	[OOC] CCA.C14-UNION.EpU.72633: I mean the moments i atleast had on it. Not the map itself
[21:59:59]	Eric Brown used command '/ToggleRaise'.
[22:00:07]	[OOC] Gregory Smith: I was imagining me in that city being CP, but i still no CP, and idk i had 8 LPs and now i have 6
[22:00:09]	[OOC] Gregory Smith: why!!??
[22:00:10]	Eric Brown used command '/ToggleRaise'.
[22:00:25]	Eric Brown used command '/ToggleRaise'.
[22:00:25]	Eric Brown has taken 15 damage from monster_hound_eye.
[22:00:57]	Eric Brown used command '/ToggleRaise'.
