[12:07:54]	Mettaton Ex has connected.
[22:16:11]	CAC.S71-VRP.50195 has spawned 'models/Police.mdl'.
[22:16:17]	CAC.S71-VRP.50195 has spawned 'models/Police.mdl'.
[22:16:37]	CCA.C08-GRID.i1.23710 entered observer.
[22:16:40]	CCA.C08-GRID.i1.23710 exited observer at their location.
[22:16:44]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:17:07]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:17:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[22:17:28]	CAC.S71-VRP.50195 exited observer at their location.
[22:17:30]	[ME] Anastasia Ivanovich: casually searched the bodies
[22:17:43]	[ME] Anastasia Ivanovich: finds on the bodies?
[22:17:44]	[ME] CCA.C08-GRID.i1.23710: would attempt to turn on the terminal, or sign in, or whatever.
[22:17:50]	[IT] CAC.S71-VRP.50195: Guns, thankfully for you.
[22:18:33]	[IT] CAC.S71-VRP.50195: You sign in successfully. It reports you are not in your standard location.
[22:19:15]	[IT] CAC.S71-VRP.50195: You see a state of emergency for the area due to red sociostatus.
[22:19:20]	CAC.S71-VRP.50195 used command '/ChangeSocioStatus red'.
[22:19:39]	[IT] CAC.S71-VRP.50195: The current order is to have all citizens report to their housing blocks.
[22:19:46]	CAC.S71-VRP.50195 entered observer.
[22:19:52]	[ME] Anastasia Ivanovich: doesn't bother to scrap the Unit's suits. Since it is unlikely she can wear them without breaking them.
[22:19:58]	CAC.S71-VRP.50195 exited observer at their location.
[22:20:04]	CAC.S71-VRP.50195 entered observer.
[22:20:28]	CAC.S71-VRP.50195 exited observer at their location.
[22:20:28]	CAC.S71-VRP.50195 entered observer.
[22:21:45]	Nihhut has connected.
[22:22:13]	CAC.S71-VRP.50195 exited observer at their location.
[22:22:16]	CAC.S71-VRP.50195 entered observer.
[22:22:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[22:22:36]	[Y] Anastasia Ivanovich: Wait a minute.
[22:22:40]	[Y] Anastasia Ivanovich: Lets check the crates first.
[22:22:52]	[ME] Anastasia Ivanovich: searched the first large crate.
[22:22:55]	Anastasia Ivanovich rolled 3 out of 100.
[22:22:55]	Anastasia Ivanovich used command '/Roll'.
[22:23:01]	[LOOC] Anastasia Ivanovich: *WEEZE*
[22:23:03]	[IT] CCA.C08-GRID.i1.23710: You find windex.
[22:23:13]	Nihhut loaded the character 'Brandon Miller'
[22:23:21]	[ME] Anastasia Ivanovich: opened another crate.
[22:23:23]	Anastasia Ivanovich rolled 64 out of 100.
[22:23:23]	Anastasia Ivanovich used command '/Roll'.
[22:23:35]	[OOC] Brandon Miller: event?
[22:23:38]	[OOC] CAC.S71-VRP.50195: yes
[22:23:53]	[ME] Anastasia Ivanovich: finds?
[22:23:55]	[LOOC] Brandon Miller: hello
[22:24:13]	[LOOC] CCA.C08-GRID.i1.23710: its late for me and my higher brain functions are ceasing, hold on
[22:24:16]	[OOC] CAC.S71-VRP.50195: welcome welcome
[22:24:29]	[IT] CCA.C08-GRID.i1.23710: You find two health vials.
[22:24:32]	CCA.C08-GRID.i1.23710 used command '/adminspawnmenu'.
[22:24:44]	CAC.S71-VRP.50195 exited observer at their location.
[22:24:45]	CCA.C08-GRID.i1.23710 has spawned "Health Kit"
[22:24:46]	CAC.S71-VRP.50195 entered observer.
[22:24:54]	[LOOC] CCA.C08-GRID.i1.23710: i cant find the vial item
[22:24:54]	[LOOC] Brandon Miller: hey, mine too!
[22:24:57]	CCA.C08-GRID.i1.23710 used command '/adminspawnmenu'.
[22:25:00]	CCA.C08-GRID.i1.23710 has spawned "Health Kit"
[22:25:04]	Anastasia Ivanovich ran 'take' on item 'Health Kit' (#20866)
[22:25:04]	Anastasia Ivanovich has gained a 'Health Kit' #20866.
[22:25:06]	Anastasia Ivanovich ran 'take' on item 'Health Kit' (#20865)
[22:25:06]	Anastasia Ivanovich has gained a 'Health Kit' #20865.
[22:25:16]	[ME] Anastasia Ivanovich: searched the cabinent
[22:25:17]	Anastasia Ivanovich rolled 34 out of 100.
[22:25:17]	Anastasia Ivanovich used command '/Roll'.
[22:25:22]	[LOOC] CCA.C08-GRID.i1.23710: D:
[22:25:25]	[LOOC] Anastasia Ivanovich: rolled a 34 on the shit cab
[22:25:30]	[LOOC] CCA.C08-GRID.i1.23710: okay uh
[22:25:31]	CCA.C08-GRID.i1.23710 used command '/adminspawnmenu'.
[22:25:47]	CCA.C08-GRID.i1.23710 has spawned "Light Bulb"
[22:25:56]	Anastasia Ivanovich ran 'take' on item 'Light Bulb' (#20867)
[22:25:56]	Anastasia Ivanovich has gained a 'Light Bulb' #20867.
[22:26:02]	[ME] Anastasia Ivanovich: searched the other cabinent
[22:26:04]	Anastasia Ivanovich rolled 44 out of 100.
[22:26:04]	Anastasia Ivanovich used command '/Roll'.
[22:26:05]	CCA.C08-GRID.i1.23710 used command '/adminspawnmenu'.
[22:26:09]	[LOOC] Anastasia Ivanovich: wheeze
[22:26:15]	CCA.C08-GRID.i1.23710 has spawned "Cat Statue"
[22:26:23]	Anastasia Ivanovich ran 'take' on item 'Cat Statue' (#20868)
[22:26:38]	Anastasia Ivanovich ran 'take' on item 'Cat Statue' (#20868)
[22:26:38]	Anastasia Ivanovich has gained a 'Cat Statue' #20868.
[22:26:42]	CAC.S71-VRP.50195 exited observer at their location.
[22:26:44]	[Y] CCA.C08-GRID.i1.23710: <:: WHAT THE FUCK WAS THAT? ::>
[22:26:44]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:26:50]	[Y] CAC.S71-VRP.50195: My kin!
[22:26:52]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:27:20]	[ME] Anastasia Ivanovich: attempted to open the door.
[22:27:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[22:27:28]	[Y] CAC.S71-VRP.50195: I have contacted my kin!
[22:27:31]	CAC.S71-VRP.50195 entered observer.
[22:27:32]	CAC.S71-VRP.50195 exited observer at their location.
[22:27:32]	CAC.S71-VRP.50195 entered observer.
[22:27:33]	[IT] CCA.C08-GRID.i1.23710: It's blocked by something.
[22:27:33]	CAC.S71-VRP.50195 exited observer at their location.
[22:27:43]	[LOOC] CCA.C08-GRID.i1.23710: it's a fake door
[22:27:45]	[LOOC] Anastasia Ivanovich: it goes nowhere
[22:27:51]	[Y] Brandon Miller: Officer!
[22:27:51]	[Y] CAC.S71-VRP.50195: They are coming to help. They agree to help us.
[22:28:07]	[Y] CAC.S71-VRP.50195: However, they would like our help with something.
[22:28:20]	[Y] CAC.S71-VRP.50195: We must help them slay the Urnul.
[22:28:29]	CAC.S71-VRP.50195 used command '/ToggleRaise'.
[22:28:30]	CAC.S71-VRP.50195 used command '/ToggleRaise'.
[22:28:43]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:29:13]	[ME] CAC.S71-VRP.50195: would place both of their hands on the machine in front of them.
[22:29:25]	[Y] CAC.S71-VRP.50195: A controller! For the window cleaner.
[22:29:41]	[Y] CAC.S71-VRP.50195: Among other things.,.
[22:29:41]	[OOC] CCA.C08-GRID.i1.23710: ok, its late af here
[22:29:45]	[OOC] CCA.C08-GRID.i1.23710: im get off soon
[22:29:47]	[ME] Anastasia Ivanovich: pulled out the windex
[22:29:51]	[ME] Anastasia Ivanovich: sets it on the machine
[22:29:54]	[ME] CAC.S71-VRP.50195: would blast the machine. It would kick to life.
[22:29:54]	Anastasia Ivanovich ran 'Consume' on item 'Consulate Water' (#20738)
[22:30:24]	[ME] Anastasia Ivanovich: drinks and eats her standard mealkit
[22:30:26]	Anastasia Ivanovich ran 'Consume' on item 'Standard Grade Food Product (Egg Flavor)' (#20737)
[22:30:27]	[LOOC] CAC.S71-VRP.50195: window*
[22:30:42]	[ME] Anastasia Ivanovich: handed the man her shovel "Remember to give it back once this is over."
[22:30:44]	Anastasia Ivanovich ran 'EquipUn' on item 'Shovel' (#20581)
[22:30:44]	[ME] Brandon Miller: accepts the shovel
[22:30:45]	Anastasia Ivanovich ran 'drop' on item 'Shovel' (#20581)
[22:30:45]	Anastasia Ivanovich has lost a 'Shovel' #20581.
[22:30:52]	Brandon Miller ran 'take' on item 'Shovel' (#20581)
[22:30:53]	Brandon Miller ran 'take' on item 'Shovel' (#20581)
[22:31:02]	Brandon Miller ran 'take' on item 'Shovel' (#20581)
[22:31:02]	Brandon Miller has gained a 'Shovel' #20581.
[22:31:12]	Brandon Miller ran 'Equip' on item 'Shovel' (#20581)
[22:31:40]	[Y] CAC.S71-VRP.50195: This.
[22:31:52]	CAC.S71-VRP.50195 entered observer.
[22:31:52]	CAC.S71-VRP.50195 exited observer at their location.
[22:31:52]	CAC.S71-VRP.50195 entered observer.
[22:31:53]	CAC.S71-VRP.50195 exited observer at their location.
[22:31:53]	CAC.S71-VRP.50195 entered observer.
[22:31:53]	CAC.S71-VRP.50195 exited observer at their location.
[22:32:04]	[OOC] CCA.C08-GRID.i1.23710: that water is funky af
[22:32:12]	CAC.S71-VRP.50195 entered observer.
[22:32:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[22:32:31]	CAC.S71-VRP.50195 exited observer at their location.
[22:33:05]	[Y] CAC.S71-VRP.50195: Onward!
[22:33:37]	[ME] CAC.S71-VRP.50195: would press the down button.
[22:33:56]	[LOOC] CAC.S71-VRP.50195: They're not just safe, it's fourty percent safe!
[22:34:39]	CAC.S71-VRP.50195 entered observer.
[22:35:05]	[Y] Anastasia Ivanovich: OI BLYAT.
[22:35:05]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:35:09]	[Y] Brandon Miller: Headcrabs!
[22:35:32]	[OOC] CCA.C08-GRID.i1.23710: LMFAO
[22:35:38]	[OOC] CCA.C08-GRID.i1.23710: THEY JUMPED OFF
[22:35:39]	Brandon Miller has taken 5 damage from npc_headcrab_fast.
[22:35:40]	[Y] Anastasia Ivanovich: The headcrabs are retarded.
[22:35:42]	Brandon Miller has taken 5 damage from npc_headcrab_fast.
[22:35:43]	Brandon Miller has taken 5 damage from npc_headcrab_fast.
[22:35:45]	Anastasia Ivanovich has taken 5 damage from npc_headcrab_fast.
[22:35:46]	Brandon Miller has taken 5 damage from npc_headcrab_fast.
[22:35:46]	Brandon Miller has taken 12 damage from Anastasia Ivanovich.
[22:35:46]	Brandon Miller has taken 12 damage from Anastasia Ivanovich.
[22:35:47]	Brandon Miller has taken 12 damage from Anastasia Ivanovich.
[22:35:47]	Brandon Miller has taken 12 damage from Anastasia Ivanovich.
[22:35:50]	Brandon Miller has taken 5 damage from npc_headcrab_fast.
[22:35:51]	Brandon Miller has taken 5 damage from npc_headcrab_fast.
[22:35:52]	Brandon Miller has taken 12 damage from Anastasia Ivanovich.
[22:35:52]	Anastasia Ivanovich has killed Brandon Miller with weapon_smg1.
[22:35:53]	[ME] CAC.S71-VRP.50195: takes out their datapad and types a couple things in.
[22:35:57]	[OOC] Brandon Miller: lmao fuck
[22:35:58]	[Y] Anastasia Ivanovich: FUCK.
[22:36:02]	[OOC] CAC.S71-VRP.50195: welp PK
[22:36:05]	[OOC] Brandon Miller: damn
[22:36:06]	[OOC] CAC.S71-VRP.50195: nah not really lmao
[22:36:07]	[OOC] CCA.C08-GRID.i1.23710: [SERVER] Anastasia Ivanovich has killed Brandon Miller with weapon_smg1.
[22:36:11]	[OOC] Anastasia Ivanovich: WAIT WHAT
[22:36:26]	[Y] CCA.C08-GRID.i1.23710: <:: FUCKING DUMB STUPID TURKEYS! ::>
[22:36:29]	[OOC] Brandon Miller: rp that im shot and bleeding out or that i passed out?
[22:36:31]	CAC.S71-VRP.50195 used command '/Event The elevator arrives and opens.'.
[22:36:33]	[OOC] CCA.C08-GRID.i1.23710: nah
[22:36:35]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:36:37]	Brandon Miller ran 'Equip' on item 'Shovel' (#20581)
[22:36:39]	[OOC] CAC.S71-VRP.50195: nah we'll just chlak it up as accidentally OOc
[22:36:41]	[ME] CCA.C08-GRID.i1.23710: would enter the elevator
[22:36:42]	[Y] Anastasia Ivanovich: // nice Freeman's Mind Reference.
[22:36:47]	[OOC] CAC.S71-VRP.50195: wait what
[22:37:25]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[22:37:33]	[Y] Anastasia Ivanovich: Nice pool.
[22:37:40]	[LOOC] Brandon Miller: hes in there see
[22:37:42]	[LOOC] Brandon Miller: lol
[22:37:44]	[Y] Anastasia Ivanovich: Can't wait to go for a swim.
[22:37:55]	[IT] Brandon Miller: the cp is wet
[22:38:06]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:38:14]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[22:38:19]	[Y] Brandon Miller: A vort!
[22:39:14]	[OOC] CCA.C08-GRID.i1.23710: thanks, consul
[22:39:28]	CCA.C08-GRID.i1.23710 entered observer.
[22:39:28]	CCA.C08-GRID.i1.23710 exited observer at their location.
[22:39:32]	CCA.C08-GRID.i1.23710 entered observer.
[22:39:41]	[OOC] CCA.C08-GRID.i1.23710: ok, im gonna go to bed
[22:39:44]	[OOC] CCA.C08-GRID.i1.23710: cya everyone
[22:39:50]	[OOC] CAC.S71-VRP.50195: goodnight, thanks for being on
[22:39:57]	DRD (STEAM_0:0:193599766) has disconnected.
[22:40:00]	[OOC] Brandon Miller: whered you go lady
[22:40:11]	[Y] Anastasia Ivanovich: Hello?
[22:40:21]	[IT] CAC.S71-VRP.50195: Try to create a loud noise! Surely you can do something to attract it!
[22:40:31]	[IT] CAC.S71-VRP.50195: One of the vorts speak.
[22:40:45]	[ME] Anastasia Ivanovich: took her MP7 and just emptied her magazine into the wall
[22:40:55]	[ME] Anastasia Ivanovich: reloaded.
[22:41:29]	[LOOC] Brandon Miller: void that
[22:41:44]	[Y] Anastasia Ivanovich: Oh... BLYAT!
[22:41:46]	[ME] Brandon Miller: steps back to the pillar
[22:42:04]	[Y] Brandon Miller: BLAST IT!
[22:42:16]	[ME] Anastasia Ivanovich: takes her gun and aimed down at the fucker.
[22:43:10]	CAC.S71-VRP.50195 used command '/Event A single cord is heard cut from up top. The cart is now falling.'.
[22:43:31]	[OOC] Brandon Miller: watch it miss lmao
[22:43:41]	CAC.S71-VRP.50195 used command '/Event Only problem.'.
[22:43:52]	[OOC] Anastasia Ivanovich: good job Brandon
[22:44:02]	CAC.S71-VRP.50195 used command '/Event Just as it begins to fall, soldiers roll in. They gun down the vortigaunts.'.
[22:44:06]	CAC.S71-VRP.50195 has spawned a 'NPC [172][npc_combine_s]'.
[22:44:07]	CAC.S71-VRP.50195 has spawned a 'NPC [215][npc_combine_s]'.
[22:44:08]	CAC.S71-VRP.50195 has spawned a 'NPC [173][npc_combine_s]'.
[22:44:09]	CAC.S71-VRP.50195 has spawned a 'NPC [237][npc_combine_s]'.
[22:44:18]	CAC.S71-VRP.50195 used command '/Event The worm vanishes.'.
[22:44:24]	CAC.S71-VRP.50195 has spawned a 'NPC [241][npc_combine_s]'.
[22:44:25]	CAC.S71-VRP.50195 has spawned a 'NPC [249][npc_combine_s]'.
[22:44:25]	CAC.S71-VRP.50195 has spawned a 'NPC [266][npc_combine_s]'.
[22:44:29]	CAC.S71-VRP.50195 has spawned a 'NPC [269][npc_combine_s]'.
[22:44:48]	CAC.S71-VRP.50195 has spawned 'models/props_trainstation/train003.mdl'.
[22:45:11]	CAC.S71-VRP.50195 used command '/Event A miss.'.
[22:45:17]	[OOC] Brandon Miller: lmao
[22:45:19]	CAC.S71-VRP.50195 used command '/Event You hear gunfire from the other soldiers.'.
[22:45:23]	CAC.S71-VRP.50195 used command '/ToggleRaise'.
[22:45:37]	CAC.S71-VRP.50195 used command '/ToggleRaise'.
[22:45:40]	CAC.S71-VRP.50195 used command '/ToggleRaise'.
[22:45:49]	Brandon Miller has taken 3 damage from npc_combine_s.
[22:45:51]	Anastasia Ivanovich has taken 3 damage from npc_combine_s.
[22:45:52]	Brandon Miller has taken 3 damage from npc_combine_s.
[22:45:56]	CAC.S71-VRP.50195 used command '/Event Were they... shooting their own?'.
[22:46:33]	CAC.S71-VRP.50195 has spawned a 'NPC [215][npc_vortigaunt]'.
[22:46:37]	CAC.S71-VRP.50195 has spawned a 'NPC [206][npc_vortigaunt]'.
[22:46:38]	CAC.S71-VRP.50195 has spawned a 'NPC [173][npc_vortigaunt]'.
[22:46:39]	Brandon Miller has taken 3 damage from npc_combine_s.
[22:46:45]	[Y] Brandon Miller: LADY!
[22:46:47]	[Y] Brandon Miller: IN HERE!
[22:47:00]	Anastasia Ivanovich has taken 18 damage from npc_combine_s.
[22:47:00]	Anastasia Ivanovich has taken 3 damage from npc_combine_s.
[22:47:00]	Anastasia Ivanovich has taken 3 damage from npc_combine_s.
[22:47:00]	CAC.S71-VRP.50195 exited observer at their location.
[22:47:06]	CAC.S71-VRP.50195 entered observer.
[22:47:18]	[ME] Anastasia Ivanovich: picked up the OTA's AR2
[22:47:35]	CAC.S71-VRP.50195 used command '/Event Useless. The AR2 is genelocked.'.
[22:47:40]	[ME] Anastasia Ivanovich: gives up.
[22:47:43]	CAC.S71-VRP.50195 has spawned a 'NPC [172][npc_combine_s]'.
[22:47:43]	CAC.S71-VRP.50195 has spawned a 'NPC [206][npc_combine_s]'.
[22:47:44]	[ME] Anastasia Ivanovich: throws it away
[22:47:44]	CAC.S71-VRP.50195 has spawned a 'NPC [228][npc_combine_s]'.
[22:47:46]	CAC.S71-VRP.50195 has spawned a 'NPC [238][npc_combine_s]'.
[22:47:47]	CAC.S71-VRP.50195 has spawned a 'NPC [243][npc_combine_s]'.
[22:47:49]	CAC.S71-VRP.50195 has spawned a 'NPC [250][npc_combine_s]'.
[22:47:50]	CAC.S71-VRP.50195 has spawned a 'NPC [268][npc_combine_s]'.
[22:47:51]	CAC.S71-VRP.50195 has spawned a 'NPC [272][npc_combine_s]'.
[22:47:52]	CAC.S71-VRP.50195 has spawned a 'NPC [276][npc_combine_s]'.
[22:47:54]	CAC.S71-VRP.50195 has spawned a 'NPC [291][npc_combine_s]'.
[22:47:57]	CAC.S71-VRP.50195 has spawned a 'NPC [292][npc_combine_s]'.
[22:47:59]	CAC.S71-VRP.50195 has spawned a 'NPC [296][npc_combine_s]'.
[22:48:02]	CAC.S71-VRP.50195 has spawned a 'NPC [294][npc_combine_s]'.
[22:48:19]	CAC.S71-VRP.50195 has spawned a 'NPC [173][npc_vortigaunt]'.
[22:48:25]	CAC.S71-VRP.50195 has spawned a 'NPC [289][npc_vortigaunt]'.
[22:49:11]	[OOC] Brandon Miller: are all the vorts dead?
[22:49:15]	[OOC] CAC.S71-VRP.50195: no
[22:49:22]	[OOC] Brandon Miller: is this one here alive
[22:49:54]	CAC.S71-VRP.50195 entered observer.
[22:49:55]	CAC.S71-VRP.50195 entered observer.
[22:49:56]	CAC.S71-VRP.50195 exited observer at their location.
[22:50:00]	CAC.S71-VRP.50195 has taken 12 damage from npc_combine_s.
[22:50:01]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:50:02]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:50:03]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:50:03]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:50:12]	CAC.S71-VRP.50195 has taken 29 damage from npc_combine_s.
[22:50:18]	CAC.S71-VRP.50195 has taken 6 damage from npc_combine_s.
[22:50:18]	CAC.S71-VRP.50195 has taken 9 damage from npc_combine_s.
[22:50:18]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:50:18]	CAC.S71-VRP.50195 has taken 9 damage from npc_combine_s.
[22:50:19]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:50:19]	CAC.S71-VRP.50195 has taken 12 damage from npc_combine_s.
[22:50:20]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:50:20]	CAC.S71-VRP.50195 has taken 15 damage from npc_combine_s.
[22:50:22]	CAC.S71-VRP.50195 has taken 18 damage from npc_combine_s.
[22:50:23]	CAC.S71-VRP.50195 has taken 15 damage from npc_combine_s.
[22:50:24]	CAC.S71-VRP.50195 has taken 24 damage from npc_combine_s.
[22:50:26]	CAC.S71-VRP.50195 has taken 18 damage from npc_combine_s.
[22:50:26]	CAC.S71-VRP.50195 has taken 12 damage from Anastasia Ivanovich.
[22:50:28]	Anastasia Ivanovich has taken 18 damage from npc_combine_s.
[22:50:28]	Anastasia Ivanovich has taken 19 damage from npc_combine_s.
[22:50:28]	Anastasia Ivanovich has taken 18 damage from npc_combine_s.
[22:50:30]	Anastasia Ivanovich has taken 18 damage from npc_combine_s.
[22:50:30]	Anastasia Ivanovich has taken 1 damage from npc_combine_s.
[22:50:31]	Brandon Miller has taken 12 damage from npc_combine_s.
[22:50:32]	Brandon Miller has taken 24 damage from npc_combine_s.
[22:50:33]	Brandon Miller has taken 3 damage from npc_combine_s.
[22:50:33]	CAC.S71-VRP.50195 has taken 24 damage from npc_combine_s.
[22:50:37]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:50:38]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:50:38]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:50:46]	[ME] Brandon Miller: runs to grab the shotgun
[22:50:48]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:50:52]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:50:58]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:08]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:08]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:08]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:08]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:09]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:10]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:10]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:10]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:11]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:13]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:15]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:16]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:16]	CAC.S71-VRP.50195 has taken 3 damage from npc_combine_s.
[22:51:19]	[OOC] CAC.S71-VRP.50195: BRUH
[22:51:29]	[OOC] CAC.S71-VRP.50195: there
[22:51:32]	[OOC] Anastasia Ivanovich: apparently picking up ammo makes me lose ammo
[22:51:35]	[OOC] CAC.S71-VRP.50195: what
[22:51:38]	CAC.S71-VRP.50195 has taken 24 damage from npc_combine_s.
[22:51:38]	Anastasia Ivanovich has taken 3 damage from npc_combine_s.
[22:52:03]	CAC.S71-VRP.50195 entered observer.
[22:52:03]	[OOC] Anastasia Ivanovich: I picked up an SMG and lost most of my ammo
[22:52:04]	CAC.S71-VRP.50195 has taken 50 damage from npc_vortigaunt.
[22:52:13]	CAC.S71-VRP.50195 has taken 50 damage from npc_vortigaunt.
[22:52:31]	[ME] Anastasia Ivanovich: loots
[22:52:41]	[IT] CAC.S71-VRP.50195: You find what's dropped by the NPC.
[22:54:38]	[Y] Anastasia Ivanovich: Fuck.
[22:54:50]	[Y] CAC.S71-VRP.50195: Woman!
[22:55:03]	[Y] CAC.S71-VRP.50195: Woman!
[22:55:03]	CAC.S71-VRP.50195 entered observer.
[22:55:03]	CAC.S71-VRP.50195 entered observer.
[22:55:04]	CAC.S71-VRP.50195 exited observer at their location.
[22:55:07]	[Y] Brandon Miller: Lady.
[22:55:10]	[Y] Brandon Miller: Lady!
[22:55:13]	[Y] CAC.S71-VRP.50195: Ma'am.
[22:55:13]	Brandon Miller has taken 1 damage from worldspawn.
[22:55:14]	Brandon Miller has taken 1 damage from worldspawn.
[22:55:15]	Brandon Miller has taken 1 damage from worldspawn.
[22:55:16]	Brandon Miller has taken 1 damage from worldspawn.
[22:55:16]	Brandon Miller has taken 1 damage from worldspawn.
[22:55:17]	Brandon Miller ran 'equip' on item 'Citizen Filter' (#20014)
[22:55:23]	[Y] CAC.S71-VRP.50195: Hello?
[22:55:33]	CAC.S71-VRP.50195 entered observer.
[22:55:33]	CAC.S71-VRP.50195 entered observer.
[22:55:34]	CAC.S71-VRP.50195 exited observer at their location.
[22:55:35]	CAC.S71-VRP.50195 entered observer.
[22:55:35]	CAC.S71-VRP.50195 exited observer at their location.
[22:55:35]	CAC.S71-VRP.50195 entered observer.
[22:55:35]	CAC.S71-VRP.50195 exited observer at their location.
[22:55:40]	[Y] CAC.S71-VRP.50195: HELLO?
[22:55:42]	[Y] CAC.S71-VRP.50195: Ma'am?
[22:55:51]	[ME] Brandon Miller: cleans his suit
[22:56:48]	[ME] CAC.S71-VRP.50195: would scream in vortigese, calling out to his kin.
[22:56:58]	[ME] Anastasia Ivanovich: was covered in blood. Hers and Overwatch's
[22:57:38]	[ME] Brandon Miller: loots an SMG
[22:58:05]	[ME] Anastasia Ivanovich: was shot a few times. But mostly grazes all over her- with a few gunshots penetrating her.
[22:58:15]	[ME] Anastasia Ivanovich: laid down.
[22:58:35]	[ME] CAC.S71-VRP.50195: would place both of his hands on the woman's chest.
[22:58:41]	[ME] Brandon Miller: looks away
[22:58:48]	[LOOC] CAC.S71-VRP.50195: for the record i'm buffing this for the sake of the event
[22:58:51]	[LOOC] CAC.S71-VRP.50195: i don't like doing that
[22:58:57]	[LOOC] CAC.S71-VRP.50195: but this event is dragging on and it needs to come to a conclusion
[22:58:59]	[LOOC] Anastasia Ivanovich: you got two shitizens
[22:59:02]	[LOOC] CAC.S71-VRP.50195: that too
[22:59:03]	[LOOC] Anastasia Ivanovich: you can't do much else
[22:59:28]	[ME] Brandon Miller: is not a shitizen, he is a very fine fellow
[22:59:39]	[ME] CAC.S71-VRP.50195: would proceed to say words in vortigese under his breath, and then radiate green energy from his hands. You would see the woman's veins pulse green for a few moments.
[23:00:06]	[ME] Anastasia Ivanovich: is also a very fine woman... Her vision turned green for a brief moment. She breathed in sharply in reaction to that.
[23:00:29]	[IT] CAC.S71-VRP.50195: The woman's wounds would seem to... close, in a way. The bullets are pushed upwards to the edge of her wounds.
[23:00:40]	[ME] Brandon Miller: does not look
[23:01:00]	[ME] Anastasia Ivanovich: felt as bullets just pushed out of her... Gross.
[23:01:02]	[ME] CAC.S71-VRP.50195: would lift their hands and remove the bullets from the wounds.
[23:01:19]	[ME] Anastasia Ivanovich: pushed herself up. Feeling her chest.
[23:02:44]	[LOOC] CAC.S71-VRP.50195: of a resistance cell* fuck
[23:04:07]	[ME] CAC.S71-VRP.50195: would turn toward Brandon.
[23:06:04]	[ME] Anastasia Ivanovich: nodded... She doesn't really give off a rebellious or a loyalist... Vibe?
[23:06:45]	CAC.S71-VRP.50195 entered observer.
[23:06:54]	[ME] CAC.S71-VRP.50195: would open up the elevator by pressing the up button.
[23:07:01]	[ME] Anastasia Ivanovich: gets into the elevator as soon as it came down.
[23:07:06]	[ME] Brandon Miller: steps into the lift with the other two
[23:07:11]	[ME] CAC.S71-VRP.50195: would get onto the elevator.
[23:07:11]	CAC.S71-VRP.50195 entered observer.
[23:07:26]	CAC.S71-VRP.50195 exited observer at their location.
[23:07:36]	Brandon Miller has taken 5 damage from npc_headcrab_fast.
[23:07:37]	Brandon Miller has taken 5 damage from npc_headcrab_fast.
[23:07:38]	Anastasia Ivanovich has taken 5 damage from npc_headcrab_fast.
