[00:00:01]	[LOOC] CCA.C17-UNION.i5.83253: ffs...
[21:42:55]	Jack Kingston has taken 1 damage from worldspawn.
[21:42:56]	Jack Kingston ran 'View' on item 'Paper' (#33897)
[21:42:56]	Jack Kingston has taken 1 damage from worldspawn.
[21:42:57]	Jack Kingston has taken 1 damage from worldspawn.
[21:42:58]	Jack Kingston has taken 1 damage from worldspawn.
[21:42:58]	Jack Kingston has taken 1 damage from worldspawn.
[21:42:59]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:00]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:01]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:01]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:02]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:03]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:03]	OTA.C17-ECHO.OHZ.74152 used command '/rooc Opportunities*'.
[21:43:04]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:04]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:05]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:06]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:07]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:07]	Jack Kingston has lost 2 tokens.
[21:43:08]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:08]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:09]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:10]	Jack Kingston has taken 1 damage from worldspawn.
[21:43:10]	Andrew Marotta ran 'Open' on item 'Standard Grade Ration' (#40267)
[21:43:10]	Andrew Marotta has gained a 'Standard Grade Food Product (Lettuce Flavor)' #40269.
[21:43:10]	Andrew Marotta has gained a 'Standard Grade Supplements (Milk Flavor)' #40270.
[21:43:10]	Andrew Marotta has gained a 'Consulate Water' #40271.
[21:43:10]	Andrew Marotta has gained 10 tokens.
[21:43:11]	Jack Kingston ran 'equip' on item 'Citizen Filter' (#40268)
[21:43:13]	CCA.C17-QrM.98240 used the 'Ration Dispenser' vendor.
[21:43:21]	[OOC] Derrek Thornberry: hey q whenever you can can you permaprop some stuff in this apartment room for me?
[21:43:22]	wendigo loaded the character 'Ava Carter'
[21:43:23]	Andrew Marotta ran 'EquipUn' on item 'Green Citizen Suit' (#40190)
[21:43:25]	Jack Kingston has lost 2 tokens.
[21:43:29]	[OOC] Major-General Sir Issac Brock KB: im coming
[21:43:35]	Jack Kingston ran 'take' on item 'Citizen Filter' (#40272)
[21:43:35]	Jack Kingston has gained a 'Citizen Filter' #40272.
[21:43:37]	CCA.C17-QrM.98240 ran 'View' on item 'Notepad' (#764)
[21:43:41]	CCA.C17-GRID.EpU.06912 used command '/Radio Report to warehouse 3's catwalks for guard duty. You'll be doing guard duty for us during the work cycle.'.
[21:43:42]	Jack Kingston ran 'View' on item 'Paper' (#33897)
[21:43:43]	[ME] Jacob Desmone: Would look up from his desk
[21:43:46]	[OOC] Derrek Thornberry: I would also love to give you a tour
[21:43:48]	[OOC] Derrek Thornberry: NOOOO
[21:43:58]	CCA.C17-JUDGE.i4.77460 used command '/Radio Heading to Warehouse 3.'.
[21:43:59]	[ME] Jacob Desmone: Would ask in a nervous tone
[21:43:59]	[OOC] Derrek Thornberry: MY BREEN SHRINE
[21:44:02]	OTA.C17-ECHO.OHZ.74152 used command '/Radio Transmission clear. Over.'.
[21:44:08]	[ME] Ava Carter: would walk closer to jacob
[21:44:10]	CCA.C17-JUDGE.i4.77460 has gained 10 tokens.
[21:44:11]	[OOC] CCA.C17-GRID.EpU.06912: r Double 10-4
[21:44:14]	[OOC] CCA.C17-GRID.EpU.06912: WHORE
[21:44:15]	[ME] Jacob Desmone: Would immediantly back up
[21:44:16]	[LOOC] Derrek Thornberry: thanks
[21:44:23]	CCA.C17-GRID.EpU.06912 used command '/Radio Double 10-4.'.
[21:44:26]	[ME] Jacob Desmone: Fake coughs
[21:44:32]	CCA.C17-QrM.98240 used command '/Radio 20-8?'.
[21:44:33]	OTA.C17-ECHO.OHZ.74152 used the 'Armory Supply' vendor.
[21:44:35]	[OOC] Derrek Thornberry: dont forget this wall here
[21:44:37]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[21:44:37]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #40273.
[21:44:38]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[21:44:38]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #40274.
[21:44:38]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[21:44:38]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #40275.
[21:44:39]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[21:44:39]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #40276.
[21:44:39]	CCA.C17-QrM.98240 used command '/Radio Man, didn't know that was a code.'.
[21:44:39]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[21:44:39]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #40277.
[21:44:40]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[21:44:40]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #40278.
[21:44:41]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[21:44:41]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #40279.
[21:44:45]	Major-General Sir Issac Brock KB exited observer at their location.
[21:44:45]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#40273)
[21:44:46]	Major-General Sir Issac Brock KB entered observer.
[21:44:46]	Major-General Sir Issac Brock KB has gained 10 tokens.
[21:44:46]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#40274)
[21:44:47]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#40277)
[21:44:48]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#40276)
[21:44:49]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#40275)
[21:44:50]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#40278)
[21:44:51]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#40279)
[21:44:53]	OTA.C17-ECHO.OHZ.74152 ran 'Equip' on item 'Grenade' (#38643)
[21:44:55]	[ME] Ava Carter: would drop her revolver (her only weapon) and throw it on the weapons table
[21:44:59]	Ava Carter ran 'drop' on item '357' (#39316)
[21:44:59]	Ava Carter has lost a '357' #39316.
[21:45:26]	CCA.C17-QrM.98240 has gained 10 tokens.
[21:45:41]	Jack Kingston used the 'Shopkeeper Jim' vendor.
[21:46:04]	Andrew Marotta ran 'View' on item 'Notepad' (#3069)
[21:46:07]	Derrek Thornberry has spawned 'models/props_interiors/bed_motel.mdl'.
[21:46:22]	Derrek Thornberry has spawned 'models/props_c17/furniturebed001a.mdl'.
[21:46:30]	Derrek Thornberry has spawned 'models/props/de_inferno/bed.mdl'.
[21:46:38]	CCA.C17-GRID.EpU.06912 has gained 10 tokens.
[21:46:40]	CCA.C17-GRID.EpU.06912 used command '/Radio Echo, what's your 20?'.
[21:46:47]	OTA.C17-ECHO.OHZ.74152 used command '/Radio ETA 10 secons.'.
[21:46:55]	OTA.C17-ECHO.OHZ.74152 used command '/rooc seconds.'.
[21:47:04]	[ME] Jacob Desmone: Squints
[21:47:15]	[LOOC] Major-General Sir Issac Brock KB: sorry
[21:47:16]	[LOOC] OTA.C17-ECHO.OHZ.74152: owie
[21:47:17]	[LOOC] Major-General Sir Issac Brock KB: misclick
[21:47:20]	CCA.C17-GRID.EpU.06912 used command '/Radio Protection team members, if you see somebody in a CWU suit, you get them on the wall at gunpoint.'.
[21:47:22]	Derrek Thornberry has spawned 'models/props_lab/frame002a.mdl'.
[21:47:29]	[ME] Jacob Desmone: Nods
[21:47:33]	CCA.C17-JUDGE.i4.77460 used command '/Radio 10-4'.
[21:47:33]	Legacy (STEAM_0:0:77525893) has disconnected.
[21:47:36]	CCA.C17-GRID.EpU.06912 ran 'create' on item 'Squad Identification Device' (#35909)
[21:47:40]	CCA.C17-QrM.98240 used command '/Radio Copy all.'.
[21:47:43]	CCA.C17-GRID.EpU.06912 used command '/Radio Forming Squad XRAY.'.
[21:47:43]	[IT] Jack Kingston: the man slots in two tokens into the vending machine, selecting the filter option.
[21:47:47]	Jack Kingston has lost 2 tokens.
[21:47:51]	Derrek Thornberry has spawned 'models/props_lab/harddrive02.mdl'.
[21:47:55]	OTA.C17-ECHO.OHZ.74152 has gained a 'Squad Identification Device' #40274.
[21:47:55]	CCA.C17-GRID.EpU.06912 used command '/CharGiveItem ohz squad'.
[21:47:56]	Jack Kingston ran 'take' on item 'Citizen Filter' (#40273)
[21:47:56]	Jack Kingston has gained a 'Citizen Filter' #40273.
[21:47:56]	Derrek Thornberry has spawned 'models/props_lab/huladoll.mdl'.
[21:48:03]	CCA.C17-GRID.EpU.06912 entered observer.
[21:48:04]	CCA.C17-GRID.EpU.06912 exited observer at their location.
[21:48:04]	OTA.C17-ECHO.OHZ.74152 ran 'join' on item 'Squad Identification Device' (#40274)
[21:48:04]	CCA.C17-GRID.EpU.06912 entered observer.
[21:48:05]	CCA.C17-GRID.EpU.06912 exited observer at their location.
[21:48:08]	Derrek Thornberry has spawned 'models/props_junk/watermelon01.mdl'.
[21:48:09]	CCA.C17-QrM.98240 used command '/Radio 10-4, forming up on Squad XRAY, status is green, providing assistance for Workcycle.'.
[21:48:14]	CCA.C17-QrM.98240 ran 'create' on item 'Squad Identification Device' (#10353)
[21:48:16]	CCA.C17-QrM.98240 ran 'join' on item 'Squad Identification Device' (#10353)
[21:48:17]	Derrek Thornberry has spawned 'models/props_lab/cactus.mdl'.
[21:48:20]	CCA.C17-QrM.98240 ran 'setcolor' on item 'Squad Identification Device' (#10353)
[21:48:22]	OTA.C17-ECHO.OHZ.74152 used command '/Radio Interlocking.'.
[21:48:24]	Derrek Thornberry has spawned 'models/props_junk/plasticbucket001a.mdl'.
[21:48:24]	OTA.C17-ECHO.OHZ.74152 ran 'join' on item 'Squad Identification Device' (#40274)
[21:48:26]	CCA.C17-GRID.EpU.06912 used command '/Radio 10-4.'.
[21:48:27]	CCA.C17-JUDGE.i4.77460 used command '/Radio Attaching to Squad XRAY, status is green.'.
[21:48:29]	Derrek Thornberry has spawned 'models/props_junk/plasticbucket001a.mdl'.
[21:48:32]	Derrek Thornberry has spawned 'models/props_junk/plasticbucket001a.mdl'.
[21:48:38]	CCA.C17-JUDGE.i4.77460 ran 'join' on item 'Squad Identification Device' (#29149)
[21:48:40]	Derrek Thornberry has spawned 'models/props_junk/PlasticCrate01a.mdl'.
[21:48:41]	CCA.C17-GRID.EpU.06912 used command '/rooc if you don't like the code names showing in chat, you can disable that in the helix otions'.
[21:48:45]	Derrek Thornberry has spawned 'models/props_junk/garbage_carboard002a.mdl'.
[21:48:52]	CCA.C17-QrM.98240 used command '/Radio XRAY-2 now designated callsign, update terminology on situation, how copy?'.
[21:48:54]	Major-General Sir Issac Brock KB exited observer at their location.
[21:49:05]	Derrek Thornberry has spawned 'models/props_c17/cashregister01a.mdl'.
[21:49:06]	[LOOC] Ava Carter: that's what HE said
[21:49:07]	Derrek Thornberry has spawned 'models/props_c17/BriefCase001a.mdl'.
[21:49:08]	Major-General Sir Issac Brock KB entered observer.
[21:49:10]	CCA.C17-JUDGE.i4.77460 has gained 10 tokens.
[21:49:19]	CCA.C17-GRID.EpU.06912 used command '/Radio 10-4. GRID 06912 is now XRAY-1.'.
[21:49:31]	CCA.C17-GRID.EpU.06912 used command '/Radio Calling work cycle shortly.'.
[21:49:40]	[OOC] Derrek Thornberry: I need an admin or mod to come delete an entity I accidentally spawned
[21:49:43]	CCA.C17-GRID.EpU.06912 entered observer.
[21:49:46]	Major-General Sir Issac Brock KB has gained 10 tokens.
[21:49:49]	OTA.C17-ECHO.OHZ.74152 used command '/Radio Echo One is XRAY-3.'.
[21:49:54]	Derrek Thornberry opened the 'Cash Register' #3133 container.
[21:49:57]	Derrek Thornberry closed the 'Cash Register' #3133 container.
[21:49:59]	[OOC] Derrek Thornberry: thx
[21:50:07]	CCA.C17-GRID.EpU.06912 exited observer at their location.
[21:50:11]	CCA.C17-JUDGE.i4.77460 used command '/Radio That leaves Judge at XRAY-4.'.
[21:50:12]	CCA.C17-QrM.98240 used command '/Radio 10-4, stay safe up there XRAY-3.'.
[21:50:26]	CCA.C17-QrM.98240 has gained 10 tokens.
[21:50:47]	[ME] Ava Carter: would cough
[21:50:52]	Carl Flagahornlorfen has connected.
[21:51:07]	[OOC] Jacob Desmone: trust restored
[21:51:13]	[OOC] Ava Carter: epic
[21:51:24]	[OOC] Jacob Desmone: ava is not the zodiac killer
[21:51:25]	[ME] Jack Kingston: extends his hand to give the cutters.
[21:51:31]	[OOC] Jacob Desmone: confirmed
[21:51:32]	[OOC] Major-General Sir Issac Brock KB: afk making sandwich
[21:51:38]	[OOC] Jacob Desmone: same
[21:51:38]	CCA.C17-GRID.EpU.06912 has gained 10 tokens.
[21:51:53]	[ME] CCA.C17-GRID.EpU.06912: takes the pliers from the mans hand. He reaches into a satchel on his utility belt and ulls out a 5-piece token.
[21:51:55]	CCA.C17-GRID.EpU.06912 ran 'take' on item 'Pliers' (#35925)
[21:51:55]	CCA.C17-GRID.EpU.06912 has gained a 'Pliers' #35925.
[21:52:06]	[ME] CCA.C17-GRID.EpU.06912: flips it over to the man.
[21:52:09]	CCA.C17-GRID.EpU.06912 has lost 5 tokens.
[21:52:09]	CCA.C17-GRID.EpU.06912 used command '/DropTokens 5'.
[21:52:14]	[IT] Jack Kingston: With his other hand, he takes the fiver from the officer.
[21:52:16]	Jack Kingston has gained 5 tokens.
[21:53:04]	[ME] Jack Kingston: walks to the wall.
[21:53:34]	ܝܘܣܦ has connected.
[21:53:39]	[ME] CCA.C17-JUDGE.i4.77460: begins to pat the man up and down. Checking every crevice she can to find some red contraband.
[21:53:43]	[ME] CCA.C17-GRID.EpU.06912: draws his OICW, as a benefit of being in code SWORD.
[21:53:46]	CCA.C17-JUDGE.i4.77460 used command '/CharSearch'.
[21:53:58]	[ME] CCA.C17-QrM.98240: grabbed onto the man, keeping his left hand atop his shoulder as he dug his right jackboot into the mans covered right heel. It was uncomfortable, but protocol, he'd start searching the man quickly and roughly, keeping little room for personal space.
[21:54:03]	CCA.C17-QrM.98240 used command '/CharSearch'.
[21:54:08]	[ME] CCA.C17-GRID.EpU.06912: keeps a watchful eye around the catwalks and sidewalk
[21:54:10]	CCA.C17-JUDGE.i4.77460 has gained 10 tokens.
[21:54:46]	Major-General Sir Issac Brock KB has gained 10 tokens.
[21:54:59]	[ME] Jack Kingston: turns to the other citizen, saying "Hey Derrek, I'm Jack."
[21:55:13]	[ME] CCA.C17-GRID.EpU.06912: motions to the wall with the charger.
[21:55:26]	CCA.C17-QrM.98240 has gained 10 tokens.
[21:55:37]	[OOC] Derrek Thornberry: derrek immediately attempts to befriend the units
[21:55:46]	CCA.C17-GRID.EpU.06912 used command '/Radio XRAY 4, inside. XRAY 2, you're watching the ground level.'.
[21:56:02]	Yuhnanna alSalibi has gained a 'Green Citizen Suit' #40275.
[21:56:02]	Yuhnanna alSalibi has gained a 'Citizen Filter' #40276.
[21:56:02]	ܝܘܣܦ created the character 'Yuhnanna alSalibi'
[21:56:02]	Yuhnanna alSalibi has gained a 'Suitcase' #40277.
[21:56:02]	Yuhnanna alSalibi has gained a 'Relocation Coupon' #40278.
[21:56:03]	ܝܘܣܦ loaded the character 'Yuhnanna alSalibi'
[21:56:13]	CCA.C17-QrM.98240 used command '/Radio Hard copy, locking position on 10-20, will redirect 10-91s to warehouse if viscon.'.
[21:56:24]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:24]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:25]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:26]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:27]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:27]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:28]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:29]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:30]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:31]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:31]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:32]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:33]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:34]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:34]	Yuhnanna alSalibi ran 'Equip' on item 'Green Citizen Suit' (#40275)
[21:56:34]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:35]	Yuhnanna alSalibi has taken 1 damage from worldspawn.
[21:56:36]	Yuhnanna alSalibi ran 'equip' on item 'Citizen Filter' (#40276)
[21:56:38]	CCA.C17-GRID.EpU.06912 has gained 10 tokens.
[21:56:40]	[OOC] Jacob Desmone: drd
[21:56:56]	[OOC] CCA.C17-QrM.98240: Derrick is my friend :D
[21:57:12]	[OOC] Derrek Thornberry: :D
[21:57:14]	CCA.C17-QrM.98240 used command '/ItWasntYourFault'.
[21:57:26]	OTA.C17-ECHO.OHZ.74152 used command '/Radio Updating biodat. Stimdose: 32 Dagger:78. Shield: 100. Biprox: 73. Audibles: 8. Lightvis: 15. XRAY-3 out.'.
[21:58:20]	[OOC] CCA.C17-QrM.98240: *"Black Shmegma floating on top"* - Q (GRID.EPOO)
[21:58:25]	[OOC] Derrek Thornberry: WHAT IN THE WORLD
[21:58:40]	[OOC] Derrek Thornberry: I DID NOT JUST HEAR THE DISPATCH BROADCAST SAY "YOU SPIN ME RIGHT ROUND BABY RIGHT ROUND"
[21:59:10]	CCA.C17-JUDGE.i4.77460 has gained 10 tokens.
[21:59:46]	Major-General Sir Issac Brock KB has gained 10 tokens.
[22:00:07]	[OOC] Jacob Desmone: making da
[22:00:08]	[OOC] Jacob Desmone: radios
[22:00:08]	[LOOC] CCA.C17-GRID.EpU.06912: so OOCly
[22:00:09]	Yuhnanna alSalibi used command '/CharFallOver'.
[22:00:10]	[OOC] Jacob Desmone: and da
[22:00:11]	Yuhnanna alSalibi used command '/CharGetUp'.
[22:00:12]	Yuhnanna alSalibi used command '/CharGetUp'.
[22:00:12]	[LOOC] CCA.C17-GRID.EpU.06912: it works using the crafting menu 
[22:00:13]	[OOC] Jacob Desmone: bombs
[22:00:14]	Yuhnanna alSalibi used command '/CharGetUp'.
[22:00:15]	Yuhnanna alSalibi used command '/CharGetUp'.
[22:00:16]	[OOC] Jacob Desmone: in evans
[22:00:17]	[LOOC] Jack Kingston: i was about to ask
[22:00:17]	[LOOC] CCA.C17-GRID.EpU.06912: hit tab and go to the crafting tab
[22:00:19]	[OOC] Jacob Desmone: basement
[22:00:22]	[Y] Yuhnanna alSalibi: Is anyone around? Hello?
[22:00:26]	CCA.C17-QrM.98240 has gained 10 tokens.
[22:00:26]	[LOOC] Jack Kingston: you just have to be near it?
[22:00:31]	[LOOC] CCA.C17-GRID.EpU.06912: go to the refining category and do "refine scrap metal"
[22:00:39]	[LOOC] CCA.C17-GRID.EpU.06912: yeah, just nera it, you don't have to be looking at it
[22:00:50]	Jacob Desmone ran 'Eat' on item 'UU Brand Bread' (#33942)
[22:01:38]	CCA.C17-GRID.EpU.06912 has gained 10 tokens.
[22:01:47]	[LOOC] CCA.C17-GRID.EpU.06912: those aren't OOC programmed items, those are just IC items
[22:01:55]	[LOOC] Jack Kingston: ye, just asking for IC
[22:02:15]	[ME] CCA.C17-QrM.98240: took a deep breath in, slinging over his SMG and simply saying. - "Fuck."
[22:02:24]	CCA.C17-GRID.EpU.06912 used command '/Radio XRAY-2, mind processing the new transfer?'.
[22:02:36]	Major-General Sir Issac Brock KB used command '/PM al Someones coming to let you out soon'.
[22:02:41]	CCA.C17-QrM.98240 used command '/Radio Sure thing, redirecting 10-20 on trainstation, report in if you need me.'.
[22:02:43]	Yuhnanna alSalibi used command '/CharFallOver'.
[22:02:46]	Yuhnanna alSalibi used command '/CharGetUp'.
[22:02:50]	Major-General Sir Issac Brock KB used command '/PM Yuh someones coming to let you out soon'.
[22:02:52]	Yuhnanna alSalibi used command '/CharGetUp'.
[22:02:56]	Yuhnanna alSalibi used command '/Reply gratias'.
[22:03:00]	Yuhnanna alSalibi has taken 7 damage from worldspawn.
[22:03:03]	CCA.C17-GRID.EpU.06912 used command '/Radio 10-4.'.
[22:03:06]	Eugene Fogglesnatch has gained a 'Green Citizen Suit' #40279.
[22:03:06]	Eugene Fogglesnatch has gained a 'Citizen Filter' #40280.
[22:03:06]	Carl Flagahornlorfen created the character 'Eugene Fogglesnatch'
[22:03:06]	Eugene Fogglesnatch has gained a 'Suitcase' #40281.
[22:03:06]	Eugene Fogglesnatch has gained a 'Relocation Coupon' #40282.
[22:03:06]	Carl Flagahornlorfen loaded the character 'Eugene Fogglesnatch'
[22:03:08]	[OOC] Jacob Desmone: ava more like
[22:03:09]	[OOC] Jacob Desmone: stinky
[22:03:09]	Derrek Thornberry has taken 1 damage from worldspawn.
[22:03:10]	Derrek Thornberry has taken 1 damage from worldspawn.
[22:03:11]	Derrek Thornberry has taken 1 damage from worldspawn.
[22:03:12]	Derrek Thornberry has taken 1 damage from worldspawn.
[22:03:12]	[OOC] Jacob Desmone: and 
[22:03:12]	Derrek Thornberry ran 'equip' on item 'Citizen Filter' (#40227)
[22:03:15]	[OOC] Jacob Desmone: smells like provolone
[22:03:18]	[OOC] Ava Carter: jacob more like nerd 
[22:03:20]	Major-General Sir Issac Brock KB used command '/Reply also, i'll heal you. please dont climb up there again, though'.
[22:03:23]	Derrek Thornberry has gained a 'Scrap Metal' #40283.
[22:03:25]	[OOC] Jacob Desmone: I hope you get shot up 
[22:03:28]	[OOC] CCA.C17-QrM.98240: 982 is better shut w
[22:03:35]	Major-General Sir Issac Brock KB used command '/PM yuhn also, i'll heal you. please dont climb up there again, though'.
[22:03:44]	Yuhnanna alSalibi used command '/Reply No problem, I was just bored. Lol.'.
[22:03:45]	Eugene Fogglesnatch ran 'Equip' on item 'Green Citizen Suit' (#40279)
[22:03:47]	gaghhg has connected.
[22:03:47]	Eugene Fogglesnatch has killed Eugene Fogglesnatch.
[22:03:47]	Eugene Fogglesnatch ran 'equip' on item 'Citizen Filter' (#40280)
[22:04:10]	CCA.C17-JUDGE.i4.77460 has gained 10 tokens.
[22:04:18]	Jacob Desmone used command '/ItWasntYourFault'.
[22:04:26]	[ME] CCA.C17-QrM.98240: sniffled, looking over the man with his orange visors. He'd drill his vision into him, before bringing his hands over to the utility belt, unlatching a black exteriored device from his belt. - "Right, let's get this over with."
[22:04:32]	Derrek Thornberry opened the 'Crate' #2941 container.
[22:04:35]	[OOC] Jacob Desmone: attention
[22:04:38]	[OOC] Jacob Desmone: admins
[22:04:38]	Derrek Thornberry closed the 'Crate' #2941 container.
[22:04:40]	[OOC] Jacob Desmone: do /chargiveitem
[22:04:41]	Derrek Thornberry opened the 'Crate' #2941 container.
[22:04:43]	CCA.C17-GRID.EpU.06912 used command '/Radio Thornberry is a bit dull.'.
[22:04:44]	Derrek Thornberry has gained a 'Blacksmith Tongs' #33761.
[22:04:45]	[OOC] Jacob Desmone: /chargiveitem Jacbo ar2
[22:04:46]	Major-General Sir Issac Brock KB has gained 10 tokens.
[22:04:47]	Derrek Thornberry has gained a 'Empty Soda Bottle' #33578.
[22:04:50]	[OOC] Jacob Desmone: /chargiveitem Jacob Ar2
[22:04:50]	[OOC] Major-General Sir Issac Brock KB: okay
[22:04:51]	CCA.C17-JUDGE.i4.77460 used command '/Radio You think?'.
[22:04:52]	Derrek Thornberry has gained a 'Circuit Board' #33774.
[22:04:53]	[OOC] CCA.C17-GRID.EpU.06912: do /chargiveitem jacob "rpg launcher" 99999
[22:04:54]	CCA.C17-QrM.98240 used command '/Radio I like Thorn.'.
[22:04:54]	Derrek Thornberry has gained a 'Empty Paint Can' #33642.
[22:04:57]	Derrek Thornberry has gained a 'Empty Chinese Takeout' #33576.
[22:04:58]	Derrek Thornberry closed the 'Crate' #2941 container.
[22:04:58]	[OOC] Jacob Desmone: yes
[22:05:04]	[OOC] CCA.C17-GRID.EpU.06912: it instantly gets us to 127 players
[22:05:05]	[OOC] Jacob Desmone: trust me
[22:05:09]	[OOC] Jacob Desmone: free vbucks
[22:05:15]	Major-General Sir Issac Brock KB used command '/rooc qrm and thornberry sitting in a tree'.
[22:05:23]	Derrek Thornberry opened the 'Crate' #2941 container.
[22:05:26]	CCA.C17-QrM.98240 has gained 10 tokens.
[22:05:26]	CCA.C17-QrM.98240 used command '/ViewData Yuh'.
[22:05:27]	CCA.C17-JUDGE.i4.77460 opened the 'Crate' #2941 container.
[22:05:29]	Derrek Thornberry closed the 'Crate' #2941 container.
[22:05:29]	CCA.C17-JUDGE.i4.77460 opened the 'Crate' #2941 container.
[22:05:30]	CCA.C17-GRID.EpU.06912 has spawned a 'Entity [5462][ix_timer]'.
[22:05:32]	CCA.C17-JUDGE.i4.77460 closed the 'Crate' #2941 container.
[22:05:39]	Derrek Thornberry used the 'Work Cycle Supply' vendor.
[22:05:42]	Derrek Thornberry has gained 0 tokens.
[22:05:42]	Derrek Thornberry has gained a 'Blacksmith Tongs' #40284.
[22:05:43]	[OOC] CCA.C17-GRID.EpU.06912: NOOO
[22:05:44]	[OOC] CCA.C17-GRID.EpU.06912: THE FONT
[22:05:48]	[OOC] CCA.C17-GRID.EpU.06912: THE KEYPAD FONT ISN'T IN THE CONTENT
[22:05:49]	[OOC] CCA.C17-QrM.98240: what 
[22:05:50]	Derrek Thornberry ran 'take' on item 'Wires' (#31207)
[22:05:50]	Derrek Thornberry has gained a 'Wires' #31207.
[22:05:52]	Derrek Thornberry ran 'take' on item 'Empty Soda Bottle' (#33740)
[22:05:52]	Derrek Thornberry has gained a 'Empty Soda Bottle' #33740.
[22:05:56]	Derrek Thornberry ran 'take' on item 'Rope' (#30867)
[22:05:56]	Derrek Thornberry has gained a 'Rope' #30867.
[22:05:57]	Ava Carter used command '/ItWasntYourFault'.
[22:05:57]	[OOC] CCA.C17-GRID.EpU.06912: SO THE FONT ON THE KEYPAD IS JUST NORMAL, IT'S NOT A 7 SEGMENT DISPLAY
[22:06:05]	[LOOC] CCA.C17-QrM.98240: worries 
[22:06:07]	[ME] Jack Kingston: opens up the green cabinet, first grabbing some scrap metal then the blacksmith tongs and slag scrapers. After getting them, he leaves the door slightly ajar for Derrek.
[22:06:08]	Jack Kingston used the 'Work Cycle Supply' vendor.
[22:06:09]	[IT] Ava Carter: amongus
[22:06:13]	Jack Kingston has gained 0 tokens.
[22:06:13]	Jack Kingston has gained a 'Blacksmith Tongs' #40285.
[22:06:15]	Derrek Thornberry ran 'take' on item 'Circuit Board' (#24835)
[22:06:15]	Derrek Thornberry has gained a 'Circuit Board' #24835.
[22:06:16]	Derrek Thornberry ran 'take' on item 'Bar of Soap' (#33704)
[22:06:16]	Derrek Thornberry has gained a 'Bar of Soap' #33704.
[22:06:17]	Derrek Thornberry ran 'take' on item 'Nylon Cord' (#33536)
[22:06:17]	Derrek Thornberry has gained a 'Nylon Cord' #33536.
[22:06:18]	Jack Kingston has gained 0 tokens.
[22:06:18]	Jack Kingston has gained a 'Scrap Metal' #40286.
[22:06:29]	Ava Carter opened the 'File Cabinet' #2423 container.
