[13:34:03]	Bullhuss has connected.
[21:36:56]	[ME] Marti Verdugo: grabs a variety of trash-bags, shuffling over to the dumpster.
[21:36:58]	[OOC] CCA.C17-GRID.i3.10945: the lgiths i mean
[21:37:11]	[ME] Marti Verdugo: throws the bags into the dumpster.
[21:37:21]	Felix Mahomer ran 'View' on item 'Notepad' (#27669)
[21:37:49]	[OOC] Marti Verdugo: stare at the cop until he shoots you challenge
[21:37:56]	[OOC] CCA.C17-GRID.i3.10945: like a nightkin
[21:38:59]	Painevan has connected.
[21:39:46]	Painevan loaded the character 'Jonathan Jackson'
[21:39:55]	[ME] Felix Mahomer: glances over his shoulder to the other citizen
[21:39:56]	[OOC] Jonathan Jackson: AHHHG
[21:39:58]	[OOC] Jonathan Jackson: I live
[21:40:01]	Felix Mahomer ran 'drop' on item 'Citizen ID' (#35904)
[21:40:01]	Felix Mahomer has lost a 'Citizen ID' #35904.
[21:40:05]	CCA.C17-GRID.i3.10945 ran 'take' on item 'Citizen ID' (#35904)
[21:40:05]	CCA.C17-GRID.i3.10945 has gained a 'Citizen ID' #35904.
[21:40:28]	CCA.C17-GRID.i3.10945 ran 'drop' on item 'Citizen ID' (#35904)
[21:40:28]	CCA.C17-GRID.i3.10945 has lost a 'Citizen ID' #35904.
[21:40:33]	[OOC] Jonathan Jackson: Buy my food
[21:40:35]	Felix Mahomer ran 'take' on item 'Citizen ID' (#35904)
[21:40:35]	Felix Mahomer has gained a 'Citizen ID' #35904.
[21:40:37]	[OOC] Jonathan Jackson: n o w
[21:40:50]	[OOC] Felix Mahomer: maybe
[21:41:00]	CCA.C17-GRID.i3.10945 used command '/Radio All units BOL, tall spanish man.'.
[21:41:09]	CCA.C17-GRID.i3.10945 used command '/Radio He has a f...'.
[21:41:19]	[OOC] Marti Verdugo: so yeah, mike ikes are a very good candy
[21:41:27]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[21:42:07]	Painevan loaded the character 'CCA.C17-HELIX.i3.08874'
[21:42:31]	CCA.C17-GRID.i3.10945 entered observer.
[21:42:48]	CCA.C17-HELIX.i3.08874 used command '/Radio 10-2'.
[21:42:51]	CCA.C17-GRID.i3.10945 entered observer.
[21:42:56]	CCA.C17-GRID.i3.10945 used command '/Radio Signal is good?'.
[21:42:58]	Felix Mahomer used command '/Apply'.
[21:43:02]	CCA.C17-GRID.i3.10945 exited observer at their location.
[21:43:07]	CCA.C17-GRID.i3.10945 used the 'Box of Posters' vendor.
[21:43:15]	CCA.C17-HELIX.i3.08874 used command '/Radio Affirmative. Been working perfect since it was fixed.'.
[21:43:23]	CCA.C17-HELIX.i3.08874 used command '/Radio Speaking of you need to get that capacitor in.'.
[21:43:34]	[ME] CCA.C17-HELIX.i3.08874: takes out a small PDA, and switches it on.
[21:43:37]	CCA.C17-GRID.i3.10945 used command '/Radio That must be a placebo effect, that checkpoint was a backup relay station, not the main one.'.
[21:44:21]	CCA.C17-HELIX.i3.08874 used command '/Radio Some GRID was complaining about it before.'.
[21:44:31]	CCA.C17-HELIX.i3.08874 used command '/ViewData felix'.
[21:46:28]	[OOC] CCA.C17-HELIX.i3.08874: grid awaken
[21:46:40]	[OOC] Felix Mahomer: do you guys have a discord
[21:46:49]	[OOC] CCA.C17-HELIX.i3.08874: Yep! Do /discord
[21:46:55]	Felix Mahomer used command '/Discord'.
[21:47:07]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[21:47:21]	[LOOC] CCA.C17-HELIX.i3.08874: void
[21:47:41]	CCA.C17-HELIX.i3.08874 used command '/Radio 10-7.'.
[21:47:47]	Painevan loaded the character 'Jonathan Jackson'
[21:47:59]	[OOC] Jonathan Jackson: It's jacksoning time
[21:48:47]	[OOC] Marti Verdugo: fbfgbfgfgbkfkfgfgkfhfhhm goblin
[21:48:49]	Tom Jones #1 Fan (STEAM_0:1:39081684) has disconnected.
[21:49:09]	[OOC] Jonathan Jackson: I am the one who cooks
[21:49:15]	Felix Mahomer has gained a 'Broken LCD Monitor' #35911.
[21:49:33]	[OOC] Jonathan Jackson: Oh and by the way, there is a General store to get some neat stuff
[21:49:58]	[OOC] Jonathan Jackson: Like a respirator so you don't have to wear a suit and stuff like that
[21:50:07]	[OOC] Jonathan Jackson: Flashlights too
[21:50:30]	Felix Mahomer ran 'View' on item 'Paper' (#33897)
[21:50:40]	[OOC] CCA.C17-GRID.i3.10945: sorry ihad to grab my laudnry
[21:50:41]	CCA.C17-GRID.i3.10945 entered observer.
[21:50:43]	CCA.C17-GRID.i3.10945 exited observer at their location.
[21:50:43]	CCA.C17-GRID.i3.10945 entered observer.
[21:50:44]	Felix Mahomer ran 'View' on item 'Paper' (#26871)
[21:50:45]	[OOC] Jonathan Jackson: lol
[21:50:47]	[OOC] CCA.C17-GRID.i3.10945: gonna put it away suyper quick
[21:50:57]	CCA.C17-GRID.i3.10945 exited observer at their location.
[21:51:01]	Felix Mahomer used the 'Shopkeeper Jim' vendor.
[21:51:03]	CCA.C17-GRID.i3.10945 entered observer.
[21:51:28]	Felix Mahomer has lost 2 tokens.
[21:51:28]	Felix Mahomer has gained a 'Citizen Filter' #35912.
[21:51:34]	Felix Mahomer ran 'equip' on item 'Citizen Filter' (#35912)
[21:51:40]	Felix Mahomer used the 'Shopkeeper Jim' vendor.
[21:52:06]	Felix Mahomer ran 'View' on item 'Notepad' (#27712)
[21:52:11]	Felix Mahomer ran 'View' on item 'Notepad' (#27713)
[21:52:59]	Felix Mahomer opened the 'Trash Bin' #250 container.
[21:52:59]	Felix Mahomer closed the 'Trash Bin' #250 container.
[21:53:00]	Felix Mahomer opened the 'Trash Bin' #250 container.
[21:53:00]	Felix Mahomer closed the 'Trash Bin' #250 container.
[21:53:01]	Felix Mahomer opened the 'Trash Bin' #250 container.
[21:53:01]	Felix Mahomer closed the 'Trash Bin' #250 container.
[21:53:03]	Felix Mahomer opened the 'Trash Bin' #250 container.
[21:53:07]	Felix Mahomer closed the 'Trash Bin' #250 container.
[21:53:07]	Felix Mahomer opened the 'Trash Bin' #251 container.
[21:53:13]	Felix Mahomer has gained a 'Notepad' #35840.
[21:53:14]	Felix Mahomer closed the 'Trash Bin' #251 container.
[21:53:20]	Felix Mahomer ran 'Edit' on item 'Notepad' (#35840)
[21:53:32]	[OOC] Jonathan Jackson: I will find you
[21:56:41]	DRD has connected.
[21:57:37]	DRD loaded the character 'Hollie Reynolds'
[21:57:39]	Hollie Reynolds entered observer.
[21:57:47]	[OOC] Hollie Reynolds: Reminder:
[21:57:52]	[OOC] Hollie Reynolds: Your sins? Not forgiven
[21:58:04]	[OOC] Jonathan Jackson: Fuck you where's my air vent
[21:58:14]	[OOC] Hollie Reynolds: what
[21:59:18]	DRD loaded the character 'Major-General Sir Issac Brock KB'
[21:59:20]	Major-General Sir Issac Brock KB entered observer.
[21:59:52]	Major-General Sir Issac Brock KB exited observer at their location.
[21:59:53]	Major-General Sir Issac Brock KB entered observer.
[22:00:06]	[OOC] CCA.C17-GRID.i3.10945: i have returned
[22:00:10]	[OOC] Jonathan Jackson: welcom
[22:00:11]	[OOC] Major-General Sir Issac Brock KB: wrong
[22:00:23]	[OOC] CCA.C17-GRID.i3.10945: reminder: 100 hail marys constitutes non-mechanical forgiveness simulation
[22:00:48]	[OOC] Jonathan Jackson: pope :)
[22:00:59]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[22:01:07]	[OOC] Major-General Sir Issac Brock KB: ignore boom, error elimination
[22:01:08]	Major-General Sir Issac Brock KB destroyed a 'Empty Cooking Oil Bottle' #29070.
[22:01:08]	Major-General Sir Issac Brock KB destroyed a 'Soldering Iron' #35262.
[22:01:27]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[22:01:30]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:01:44]	[OOC] Major-General Sir Issac Brock KB: im playing 2 games at once
[22:02:08]	Major-General Sir Issac Brock KB ran 'Edit' on item 'Notepad' (#34289)
[22:02:20]	Major-General Sir Issac Brock KB ran 'Attach' on item 'Pin' (#33661)
[22:03:11]	[OOC] Felix Mahomer: brb
[22:03:18]	fuckus (STEAM_0:1:54861900) has disconnected.
[22:03:32]	[OOC] Major-General Sir Issac Brock KB: same
[22:03:36]	[OOC] Major-General Sir Issac Brock KB: but i wont be back
[22:03:39]	[OOC] Major-General Sir Issac Brock KB: going to bed
[22:03:41]	[OOC] Jonathan Jackson: trolled
[22:03:43]	DRD (STEAM_0:0:193599766) has disconnected.
[22:04:32]	CCA.C17-GRID.i3.10945 has lost 5 tokens.
[22:04:34]	CCA.C17-GRID.i3.10945 ran 'take' on item 'Consulate Water' (#35912)
[22:04:34]	CCA.C17-GRID.i3.10945 has gained a 'Consulate Water' #35912.
[22:04:35]	[OOC] Jonathan Jackson: Grid RP be like:
[22:06:27]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[22:07:25]	[OOC] CCA.C17-GRID.i3.10945: i am going to imporrt
[22:07:34]	[OOC] CCA.C17-GRID.i3.10945: the vortigaunt eye colors
[22:07:48]	[OOC] Jonathan Jackson: That's a good idea
[22:08:02]	Jonathan Jackson opened the 'Dumpster' #2549 container.
[22:08:04]	Jonathan Jackson closed the 'Dumpster' #2549 container.
[22:09:05]	[OOC] CCA.C17-GRID.i3.10945: and skin colors
[22:09:37]	[OOC] Jonathan Jackson: I hate the aliens I hate the aliens
[22:09:48]	[OOC] Jonathan Jackson: I must create a kickass HECU veteran
[22:10:05]	[OOC] Jonathan Jackson: Declares war on the aliens and combine
[22:10:19]	Jonathan Jackson has lost 5 tokens.
[22:10:22]	Jonathan Jackson ran 'Consume' on item 'Consulate Water' (#35913)
[22:10:22]	Jonathan Jackson has gained a 'Empty Consulate Water Can' #35914.
[22:10:23]	Jonathan Jackson has lost 5 tokens.
[22:10:33]	Jonathan Jackson ran 'Consume' on item 'Consulate Water' (#35915)
[22:10:33]	Jonathan Jackson has gained a 'Empty Consulate Water Can' #35916.
[22:10:37]	Jonathan Jackson has lost 5 tokens.
[22:10:39]	Jonathan Jackson ran 'Consume' on item 'Consulate Water' (#35917)
[22:10:39]	Jonathan Jackson has gained a 'Empty Consulate Water Can' #35918.
[22:11:20]	[OOC] CCA.C17-GRID.i3.10945: thasnk you it's not my idea
[22:11:26]	[OOC] CCA.C17-GRID.i3.10945: lmao
[22:11:32]	[OOC] CCA.C17-GRID.i3.10945: have fun in hte OTA
[22:11:42]	[OOC] Jonathan Jackson: That can't catch me
[22:12:19]	[OOC] Jonathan Jackson: If I'm cornered I just say, "I'm not trapped in a room full of aliens, you are all trapped in here with me" Then I pull the pin on the grenade an boom
[22:12:34]	[OOC] Jonathan Jackson: But seriously I think having a military type character could be fun to do
[22:14:07]	[OOC] Jonathan Jackson: What do you think?
[22:14:08]	fuckus has connected.
[22:14:08]	[OOC] CCA.C17-GRID.i3.10945: oh shit this fucking sucks
[22:14:12]	[OOC] CCA.C17-GRID.i3.10945: not that idea
[22:14:16]	[OOC] CCA.C17-GRID.i3.10945: just. making this eye texture
[22:14:18]	[OOC] Jonathan Jackson: I was about to say lmao
[22:14:21]	[OOC] CCA.C17-GRID.i3.10945: because i have to make every vmt individually too
[22:14:23]	[OOC] CCA.C17-GRID.i3.10945: not jsut the vtfs
[22:14:29]	[OOC] CCA.C17-GRID.i3.10945: which is just a copy paste but still i don't like it
[22:14:41]	[OOC] CCA.C17-GRID.i3.10945: lmao. that would be acool way to get PKed
[22:14:50]	fuckus loaded the character 'Felix Mahomer'
[22:15:00]	[OOC] Felix Mahomer: i have arrived
[22:15:01]	[OOC] CCA.C17-GRID.i3.10945: it'd be cool but remember military OTA thing all that
[22:15:03]	[OOC] CCA.C17-GRID.i3.10945: welco me back
[22:15:11]	[OOC] Jonathan Jackson: We;cp,me,fpe,fpe,fpe,fepf,
[22:15:31]	[OOC] Jonathan Jackson: Yes I know the Military would be that
[22:15:35]	[OOC] Jonathan Jackson: But maybe like a veteran
[22:15:56]	[OOC] Jonathan Jackson: One who wasn't explicitly in service and trains like a militia of rebels.
[22:16:25]	[OOC] CCA.C17-GRID.i3.10945: veterans were still absorbed
[22:16:27]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[22:16:29]	CCA.C17-GRID.i3.10945 entered observer.
[22:16:30]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:16:31]	CCA.C17-GRID.i3.10945 entered observer.
[22:16:33]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:16:40]	[OOC] Jonathan Jackson: Destroying documents is also a thing
[22:16:56]	Felix Mahomer opened the 'Refrigerator' #2577 container.
[22:16:58]	[OOC] CCA.C17-GRID.i3.10945: true but we're assuming the combine knows based on the government's records rather than the records kept by that person
[22:16:59]	CCA.C17-GRID.i3.10945 entered observer.
[22:16:59]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:16:59]	Felix Mahomer closed the 'Refrigerator' #2577 container.
[22:16:59]	CCA.C17-GRID.i3.10945 entered observer.
[22:17:00]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:17:02]	CCA.C17-GRID.i3.10945 entered observer.
[22:17:05]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:17:40]	Felix Mahomer ran 'Edit' on item 'Notepad' (#35840)
[22:17:41]	[OOC] Jonathan Jackson: Yeah but the prob with records is that stuff like the vietnam war had a lot of conscripts and it caused issues with keeping track of that type of stuff, it worked but it wasn't perfect
[22:18:21]	CCA.C17-GRID.i3.10945 entered observer.
[22:18:22]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:18:23]	CCA.C17-GRID.i3.10945 entered observer.
[22:18:24]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:18:24]	CCA.C17-GRID.i3.10945 entered observer.
[22:18:25]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:18:25]	CCA.C17-GRID.i3.10945 entered observer.
[22:18:25]	Felix Mahomer ran 'View' on item 'Notepad' (#35840)
[22:18:27]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:19:00]	Felix Mahomer ran 'Edit' on item 'Notepad' (#35840)
[22:19:05]	[OOC] Jonathan Jackson: It makes sense for certain documents to be mismanaged by the government, it's definitely true that in Half Life that happened
[22:19:13]	CCA.C17-GRID.i3.10945 entered observer.
[22:19:15]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:19:55]	[OOC] CCA.C17-GRID.i3.10945: true, but, eh. for a policy like this i go off of the broad strokes so that would still be an exception in the eyes of server administration. I might change my mind there after thinking about it, but in this very moment, eh
[22:19:56]	CCA.C17-GRID.i3.10945 entered observer.
[22:19:58]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:20:03]	CCA.C17-GRID.i3.10945 entered observer.
[22:20:15]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:20:33]	[OOC] Jonathan Jackson: Understandable
[22:21:27]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[22:21:47]	[OOC] Jonathan Jackson: It would also be understandable for those in previous policing careers to also be amongst the population.
[22:22:01]	Felix Mahomer opened the 'Dumpster' #252 container.
[22:22:04]	Felix Mahomer closed the 'Dumpster' #252 container.
[22:22:06]	Felix Mahomer opened the 'Dumpster' #2548 container.
[22:22:08]	Felix Mahomer closed the 'Dumpster' #2548 container.
[22:22:16]	Felix Mahomer has gained a 'Bleach' #35919.
[22:22:18]	[OOC] CCA.C17-GRID.i3.10945: yeah. former old world police absolutely can be regular citizens
[22:22:23]	[OOC] CCA.C17-GRID.i3.10945: they weren't all forced into the CCA
[22:22:38]	[OOC] Jonathan Jackson: Not as broad as military training but absolutely have some combat training
[22:23:02]	[OOC] CCA.C17-GRID.i3.10945: not just because of the paperwork and recordkeeping that would require but also because a good police officer is easier to make than a good soldier
[22:23:06]	CCA.C17-GRID.i3.10945 entered observer.
[22:23:06]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:23:07]	CCA.C17-GRID.i3.10945 entered observer.
[22:23:07]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:23:39]	Felix Mahomer used command '/DoorBuy'.
[22:23:40]	Felix Mahomer used command '/DoorBuy'.
[22:23:46]	Felix Mahomer used command '/DoorBuy'.
[22:23:47]	Felix Mahomer used command '/DoorBuy'.
[22:23:49]	[OOC] Jonathan Jackson: Yep, that's what actually happened in many states, some police officers went out in their uniform to fight on frontlines when it came to it
[22:24:01]	Felix Mahomer used command '/DoorBuy'.
[22:24:10]	Felix Mahomer used command '/DoorBuy'.
[22:24:17]	Felix Mahomer used command '/DoorBuy'.
[22:24:21]	Felix Mahomer used command '/DoorBuy'.
[22:24:40]	Felix Mahomer ran 'combine' on item 'Suitcase' (#35901)
[22:24:41]	[OOC] Jonathan Jackson: They also have pretty good logistical training as well, such as document filing and the like
[22:24:53]	[OOC] CCA.C17-GRID.i3.10945: national guard i feel like wouldn't be absorbed into the combine military
[22:24:56]	[OOC] CCA.C17-GRID.i3.10945: any combine military
[22:25:04]	Felix Mahomer ran 'View' on item 'Paper' (#33897)
[22:25:19]	[OOC] Jonathan Jackson: Neither do I, they are part of the armed forces but they are more like the state police
[22:25:38]	[OOC] Jonathan Jackson: Come out whenever a state feels like it
[22:25:48]	[OOC] Jonathan Jackson: Also during emergencies
[22:25:49]	Felix Mahomer has gained a 'Insulating Tape' #35920.
[22:26:23]	[OOC] CCA.C17-GRID.i3.10945: yeah, upgraded police
[22:26:27]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[22:26:50]	[OOC] Jonathan Jackson: What about MPs?
[22:27:09]	Felix Mahomer opened the 'Large Refrigerator' #236 container.
[22:27:12]	Felix Mahomer closed the 'Large Refrigerator' #236 container.
[22:27:16]	[OOC] CCA.C17-GRID.i3.10945: i forget whether or not MPs are acutally members of the military and i used to see them daily
[22:27:58]	[OOC] Jonathan Jackson: Military Police, they are a part of the military but they focus on internal manners as well as more occupationy things like detainment centers and checkpoints, not the frontlines
[22:28:02]	Felix Mahomer ran 'take' on item 'Motor Controller' (#29197)
[22:28:02]	Felix Mahomer has gained a 'Motor Controller' #29197.
[22:28:09]	[OOC] CCA.C17-GRID.i3.10945: hmm. is it possible for them to see frontline combat
[22:28:12]	Felix Mahomer opened the 'Metal Cabinet' #2763 container.
[22:28:19]	Felix Mahomer ran 'Edit' on item 'Notepad' (#29210)
[22:28:24]	Felix Mahomer closed the 'Metal Cabinet' #2763 container.
[22:28:31]	[OOC] Jonathan Jackson: They won't ever be sent to the frontline purposefully, but they can be near it
[22:28:31]	Felix Mahomer opened the 'Metal Cabinet' #2763 container.
[22:28:33]	[OOC] CCA.C17-GRID.i3.10945: i know the MPs back at camp lejuene were the ones who checked your military ID
[22:28:40]	Felix Mahomer has gained a 'Pipe' #29155.
[22:28:44]	Felix Mahomer ran 'Edit' on item 'Notepad' (#30432)
[22:28:47]	[OOC] CCA.C17-GRID.i3.10945: i don't think they would be
[22:28:47]	CCA.C17-GRID.i3.10945 entered observer.
[22:28:47]	Felix Mahomer has gained a 'Fingerless Gloves' #27413.
[22:28:48]	[OOC] Jonathan Jackson: Again they focus on the occupation
[22:28:49]	Felix Mahomer closed the 'Metal Cabinet' #2763 container.
[22:28:50]	[OOC] CCA.C17-GRID.i3.10945: i think
[22:28:54]	[OOC] Jonathan Jackson: Not combat
[22:28:56]	CCA.C17-GRID.i3.10945 exited observer at their location.
[22:28:56]	Felix Mahomer ran 'Equip' on item 'Fingerless Gloves' (#27413)
[22:28:58]	Felix Mahomer ran 'drop' on item 'Fingerless Gloves' (#27413)
[22:28:58]	Felix Mahomer has lost a 'Fingerless Gloves' #27413.
[22:28:59]	[OOC] CCA.C17-GRID.i3.10945: then yeah i'd say probably not
[22:29:09]	[OOC] CCA.C17-GRID.i3.10945: they'd be heavily encouraged to join the CCA on day 0
[22:29:13]	Felix Mahomer opened the 'Metal Cabinet' #2763 container.
[22:29:16]	Felix Mahomer has gained a 'Pin' #29156.
[22:29:17]	[OOC] CCA.C17-GRID.i3.10945: but no obligation no
[22:29:18]	Felix Mahomer has gained a 'Pin' #29212.
[22:29:19]	Felix Mahomer closed the 'Metal Cabinet' #2763 container.
[22:29:26]	[OOC] Jonathan Jackson: Most likely that
[22:30:03]	[OOC] CCA.C17-GRID.i3.10945: eye vmts have been made
[22:30:11]	Felix Mahomer opened the 'Trash Bin' #2737 container.
[22:30:15]	Felix Mahomer ran 'Edit' on item 'Paper' (#31310)
[22:30:15]	[OOC] Jonathan Jackson: cool
[22:30:18]	Felix Mahomer ran 'Edit' on item 'Notepad' (#34520)
[22:30:22]	Felix Mahomer closed the 'Trash Bin' #2737 container.
[22:31:27]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[22:31:39]	[OOC] Jonathan Jackson: Day 200 until Q adds the Alyx NPCs and Resurgence NPCs
[22:31:48]	Felix Mahomer ran 'take' on item 'Broken Computer Monitor' (#35856)
[22:31:48]	Felix Mahomer has gained a 'Broken Computer Monitor' #35856.
[22:31:55]	Felix Mahomer ran 'drop' on item 'Broken Computer Monitor' (#35856)
[22:31:55]	Felix Mahomer has lost a 'Broken Computer Monitor' #35856.
[22:31:58]	Felix Mahomer ran 'take' on item 'Silicone Tube' (#35170)
[22:31:58]	Felix Mahomer has gained a 'Silicone Tube' #35170.
[22:32:08]	Felix Mahomer has gained a 'Pin' #35921.
[22:32:17]	Felix Mahomer ran 'take' on item 'Empty Pill Bottle' (#34032)
[22:32:17]	Felix Mahomer has gained a 'Empty Pill Bottle' #34032.
[22:32:20]	Felix Mahomer ran 'drop' on item 'Empty Pill Bottle' (#34032)
[22:32:20]	Felix Mahomer has lost a 'Empty Pill Bottle' #34032.
[22:32:52]	Felix Mahomer opened the 'Dumpster' #2684 container.
[22:32:53]	Felix Mahomer closed the 'Dumpster' #2684 container.
[22:32:54]	Felix Mahomer opened the 'Dumpster' #2684 container.
[22:32:54]	[OOC] CCA.C17-GRID.i3.10945: fuck
[22:33:00]	Felix Mahomer closed the 'Dumpster' #2684 container.
[22:33:10]	[OOC] Jonathan Jackson: ?
[22:33:24]	[OOC] CCA.C17-GRID.i3.10945: i need to do tha
[22:33:28]	[OOC] CCA.C17-GRID.i3.10945: also eye vtfs have been made
[22:33:37]	Felix Mahomer has gained a 'Shovel' #35922.
[22:33:46]	Felix Mahomer ran 'Equip' on item 'Pipe' (#29155)
[22:33:46]	[OOC] Jonathan Jackson: Yeah you should those NPCs you have are awful
[22:34:09]	[OOC] Jonathan Jackson: And also I adore the animations on the Alyx soldiers
[22:34:26]	Felix Mahomer ran 'EquipUn' on item 'Pipe' (#29155)
[22:34:38]	Felix Mahomer has gained a 'Insulating Tape' #35923.
[22:35:05]	Felix Mahomer opened the 'Cash Register' #2478 container.
[22:35:05]	Felix Mahomer closed the 'Cash Register' #2478 container.
[22:35:06]	Felix Mahomer opened the 'Cash Register' #2478 container.
[22:35:08]	[OOC] CCA.C17-GRID.i3.10945: yeah the alyx NPCs are good anmd the renaissance NPCs are bad
[22:35:09]	Felix Mahomer closed the 'Cash Register' #2478 container.
[22:35:12]	[OOC] CCA.C17-GRID.i3.10945: the biggest thing is just like
[22:35:24]	[OOC] CCA.C17-GRID.i3.10945: dependencies on existing renaissance stuff
[22:35:44]	Felix Mahomer has gained a 'Bolts' #35924.
[22:36:05]	[OOC] Felix Mahomer: see ya later dudes
[22:36:15]	Felix Mahomer ran 'Attach' on item 'Pin' (#35921)
[22:36:19]	Felix Mahomer ran 'View' on item 'Notepad' (#35840)
[22:36:20]	[OOC] CCA.C17-GRID.i3.10945: take care, thanbks for bieng on
[22:36:23]	[OOC] CCA.C17-GRID.i3.10945: sorry not much is going on tonight
[22:36:25]	Felix Mahomer ran 'Edit' on item 'Notepad' (#35840)
[22:36:26]	[OOC] CCA.C17-GRID.i3.10945: it gets better around here
[22:36:27]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[22:36:34]	[OOC] Felix Mahomer: it all good
[22:36:39]	Felix Mahomer ran 'Attach' on item 'Pin' (#35921)
[22:36:42]	Felix Mahomer ran 'Edit' on item 'Notepad' (#35840)
[22:36:46]	Felix Mahomer ran 'Attach' on item 'Pin' (#35921)
[22:36:50]	Felix Mahomer ran 'Edit' on item 'Notepad' (#35840)
[22:36:56]	Felix Mahomer ran 'drop' on item 'Pin' (#35921)
[22:36:56]	Felix Mahomer has lost a 'Pin' #35921.
[22:37:01]	Felix Mahomer ran 'Attach' on item 'Pin' (#35921)
[22:37:06]	Felix Mahomer ran 'Edit' on item 'Notepad' (#35840)
[22:37:14]	fuckus (STEAM_0:1:54861900) has disconnected.
[22:37:41]	[OOC] CCA.C17-GRID.i3.10945: skin VTFs have been amde
[22:40:11]	[OOC] CCA.C17-GRID.i3.10945: alrigfht
[22:40:13]	[OOC] CCA.C17-GRID.i3.10945: now time to make the skins
[22:40:45]	[OOC] CCA.C17-GRID.i3.10945: fuck
[22:40:46]	[OOC] CCA.C17-GRID.i3.10945: this sucsk
[22:40:52]	[OOC] CCA.C17-GRID.i3.10945: i should write a python scritp for this
[22:40:53]	[OOC] CCA.C17-GRID.i3.10945: standby
[22:53:44]	[OOC] Jonathan Jackson: I sleep time
[22:53:47]	[OOC] Jonathan Jackson: Good night
[22:53:54]	Painevan (STEAM_0:0:68118061) has disconnected.
[23:19:55]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:20:10]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:20:25]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:20:40]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:20:55]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:21:10]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:21:25]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:21:40]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:21:55]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:22:10]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:22:25]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:22:40]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:22:55]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:23:10]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:23:25]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:23:40]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:23:55]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:24:11]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:24:26]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:24:41]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:24:56]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:25:11]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:25:26]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:25:41]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
[23:25:56]	CCA.C17-GRID.i3.10945 has taken 2 damage from CCA.C17-GRID.i3.10945.
