[00:22:58]	Ollie Garner has connected.
[17:03:43]	CCA.C14-JUDGE.i5.22767 ran 'Eat' on item 'Civil Protection Functionary Grade Food Product' (#29813)
[17:03:45]	CCA.C14-JUDGE.i5.22767 ran 'Eat' on item 'Civil Protection Functionary Grade Food Product' (#29816)
[17:03:45]	CCA.C14-JUDGE.i5.22767 ran 'Consume' on item 'Civil Protection Functionary Grade Supplements' (#29814)
[17:03:46]	CCA.C14-JUDGE.i5.22767 ran 'Consume' on item 'Civil Protection Functionary Grade Drink' (#29815)
[17:03:46]	CCA.C14-JUDGE.i5.22767 ran 'Consume' on item 'Civil Protection Functionary Grade Supplements' (#29817)
[17:03:48]	CCA.C14-JUDGE.i5.22767 ran 'Consume' on item 'Civil Protection Functionary Grade Drink' (#29818)
[17:03:53]	Roach Shepherd has lost 10 tokens.
[17:03:55]	Roach Shepherd ran 'take' on item 'Sparkling Breen's Water' (#29813)
[17:03:55]	Roach Shepherd has gained a 'Sparkling Breen's Water' #29813.
[17:03:58]	Roach Shepherd ran 'Consume' on item 'Sparkling Breen's Water' (#29813)
[17:04:53]	Whong Pow used command '/CharFallOver 0.1'.
[17:05:03]	Whong Pow has lost 5 tokens.
[17:05:07]	Whong Pow ran 'take' on item 'Breen's Water' (#29813)
[17:05:07]	Whong Pow has gained a 'Breen's Water' #29813.
[17:05:11]	Whong Pow ran 'Consume' on item 'Breen's Water' (#29813)
[17:05:16]	Whong Pow used command '/CharFallOver 0.1'.
[17:05:20]	CCA.C14-JUDGE.i5.22767 ran 'take' on item 'Civil Protection Functionary Grade Ration' (#29813)
[17:05:20]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Ration' #29813.
[17:05:39]	Titan Muller ran 'View' on item 'Notepad' (#18954)
[17:05:40]	CCA.C14-JUDGE.i5.22767 ran 'take' on item 'Civil Protection Functionary Grade Ration' (#29814)
[17:05:40]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Ration' #29814.
[17:05:46]	Titan Muller ran 'View' on item 'Notepad' (#18952)
[17:06:01]	Titan Muller opened the '' #1810 container.
[17:06:04]	CCA.C14-JUDGE.i5.22767 ran 'take' on item 'Civil Protection Functionary Grade Ration' (#29815)
[17:06:04]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Ration' #29815.
[17:06:04]	Titan Muller closed the '' #1810 container.
[17:06:46]	[OOC] Roach Shepherd: Can we go into the sewers or no.
[17:06:49]	Roach Shepherd used the 'Storage' vendor.
[17:06:56]	[OOC] CCA.C14-JUDGE.i5.22767: yeah, but it's illegal
[17:07:03]	[OOC] CCA.C14-JUDGE.i5.22767: you get caught, you might get shot
[17:07:11]	[OOC] Roach Shepherd: #AddCWUHazmatUnits
[17:07:20]	[OOC] Titan Muller: Shakira Shakira 
[17:07:20]	[OOC] Roach Shepherd: I will join that instantly and patrol that area.
[17:07:26]	Whong Pow used command '/CharFallOver 0.1'.
[17:07:28]	[OOC] CCA.C14-JUDGE.i5.22767: we have hazmat suit for civvies
[17:07:31]	Whong Pow used command '/CharFallOver 0.1'.
[17:07:40]	[OOC] Roach Shepherd: For those certain situations?
[17:07:46]	Titan Muller ran 'View' on item 'Notepad' (#28146)
[17:07:48]	Whong Pow used command '/CharFallOver 0.1'.
[17:07:57]	Whong Pow used command '/CharFallOver 0.1'.
[17:08:01]	[OOC] Roach Shepherd: I feel like it would be a good idea to add those type of units into CWU.
[17:08:04]	[OOC] Roach Shepherd: Could add more RP.
[17:08:14]	[OOC] Roach Shepherd: Makes CWU fun insteading or waiting for people to actually RP or try get something.
[17:08:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[17:08:18]	[OOC] CCA.C14-JUDGE.i5.22767: true, and have them clean the QZ
[17:08:22]	[OOC] Roach Shepherd: Yeah,.
[17:08:29]	[OOC] CCA.C14-JUDGE.i5.22767: ill suggest it to Q
[17:08:33]	[OOC] Roach Shepherd: Dew it.
[17:08:37]	[OOC] Angela Aleinikova: To CMU too, as supporting medic on qz ;x
[17:08:57]	[OOC] Roach Shepherd: CHU
[17:09:01]	[OOC] Roach Shepherd: Civil Hazmat Unit.
[17:09:07]	[OOC] Whong Pow: no 
[17:09:11]	[OOC] Roach Shepherd: Y e s.
[17:09:34]	[OOC] Whong Pow: Why do you funny people have no OOC delay
[17:09:35]	[OOC] Angela Aleinikova: It will be simple Infestation Control Unit (ICU)
[17:09:38]	[OOC] Titan Muller: Is there a Discord / Teamspeak?
[17:09:42]	[OOC] Whong Pow: s
[17:09:48]	[OOC] CCA.C14-JUDGE.i5.22767: yeah
[17:09:52]	[OOC] Angela Aleinikova: /discord
[17:10:02]	[OOC] Titan Muller: Thanks 
[17:10:07]	Titan Muller used command '/Discord'.
[17:10:10]	Angela Aleinikova opened the '' #1810 container.
[17:10:13]	Angela Aleinikova closed the '' #1810 container.
[17:10:14]	Whong Pow has taken 12 damage from trigger_hurt.
[17:10:15]	Whong Pow has taken 12 damage from trigger_hurt.
[17:10:15]	Whong Pow has taken 12 damage from trigger_hurt.
[17:10:16]	Whong Pow has taken 12 damage from trigger_hurt.
[17:10:16]	Whong Pow has taken 12 damage from trigger_hurt.
[17:10:16]	trigger_hurt has killed Whong Pow.
[17:10:20]	CCA.C14-JUDGE.i5.22767 entered observer.
[17:10:22]	CCA.C14-JUDGE.i5.22767 exited observer at their location.
[17:10:52]	Whong Pow has taken 5 damage from Whong Pow.
[17:10:52]	Whong Pow has gained 10 tokens.
[17:10:56]	[OOC] CCA.C14-JUDGE.i5.22767: whong did you really just jump into the sewage?
[17:11:12]	[OOC] Whong Pow: No I fell like dumb
[17:11:19]	[OOC] CCA.C14-JUDGE.i5.22767: bruh
[17:11:34]	[OOC] Roach Shepherd: Are there tasks for civis to do related to hazmat shit?
[17:11:38]	[OOC] CCA.C14-JUDGE.i5.22767: yeah
[17:11:50]	[OOC] CCA.C14-JUDGE.i5.22767: but it has to be supervised by like an OfC or EpU
[17:12:03]	[OOC] Roach Shepherd: AWWW-
[17:12:05]	Titan Muller ran 'Consume' on item 'UU-Brand Chips' (#29812)
[17:12:06]	Whong Pow used command '/CharFallOver 0.1'.
[17:12:11]	Whong Pow used command '/CharFallOver 0.1'.
[17:12:16]	Whong Pow used command '/CharFallOver 0.1'.
[17:13:16]	[OOC] Angela Aleinikova: roach do the workshift :D
[17:13:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[17:13:18]	Whong Pow used command '/kickdoor'.
[17:13:42]	[OOC] CCA.C14-JUDGE.i5.22767: im sad that i can't really authorize anything cause I could give you guys workshifts n shit
[17:14:00]	[OOC] Roach Shepherd: Workshift for?
[17:14:03]	Whong Pow used command '/ChanRename CCA bananna'.
[17:14:12]	[OOC] CCA.C14-JUDGE.i5.22767: either QZ work, or metal work
[17:14:20]	[OOC] Roach Shepherd: QZ.
[17:14:28]	[OOC] Angela Aleinikova: labour duty, cleaning streets or other heavy lifting stuff
[17:14:34]	Tpar (STEAM_0:0:73952466) has disconnected.
[17:14:38]	[OOC] Roach Shepherd: If Kermit was in Half life 2.
[17:14:52]	[OOC] CCA.C14-JUDGE.i5.22767: Kerm life 2
[17:14:59]	[OOC] Roach Shepherd: pew pew pew
[17:15:00]	[OOC] Angela Aleinikova: someone just didn't wanted to work
[17:15:08]	[OOC] CCA.C14-JUDGE.i5.22767: what would y'all want in terms of passive rp stuff to do?
[17:15:08]	[OOC] Roach Shepherd: JUDGE.
[17:15:17]	[OOC] Roach Shepherd: Random events that  can cause chaos-
[17:15:19]	Whong Pow used command '/CraftRecipe USP'.
[17:15:24]	[OOC] Angela Aleinikova: Sight on every corner
[17:15:39]	[OOC] CCA.C14-JUDGE.i5.22767: random events aren't really passive roach
[17:15:54]	[OOC] Angela Aleinikova: *sigh
[17:15:56]	trident vibes has connected.
[17:16:05]	[OOC] Angela Aleinikova: trident xD
[17:16:06]	CCA.C14-JUDGE.i5.22767 used command '/ToggleRaise'.
[17:16:27]	[OOC] Roach Shepherd: Hmm
[17:16:30]	[OOC] Roach Shepherd: idk then ;-;
[17:16:40]	CCA.C14-JUDGE.i5.22767 used command '/ToggleRaise'.
[17:17:09]	[LOOC] Angela Aleinikova: alright*
[17:17:28]	CCA.C14-JUDGE.i5.22767 used command '/ToggleRaise'.
[17:17:35]	[OOC] Angela Aleinikova: he's runin
[17:17:36]	CCA.C14-JUDGE.i5.22767 used command '/ToggleRaise'.
[17:17:42]	[OOC] Angela Aleinikova: oof
[17:18:00]	[ME] Whong Pow: hold door from otherside
[17:18:03]	trident vibes (STEAM_0:1:78298546) has disconnected.
[17:18:09]	CCA.C14-JUDGE.i5.22767 used command '/kickdoor'.
[17:18:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[17:18:17]	[OOC] Angela Aleinikova: quick let me harvest the organs for transplant on loyalists
[17:18:33]	CCA.C14-JUDGE.i5.22767 ran 'use' on item '9mm Pistol Magazine' (#29725)
[17:18:47]	[ME] Roach Shepherd: would block the way for the CP.
[17:19:22]	Whong Pow has taken 1 damage from CCA.C14-JUDGE.i5.22767.
[17:19:22]	Whong Pow has taken 5 damage from CCA.C14-JUDGE.i5.22767.
[17:19:22]	Whong Pow has taken 5 damage from CCA.C14-JUDGE.i5.22767.
[17:19:23]	CCA.C14-JUDGE.i5.22767 used command '/ToggleRaise'.
[17:19:55]	Whong Pow used command '/CharGetUp'.
[17:19:56]	Whong Pow used command '/CharGetUp'.
[17:19:56]	Whong Pow used command '/CharGetUp'.
[17:19:57]	Whong Pow used command '/CharGetUp'.
[17:20:26]	CCA.C14-JUDGE.i5.22767 used command '/ToggleRaise'.
[17:20:27]	CCA.C14-JUDGE.i5.22767 used command '/ToggleRaise'.
[17:20:40]	CCA.C14-JUDGE.i5.22767 used command '/ToggleRaise'.
[17:20:43]	Whong Pow has taken 1 damage from CCA.C14-JUDGE.i5.22767.
[17:20:44]	Whong Pow has taken 1 damage from CCA.C14-JUDGE.i5.22767.
[17:20:45]	CCA.C14-JUDGE.i5.22767 used command '/ToggleRaise'.
[17:20:55]	[LOOC] Angela Aleinikova: rip his legs
[17:21:23]	Whong Pow used command '/CharGetUp'.
[17:21:31]	SIPS(AC1) (STEAM_0:0:537995060) has disconnected.
[17:21:42]	[OOC] Angela Aleinikova: Nice void rp
[17:21:50]	[OOC] CCA.C14-JUDGE.i5.22767: that's a ban
[17:21:59]	[OOC] Angela Aleinikova: how much?
[17:22:34]	[OOC] CCA.C14-JUDGE.i5.22767: 5 weeks
[17:22:39]	[OOC] Angela Aleinikova: dam
[17:22:49]	[OOC] CCA.C14-JUDGE.i5.22767: LTAP, NITRP, minging, et.
[17:22:52]	[OOC] CCA.C14-JUDGE.i5.22767: LTAP, NITRP, minging, etc.*
[17:23:11]	[OOC] CCA.C14-JUDGE.i5.22767: now i gotta give the cwu boi who helped some lp for being a good bean
[17:23:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[17:23:18]	[OOC] Roach Shepherd: :D
[17:23:37]	[OOC] Roach Shepherd: Before that happened I set up a new sound effect for my soundboard.
[17:23:46]	[OOC] CCA.C14-JUDGE.i5.22767: ooh fun
[17:23:57]	[OOC] Roach Shepherd: It's in the situation I'm about to get destroyed and so my last words will be screaming-
[17:24:01]	[OOC] Angela Aleinikova: it could be a bit less time like 1 week, because 1 month he won't even join again lol
[17:24:10]	trident vibes has connected.
[17:24:35]	[OOC] CCA.C14-JUDGE.i5.22767: well im pretty sure he was banned for around that length of time before as I've never seen him and I've been with the server for a few months now
[17:25:09]	trident vibes (STEAM_0:1:78298546) has disconnected.
[17:25:21]	[LOOC] CCA.C14-JUDGE.i5.22767: guess hes afk
[17:25:26]	[LOOC] Angela Aleinikova: yep
[17:25:58]	[OOC] Roach Shepherd: I'm back.
[17:26:02]	[OOC] CCA.C14-JUDGE.i5.22767: wb
[17:26:06]	[OOC] Roach Shepherd: Thank you.
[17:26:36]	Roach Shepherd used command '/Apply'.
[17:26:37]	CCA.C14-JUDGE.i5.22767 ran 'Read' on item 'Civil Protection Handbook' (#18927)
[17:26:50]	[OOC] Roach Shepherd: How can you track your LPs.
[17:26:54]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData roach'.
[17:27:03]	[OOC] Angela Aleinikova: ask officer for now
[17:27:26]	[OOC] CCA.C14-JUDGE.i5.22767: we have data pads
[17:27:40]	[OOC] CCA.C14-JUDGE.i5.22767: just ask and we tell you how much you have
[17:27:44]	[OOC] Roach Shepherd: Ah okay.
[17:28:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[17:28:35]	[OOC] Roach Shepherd: so 15 LPs and apply to become a CP, right?
[17:28:39]	[OOC] CCA.C14-JUDGE.i5.22767: mhm
[17:29:00]	[OOC] CCA.C14-JUDGE.i5.22767: you are actually able to get an armband
[17:29:25]	[OOC] Roach Shepherd: cp capture citizen part 16502
[17:29:45]	[OOC] Roach Shepherd: part 16503 is gonna be out tomorrow.
[17:30:16]	CCA.C14-JUDGE.i5.22767 used command '/adminspawnmenu'.
[17:31:18]	CCA.C14-JUDGE.i5.22767 has gained a 'Yellow Loyalist Armband' #29816.
[17:31:18]	CCA.C14-JUDGE.i5.22767 used command '/CharGiveItem judge yello'.
[17:31:38]	CCA.C14-JUDGE.i5.22767 ran 'drop' on item 'Yellow Loyalist Armband' (#29816)
[17:31:38]	CCA.C14-JUDGE.i5.22767 has lost a 'Yellow Loyalist Armband' #29816.
[17:31:40]	Roach Shepherd ran 'take' on item 'Yellow Loyalist Armband' (#29816)
[17:31:40]	Roach Shepherd has gained a 'Yellow Loyalist Armband' #29816.
[17:32:13]	[ME] Roach Shepherd: would pick up the yellow tier loyalist arm band, smiling and nodding. "Thank you, Officer, I'm glad I could help."
[17:32:23]	CCA.C14-JUDGE.i5.22767 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#29815)
[17:32:23]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Food Product' #29817.
[17:32:23]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Supplements' #29818.
[17:32:23]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Drink' #29819.
[17:32:23]	CCA.C14-JUDGE.i5.22767 ran 'Eat' on item 'Civil Protection Functionary Grade Food Product' (#29817)
[17:32:24]	CCA.C14-JUDGE.i5.22767 ran 'Consume' on item 'Civil Protection Functionary Grade Supplements' (#29818)
[17:32:25]	CCA.C14-JUDGE.i5.22767 ran 'Consume' on item 'Civil Protection Functionary Grade Drink' (#29819)
[17:33:01]	Roach Shepherd ran 'Equip' on item 'Yellow Loyalist Armband' (#29816)
[17:33:14]	[OOC] Roach Shepherd: 10 more.
[17:33:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[17:33:59]	CCA.C14-JUDGE.i5.22767 entered observer.
[17:35:47]	[OOC] CCA.C14-JUDGE.i5.22767: yup
[17:35:47]	CCA.C14-JUDGE.i5.22767 exited observer at their location.
[17:35:52]	CCA.C14-JUDGE.i5.22767 ran 'Read' on item 'Civil Protection Handbook' (#18927)
[17:36:04]	[OOC] Angela Aleinikova: yep
[17:36:13]	[OOC] Roach Shepherd: y e p.
[17:36:21]	[OOC] CCA.C14-JUDGE.i5.22767: 195 more and you can become the administrator possibly
[17:36:40]	[OOC] Roach Shepherd: Do we even have an admin lol
[17:36:43]	[OOC] CCA.C14-JUDGE.i5.22767: yes
[17:36:59]	[OOC] CCA.C14-JUDGE.i5.22767: he rarely gets on as it's more of an event char
[17:37:05]	[OOC] Roach Shepherd: Ah.
[17:37:17]	[OOC] Roach Shepherd: Also did you talk to Q about the hazmat suggestion?
[17:37:27]	[OOC] CCA.C14-JUDGE.i5.22767: yes, im still waiting on a response however
[17:37:35]	[OOC] Roach Shepherd: It's a pretty good idea.
[17:38:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[17:38:25]	[OOC] CCA.C14-JUDGE.i5.22767: mhm
[17:38:33]	Roach Shepherd used the 'Food Vendor' vendor.
[17:38:36]	Roach Shepherd has lost 10 tokens.
[17:38:36]	Roach Shepherd has gained a 'UU-Brand Cheese' #29817.
[17:38:41]	Roach Shepherd ran 'Consume' on item 'UU-Brand Cheese' (#29817)
[17:39:33]	CCA.C14-JUDGE.i5.22767 entered observer.
[17:41:16]	[OOC] CCA.C14-JUDGE.i5.22767: imma get on my loyalist char
[17:41:20]	CCA.C14-JUDGE.i5.22767 exited observer at their location.
[17:41:22]	CCA.C14-JUDGE.i5.22767 used command '/Radio 10-7'.
[17:41:23]	[OOC] Roach Shepherd: Is he a chad
[17:41:28]	Doughnut loaded the character 'Klaudiusz Olszewski'
[17:41:37]	[OOC] Klaudiusz Olszewski: indeed
[17:41:44]	[OOC] Klaudiusz Olszewski: my judge is more of a chad tho
[17:42:47]	[OOC] Klaudiusz Olszewski: the dude survived on an alien planet, betrayed a massive rebel group, helped to kill one of the most prominent rebels on the server, and knows shit he really shouldn't
[17:43:06]	[OOC] Angela Aleinikova: :D
[17:43:40]	[OOC] Klaudiusz Olszewski: this guy is just a walking contraband bag though, and I got a bunch of lp for it
[17:43:57]	[OOC] Klaudiusz Olszewski: tryna get to red teir or even black
[17:44:13]	[OOC] Angela Aleinikova: noice
[17:44:16]	[OOC] Roach Shepherd: How do the tiers work?
[17:44:27]	[OOC] Roach Shepherd: Yellow >
[17:44:29]	[OOC] Roach Shepherd: To?
[17:44:32]	[OOC] Klaudiusz Olszewski: yellow > green > blue > purple > black > gold
[17:44:38]	[OOC] Klaudiusz Olszewski: i missed red
[17:44:42]	[OOC] Roach Shepherd: Is blue where you can be a CP?
[17:44:42]	[OOC] Klaudiusz Olszewski: red is after purple
[17:44:51]	[OOC] Klaudiusz Olszewski: i believe so
[17:44:57]	[OOC] Klaudiusz Olszewski: lemme check rq
[17:45:42]	[OOC] Klaudiusz Olszewski: green is
[17:45:51]	[OOC] Roach Shepherd: Ah.
[17:46:07]	Klaudiusz Olszewski entered observer.
[17:47:21]	[OOC] Klaudiusz Olszewski: at this point my loyalist has done so much he could be amputated on the spot, but no ones knows what he's done so far
[17:47:36]	[OOC] Klaudiusz Olszewski: so that's something
[17:47:40]	[OOC] Angela Aleinikova: *smugface*
[17:48:18]	Klaudiusz Olszewski opened the '' #1902 container.
[17:48:19]	Klaudiusz Olszewski closed the '' #1902 container.
[17:48:41]	Klaudiusz Olszewski exited observer at their location.
[17:48:48]	Klaudiusz Olszewski ran 'Consume' on item 'Flavored Breen's Water' (#28688)
[17:49:09]	Klaudiusz Olszewski has taken 5 damage from Klaudiusz Olszewski.
[17:49:09]	Klaudiusz Olszewski has gained 10 tokens.
[17:50:49]	Klaudiusz Olszewski has lost 10 tokens.
[17:50:51]	Klaudiusz Olszewski ran 'take' on item 'Sparkling Breen's Water' (#29817)
[17:50:51]	Klaudiusz Olszewski has gained a 'Sparkling Breen's Water' #29817.
[17:50:54]	Klaudiusz Olszewski ran 'Consume' on item 'Sparkling Breen's Water' (#29714)
[17:50:55]	Klaudiusz Olszewski ran 'Consume' on item 'Sparkling Breen's Water' (#29817)
[17:50:59]	Klaudiusz Olszewski ran 'Consume' on item 'UU-Brand Bran Flakes' (#28690)
[17:51:05]	Klaudiusz Olszewski ran 'Consume' on item 'UU-Brand Bran Flakes' (#28597)
[17:51:11]	Klaudiusz Olszewski has lost 7 tokens.
[17:51:14]	Klaudiusz Olszewski ran 'take' on item 'Flavored Breen's Water' (#29817)
[17:51:14]	Klaudiusz Olszewski has gained a 'Flavored Breen's Water' #29817.
[17:51:16]	Klaudiusz Olszewski has lost 7 tokens.
[17:51:18]	Klaudiusz Olszewski ran 'take' on item 'Flavored Breen's Water' (#29818)
[17:51:18]	Klaudiusz Olszewski has gained a 'Flavored Breen's Water' #29818.
[17:51:43]	[ME] Klaudiusz Olszewski: skims through the list
[17:51:47]	Klaudiusz Olszewski ran 'View' on item 'Notepad' (#18954)
[17:51:57]	Klaudiusz Olszewski ran 'View' on item 'Notepad' (#18952)
[17:52:01]	Klaudiusz Olszewski ran 'View' on item 'Notepad' (#18954)
[17:52:08]	[LOOC] Roach Shepherd: If you ask for fingerless gloves, I swear to god-
[17:52:11]	[LOOC] Roach Shepherd: *normal gloves
[17:52:17]	[LOOC] Roach Shepherd: WE HAVE NONE!
[17:52:19]	[LOOC] Klaudiusz Olszewski: hmmmmm
[17:52:22]	[LOOC] Roach Shepherd: Only fingerless
[17:52:25]	[LOOC] Klaudiusz Olszewski: gloves you say
[17:52:36]	Klaudiusz Olszewski ran 'View' on item 'Notepad' (#18954)
[17:52:50]	Roach Shepherd ran 'View' on item 'Notepad' (#18954)
[17:52:53]	Roach Shepherd used the 'Storage' vendor.
[17:53:01]	Roach Shepherd has gained 0 tokens.
[17:53:01]	Roach Shepherd has gained a 'UU Brand Cigarette Pack' #29819.
[17:53:14]	Roach Shepherd used the 'Storage' vendor.
[17:53:21]	Roach Shepherd has gained 0 tokens.
[17:53:21]	Roach Shepherd has gained a 'Request Device' #29820.
[17:53:38]	Klaudiusz Olszewski has lost 35 tokens.
[17:53:38]	Klaudiusz Olszewski used command '/DropTokens 35'.
[17:53:40]	Roach Shepherd has gained 35 tokens.
[17:53:42]	Roach Shepherd ran 'drop' on item 'Request Device' (#29820)
[17:53:42]	Roach Shepherd has lost a 'Request Device' #29820.
[17:53:43]	Klaudiusz Olszewski ran 'take' on item 'Request Device' (#29820)
[17:53:43]	Klaudiusz Olszewski has gained a 'Request Device' #29820.
[17:53:44]	Roach Shepherd ran 'drop' on item 'UU Brand Cigarette Pack' (#29819)
[17:53:44]	Roach Shepherd has lost a 'UU Brand Cigarette Pack' #29819.
[17:53:46]	Klaudiusz Olszewski ran 'take' on item 'UU Brand Cigarette Pack' (#29819)
[17:53:46]	Klaudiusz Olszewski has gained a 'UU Brand Cigarette Pack' #29819.
[17:54:23]	Klaudiusz Olszewski ran 'Take' on item 'UU Brand Cigarette Pack' (#29819)
[17:54:23]	Klaudiusz Olszewski has gained a 'UU Brand Cigarette' #29821.
[17:54:25]	Klaudiusz Olszewski ran 'Smoke' on item 'UU Brand Cigarette' (#29821)
[17:54:56]	[OOC] Klaudiusz Olszewski: idk what to do with the pre war money i have
[17:55:51]	Klaudiusz Olszewski opened the '' #1896 container.
[17:55:53]	Klaudiusz Olszewski closed the '' #1896 container.
[17:55:54]	Klaudiusz Olszewski opened the '' #1897 container.
[17:55:56]	Klaudiusz Olszewski closed the '' #1897 container.
[17:56:58]	[OOC] Roach Shepherd: How much do you have lol
[17:56:58]	Klaudiusz Olszewski entered observer.
[17:57:00]	Klaudiusz Olszewski exited observer at their location.
[17:57:08]	[OOC] Klaudiusz Olszewski: two bundles
[17:57:15]	[OOC] Roach Shepherd: Jesus.
[17:57:17]	[OOC] Klaudiusz Olszewski: it doesn't say how much it actually is
[17:57:42]	[OOC] Roach Shepherd: Also mind if I explore the sewer since I got NOTHING to do?
[17:57:53]	[OOC] Klaudiusz Olszewski: go ahead, i was gonna do it myself aswell
[17:58:13]	[OOC] Angela Aleinikova: i join :D
[17:58:17]	[OOC] Klaudiusz Olszewski: bet
[17:58:24]	Roach Shepherd has lost 10 tokens.
[17:58:31]	Roach Shepherd ran 'Consume' on item 'Sparkling Breen's Water' (#29821)
[17:58:35]	Roach Shepherd has lost 10 tokens.
[17:58:39]	Roach Shepherd ran 'Consume' on item 'Sparkling Breen's Water' (#29822)
[17:58:54]	[OOC] Roach Shepherd: Does the sewers have any hostiles?
[17:59:10]	[OOC] Angela Aleinikova: depends on entrance
[17:59:23]	[OOC] Klaudiusz Olszewski: the little sewer grate
[17:59:28]	[LOOC] Klaudiusz Olszewski: time for an adventure
[17:59:30]	[LOOC] Roach Shepherd: The three nunces going into the sewer gate be like.
[18:00:19]	Klaudiusz Olszewski has taken 10 damage from monster_hound_eye.
[18:00:19]	Roach Shepherd has taken 12 damage from monster_hound_eye.
[18:00:23]	Roach Shepherd has taken 15 damage from monster_hound_eye.
[18:00:23]	Angela Aleinikova has taken 9 damage from monster_hound_eye.
[18:00:28]	[OOC] Roach Shepherd: WHY HONEYEYES.
[18:00:31]	Angela Aleinikova has taken 4 damage from monster_hound_eye.
[18:00:43]	Angela Aleinikova has taken 12 damage from monster_hound_eye.
[18:00:47]	Angela Aleinikova has taken 12 damage from monster_hound_eye.
[18:00:50]	Angela Aleinikova has taken 11 damage from monster_hound_eye.
[18:00:58]	[LOOC] Roach Shepherd: HAHAHA
[18:01:00]	[LOOC] Roach Shepherd: HA HA HA .A
[18:01:00]	Angela Aleinikova has taken 10 damage from monster_hound_eye.
[18:01:03]	Angela Aleinikova has taken 15 damage from monster_hound_eye.
[18:01:04]	Angela Aleinikova has taken 15 damage from monster_hound_eye.
[18:01:05]	Klaudiusz Olszewski used command '/ToggleRaise'.
[18:01:06]	[LOOC] Roach Shepherd: THE HEADCRAB JUST COMITTED SUICIDE.
[18:01:06]	Angela Aleinikova has taken 15 damage from monster_hound_eye.
[18:01:06]	monster_hound_eye has killed Angela Aleinikova.
[18:01:12]	[LOOC] Roach Shepherd: ALso can I punch it?
[18:01:14]	[OOC] Angela Aleinikova: xD
[18:01:18]	[LOOC] Roach Shepherd: I wish to get my first murder.
[18:01:25]	[OOC] Roach Shepherd: We're bullying headcrabs.
[18:01:29]	[OOC] Klaudiusz Olszewski: ye
[18:01:42]	[OOC] Angela Aleinikova: ill come from other direction then
[18:01:47]	Klaudiusz Olszewski used command '/ToggleRaise'.
[18:01:50]	Roach Shepherd opened the '' #2231 container.
[18:01:50]	Roach Shepherd closed the '' #2231 container.
[18:01:52]	Roach Shepherd opened the '' #2231 container.
[18:01:55]	Roach Shepherd closed the '' #2231 container.
[18:02:06]	[OOC] Klaudiusz Olszewski: i gtg for a bit
[18:02:08]	Klaudiusz Olszewski entered observer.
[18:02:17]	[OOC] Roach Shepherd: Ah okay.
[18:02:18]	Angela Aleinikova has taken 3 damage from npc_fastzombie_torso.
[18:02:19]	Angela Aleinikova has taken 3 damage from npc_fastzombie_torso.
[18:02:22]	[OOC] Roach Shepherd: When will you be bacl
[18:02:32]	Roach Shepherd has taken 3 damage from npc_fastzombie_torso.
[18:02:33]	Roach Shepherd has taken 3 damage from npc_fastzombie_torso.
[18:02:34]	Roach Shepherd has taken 3 damage from npc_fastzombie_torso.
[18:02:34]	[OOC] Klaudiusz Olszewski: i might leave to play some mc with a friend tho, so imma leave
[18:02:35]	Roach Shepherd has taken 3 damage from npc_fastzombie_torso.
[18:02:35]	Roach Shepherd has taken 3 damage from npc_fastzombie_torso.
[18:02:36]	Roach Shepherd has taken 3 damage from npc_fastzombie_torso.
[18:02:37]	Roach Shepherd has taken 3 damage from npc_fastzombie_torso.
[18:02:37]	Roach Shepherd has taken 3 damage from npc_fastzombie_torso.
[18:02:44]	[OOC] Klaudiusz Olszewski: there should be stuff to find in the sewers still tho
[18:02:51]	Doughnut (STEAM_0:1:127409364) has disconnected.
[18:02:52]	[OOC] Roach Shepherd: Like hostiles or otehr things
[18:03:24]	Roach Shepherd opened the 'Reinforced Locked File Cabinet' #2242 container.
[18:03:25]	Roach Shepherd closed the 'Reinforced Locked File Cabinet' #2242 container.
[18:03:26]	Roach Shepherd opened the 'Reinforced Locked File Cabinet' #2242 container.
[18:03:26]	Roach Shepherd closed the 'Reinforced Locked File Cabinet' #2242 container.
[18:03:28]	Roach Shepherd opened the 'Reinforced Locked File Cabinet' #2242 container.
[18:03:29]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:29]	Angela Aleinikova has taken 3 damage from npc_fastzombie.
[18:03:30]	Roach Shepherd closed the 'Reinforced Locked File Cabinet' #2242 container.
