[00:00:03]	[LOOC] Amahle Osthuizen: SAME
[21:10:11]	CCA.C08-UNION.i3.98240 [X] ran 'Use' on item 'Zip Tie' (#16901)
[21:10:18]	CCA.C08-UNION.i3.98240 [X] used command '/CharSearch'.
[21:10:40]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[21:10:52]	CCA.C08-JUDGE.i1.91412 ran 'drop' on item 'Combine Worker Outfit' (#9837)
[21:10:52]	CCA.C08-JUDGE.i1.91412 has lost a 'Combine Worker Outfit' #9837.
[21:11:16]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[21:11:17]	Sakura Yamato ran 'take' on item 'Combine Worker Outfit' (#9837)
[21:11:17]	Sakura Yamato has gained a 'Combine Worker Outfit' #9837.
[21:11:20]	CCA.C08-UNION.i3.98240 [X] ran 'drop' on item 'Combine Worker Outfit' (#13614)
[21:11:20]	CCA.C08-UNION.i3.98240 [X] has lost a 'Combine Worker Outfit' #13614.
[21:11:23]	CCA.C08-UNION.i3.98240 [X] ran 'drop' on item 'Combine Worker Outfit' (#11821)
[21:11:23]	CCA.C08-UNION.i3.98240 [X] has lost a 'Combine Worker Outfit' #11821.
[21:11:26]	Gregory Smith ran 'take' on item 'Combine Worker Outfit' (#11821)
[21:11:26]	Gregory Smith has gained a 'Combine Worker Outfit' #11821.
[21:11:27]	Sakura Yamato ran 'Equip' on item 'Combine Worker Outfit' (#9837)
[21:11:30]	James Jacob ran 'take' on item 'Combine Worker Outfit' (#13614)
[21:11:30]	James Jacob has gained a 'Combine Worker Outfit' #13614.
[21:11:32]	Gregory Smith ran 'Equip' on item 'Combine Worker Outfit' (#11821)
[21:11:35]	James Jacob ran 'Equip' on item 'Combine Worker Outfit' (#13614)
[21:11:37]	Sakura Yamato has taken 5 damage from CCA.C08-JUDGE.i1.91412.
[21:11:38]	Sakura Yamato has taken 5 damage from CCA.C08-JUDGE.i1.91412.
[21:11:43]	James Jacob has taken 5 damage from CCA.C08-JUDGE.i1.91412.
[21:11:44]	Gregory Smith has taken 5 damage from CCA.C08-JUDGE.i1.91412.
[21:11:46]	CCA.C08-JUDGE.i1.91412 used command '/ToggleRaise'.
[21:12:03]	James Jacob ran 'EquipUn' on item 'Combine Worker Outfit' (#13614)
[21:12:12]	James Jacob ran 'Equip' on item 'Combine Worker Outfit' (#13614)
[21:12:36]	CCA.C08-JUDGE.i1.91412 used command '/CharDesc'.
[21:13:09]	[LOOC] Gregory Smith: amazing
[21:13:22]	[Y] CCA.C08-JUDGE.i1.91412: <:: Are the wrappers for the rations. ::>
[21:13:29]	[Y] CCA.C08-JUDGE.i1.91412: <:: In here, are the contents. ::>
[21:13:34]	[OOC] Gregory Smith: what does Wrappet means?
[21:13:47]	[Y] CCA.C08-JUDGE.i1.91412: <:: In this crate, is the labels. ::>
[21:14:27]	[LOOC] CCA.C08-JUDGE.i1.91412: it's all RP based btw
[21:14:37]	Gregory Smith opened the 'Crate' #1540 container.
[21:14:40]	Gregory Smith closed the 'Crate' #1540 container.
[21:14:44]	[ME] James Jacob: grabs a wrapper
[21:14:51]	[ME] Gregory Smith: grabs a wapper
[21:14:53]	[LOOC] Sakura Yamato: Audio all cucked one sec
[21:14:59]	[ME] James Jacob: grabs some of the contents
[21:15:00]	[ME] Gregory Smith: puts the content in the wrapper
[21:15:12]	[ME] Gregory Smith: puts the label in the wrapper
[21:15:30]	[ME] Gregory Smith: grabs a wapper
[21:15:30]	HorridEnforcer (STEAM_0:0:78553135) has disconnected (timed out).
[21:15:36]	[ME] Gregory Smith: puts the content in the wrapper
[21:15:40]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[21:15:53]	[ME] Gregory Smith: puts the label in the wrapper
[21:16:12]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:16:16]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[21:16:19]	[ME] Gregory Smith: grabs a wapper
[21:16:26]	[ME] Gregory Smith: puts the content in the wrapper
[21:16:36]	[ME] James Jacob: Sets the ration down on the table
[21:16:36]	[ME] Gregory Smith: puts the label on the wrapper
[21:16:40]	[ME] James Jacob: grabs a wrapper
[21:16:44]	[ME] James Jacob: grabs some of the contents
[21:16:50]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:16:55]	[ME] Gregory Smith: puts 3 rations on the table
[21:16:57]	[ME] James Jacob: Sets the ration down on the table
[21:17:03]	[ME] Gregory Smith: grabs a wapper
[21:17:06]	[ME] James Jacob: grabs a wrapper
[21:17:08]	[ME] Gregory Smith: puts the content in the wrapper
[21:17:10]	[ME] James Jacob: grabs some of the contents
[21:17:14]	[ME] Gregory Smith: puts the label on the wrapper
[21:17:15]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:17:22]	[ME] James Jacob: Sets the ration down on the table
[21:17:24]	[ME] Gregory Smith: puts the ration on the table
[21:17:27]	[ME] James Jacob: grabs a wrapper
[21:17:33]	[ME] James Jacob: grabs some of the contents
[21:17:34]	[ME] Gregory Smith: grabs a wapper
[21:17:37]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:17:40]	[ME] Gregory Smith: puts the content in the wrapper
[21:17:46]	[ME] James Jacob: Sets the ration down on the table
[21:17:50]	[ME] Gregory Smith: puts the label on the wrapper
[21:17:51]	[ME] James Jacob: grabs a wrapper
[21:17:54]	CCA.C08-UNION.i3.98240 [X] ran 'drop' on item 'Combine Hazmat Worker Outfit' (#12810)
[21:17:54]	CCA.C08-UNION.i3.98240 [X] has lost a 'Combine Hazmat Worker Outfit' #12810.
[21:17:55]	[ME] James Jacob: grabs some of the contents
[21:17:59]	[ME] Gregory Smith: puts the ration on the table
[21:17:59]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:18:04]	CCA.C08-UNION.i3.98240 [X] ran 'drop' on item 'Combine Worker Outfit' (#11818)
[21:18:04]	CCA.C08-UNION.i3.98240 [X] has lost a 'Combine Worker Outfit' #11818.
[21:18:04]	[OOC] Matthew Woodson: im back
[21:18:05]	CCA.C08-UNION.i3.98240 [X] ran 'drop' on item 'Combine Worker Outfit' (#11820)
[21:18:05]	CCA.C08-UNION.i3.98240 [X] has lost a 'Combine Worker Outfit' #11820.
[21:18:08]	[ME] James Jacob: Sets the ration down on the table
[21:18:08]	[ME] Gregory Smith: grabs a wapper
[21:18:11]	Dr. Walter Bennett loaded the character 'Walter H. Bennett'
[21:18:13]	[ME] Gregory Smith: puts the content in the wrapper
[21:18:19]	CCA.C08-JUDGE.i1.91412 entered observer.
[21:18:20]	CCA.C08-JUDGE.i1.91412 exited observer at their location.
[21:18:21]	[ME] Gregory Smith: puts the label on the wrapper
[21:18:22]	[OOC] James Jacob: Brb getting a drink
[21:18:36]	[ME] Gregory Smith: puts the ration on the table
[21:18:36]	Walter H. Bennett ran 'take' on item 'Combine Worker Outfit' (#11818)
[21:18:36]	Walter H. Bennett has gained a 'Combine Worker Outfit' #11818.
[21:18:38]	Walter H. Bennett ran 'Equip' on item 'Combine Worker Outfit' (#11818)
[21:18:46]	[ME] Gregory Smith: grabs a wapper
[21:18:52]	[ME] Gregory Smith: puts the content in the wrapper
[21:18:59]	Walter H. Bennett opened the '' #1025 container.
[21:18:59]	Walter H. Bennett closed the '' #1025 container.
[21:18:59]	[OOC] James Jacob: Bacj
[21:19:00]	Walter H. Bennett opened the '' #1025 container.
[21:19:01]	[ME] Gregory Smith: puts the label on the wrapper
[21:19:03]	[OOC] James Jacob: Back*
[21:19:03]	[OOC] CCA.C08-UNION.i3.98240 [X]: Wb
[21:19:03]	Walter H. Bennett closed the '' #1025 container.
[21:19:05]	Walter H. Bennett opened the '' #1223 container.
[21:19:07]	Walter H. Bennett closed the '' #1223 container.
[21:19:08]	Walter H. Bennett opened the '' #1023 container.
[21:19:11]	[OOC] Gregory Smith: how was that drink?
[21:19:11]	Walter H. Bennett closed the '' #1023 container.
[21:19:12]	[ME] James Jacob: grabs a wrapper
[21:19:21]	[ME] Gregory Smith: puts the ration on the table
[21:19:24]	[ME] James Jacob: grabs some of the contents
[21:19:31]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:19:32]	[ME] Gregory Smith: grabs a wapper
[21:19:38]	CCA.C08-UNION.i3.98240 [X] used the 'Armory Operator' vendor.
[21:19:41]	CCA.C08-UNION.i3.98240 [X] has gained 0 tokens.
[21:19:41]	CCA.C08-UNION.i3.98240 [X] has gained a 'Zip Tie' #17694.
[21:19:41]	CCA.C08-UNION.i3.98240 [X] has gained 0 tokens.
[21:19:41]	CCA.C08-UNION.i3.98240 [X] has gained a 'Zip Tie' #17695.
[21:19:42]	CCA.C08-UNION.i3.98240 [X] has gained 0 tokens.
[21:19:42]	CCA.C08-UNION.i3.98240 [X] has gained a 'Zip Tie' #17696.
[21:19:42]	CCA.C08-UNION.i3.98240 [X] has gained 0 tokens.
[21:19:42]	CCA.C08-UNION.i3.98240 [X] has gained a 'Zip Tie' #17697.
[21:19:43]	[ME] Gregory Smith: puts the content in the wrapper
[21:19:45]	[ME] James Jacob: Sets the ration down on the table
[21:19:46]	[ME] Walter H. Bennett: Takes contents
[21:19:46]	CCA.C08-UNION.i3.98240 [X] used the 'Armory Operator' vendor.
[21:19:48]	CCA.C08-UNION.i3.98240 [X] has gained 0 tokens.
[21:19:48]	CCA.C08-UNION.i3.98240 [X] has gained a 'Zip Tie' #17698.
[21:19:48]	CCA.C08-UNION.i3.98240 [X] has gained 0 tokens.
[21:19:48]	CCA.C08-UNION.i3.98240 [X] has gained a 'Zip Tie' #17699.
[21:19:53]	[ME] James Jacob: grabs a wrapper
[21:19:53]	[ME] Walter H. Bennett: puts in wrapper
[21:19:54]	[ME] Gregory Smith: puts the label on the wrapper
[21:19:58]	[ME] James Jacob: grabs some of the contents
[21:20:01]	[ME] Walter H. Bennett: places ration
[21:20:03]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:20:04]	[ME] Gregory Smith: puts the ration on the table
[21:20:06]	CCA.C08-UNION.i3.98240 [X] ran 'Apply' on item 'Health Kit' (#17643)
[21:20:07]	[ME] Walter H. Bennett: gets contents
[21:20:13]	[ME] Walter H. Bennett: puts in wrapper
[21:20:15]	[ME] James Jacob: Sets the ration down on the table
[21:20:16]	[ME] Gregory Smith: grabs a wapper
[21:20:20]	[ME] Walter H. Bennett: sets on table
[21:20:23]	[ME] Gregory Smith: puts the content in the wrapper
[21:20:23]	[ME] James Jacob: grabs a wrapper
[21:20:25]	[ME] Walter H. Bennett: grabs contents
[21:20:27]	[ME] Gregory Smith: puts the label on the wrapper
[21:20:27]	[ME] James Jacob: grabs some of the contents
[21:20:29]	[ME] Walter H. Bennett: puts in wrapper
[21:20:32]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:20:33]	[ME] Walter H. Bennett: puts on table
[21:20:36]	[ME] Gregory Smith: puts the ration on the table
[21:20:38]	[ME] Walter H. Bennett: gets contents
[21:20:40]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[21:20:42]	[ME] Walter H. Bennett: puts in wrapper
[21:20:42]	[ME] James Jacob: Sets the ration down on the table
[21:20:45]	[OOC] Gregory Smith: i'm not waiting dirty money from this
[21:20:47]	[ME] Walter H. Bennett: places on table
[21:20:52]	[ME] Walter H. Bennett: grabs contents
[21:20:52]	[OOC] Gregory Smith: only the glorious points!!
[21:20:56]	[ME] Walter H. Bennett: puts on table
[21:21:03]	[ME] Gregory Smith: grabs a wapper
[21:21:04]	[ME] Walter H. Bennett: puts in wrapper
[21:21:08]	[ME] Walter H. Bennett: puts on tabble
[21:21:10]	[ME] Gregory Smith: puts the content in the wrapper
[21:21:12]	[ME] James Jacob: grabs a wrapper
[21:21:12]	[ME] Walter H. Bennett: grabs contents
[21:21:16]	[ME] James Jacob: grabs some of the contents
[21:21:16]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[21:21:18]	[ME] Walter H. Bennett: puts in wrapper
[21:21:20]	[ME] Gregory Smith: puts the label on the wrapper
[21:21:22]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:21:26]	[ME] James Jacob: Sets the ration down on the table
[21:21:26]	[ME] Walter H. Bennett: puts on table
[21:21:30]	[ME] Gregory Smith: puts the ration on the table
[21:21:34]	[ME] Walter H. Bennett: gets contents
[21:21:35]	[ME] Gregory Smith: grabs a wapper
[21:21:40]	[ME] Walter H. Bennett: puts in wrapper
[21:21:41]	[ME] Gregory Smith: puts the content in the wrapper
[21:21:44]	[ME] Walter H. Bennett: puts on table
[21:21:46]	[ME] James Jacob: grabs a wrapper
[21:21:48]	[ME] Walter H. Bennett: grabs contents
[21:21:48]	[ME] Gregory Smith: puts the label on the wrapper
[21:21:50]	[ME] James Jacob: grabs some of the contents
[21:21:53]	[ME] Walter H. Bennett: puts in wrapper
[21:21:56]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:21:58]	[ME] Gregory Smith: puts the ration on the table
[21:21:58]	[ME] Walter H. Bennett: puts on table
[21:22:00]	[ME] James Jacob: Sets the ration down on the table
[21:22:06]	CCA.C08-JUDGE.i1.91412 used command '/adminspawnmenu'.
[21:22:23]	[ME] James Jacob: grabs a wrapper
[21:22:26]	[OOC] Gregory Smith: "my hand hurts" what were you doing, dirty?
[21:22:32]	[ME] James Jacob: grabs some of the contents
[21:22:36]	[ME] Walter H. Bennett: grabs content
[21:22:37]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:22:39]	[ME] Gregory Smith: grabs a wapper
[21:22:41]	[ME] Walter H. Bennett: puts in wrappre
[21:22:43]	[ME] James Jacob: Sets the ration down on the table
[21:22:44]	Gregory Smith opened the '' #1025 container.
[21:22:45]	[ME] Walter H. Bennett: places on table
[21:22:48]	Gregory Smith closed the '' #1025 container.
[21:22:50]	[ME] Walter H. Bennett: grabs content
[21:22:53]	[ME] Gregory Smith: puts the content in the wrapper
[21:22:56]	[ME] Walter H. Bennett: puts in wrapper
[21:22:58]	[ME] Walter H. Bennett: puts on table
[21:23:01]	[ME] Walter H. Bennett: grabs contents
[21:23:03]	[ME] Gregory Smith: puts the label on the wrapper
[21:23:06]	[ME] Walter H. Bennett: puts in wrapper
[21:23:08]	[ME] Walter H. Bennett: puts on table
[21:23:09]	[ME] James Jacob: grabs a wrapper
[21:23:11]	[ME] Walter H. Bennett: grabs contents
[21:23:13]	[ME] James Jacob: grabs some of the contents
[21:23:13]	[ME] Gregory Smith: puts the ration on the table
[21:23:16]	[ME] Walter H. Bennett: me puts in wrapper
[21:23:19]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:23:19]	CCA.C08-JUDGE.i1.91412 used command '/adminspawnmenu'.
[21:23:19]	[ME] Walter H. Bennett: puts on table
[21:23:20]	[ME] Gregory Smith: grabs a wapper
[21:23:23]	[ME] James Jacob: Sets the ration down on the table
[21:23:24]	[ME] Walter H. Bennett: grabs contents
[21:23:26]	[ME] Gregory Smith: puts the content in the wrapper
[21:23:29]	[ME] Walter H. Bennett: puts in wrapper
[21:23:31]	[ME] James Jacob: grabs a wrapper
[21:23:32]	[ME] Gregory Smith: puts the label on the wrapper
[21:23:32]	[OOC] CCA.C08-UNION.i3.98240 [X]: Imagine being a i3 oh wait....
[21:23:35]	[ME] James Jacob: grabs some of the contents
[21:23:35]	[ME] Walter H. Bennett: puts on table
[21:23:40]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:23:43]	[OOC] Gregory Smith: lol hahaah
[21:23:48]	[ME] Walter H. Bennett: grabs contents
[21:23:49]	[ME] James Jacob: Sets the ration down on the table
[21:23:50]	[OOC] Gregory Smith: imagine existing
[21:23:52]	[ME] Walter H. Bennett: puts in wrapper
[21:23:54]	James Jacob entered observer.
[21:23:54]	James Jacob exited observer at their location.
[21:23:55]	[ME] Walter H. Bennett: puts on table
[21:23:57]	[ME] Gregory Smith: puts the ration on the table
[21:23:59]	[ME] James Jacob: grabs a wrapper
[21:24:02]	[OOC] CCA.C08-UNION.i3.98240 [X]: Imagine having a cool name like 98240 HAHAHHAH
[21:24:02]	[ME] James Jacob: grabs some of the contents
[21:24:06]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:24:09]	[ME] James Jacob: Sets the ration down on the table
[21:24:18]	[ME] James Jacob: grabs a wrapper
[21:24:22]	[ME] James Jacob: grabs some of the contents
[21:24:23]	[OOC] Gregory Smith: Imagine being an i3 LOL STUPID HAHAH XD LMAO
[21:24:29]	[OOC] CCA.C08-UNION.i3.98240 [X]: No u
[21:24:32]	[ME] Gregory Smith: grabs a wapper
[21:24:43]	[ME] James Jacob: Puts the contents into the bag, and slaps a label on it
[21:24:51]	[ME] Gregory Smith: puts the content in the wrapper
[21:25:14]	[ME] Gregory Smith: puts the label on the wrapper
[21:25:24]	[ME] James Jacob: Sets the ration down on the table
[21:25:25]	[ME] Walter H. Bennett: gets contents
[21:25:26]	[LOOC] CCA.C08-UNION.i3.98240 [X]: No u
[21:25:28]	James Jacob entered observer.
[21:25:28]	James Jacob exited observer at their location.
[21:25:29]	[ME] Walter H. Bennett: puts in wrapper
[21:25:29]	[ME] Gregory Smith: puts the ration on the table
[21:25:38]	[ME] Gregory Smith: grabs a wapper
[21:25:39]	Logan has connected.
[21:25:40]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[21:25:46]	[ME] Gregory Smith: puts the content in the wrapper
[21:25:52]	[ME] Gregory Smith: puts the label on the wrapper
[21:26:01]	Walter H. Bennett ran 'EquipUn' on item 'Combine Worker Outfit' (#11818)
[21:26:02]	James Jacob entered observer.
[21:26:03]	Walter H. Bennett ran 'drop' on item 'Combine Worker Outfit' (#11818)
[21:26:03]	Walter H. Bennett has lost a 'Combine Worker Outfit' #11818.
[21:26:03]	James Jacob exited observer at their location.
[21:26:12]	Gregory Smith ran 'EquipUn' on item 'Combine Worker Outfit' (#11821)
[21:26:14]	Gregory Smith ran 'drop' on item 'Combine Worker Outfit' (#11821)
[21:26:14]	Gregory Smith has lost a 'Combine Worker Outfit' #11821.
[21:26:16]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[21:26:24]	[LOOC] Gregory Smith: LPs?
[21:26:30]	[LOOC] Gregory Smith: i don't want dirty money
[21:26:36]	[LOOC] Gregory Smith: oh
[21:26:42]	James Jacob ran 'drop' on item 'Combine Worker Outfit' (#13614)
[21:26:42]	James Jacob has lost a 'Combine Worker Outfit' #13614.
[21:26:45]	Logan created the character 'Logan Gerald'
[21:26:45]	Logan Gerald has gained a 'Suitcase' #17700.
[21:26:45]	Logan Gerald has gained a 'Relocation Coupon' #17701.
[21:26:45]	Logan loaded the character 'Logan Gerald'
[21:26:46]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Unless you want too be a CP
[21:27:22]	[OOC] Gregory Smith: how do i get a loyalist armband? LPs?
[21:27:32]	[OOC] Walter H. Bennett: you steal one
[21:27:35]	[Y] James Jacob: I AM BEING SHOVED!
[21:28:11]	[OOC] Gregory Smith: Do you want a malcompliance veredict?
[21:28:21]	[OOC] Walter H. Bennett: thats actually called a bullet
[21:28:26]	[OOC] CCA.C08-UNION.i3.98240 [X]: No u
[21:28:37]	CCA.C08-JUDGE.i1.91412 has lost 25 tokens.
[21:28:37]	CCA.C08-JUDGE.i1.91412 used command '/DropTokens 25'.
[21:28:40]	[LOOC] Gregory Smith: nooo
[21:28:45]	Gregory Smith has gained 25 tokens.
[21:28:50]	CCA.C08-JUDGE.i1.91412 has lost 25 tokens.
[21:28:50]	CCA.C08-JUDGE.i1.91412 used command '/DropTokens 25'.
[21:28:51]	James Jacob has gained 25 tokens.
[21:28:54]	[OOC] Gregory Smith: 25 tokens? this is a steal
[21:28:57]	[ME] James Jacob: slautes
[21:28:59]	CCA.C08-JUDGE.i1.91412 has lost 25 tokens.
[21:28:59]	CCA.C08-JUDGE.i1.91412 used command '/DropTokens 25'.
[21:29:02]	Walter H. Bennett has gained 25 tokens.
[21:29:09]	Logan (STEAM_0:0:214961021) has disconnected.
[21:29:09]	[OOC] Gregory Smith: but i wil not say it because i want LPs
[21:29:20]	[LOOC] CCA.C08-UNION.i3.98240 [X]: brb
[21:29:23]	CCA.C08-JUDGE.i1.91412 ran 'take' on item 'Combine Worker Outfit' (#13614)
[21:29:23]	CCA.C08-JUDGE.i1.91412 has gained a 'Combine Worker Outfit' #13614.
[21:29:33]	CCA.C08-JUDGE.i1.91412 entered observer.
[21:29:36]	James Jacob entered observer.
[21:29:37]	James Jacob exited observer at their location.
[21:29:37]	James Jacob entered observer.
[21:29:45]	James Jacob ran 'take' on item 'Relocation Coupon' (#17502)
[21:29:45]	James Jacob has gained a 'Relocation Coupon' #17502.
[21:29:51]	[OOC] Gregory Smith: who lives in the 3B?
[21:29:55]	James Jacob exited observer at their location.
[21:29:58]	CCA.C08-JUDGE.i1.91412 ran 'drop' on item 'Combine Worker Outfit' (#13614)
[21:29:58]	CCA.C08-JUDGE.i1.91412 has lost a 'Combine Worker Outfit' #13614.
[21:30:00]	[OOC] Walter H. Bennett: like 4 people idk
[21:30:04]	[OOC] Gregory Smith: lol
[21:30:04]	James Jacob entered observer.
[21:30:09]	[OOC] Gregory Smith: xdxd lmao
[21:30:16]	James Jacob exited observer at their location.
[21:30:27]	[ME] Walter H. Bennett: washes hands
[21:30:31]	CCA.C08-JUDGE.i1.91412 exited observer at their location.
[21:30:32]	Walter H. Bennett opened the '' #1243 container.
[21:30:33]	James Jacob entered observer.
[21:30:34]	Walter H. Bennett closed the '' #1243 container.
[21:30:40]	James Jacob exited observer at their location.
[21:30:40]	¿Vendes Pan? :u loaded the character 'Elizabeth Skülberg'
[21:30:40]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[21:31:11]	James Jacob entered observer.
[21:31:14]	James Jacob exited observer at their location.
[21:31:16]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[21:31:19]	James Jacob entered observer.
[21:31:21]	James Jacob exited observer at their location.
[21:31:22]	James Jacob entered observer.
[21:31:36]	James Jacob exited observer at their location.
[21:31:37]	FB|| light ROOM loaded the character 'Ethan King'
[21:31:42]	CCA.C08-JUDGE.i1.91412 used command '/ToggleRaise'.
[21:31:43]	CCA.C08-JUDGE.i1.91412 used command '/ToggleRaise'.
[21:31:47]	Dr. Walter Bennett loaded the character 'CCA.C08-UNION.i5.65473'
[21:31:54]	CCA.C08-UNION.i5.65473 used command '/Radio Unit is on duty, 10-8.'.
[21:31:58]	James Jacob entered observer.
[21:31:59]	James Jacob exited observer at their location.
[21:32:00]	James Jacob entered observer.
[21:32:16]	CCA.C08-UNION.i5.65473 used command '/Radio Status?'.
[21:32:18]	[Y] Elizabeth Skülberg: Hello.
[21:32:26]	James Jacob exited observer at their location.
[21:32:26]	CCA.C08-JUDGE.i1.91412 used command '/CharSetModel i5 models/dpfilms/metropolice/hdpolice.mdl'.
[21:32:36]	CCA.C08-JUDGE.i1.91412 used command '/Radio Status green. Sociostatus green.'.
[21:33:06]	James Jacob entered observer.
[21:33:07]	James Jacob exited observer at their location.
[21:33:08]	James Jacob entered observer.
[21:33:09]	James Jacob exited observer at their location.
[21:33:09]	James Jacob entered observer.
[21:33:10]	James Jacob exited observer at their location.
[21:33:11]	James Jacob entered observer.
[21:33:13]	James Jacob exited observer at their location.
[21:33:16]	James Jacob ran 'View' on item 'Notepad' (#7266)
[21:33:26]	James Jacob entered observer.
[21:33:28]	Elizabeth Skülberg opened the '' #1428 container.
[21:33:35]	Elizabeth Skülberg has gained a 'Sparkling Breen's Water' #15033.
[21:33:36]	James Jacob exited observer at their location.
[21:33:36]	James Jacob entered observer.
[21:33:38]	Elizabeth Skülberg has gained a 'Sparkling Breen's Water' #17384.
[21:33:39]	Elizabeth Skülberg closed the '' #1428 container.
[21:33:40]	Elizabeth Skülberg opened the '' #1428 container.
[21:33:42]	James Jacob exited observer at their location.
[21:33:43]	CCA.C08-JUDGE.i1.91412 used command '/Radio Moving 10-19, to the bridge next to the Nexus.'.
[21:33:45]	James Jacob entered observer.
[21:33:45]	James Jacob exited observer at their location.
[21:33:46]	[OOC] Ethan King: I'm back
[21:33:46]	James Jacob entered observer.
[21:33:47]	Elizabeth Skülberg closed the '' #1428 container.
[21:33:48]	James Jacob exited observer at their location.
[21:33:59]	[OOC] Elizabeth Skülberg: is it allowed to steal lockers of other citizens?
[21:34:05]	[OOC] Elizabeth Skülberg: just asking......
[21:34:08]	James Jacob has taken 10 damage from CCA.C08-JUDGE.i1.91412.
[21:34:14]	CCA.C08-UNION.i5.65473 used command '/Radio Uhh... Judge..'.
[21:34:14]	Elizabeth Skülberg has taken 11 damage from worldspawn.
[21:34:16]	James Jacob entered observer.
[21:34:16]	James Jacob exited observer at their location.
[21:34:19]	[OOC] Ethan King: Imagine tp'ing to me but not doing anything
[21:34:21]	CCA.C08-JUDGE.i1.91412 used command '/Radio 10-4.'.
[21:34:21]	James Jacob entered observer.
[21:34:25]	James Jacob exited observer at their location.
[21:34:27]	James Jacob entered observer.
[21:34:44]	James Jacob exited observer at their location.
[21:34:45]	Ethan King ran 'drop' on item 'Soap Bottle' (#12721)
[21:34:45]	Ethan King has lost a 'Soap Bottle' #12721.
[21:34:49]	Zapper loaded the character 'OTA.C08-KING.EOT.04543'
[21:34:54]	[OOC] OTA.C08-KING.EOT.04543: TEMP
[21:34:54]	¿Vendes Pan? :u loaded the character 'Gregory Smith'
[21:35:00]	OTA.C08-KING.EOT.04543 entered observer.
[21:35:01]	[OOC] Gregory Smith: ?
[21:35:01]	CCA.C08-UNION.i5.65473 used command '/Radio 10-20 is Slums... We got a problem.'.
[21:35:01]	OTA.C08-KING.EOT.04543 exited observer at their location.
[21:35:04]	OTA.C08-KING.EOT.04543 entered observer.
[21:35:05]	[OOC] Ethan King: Hey soviet, you can come guard me like a good boi.
[21:35:18]	CCA.C08-UNION.i5.65473 used command '/Radio Up the ladder.'.
[21:35:20]	[OOC] Gregory Smith: can you*
[21:35:24]	OTA.C08-KING.EOT.04543 has lost 10000 tokens.
[21:35:24]	OTA.C08-KING.EOT.04543 used command '/DropTokens 10000'.
[21:35:27]	CCA.C08-JUDGE.i1.91412 used command '/Radio Code 2?'.
[21:35:30]	CCA.C08-JUDGE.i1.91412 has gained 10000 tokens.
[21:35:38]	OTA.C08-KING.EOT.04543 opened the '' #909 container.
[21:35:40]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[21:35:54]	OTA.C08-KING.EOT.04543 has given 100000 tokens to '' #909 (100000 tokens left).
[21:35:55]	[OOC] Gregory Smith: i accidentally made the other RP voice
[21:35:56]	OTA.C08-KING.EOT.04543 closed the '' #909 container.
[21:36:01]	OTA.C08-KING.EOT.04543 exited observer at their location.
[21:36:04]	Gregory Smith has taken 5 damage from CCA.C08-JUDGE.i1.91412.
[21:36:05]	Gregory Smith has taken 5 damage from CCA.C08-JUDGE.i1.91412.
[21:36:06]	Gregory Smith has taken 5 damage from CCA.C08-JUDGE.i1.91412.
[21:36:06]	Zapper loaded the character 'James Jacob'
[21:36:07]	James Jacob entered observer.
[21:36:08]	[LOOC] Gregory Smith: why?
[21:36:09]	CCA.C08-JUDGE.i1.91412 used command '/ToggleRaise'.
[21:36:12]	James Jacob exited observer at their location.
[21:36:13]	James Jacob opened the '' #909 container.
[21:36:19]	James Jacob has taken 10000 tokens from '' #909 (90000 tokens left).
[21:36:23]	CCA.C08-UNION.i5.65473 used command '/Radio Judge.'.
[21:36:25]	James Jacob has taken 90000 tokens from '' #909 (0 tokens left).
[21:36:28]	James Jacob closed the '' #909 container.
[21:36:29]	James Jacob entered observer.
[21:36:33]	CCA.C08-JUDGE.i1.91412 used command '/Radio 10-4, is it Code 2?'.
